Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4NnWuGQujzWUEg0uZokO5M,"Just Like Heaven - Remastered 2006","Kiss Me Kiss Me Kiss Me (Remastered 2006)","The Cure",1987-05-26,212013,72,false,hw2ufbdkii8843wkj2ncfnbzn,2020-03-10T04:20:35Z,"new wave,post-punk,gothic rock,darkwave","UMC (Universal Music Catalogue)",0.437,0.94,9,-6.946,1,0.0426,0.0524,0.000573,0.222,0.48,151.417,4
spotify:track:4dneV7C1yDt9UtyxrQY375,"Boys Don't Cry - Single Version","Three Imaginary Boys (Deluxe Edition)","The Cure",1979-05-11,157533,76,false,hw2ufbdkii8843wkj2ncfnbzn,2020-03-10T04:20:49Z,"new wave,post-punk,gothic rock,darkwave","Rhino/Elektra",0.465,0.841,11,-5.767,0,0.0633,0.00486,0,0.109,0.689,168.743,4
spotify:track:4y1LsJpmMti1PfRQV9AWWe,"Girls Just Want to Have Fun","She's So Unusual","Cyndi Lauper",1983-10-14,238120,85,false,hw2ufbdkii8843wkj2ncfnbzn,2020-03-10T04:20:59Z,"","Portrait",0.71,0.799,6,-4.897,1,0.0328,0.22,0.000602,0.349,0.725,120.372,4
spotify:track:6yEAAIEHu4GcUFptg5W9kI,"Don't You (Forget About Me)","The Breakfast Club","Simple Minds",1985-01-01,260866,57,false,hw2ufbdkii8843wkj2ncfnbzn,2020-03-10T04:21:06Z,"new wave","A&M",0.666,0.623,2,-12.697,1,0.0259,0.0766,0.0404,0.103,0.667,111.293,4
spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,"Take on Me","Hunting High and Low","a-ha",1985-06-01,225280,90,false,hw2ufbdkii8843wkj2ncfnbzn,2020-03-10T04:21:12Z,"new wave,synthpop","Rhino",0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,4
spotify:track:4OdhffpvG3HxDJMxYOKh97,"I Ran (So Far Away)","A Flock Of Seagulls","A Flock Of Seagulls",1982-04-30,308933,37,false,hw2ufbdkii8843wkj2ncfnbzn,2020-03-10T04:21:17Z,"new wave,synthpop","Jive",0.507,0.642,2,-12.923,1,0.0323,0.00299,0.606,0.141,0.631,146.154,4
spotify:track:2tUBqZG2AbRi7Q0BIrVrEj,"I Wanna Dance with Somebody (Who Loves Me)","Whitney","Whitney Houston",1987-06-02,292875,86,false,hw2ufbdkii8843wkj2ncfnbzn,2020-03-10T04:21:23Z,"","Arista/Legacy",0.709,0.824,1,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818,4
spotify:track:6SjbzGo7arjfM5cXpXhc5B,"Should I Stay or Should I Go - Remastered","Stranger Things (Soundtrack from the Netflix Original Series)","The Clash",2017-10-27,186093,65,false,hw2ufbdkii8843wkj2ncfnbzn,2020-03-10T04:21:29Z,"punk","Legacy Recordings",0.74,0.848,2,-6.437,1,0.144,0.0781,0,0.375,0.802,113.381,4
spotify:track:6W7ztLBiRzBN46ZaPAcQ0F,"(I've Had) The Time Of My Life - From ""Dirty Dancing"" Soundtrack","Dirty Dancing (Original Motion Picture Soundtrack)","Bill Medley;Jennifer Warnes",1987-09-24,290333,71,false,hw2ufbdkii8843wkj2ncfnbzn,2020-03-10T04:21:44Z,"","RCA Records Label",0.697,0.669,6,-12.723,0,0.0406,0.0404,0.00897,0.0654,0.486,108.506,4
spotify:track:0odIT9B9BvOCnXfS0e4lB5,"Bette Davis Eyes","Mistaken Identity","Kim Carnes",1981-01-01,228000,82,false,hw2ufbdkii8843wkj2ncfnbzn,2020-03-10T04:21:49Z,"","Capitol Records",0.675,0.649,5,-10.271,1,0.0319,0.0204,0,0.0959,0.596,116.62,4
spotify:track:0vOkmmJEtjuFZDzrQSFzEE,"Hit Me With Your Best Shot","Crimes Of Passion","Pat Benatar",1980-08-05,171266,74,false,hw2ufbdkii8843wkj2ncfnbzn,2020-03-10T04:21:55Z,"aor","Chrysalis\EMI Records (USA)",0.741,0.58,4,-9.05,1,0.0304,0.117,0.0000361,0.212,0.944,127.402,4
spotify:track:3RKl5yjCyj1hqOJ3TeFqyQ,"Come On Eileen","Too Rye Ay (Deluxe Edition)","Dexys Midnight Runners",1982-08,273720,0,false,hw2ufbdkii8843wkj2ncfnbzn,2020-03-10T04:22:01Z,"","Strategic Marketing",0.465,0.619,0,-9.036,1,0.0488,0.405,0,0.269,0.833,108.293,4
