Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6ChYON7kJVT2RNtKmQZaJL,"So Long","Producer 06","Seba;Lo Tek",2003,543500,41,false,3mackor,2021-03-12T09:39:26Z,"liquid funk,drum and bass,jungle,breakbeat,breakcore","goodlooking Records",0.525,0.79,7,-8.64,0,0.0463,0.0658,0.913,0.246,0.155,163.239,4
spotify:track:5NSbvAshLlhDvSlokHbJZ9,"Tychonic Cycle","Sawtooth","Jonny L",1997-11-17,408266,35,false,3mackor,2021-03-12T09:39:26Z,"jungle,drum and bass,liquid funk,breakbeat","XL Recordings",0.543,0.937,9,-4.008,0,0.146,0.328,0.646,0.118,0.418,162.924,4
spotify:track:5GcwsPvZmDYCaRItLu6CLL,"Resolution","Producer 04","Tayla",2002,427500,40,false,3mackor,2021-03-12T09:39:26Z,"jungle,liquid funk,drum and bass,breakcore,breakbeat","goodlooking Records",0.492,0.809,4,-7.522,0,0.0463,0.000584,0.92,0.31,0.0378,165.16,4
spotify:track:02rEIbp6TM4XUkb1HFsonm,"Soul Searching","Producer 04","Aquarious;Tayla",2002,259500,45,false,3mackor,2021-03-12T09:39:26Z,"jungle,breakcore,drum and bass,liquid funk,breakbeat","goodlooking Records",0.234,0.736,6,-9.887,1,0.0483,0.694,0.821,0.356,0.037,159.153,4
spotify:track:3KCj6M70DQElqXql1g6CGe,"Gemini","Slow Motion","J Majik",1997-01-01,408600,27,false,3mackor,2021-03-12T09:39:26Z,"jungle,drum and bass,liquid funk,breakbeat","Infrared Records",0.529,0.948,7,-5.747,0,0.0993,0.00435,0.776,0.0593,0.476,163.889,4
spotify:track:1eGo6QgPTBFKYtWjgL7rV9,"Pictures","Slow Motion","J Majik",1997-01-01,355533,26,false,3mackor,2021-03-12T09:39:26Z,"jungle,drum and bass,liquid funk,breakbeat","Infrared Records",0.662,0.519,2,-10.284,1,0.313,0.0254,0.845,0.101,0.59,165.239,4
spotify:track:3q2q3VOAxIvJiAKvmw8J9v,"The Eclipse - 2011 Re-Mastered Mix","Klass of '92 - '95 (Lesson 4)","Nookie",2011-09-05,372935,0,false,3mackor,2021-03-12T09:39:26Z,"jungle,drum and bass,liquid funk,breakbeat","Phuzion Digital",0.481,0.764,0,-8.059,1,0.0444,0.00362,0.88,0.117,0.663,164.894,4
spotify:track:3YQRtx2YjJHEb2JUeeiKXj,"Planetary Funk Alert","LTJ Bukem's Best of goodlooking Playlist","Seba",2013-05-06,603760,37,false,3mackor,2021-03-12T09:39:26Z,"liquid funk,drum and bass,jungle,breakbeat","goodlooking Records",0.673,0.643,5,-7.867,0,0.0953,0.0117,0.854,0.134,0.26,163.21,4
spotify:track:4JcjJLas9sjb418T0rscPA,"Less Than Zero","Rogue Satellite","Omni Trio",2003,281480,29,false,3mackor,2021-03-12T09:39:26Z,"jungle,drum and bass,breakbeat,liquid funk,breakcore","Scale Records",0.786,0.82,7,-5.628,0,0.209,0.795,0.893,0.111,0.432,167.778,4
spotify:track:4rnEB7m2y8RRDMLo8qaCjN,"Twilight Voyage","Producer 01","LTJ Bukem",2013-01-28,507500,42,false,3mackor,2021-03-12T09:39:26Z,"jungle,drum and bass,liquid funk,breakbeat,downtempo,breakcore","goodlooking Records",0.49,0.918,4,-7.441,0,0.0446,0.0218,0.847,0.203,0.33,165.457,4
