Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6GokgbicixygLcTrvwxqkQ,"Nova Dub","Alert","Kanka",2006-11-06,335293,39,false,1123953309,2021-06-19T22:36:35Z,"dub,ragga,reggae","Hammerbass",0.721,0.67,0,-8.164,0,0.0351,0.0243,0.917,0.13,0.423,144.013,4
spotify:track:1pKUs3jYx4839Dre5nxQSJ,"Tribute to Yabby You (feat Joe Pilgrim)","The Lost Ship","Panda Dub;Joe Pilgrim;Maÿd Hubb",2013,290000,0,false,1123953309,2021-06-19T22:46:48Z,"dub,ragga,reggae,roots reggae","ODGProd",0.69,0.689,7,-6.585,1,0.0332,0.0303,0.101,0.143,0.502,145.023,4
spotify:track:5ewkZXHN5sobi7Z1YE6ixj,"Critical Time","Alert","Kanka;Brother Culture",2006-11-06,308266,13,false,1123953309,2021-06-23T21:35:33Z,"dub,ragga,reggae,roots reggae","Hammerbass",0.688,0.884,2,-7.551,0,0.251,0.0103,0.0000486,0.0845,0.268,138.046,4
spotify:track:186TToF2XE6BfGaJ9QD9SF,"Meditation Dub","Heart Of Dub","Nucleus Roots;Don Hartley",2006-08-01,243666,28,false,1123953309,2021-06-24T08:26:35Z,"dub,roots reggae,reggae","Universal Egg Records",0.777,0.449,8,-9.593,1,0.0375,0.00067,0.519,0.227,0.564,122.034,4
spotify:track:5zLDUDwpiIGpyWImimXwHR,"Seventy Two Nations","Barry Myers Presents Scratchy Sounds (Ska, Dub, Roots & Reggae Nuggets)","Dadawah",2004-01-01,643813,0,false,1123953309,2021-06-24T08:27:57Z,"dub,roots reggae,rocksteady","Trojan Records",0.759,0.387,5,-10.685,0,0.037,0.163,0.544,0.351,0.584,100.004,4
spotify:track:3tVbAhp3TYgbiamOh4wY5r,"Jahovah In Dub Majesty","Dub Massacre Part 1 & Part 2","The Twinkle Brothers",1982,237200,38,false,1123953309,2021-06-24T08:28:47Z,"roots reggae,dub,reggae,rocksteady,ragga","Twinkle Music",0.767,0.683,8,-8.296,1,0.0576,0.0129,0.873,0.152,0.567,122.644,4
spotify:track:1Ko8bnQ5TKssRkrfJBv5za,"We Got Jah","Thundering Mantis","Dub Dynasty;Alpha Steppa;Alpha & Omega;Ngoni",2014-09-29,287142,27,false,1123953309,2021-06-24T13:09:42Z,"dub,roots reggae,reggae,ragga,bongo flava,rumba congolaise","Steppas Records",0.736,0.681,1,-8.923,0,0.0467,0.00255,0.0248,0.745,0.216,140.057,4
spotify:track:1K8Poyu7vUApOXFajIuZ9q,"Welcome the Lion on Your Path","Thundering Mantis","Dub Dynasty;Alpha Steppa;Alpha & Omega;Mooji",2014-09-29,248823,12,false,1123953309,2021-06-24T13:33:24Z,"dub,roots reggae,reggae,ragga","Steppas Records",0.752,0.632,9,-11.08,0,0.201,0.0124,0.00858,0.811,0.525,135.98,4
spotify:track:1R4zxVBBtVfGm8zGwmsuvk,"Blessings Dub","Thundering Mantis","Dub Dynasty;Alpha Steppa;Alpha & Omega",2014-09-29,239040,15,false,1123953309,2021-06-24T13:46:40Z,"dub,roots reggae,reggae,ragga","Steppas Records",0.819,0.614,4,-10.419,0,0.0566,0.0000233,0.24,0.489,0.577,124.992,4
spotify:track:13Zso5OcVLD968ADP9Ku4F,"Monsoon Come Again - Dutty Hands & Cranky General Remix","Monsoon Come Again / Contraception","Dub Dynasty;Alpha Steppa;Alpha & Omega;Ras Tinny;Dutty Hands;Cranky General",2015-07-10,240000,18,false,1123953309,2021-06-24T14:45:04Z,"dub,roots reggae,reggae,ragga,jungle","Steppas Records",0.719,0.718,7,-5.614,1,0.0298,0.00243,0.00299,0.173,0.514,135.01,4
spotify:track:5VctCNtClwTpa0UhO4TTll,"Blessed Is He","Original Sounds Of The Zion","Zion Train",2002,340173,8,false,1123953309,2021-06-24T22:17:15Z,"dub,reggae","Universal Egg",0.595,0.96,0,-5.04,1,0.0482,0.000177,0,0.168,0.618,147.08,4
spotify:track:5GdDh3bTLp9d6gbIBioMum,"Hailing Up The Selector","Original Sounds Of The Zion","Zion Train",2002,326680,12,false,1123953309,2021-06-24T22:18:36Z,"dub,reggae","Universal Egg",0.565,0.791,9,-5.75,0,0.179,0.121,0.0000573,0.349,0.553,131.864,4
spotify:track:33v56s3KQxe4LwGEnRgvDK,"Dub Is My Desire - 2010 Remastered Version","Pablo Moses: A Song (2010 Remastered Version)","Pablo Moses",1980,373226,0,false,1123953309,2021-08-25T09:26:38Z,"roots reggae,reggae,dub,rocksteady,ragga","Grounded Music",0.731,0.774,11,-6.308,0,0.0447,0.00177,0.805,0.0684,0.964,141.995,4
spotify:track:2NaKTda4dPERNm549oosMl,"Teach Dem","Morning Star","The Congos;Pura Vida",2018-05-25,293967,0,false,1123953309,2021-08-25T09:28:29Z,"roots reggae,reggae,dub,rocksteady,ragga","Lost Ark Music",0.768,0.574,9,-8.116,0,0.0513,0.403,0.000744,0.364,0.714,134.003,4
spotify:track:4xY3fzBa7Xhcbz0H1M1qk4,"In The Ghetto","Morning Star","The Congos;Pura Vida",2018-05-25,271518,0,false,1123953309,2021-08-25T09:44:48Z,"roots reggae,reggae,dub,rocksteady,ragga","Lost Ark Music",0.623,0.673,9,-10.32,0,0.0707,0.00643,0.00304,0.0492,0.394,147.658,4
