Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1vgSaC0BPlL6LEm4Xsx59J,"An Ending (Ascent) - Remastered 2005","Apollo","Brian Eno",1983-07-01,266200,58,false,,2026-04-09T09:22:44Z,"ambient,krautrock,art rock,minimalism,drone,glam rock,space music","EMI Catalogue",0.257,0.0906,8,-25.381,1,0.07,0.932,0.985,0.0786,0.0451,67.46,3
spotify:track:7glKwbR1DyuIuE6XvZvJbQ,"#3","Selected Ambient Works Volume II","Aphex Twin",1994-03-07,464293,65,false,,2026-04-09T09:22:44Z,"idm,ambient,electronica","Warp Records",0.159,0.071,6,-27.109,0,0.0409,0.911,0.856,0.107,0.0602,146.977,5
spotify:track:0QWg9GVhRxE2r72Tw7PIzF,"The Mouthchew, Pt. 2","Carte-De-Visite","Stars Of The Lid;Adam Wiltzie",2007-11-20,225586,40,false,,2026-04-09T09:22:44Z,"ambient,drone,post-rock,minimalism,space music,neoclassical,contemporary classical","Artificial Pinearch Manufacturing",0.162,0.0292,0,-25.424,1,0.0422,0.982,0.899,0.206,0.0312,129.812,4
spotify:track:1i8MaQec4fQXj1enX8ZWF4,"Boreal Kiss Pt. 1","Haunt Me","Tim Hecker",2001-11-20,208040,44,false,,2026-04-09T09:22:44Z,"drone,ambient,electroacoustic,idm,dark ambient,experimental,minimalism","Sunblind Music",0.196,0.0236,5,-25.493,0,0.0429,0.528,0.0845,0.289,0.0894,134.596,4
spotify:track:65Ysd3JTAjB4nojkFLeEPY,"View from My Window","Music for Nine Post Cards","Hiroshi Yoshimura",1982-01-01,375600,44,false,,2026-04-09T09:22:44Z,"ambient,minimalism,drone","Temporal Drift",0.215,0.00705,7,-23.733,1,0.0442,0.99,0.929,0.0877,0.0839,69.589,4
spotify:track:1mGrXg7R32ONwODtN56Ou7,"The Sun XIX","Holotropica","Sofie Birch",2022-05-27,403750,37,false,,2026-04-09T09:22:44Z,"ambient,ambient jazz,drone","Intercourse",0.413,0.0499,4,-27.59,0,0.031,0.0662,0.858,0.0775,0.0301,139.976,4
spotify:track:0efbgQ82IjFjgDsr5vBckW,"Ceramic Bubbles - No Death Remix","Small Lights","Rhucle;No Death",2017-12-14,220000,34,false,,2026-04-09T09:22:44Z,"drone,ambient,vaporwave","BLCR Laboratories",0.147,0.121,11,-31.783,1,0.0393,0.973,0.968,0.0882,0.128,88.813,3
spotify:track:1GfdC8GouQqL0RKKzgIhXw,"Heavenly Harps","Deep Space","Matooma",2020-01-16,184714,39,false,,2026-04-09T09:22:44Z,"space music,ambient","PALA Sound",0.207,0.0537,0,-26.829,1,0.043,0.993,0.953,0.0991,0.0325,68.227,4
spotify:track:6mqZsDccxymJpBFX5OAuR8,"Seis - Daigo Hanada Rework","Seis (Daigo Hanada Rework)","Daigo Hanada;Hiroco.M;Hiroko Murakami",2022-12-23,225000,36,false,,2026-04-09T09:22:44Z,"neoclassical,japanese classical,ambient","Grulla Records",0.533,0.0305,10,-35.918,0,0.0372,0.993,0.934,0.106,0.245,97.653,4
spotify:track:3xLBY0NMWZqdLCYbPqcUb6,"Photo With Grey Sky, White Clouds","Passive Aggressive","Jonny Nash;Suzanne Kraft",2017-06-12,509530,45,false,,2026-04-09T09:22:44Z,"ambient,ambient jazz","Melody As Truth",0.18,0.000985,9,-26.598,0,0.0474,0.943,0.922,0.0789,0.0381,72.28,3
