Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:602uWEGegCqIvdzuEcOhoj,"Move Me","Layover Flight","Amen Raw;I-Octane",2020-10-30,249588,0,false,,1970-01-01T00:00:00Z,"dancehall,riddim,reggae,lovers rock,ragga,soca","Alpha Pup",0.805,0.467,6,-8.44,0,0.128,0.227,0,0.0824,0.297,117.35,4
spotify:track:6bgzjbmRFcBswsEgTfHiPh,"Make Dub Not War","Death of the Revolution","Flowering Inferno;Quantic",2008-07-14,227093,32,false,,1970-01-01T00:00:00Z,"electrocumbia,nu jazz,trip hop,downtempo,latin alternative,acid jazz","Tru Thoughts",0.807,0.754,11,-6.864,0,0.0565,0.274,0.123,0.134,0.623,158.015,4
spotify:track:05EHsHA1SMPQMt6b5cJYV2,"In the Red","Goin' Steady","Newtown Rocksteady",2013-04-26,331023,31,false,,1970-01-01T00:00:00Z,"nz reggae,rocksteady,dub","Newtown Rocksteady",0.678,0.764,0,-8.231,1,0.0355,0.485,0.0046,0.0458,0.946,148.166,4
spotify:track:3u4vfEieVl1E4WT89ooLAq,"Under Arrest","Soundsystem Champions","Mungo's Hi Fi;MC Ishu",2008-10-01,238815,29,false,,1970-01-01T00:00:00Z,"dub,ragga,jungle,reggae","Scotch Bonnet Records",0.836,0.469,1,-10.343,1,0.209,0.646,0.0285,0.104,0.535,97.981,4
spotify:track:05jbiDxzYlCi5tqBHKlLyb,"Five Day Nights","Exceptionally Remixed 2","Tubbs",2006-03-24,226773,24,false,,1970-01-01T00:00:00Z,"nz reggae","Exceptional Records",0.901,0.447,1,-8.861,1,0.126,0.0593,0.0000021,0.0488,0.804,145.376,4
spotify:track:3LQjBQiWTzzULSIGRYaqRo,"These Words, These Sounds, These Powers","Get It Together","Sola Rosa;Spikey Tee",2009-03-02,266803,19,false,,1970-01-01T00:00:00Z,"nz reggae","Way Up Recordings",0.839,0.907,5,-6.676,0,0.499,0.378,0,0.123,0.79,92.019,4
spotify:track:6gV7dhKTOscAikuhqyKdVK,"Sweet Like a Lolly (feat. Governor Tiggy)","Dubcatcher","DJ Vadim;Governor Tiggy",2014-07-04,201405,25,false,,1970-01-01T00:00:00Z,"trip hop,downtempo,reggae","Loop Recordings Aot(ear)oa",0.734,0.833,5,-3.762,0,0.338,0.458,0,0.0802,0.941,94.072,4
spotify:track:5WolbfgK8fIJ2lOLpuACNB,"Om Shakti Om","This Is Blue","Trevor Hall",2008-10-22,210986,32,false,,1970-01-01T00:00:00Z,"","Trevor Hall",0.831,0.303,11,-9.689,0,0.229,0.148,0,0.13,0.594,79.407,4
spotify:track:52LrSbF4ikbs5CSNVBASXO,"Wind Blows Harder","Wind Blows Harder","THUNDER BODY",2011-12-23,214173,22,false,,1970-01-01T00:00:00Z,"reggae rock,roots reggae,reggae","Medicine Hi-Fi",0.851,0.444,11,-9.514,1,0.058,0.286,0.0624,0.069,0.936,141.978,4
spotify:track:04T4PBgdAGUTmVGgFVHgnu,"Bong Bong","Bong Bong EP","Mungo's Hi Fi;Soom T",2013-07-22,209000,34,false,,1970-01-01T00:00:00Z,"dub,ragga,jungle,reggae","Scotch Bonnet Records",0.78,0.572,6,-8.97,1,0.231,0.0525,0.000994,0.126,0.662,168.005,4
spotify:track:5ADm73Q1SaTVTHB4NSIoir,"Hold Up My Heart","More Music More Family","Cas Haley;Trevor Hall",2015-11-06,188272,37,false,,1970-01-01T00:00:00Z,"reggae rock,reggae","Ineffable Records",0.863,0.412,11,-9.107,0,0.0542,0.0105,0.0000209,0.0933,0.77,147.987,4
spotify:track:1dXUcTAgVP7YP7jDg8J4N6,"Mr. Mellow","Mana Maoli, Volume V - Hui Na Moku","King Kekai;Anuhea",2012-04-25,208200,13,false,,1970-01-01T00:00:00Z,"reggae","Mana Maoli",0.539,0.391,0,-9.769,0,0.295,0.732,0,0.108,0.386,183.292,4
spotify:track:0r9CY6WdM8lb1sqgIe0fx8,"Under Your Hat","U Can't Lurn Imaginashun","DJ Vadim;Kathrin deBoer;Governor Tiggy",2009-09-01,282053,34,false,,1970-01-01T00:00:00Z,"trip hop,downtempo,reggae","King Dada Sounds",0.923,0.578,9,-5.465,1,0.143,0.276,0.0000191,0.088,0.818,132.007,4
spotify:track:6o5I1qOQQDtCmXYrormLa1,"Higher Vibrations","Spirit of Music","Ziggy Marley & The Melody Makers",1999-07-21,252506,37,false,,1970-01-01T00:00:00Z,"reggae,roots reggae","Woah Dad!",0.814,0.538,2,-12.299,1,0.0346,0.235,0.0000505,0.144,0.74,132.85,4
spotify:track:6SofLlbXCuNixGEhddJplj,"High Tide","Grown Deep","Sol Seed",2012-08-31,346618,14,false,,1970-01-01T00:00:00Z,"reggae rock,reggae","Freedom Thought Productions",0.597,0.292,2,-17.134,1,0.0399,0.000597,0.000357,0.0852,0.219,143.986,4
spotify:track:26PtmBxCyDnsWpFkWX23aa,"Rise and Release","Pushing Through the Pavement","The Polish Ambassador;Raashan Ahmad",2014-06-10,187073,35,false,,1970-01-01T00:00:00Z,"jazz rap","Jumpsuit Records, Inc.",0.857,0.722,6,-5.313,0,0.117,0.0479,0,0.179,0.652,99.984,4
spotify:track:5CAnZguv1ZAlFEEfWftopQ,"Whole","More Music More Family","Cas Haley;Tubby Love",2015-11-06,200192,24,false,,1970-01-01T00:00:00Z,"reggae rock,reggae","Ineffable Records",0.609,0.577,0,-8.639,1,0.0913,0.206,0,0.13,0.386,79.321,4
spotify:track:6qcTisgehCWp0I0DRCYG86,"Badman","Moves On","Sola Rosa;Spikey Tee",2005-08-29,275480,24,false,,1970-01-01T00:00:00Z,"nz reggae","Way Up Recordings",0.867,0.458,9,-10.058,0,0.151,0.285,0.00000233,0.0786,0.622,86.994,4
spotify:track:2SNXVbJaIHZXndFlcCENBo,"I Want To Get Hight","Simple But True","Ominous Words;Psyborg",2006-02-14,193973,23,true,,1970-01-01T00:00:00Z,"","acropolisRPM",0.661,0.401,2,-16.177,1,0.355,0.000804,0,0.155,0.751,177.905,4
spotify:track:1vQENHiWxoedmhPz6oZ68g,"Ganja Farmer (feat. Slightly Stoopid)","Ganja Farmer (feat. Slightly Stoopid)","Marlon Asher",2013-04-20,252030,30,false,,1970-01-01T00:00:00Z,"reggae,roots reggae,lovers rock,ragga,dancehall","Clear Port Entertainment LLC",0.77,0.287,8,-19.237,1,0.0839,0.539,0,0.0566,0.873,80.015,4
spotify:track:0sDgX3tnCFIjk4iMbNiW2R,"Dancehall Days","Dancehall Days","The Beautiful Girls",2014-10-07,207910,23,false,,1970-01-01T00:00:00Z,"surf rock","The Beautiful Girls",0.746,0.742,5,-9.088,1,0.0527,0.00808,0.0324,0.343,0.868,162.02,4
