Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:67MkU3b7k2fBL6oHHUiM09,"Dark Entries","In the Flat Field","Bauhaus",1980-11-03,231560,57,false,1287798574,2021-08-17T17:47:21Z,"gothic rock,post-punk,deathrock,darkwave,cold wave,new wave","4AD",0.24,0.851,2,-11.941,1,0.0492,0.00017,0.641,0.344,0.512,171.036,4
spotify:track:5Ng6UbryNd3eds2zQk9MUf,"Spellbound","Juju","Siouxsie and the Banshees",1981,197013,65,false,1287798574,2021-08-17T17:47:33Z,"gothic rock,post-punk,deathrock,darkwave,new wave,cold wave","UMC (Universal Music Catalogue)",0.415,0.853,7,-11.098,1,0.038,0.0107,0.000499,0.536,0.302,148.494,4
spotify:track:0X5C4WjQNubRysTkHOubz3,"Lovesong - 2010 Remaster","Disintegration (Deluxe Edition)","The Cure",1989-05-02,209573,71,false,1287798574,2021-08-17T17:47:44Z,"new wave,post-punk,gothic rock,darkwave","Rhino/Elektra",0.611,0.813,9,-7.689,0,0.0279,0.339,0.898,0.224,0.821,140.112,4
spotify:track:4ZuC5MfGjRQs3pZtPxqMYP,"Shadowplay - 2007 Remaster","Unknown Pleasures (Collector's Edition)","Joy Division",1979-06-01,233719,62,false,1287798574,2021-08-17T17:47:58Z,"post-punk,gothic rock,new wave,darkwave,madchester,cold wave","London Records",0.433,0.756,9,-7.855,1,0.0565,0.000997,0.761,0.124,0.117,145.443,4
spotify:track:20goDx14UZviYtCPtLbqvs,"Lucretia My Reflection - Vinyl Version","Floodland","Sisters of Mercy",1987,295250,61,false,1287798574,2021-08-17T17:48:06Z,"gothic rock,darkwave,post-punk,deathrock,cold wave,new wave,gothic metal","Rhino",0.601,0.768,9,-8.718,1,0.0329,0.0785,0.712,0.0771,0.887,130.342,4
spotify:track:1Khz3jzqOomoHt8JgREX0S,"Riboflavin","Sleep In Safety","45 Grave",1983,173506,42,false,1287798574,2021-08-17T17:48:14Z,"deathrock,horror punk,gothic rock,post-punk,darkwave,psychobilly","Ryko/Rhino",0.507,0.593,9,-9.688,0,0.0401,0.0463,0.224,0.0481,0.651,132.671,4
spotify:track:74SUn8w4lYSwgOGPvVZiEo,"Gallowdance","Tomb for Two","Lebanon Hanover",2013-10-10,231911,68,false,1287798574,2021-08-17T17:48:59Z,"darkwave,cold wave,post-punk,gothic rock,deathrock","FABRIKA RECORDS",0.705,0.766,8,-8.432,1,0.033,0.511,0.845,0.109,0.279,138.033,4
spotify:track:1r9G4vja4Hp8QgiT7Kv6UY,"Billie Was a Vampire","Vitrioli","Selofan",2018-04-12,189699,44,false,1287798574,2021-08-17T17:49:06Z,"darkwave,cold wave,post-punk,gothic rock,deathrock,ebm","Fabrika Records",0.49,0.922,11,-4.852,1,0.0316,0.000112,0.0188,0.417,0.217,132.992,4
spotify:track:6DONTnamNDOJdO6DzCu71p,"Судно (Борис Рижий)","Этажи","Molchat Doma",2018-09-07,141394,1,false,1287798574,2021-08-17T17:49:12Z,"post-punk,darkwave,cold wave,gothic rock","Sacred Bones Records",0.484,0.749,1,-4.176,1,0.0687,0.699,0.861,0.105,0.468,160.006,4
spotify:track:1wyVyr8OhYsC9l0WgPPbh8,"Bela Lugosi's Dead (Official Version)","The Bela Session","Bauhaus",2018-11-23,576703,58,false,1287798574,2021-08-17T17:49:20Z,"gothic rock,post-punk,deathrock,darkwave,cold wave,new wave","Leaving Records",0.594,0.692,11,-9.444,0,0.114,0.0131,0.678,0.0647,0.552,153.47,4
spotify:track:2JOAxHYCYFiFF5YmOxQ5O9,"This Corrosion - 2018 Remaster","Greatest Hits Volume One: A Slight Case Of Overbombing (2018 Remaster)","Sisters of Mercy",1993-08-23,617489,43,false,1287798574,2021-08-17T17:49:29Z,"gothic rock,darkwave,post-punk,deathrock,cold wave,new wave,gothic metal","Rhino",0.496,0.893,0,-9.326,1,0.0652,0.192,0.00011,0.608,0.575,149.402,4
spotify:track:2xq9cLlOPyLoi8kLlR4miz,"Cities In Dust","Tinderbox","Siouxsie and the Banshees",1986-04-21,231573,65,false,1287798574,2021-08-17T17:49:41Z,"gothic rock,post-punk,deathrock,darkwave,new wave,cold wave","UMC (Universal Music Catalogue)",0.561,0.974,6,-5.178,1,0.113,0.0572,0,0.244,0.337,120.297,4
spotify:track:6o8bpkuFMRS2b25Vui9aDC,"One Hundred Years - 2005 Remaster","Pornography","The Cure",1982-05-03,401000,45,false,1287798574,2021-08-17T17:49:49Z,"new wave,post-punk,gothic rock,darkwave","Rhino/Elektra",0.436,0.881,7,-5.998,1,0.0439,0.00123,0.509,0.108,0.262,132.59,4
spotify:track:3urJUvRhgMrwydaTQFVEg9,"Tear You Apart","She Wants Revenge","She Wants Revenge",2005-01-01,284613,2,true,1287798574,2021-08-17T17:50:03Z,"darkwave,gothic rock","Flawless Records",0.583,0.729,1,-6.645,0,0.0341,0.000522,0.0000147,0.487,0.539,152.996,4
