Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1ZZjlEwIMlb6wZMce4dnww,"Ground Zero","Ground Zero","Bam Bam",2018-09-14,283880,16,false,682u0zflzi2q92mzi1r47cwqd,2025-06-20T02:18:12Z,"riot grrrl,grunge,queercore","Buttocks Productions",0.334,0.592,8,-8.242,0,0.0316,0.0116,0.0683,0.134,0.0656,104.282,4
spotify:track:1r58AnHvS4JFeYRrPuEJPT,"Show What You Know","Free Fall from Space","Bam Bam",2019-06-07,147293,18,false,682u0zflzi2q92mzi1r47cwqd,2025-06-20T02:18:19Z,"riot grrrl,grunge,queercore","Buttocks Productions",0.214,0.897,1,-4.355,0,0.074,0.00055,0.00000127,0.169,0.491,88.928,4
spotify:track:4HWw0fDITp6NoiHmQ5GRyC,"Villains (Also Wear White)","You're No Big Deal: Grunge, The U.S. Underground and Beyond 1984-1994","Bam Bam",2025-09-26,189453,6,false,682u0zflzi2q92mzi1r47cwqd,2026-05-21T07:26:29Z,"acid house,chicago house,acid techno","Cherry Red Records",0.239,0.965,9,-6.392,1,0.114,0.00076,0.000118,0.182,0.0561,127.547,4
spotify:track:6xrW7YCTlENWuwZv8zKFVN,"Swing Set","Free Fall from Space","Bam Bam",2019-06-07,184586,16,false,682u0zflzi2q92mzi1r47cwqd,2025-06-20T02:18:51Z,"riot grrrl,grunge,queercore","Buttocks Productions",0.449,0.913,7,-4.194,1,0.105,0.0011,0.0224,0.338,0.406,136.327,4
spotify:local:::Ska-Unk:85,"Ska-Unk","","",,85000,0,false,682u0zflzi2q92mzi1r47cwqd,2026-01-01T20:25:27Z,"","undefined",,,,,,,,,,,,
spotify:track:7iZcO3nZZfx32MgT3Emy5W,"I'm Dead","Free Fall from Space","Bam Bam",2019-06-07,315880,23,false,682u0zflzi2q92mzi1r47cwqd,2025-06-20T02:18:23Z,"riot grrrl,grunge,queercore","Buttocks Productions",0.0983,0.828,11,-5.11,1,0.14,0.00839,0.0199,0.0883,0.201,190.283,4
spotify:track:4tiRodL8ItF1Ei3PFr3G48,"World of Your Future","Free Fall from Space","Bam Bam",2019-06-07,112760,20,false,682u0zflzi2q92mzi1r47cwqd,2025-06-20T02:18:27Z,"riot grrrl,grunge,queercore","Buttocks Productions",0.413,0.893,11,-4.296,0,0.115,0.0208,0,0.189,0.346,124.598,4
spotify:track:43Qn9td7joyHOCIG1dHLpV,"It Stinks","Free Fall from Space","Bam Bam",2019-06-07,115280,19,false,682u0zflzi2q92mzi1r47cwqd,2025-06-20T02:18:33Z,"riot grrrl,grunge,queercore","Buttocks Productions",0.206,0.923,1,-3.756,0,0.119,0.000418,0,0.137,0.15,134.988,4
spotify:track:6DP7CworS3hKupVCenlgMB,"Goin Down","Free Fall from Space","Bam Bam",2019-06-07,140933,17,false,682u0zflzi2q92mzi1r47cwqd,2025-10-17T04:23:10Z,"riot grrrl,grunge,queercore","Buttocks Productions",0.153,0.853,11,-3.826,1,0.0795,0.0000763,0.000664,0.349,0.156,135.629,4
spotify:local:::Curses+In+The+Dark:228,"Curses In The Dark","","",,228000,0,false,682u0zflzi2q92mzi1r47cwqd,2026-01-01T20:25:22Z,"","undefined",,,,,,,,,,,,
spotify:local:::A+Long+Time+Ago:214,"A Long Time Ago","","",,214000,0,false,682u0zflzi2q92mzi1r47cwqd,2026-01-01T20:25:12Z,"","undefined",,,,,,,,,,,,
spotify:local:::Baethsheba:245,"Baethsheba","","",,245000,0,false,682u0zflzi2q92mzi1r47cwqd,2026-01-01T20:25:18Z,"","undefined",,,,,,,,,,,,
spotify:track:3sgIVZMLm7Nldpb2Sov1XM,"Free Fall from Space","Free Fall from Space","Bam Bam",2019-06-07,212413,26,false,682u0zflzi2q92mzi1r47cwqd,2025-10-17T04:22:53Z,"riot grrrl,grunge,queercore","Buttocks Productions",0.203,0.886,6,-4.68,1,0.104,0.00414,0.000139,0.743,0.09,136.689,3
