Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3v33kUa3RGDB5C5s42w3yE,"When My Anger Starts To Cry (Moodymann Edit) - Mixed","DJ-Kicks (Moodymann) [DJ Mix]","Beady Belle",2016-02-19,173306,26,false,,1970-01-01T00:00:00Z,"nu jazz,vocal jazz,acid jazz","!K7 Records",0.623,0.322,7,-16.432,1,0.0701,0.791,0.0503,0.129,0.573,90.201,4
spotify:track:5Q1pjSjPV5ZXEIu0Cee456,"Into Forever","Into Forever","Matthew Halsall;The Gondwana Orchestra;Josephine Oniyama",2015-10-02,218200,33,false,,1970-01-01T00:00:00Z,"ambient jazz,jazz,nu jazz,indie jazz","Gondwana Records",0.478,0.247,5,-14.55,0,0.0391,0.907,0.000409,0.112,0.484,130.248,3
spotify:track:0AbWcaFA1bsObTMmsgPnBo,"Tonight","Waltz for Koop","Koop",2001-01-01,174626,47,false,,1970-01-01T00:00:00Z,"nu jazz,acid jazz,trip hop","Diesel",0.437,0.572,2,-7.99,0,0.0348,0.288,0.861,0.112,0.386,181.342,5
spotify:track:1DyPdGSnWEABPOgVfjhFXH,"All of Me","Exercices de Styles","Les Gammas",2000-06-19,207413,35,false,,1970-01-01T00:00:00Z,"nu jazz,acid jazz,downtempo,experimental jazz,trip hop","Compost Records",0.693,0.412,4,-10.104,0,0.118,0.0311,0.201,0.104,0.445,145.37,4
spotify:track:3bUrwdAPrWMiQVoNYwwYNV,"All I Need","Point of View","[re:jazz];Lisa Bassenge",2004-11-08,238760,43,false,,1970-01-01T00:00:00Z,"nu jazz,acid jazz,vocal jazz","INFRACom!",0.724,0.34,7,-13.688,0,0.0271,0.735,0.00792,0.118,0.431,93.011,4
spotify:track:7dUHHxrPLxzugX8fx5i8Bl,"Game","Home","Beady Belle",2001,280400,25,false,,1970-01-01T00:00:00Z,"nu jazz,vocal jazz,acid jazz","Jazzland Recordings",0.799,0.498,4,-6.605,0,0.0466,0.163,0,0.271,0.331,90.011,4
spotify:track:2rYLAODyTki4N9U3jwF9yX,"Take The L Train (To 8 Ave.)","Cool And Steady And Easy","Brooklyn Funk Essentials",1995-06-27,243613,43,false,,1970-01-01T00:00:00Z,"acid jazz,jazz funk,funk","Groovetown",0.68,0.239,0,-12.751,0,0.0306,0.928,0.873,0.104,0.135,119.121,3
spotify:track:6jeTJu5VFn1wMX84oHFFi8,"Song for You","Metropolitain","Kyle Eastwood",2009-06-29,204360,35,false,,1970-01-01T00:00:00Z,"jazz pop,jazz","Candid",0.673,0.428,11,-13.499,0,0.0291,0.616,0.947,0.107,0.351,128.982,3
spotify:track:2o3tIoXZ6jRRAKgCLpGvXU,"It's Been so Long","Aurora","Avishai Cohen",2009-03-16,317240,25,false,,1970-01-01T00:00:00Z,"jazz,jazz fusion","Parlophone (France)",0.521,0.0448,2,-19.936,1,0.0331,0.94,0.584,0.106,0.167,95.069,4
spotify:track:63OXFaMB0XaPFajQrYsXkg,"Only a Woman","Into Forever","Matthew Halsall;The Gondwana Orchestra;Josephine Oniyama",2015-10-02,229680,21,false,,1970-01-01T00:00:00Z,"ambient jazz,jazz,nu jazz,indie jazz","Gondwana Records",0.19,0.354,0,-13.33,1,0.0352,0.529,0.00292,0.107,0.202,172.02,4
