Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3ZpZoCuJzGit9L89wyF4A8,"Scale of Anubis","LSD: Lunar Solar Duality","Cambatta;NATURAL ONYX",2020-07-21,223320,18,true,,1970-01-01T00:00:00Z,"","Mello Music Group",0.833,0.565,0,-6.397,1,0.193,0.158,0,0.112,0.459,104.077,4
spotify:track:7xZoiD1sGIgIlAaobHtE60,"Hand of God","The Sharecropper's Daughter","Sa-Roc",2020-10-02,227506,27,true,,1970-01-01T00:00:00Z,"","Rhymesayers",0.525,0.619,6,-4.918,0,0.424,0.205,0,0.125,0.427,178.373,4
spotify:track:4ly0K1pSrgjOlK2Htq7bjB,"Ancestor","It's Level to This Shift 5","Young Pharaoh",2020-12-21,149351,16,true,,1970-01-01T00:00:00Z,"","YOUNG PHARAOH",0.773,0.327,2,-15.857,1,0.272,0.343,0,0.0926,0.573,83.982,4
spotify:track:0tdgKADOZQXCm57urIpTzP,"Positive Resonance(528hz DNA Repair)","T.H.P.A.(the Healing Pr Ankh)","D'rok the Menace",2016-08-01,225905,22,true,,1970-01-01T00:00:00Z,"","Knowledge Monsta",0.586,0.609,9,-12.826,0,0.462,0.217,0,0.205,0.655,82.616,4
spotify:track:5f9n7Jsz8M8St0OMtaIamD,"ZION","HEALED WOLF 2","Basheer;ANPU",2023-09-01,217391,22,true,,1970-01-01T00:00:00Z,"","OMITU Record Label",0.62,0.591,10,-8.409,0,0.271,0.0021,0.0000863,0.111,0.279,150.934,4
spotify:track:14lhVcRFvkbym5wG2NnZ7g,"Blessing From God","Smoke & Mirrors : DMT (Definitive MetaGod Trilogy)","Cambatta",2016-02-29,130449,7,true,,1970-01-01T00:00:00Z,"","Cambatta Music",0.451,0.956,2,-2.319,1,0.151,0.394,0,0.256,0.532,88.512,3
spotify:track:5aFUVtZw6o3iXjk0fj6iRD,"Way Of Life - Explicit Album Version","RBG: revolutionary but gangsta","Dead Prez",2004-03-30,177066,25,true,,1970-01-01T00:00:00Z,"east coast hip hop,old school hip hop,hardcore hip hop,hip hop","Sony Urban Music/Columbia",0.799,0.649,5,-8.334,0,0.464,0.0709,0.000044,0.175,0.636,178.089,4
spotify:track:32tCChrfL5Ew5rGsurpEid,"Gold Leaf","The Sharecropper's Daughter","Sa-Roc",2020-10-02,206866,25,false,,1970-01-01T00:00:00Z,"","Rhymesayers",0.62,0.72,7,-5.15,1,0.363,0.122,0,0.111,0.221,188.369,4
spotify:track:6851oj4J2ih6pwhX6N1Euh,"Fuck the Fame","It's Level to This Shift 5","Young Pharaoh",2020-12-21,205139,12,true,,1970-01-01T00:00:00Z,"","YOUNG PHARAOH",0.64,0.722,1,-6.878,1,0.248,0.857,0,0.608,0.713,91.472,4
spotify:track:4q2lQl7WwSBibdDbN8UcqJ,"Homicide","Persona","Mello Music Group;Nottz;yU",2015-03-10,169705,19,true,,1970-01-01T00:00:00Z,"underground hip hop,jazz rap","Mello Music Group",0.305,0.921,11,-6.896,1,0.417,0.0129,0.00772,0.0654,0.351,169.804,4
spotify:track:7wRZiRpXPJxE9Qv5M1mise,"Bones of Osiris","LSD: Lunar Solar Duality","Cambatta",2020-07-21,215129,19,true,,1970-01-01T00:00:00Z,"","Mello Music Group",0.549,0.803,1,-7.36,1,0.375,0.0682,0,0.0742,0.536,110.07,5
spotify:track:0IsZ4oySp7SJXRINJ9ipUn,"Goat","The Holy Ghost","Black Magik;Cambatta",2017-11-30,213497,9,true,,1970-01-01T00:00:00Z,"","Black Magik & Cambatta",0.539,0.931,10,-7.61,1,0.404,0.308,0,0.273,0.573,80.064,4
spotify:track:58YP21zQtMvswyBxfHUQuN,"Malcolm Garvey Huey F","Revolutionary But Gangsta Grillz","Dead Prez",2010-06-22,279440,21,true,,1970-01-01T00:00:00Z,"east coast hip hop,old school hip hop,hardcore hip hop,hip hop","Grimey Records",0.461,0.803,7,-5.568,1,0.418,0.087,0.00000125,0.941,0.501,76.93,4
spotify:track:4DjQGLsXuunXxi0aw60oWY,"Options","The Sharecropper's Daughter (Deluxe Edition)","Sa-Roc",2021-05-21,227066,21,true,,1970-01-01T00:00:00Z,"","Rhymesayers",0.585,0.737,2,-7.578,1,0.428,0.166,0,0.112,0.313,169.965,4
spotify:track:3p7p6gsBfODVI9NiyE0fUq,"Jungles (Cuts by Dj Djaz)","Front Row","Mil Beats;ETO;DJ Djaz",2019-11-22,234358,12,false,,1970-01-01T00:00:00Z,"underground hip hop,boom bap,hardcore hip hop,east coast hip hop,new jack swing","Effiscienz",0.787,0.526,2,-6.961,1,0.306,0.329,0.0000035,0.592,0.451,87,4
spotify:track:7m77xqHTx4Su78Xa8YATeU,"Camballah (Chokmah)","Camballah, Vol. 1","Cambatta",2018-04-27,335296,13,true,,1970-01-01T00:00:00Z,"","Cambatta Music",0.567,0.706,1,-7.906,1,0.304,0.142,0,0.103,0.572,76.911,4
spotify:track:5w7qq6B79ws6ICqRukuaSp,"Nightmare","Bushido","Mello Music Group;Apollo Brown;Cambatta",2021-04-02,180426,15,true,,1970-01-01T00:00:00Z,"underground hip hop,boom bap,hip hop","Mello Music Group",0.548,0.658,6,-8.975,1,0.338,0.0616,0.0000361,0.131,0.378,80.328,4
spotify:track:4MjMgvTwK33PLVokilI9Dt,"Made4this (Instrumental)","The Last Soundbender 2","Redpill;Cambatta",2018-08-08,174002,0,false,,1970-01-01T00:00:00Z,"","Native Alien",0.451,0.525,10,-8.293,0,0.036,0.000123,0.563,0.235,0.148,171.064,4
spotify:track:4c0PpxJ0ZCm2RJb5W5e1qT,"Walk Like A Warrior (feat. Krayzie Bone) - Explicit Album Version","RBG: revolutionary but gangsta","Dead Prez;Krayzie Bone",2004-03-30,212066,28,true,,1970-01-01T00:00:00Z,"east coast hip hop,old school hip hop,hardcore hip hop,hip hop","Sony Urban Music/Columbia",0.729,0.612,2,-5.866,1,0.126,0.163,0.000105,0.249,0.756,140.049,4
spotify:track:61vIZhsxYI9jW3c3vUUEg5,"r(E)volution","The Sharecropper's Daughter","Sa-Roc",2020-10-02,177080,18,false,,1970-01-01T00:00:00Z,"","Rhymesayers",0.672,0.816,4,-6.868,0,0.293,0.354,0,0.117,0.271,95.274,4
spotify:track:7bgpFRm1WyjyKbjoeEab8q,"33","LSD: Lunar Solar Duality","Cambatta;Kenny Buttons",2020-07-21,300501,13,true,,1970-01-01T00:00:00Z,"","Mello Music Group",0.527,0.845,8,-6.58,1,0.435,0.209,0,0.12,0.342,88.33,4
spotify:track:6W5M5tTHT13TxMP6MNwNYm,"Crows","Guru: From Dark to Light","D'rok the Menace",2017-08-11,225857,19,true,,1970-01-01T00:00:00Z,"","Knowledge Monsta",0.542,0.412,5,-10.956,1,0.215,0.266,0.000101,0.228,0.138,140.233,4
spotify:track:6GBTlVB0QZQ3CAQ9AYzHY0,"New American Savage","Lp 1512","SOTOV",2017-11-05,266604,17,true,,1970-01-01T00:00:00Z,"","S.O.T.O.V. UN. LIMITED",0.75,0.444,9,-11.252,1,0.49,0.474,0,0.142,0.572,129.643,4
spotify:track:6KEWsIl61gyYTlC1tHheC6,"Last Dose","Da Fixtape","Da Cloth",2020-09-18,237939,23,true,,1970-01-01T00:00:00Z,"east coast hip hop,underground hip hop","Da Cloth",0.711,0.699,8,-4.095,1,0.467,0.209,0,0.0631,0.534,150.617,4
spotify:track:0fxZ2i7wGiwZr2eRogXe9r,"I Can Do Magic (Whodini)","Holy Ghost 3","Black Magik;Cambatta",2024-03-09,224183,14,true,,1970-01-01T00:00:00Z,"","Black Magik Music",0.87,0.743,0,-5.534,1,0.236,0.0662,0,0.0955,0.297,130.202,4
spotify:track:3Fvf9X75nspnwb5Q0g0sO9,"BossTalk","Holy Ghost 2","Cambatta;Black Magik",2019-09-13,210207,10,true,,1970-01-01T00:00:00Z,"","Black Magik Music",0.523,0.818,10,-6.859,0,0.443,0.241,0,0.314,0.215,104.512,3
spotify:track:2Niu3kLVGWTVvrojHwOpSZ,"Something Real","The Sharecropper's Daughter","Sa-Roc",2020-10-02,240053,17,true,,1970-01-01T00:00:00Z,"","Rhymesayers",0.6,0.785,6,-5.569,0,0.333,0.0491,0,0.169,0.412,168.187,4
spotify:track:1kSie4PDiVk3YhgH3tekLm,"Breath of Fire(320hz)","T.H.P.A.(the Healing Pr Ankh)","D'rok the Menace",2016-08-01,190000,24,true,,1970-01-01T00:00:00Z,"","Knowledge Monsta",0.572,0.529,0,-12.778,1,0.135,0.0514,0,0.151,0.555,80.369,4
spotify:track:0yBz0QdyfqQ0qVhCRXN7tR,"Tessellator","The Illusion of Being","Yugen Blakrok;Cambatta",2025-05-28,264200,16,false,,1970-01-01T00:00:00Z,"","I.O.T Records",0.659,0.681,11,-8.3,1,0.203,0.355,0.000347,0.0967,0.613,139.952,4
