Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7jpUFbiVovPrat1DfI2FZ8,"Desolate Consort","Memoryspace","Chuck van Zyl",2010-11-13,248000,0,false,,1970-01-01T00:00:00Z,"krautrock,space music","Synkronos Music",0.158,0.0187,2,-32.024,0,0.0444,0.907,0.923,0.175,0.0295,77.507,4
spotify:track:00LoSrI9p85ixmlyUpjcux,"Carried Away","Figuration","E J R M",2026-05-22,164000,12,false,,1970-01-01T00:00:00Z,"ambient,space music,drone","Ambient Soundscapes",0.0733,0.196,4,-26.178,1,0.0474,0.853,0.923,0.071,0.0387,70.147,4
spotify:track:4w17vCUHSTkUZHbGvMZ130,"Through the Thought Horizon","Through the Thought Horizon","David Helpling;Scott Reich",2026-05-22,430640,12,false,,1970-01-01T00:00:00Z,"space music,ambient,new age,drone","Spotted Peccary",0.1,0.0718,1,-22.607,1,0.041,0.529,0.871,0.0928,0.0332,90.121,4
spotify:track:4AdxovvNBWIRbZB5scsfDq,"Starlight","Starlight","Between Heaven and Sky",2026-05-22,235471,28,false,,1970-01-01T00:00:00Z,"space music,ambient","Between Heaven and Sky",0.109,0.217,8,-18.886,1,0.0534,0.966,0.96,0.0864,0.0324,66.493,3
spotify:track:1wr3bs6BFKKFZKcKRceDyF,"Soft Measure","States of Elsewhere","Clone Rainbow",2026-05-22,143296,33,false,,1970-01-01T00:00:00Z,"dark ambient","Valley View Records",0.24,0.236,4,-19.185,1,0.0371,0.528,0.985,0.121,0.0353,80.338,4
spotify:track:3E3Schx4rWiETfpbJCtdqo,"Third Impact Dream","Third Impact Dream","SARAH AYANAMI",2026-05-15,139635,23,false,,1970-01-01T00:00:00Z,"","DVSIE / NINFA",0.172,0.31,1,-24.048,1,0.0565,0.174,0.736,0.0999,0.076,169.172,4
spotify:track:24yKmehdnIlPE12afuJZAm,"Opening the Sky","Laniakea","Martin Nonstatic",2026-05-21,267853,24,false,,1970-01-01T00:00:00Z,"dub techno,space music,ambient,downtempo,idm","ULTIMAE",0.196,0.152,8,-22.603,1,0.0404,0.861,0.921,0.115,0.0369,107.703,3
spotify:track:1mtrWmiNXe5PgDqIrWOh3Y,"First Frost (2015)","Offal 2, Pt. 7","Datassette",2026-05-18,197669,23,false,,1970-01-01T00:00:00Z,"idm,glitch","CBM",0.176,0.496,5,-19.374,1,0.0707,0.85,0.891,0.121,0.29,71.716,4
spotify:track:05MmDKDsVKZFO5eprYbcnh,"Dreaming of Ráchel","Phonopolis (Original Game Soundtrack)","Tomáš Dvořák;Floex",2026-05-20,86560,27,false,,1970-01-01T00:00:00Z,"ambient,nu jazz","Minority Records s.r.o.",0.182,0.291,11,-17.806,0,0.0365,0.976,0.905,0.195,0.0308,65.03,4
spotify:track:3A8Q5DNjipTAWaChmH98MA,"fission","fission","ID10;Genie Cassini",2026-05-22,114724,31,false,,1970-01-01T00:00:00Z,"dark ambient,ambient,synthwave","ambiqo records",0.193,0.261,2,-23.386,0,0.0416,0.95,0.898,0.0567,0.0383,74.429,1
spotify:track:1hThWE36H46vtJX9qzHvHk,"Youth","Youth","IOTO",2026-05-22,196800,35,false,,1970-01-01T00:00:00Z,"space music","Bubble Galaxy",0.44,0.499,2,-15.736,0,0.0334,0.795,0.936,0.13,0.337,133.304,5
spotify:track:4pavthdvEs3jxHKI37W95n,"Almost Dawn","Almost Dawn","Karl Casey",2026-05-21,234723,29,false,,1970-01-01T00:00:00Z,"synthwave","White Bat Records",0.112,0.372,9,-9.454,1,0.0338,0.546,0.943,0.0699,0.0306,93.502,4
spotify:track:3kx0tOmYNSDlTqWJ4qrPRD,"Visible Spectrum","Starfields","Martin Stürtzer",2026-05-08,533983,23,false,,1970-01-01T00:00:00Z,"dub techno,space music,ambient,drone","Echo Elberfeld",0.232,0.0553,0,-25.201,1,0.0365,0.95,0.903,0.108,0.04,166.017,4
spotify:track:6L7jhPFCMNvgIQTvzckBn1,"Yearning","Yearning","Hanna Lindgren",2026-05-18,263500,14,false,,1970-01-01T00:00:00Z,"","Epidemic Electronic",0.403,0.243,4,-21.299,0,0.035,0.886,0.924,0.18,0.237,140.969,4
spotify:track:0gF95QXhAWDyVmBJCohVpf,"Spiral Convergence","Spiral Convergence","Ascendant",2026-05-15,588000,30,false,,1970-01-01T00:00:00Z,"space music,ambient,drone,downtempo","Synphaera",0.359,0.606,1,-14.981,0,0.036,0.461,0.881,0.0866,0.101,164.001,4
spotify:track:6nxJrhXlr2jr5Zc24W5W9t,"Allow, Warning, Remove","Faces of Death (Original Motion Picture Soundtrack)","Gavin Brivik",2026-05-22,138137,26,false,,1970-01-01T00:00:00Z,"","Lakeshore Records",0.247,0.269,2,-27.196,1,0.0475,0.927,0.904,0.128,0.038,100.873,4
spotify:track:3iDZME35DHnR4jiZDxH8km,"Atomic Heart","Agonyxis","NoRinTon",2026-05-19,185642,24,false,,1970-01-01T00:00:00Z,"dark ambient,drone,ambient,space music,ambient jazz","Cryo Chamber",0.311,0.535,3,-16.954,0,0.0416,0.171,0.751,0.105,0.217,79.951,4
spotify:track:7utNN1QSbpfHsEVq8TiTQZ,"Blob #6","Blobs","Greg Foat",2026-05-22,181099,26,false,,1970-01-01T00:00:00Z,"ambient jazz,nu jazz,experimental jazz","Blue Crystal Records",0.444,0.32,0,-13.267,1,0.028,0.91,0.97,0.114,0.0911,138.782,3
spotify:track:3gNixVEWfn6H0FoVVOTcTN,"Event Horizon (2026)","Starfields","Martin Stürtzer",2026-05-08,660703,17,false,,1970-01-01T00:00:00Z,"dub techno,space music,ambient,drone","Echo Elberfeld",0.482,0.284,2,-19.189,1,0.0392,0.837,0.93,0.0977,0.855,159.993,4
