Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2ez18VWqdrTnnAJd80AFy6,"Into The Groove(y)","Screaming Fields Of Sonic Love","Ciccone Youth",1988-01-01,275000,0,false,,1970-01-01T00:00:00Z,"","Universal Music Ltd.",0.649,0.625,0,-15.172,0,0.057,0.199,0.485,0.0917,0.545,116.535,4
spotify:track:4StvkF2euEnHrsNd24j3fF,"Addicted To Love","Whitey Album","Ciccone Youth",1988,225680,0,false,,1970-01-01T00:00:00Z,"","Universal Music Ltd.",0.513,0.781,8,-7.258,1,0.0781,0.484,0,0.121,0.605,116.236,4
spotify:track:5DbbPgBZJNdKVwMlbDReRV,"March Of The Ciccone Robots","Whitey Album","Ciccone Youth",1988,117746,0,false,,1970-01-01T00:00:00Z,"","Universal Music Ltd.",0.649,0.734,9,-11.437,1,0.0453,0.00163,0.886,0.393,0.166,133.21,4
spotify:track:3iqWw4hC35reLSI3Eyq3sW,"Macbeth - Alternative Version","Whitey Album","Ciccone Youth",1988,317200,0,false,,1970-01-01T00:00:00Z,"","Universal Music Ltd.",0.585,0.852,6,-8.656,0,0.166,0.000722,0.816,0.154,0.351,104.268,4
spotify:track:5xZqSK5kl8XWI7tOb24urT,"G-Force","Screaming Fields Of Sonic Love","Ciccone Youth",1988-01-01,219800,0,false,,1970-01-01T00:00:00Z,"","Universal Music Ltd.",0.192,0.504,6,-18.107,0,0.361,0.0112,0.351,0.365,0.261,70.915,4
spotify:track:2H8CR2cMVUtNGTTrChVJ2H,"Macbeth","Whitey Album","Ciccone Youth",1988,327760,0,false,,1970-01-01T00:00:00Z,"","Universal Music Ltd.",0.457,0.954,6,-7.906,0,0.0698,0.00206,0.69,0.113,0.422,104.329,4
spotify:track:5ZoPgqj0FUmoo9AToEpgJa,"Platoon II","Whitey Album","Ciccone Youth",1988,258813,0,false,,1970-01-01T00:00:00Z,"","Universal Music Ltd.",0.459,0.699,0,-15.162,0,0.178,0.0337,0.749,0.069,0.573,141.627,4
spotify:track:0fJCncLVMsB5Wlk5qiX94L,"Burnin' Up - Mike Watt Original Demo","Whitey Album","Ciccone Youth",1988,231986,0,false,,1970-01-01T00:00:00Z,"","Universal Music Ltd.",0.657,0.948,6,-8.557,0,0.0406,0.115,0.00896,0.145,0.912,142.456,4
spotify:track:0Zm6GcqAIBcGHK8wyStE8Q,"Needle-Gun","Whitey Album","Ciccone Youth",1988,147213,0,false,,1970-01-01T00:00:00Z,"","Universal Music Ltd.",0.629,0.956,10,-10.639,1,0.117,0.157,0.918,0.553,0.227,118.335,4
spotify:track:3Ozq5m4elG3RAidNcv9exN,"Children Of Satan / Third Fig","Whitey Album","Ciccone Youth",1988,186493,0,false,,1970-01-01T00:00:00Z,"","Universal Music Ltd.",0.729,0.917,6,-7.023,1,0.0316,0.0887,0.568,0.211,0.94,129.778,4
spotify:track:6ckeNxIZNZAR4CD7mNGkG4,"(Silence)","Whitey Album","Ciccone Youth",1988,63760,0,false,,1970-01-01T00:00:00Z,"","Universal Music Ltd.",0.135,0.0000202,3,-59.225,1,0.0814,0,0,0.0814,0,75.526,4
spotify:track:33Ki7iDOIpDfuBQSHSOqD2,"Two Cool Rock Chicks Listening To Neu","Whitey Album","Ciccone Youth",1988,176040,0,false,,1970-01-01T00:00:00Z,"","Universal Music Ltd.",0.294,0.74,8,-9.293,1,0.208,0.286,0.000594,0.416,0.24,155.549,3
spotify:track:5QoK2Gk5MbLbcU8rUIcQxp,"Making The Nature Scene","Whitey Album","Ciccone Youth",1988,194093,0,false,,1970-01-01T00:00:00Z,"","Universal Music Ltd.",0.662,0.902,4,-9.359,0,0.138,0.00147,0.0996,0.349,0.493,168.388,4
spotify:track:09GJjbglhog3mh4L2u9LgM,"Me & Jill / Hendrix Cosby","Whitey Album","Ciccone Youth",1988,330080,0,false,,1970-01-01T00:00:00Z,"","Universal Music Ltd.",0.707,0.565,10,-12.407,0,0.159,0.0144,0.00379,0.18,0.522,103.341,4
spotify:track:7l1mHjPsMK1E3tX9pcZ8HD,"Tuff Titty Rap","Whitey Album","Ciccone Youth",1988,39173,0,false,,1970-01-01T00:00:00Z,"","Universal Music Ltd.",0.583,0.825,10,-7.463,0,0.214,0.0696,0,0.264,0.578,169.212,4
spotify:track:1jN1E8D7vgycZQriK7en0A,"Moby-Dik","Whitey Album","Ciccone Youth",1988,61160,0,false,,1970-01-01T00:00:00Z,"","Universal Music Ltd.",0.655,0.587,1,-13.233,1,0.354,0.194,0.00116,0.194,0.195,138.233,4
spotify:track:1ek319MzE0ncFNaNV0bgZs,"Hi! Everybody","Whitey Album","Ciccone Youth",1988,57693,0,false,,1970-01-01T00:00:00Z,"","Universal Music Ltd.",0.698,0.974,1,-8.19,1,0.149,0.0869,0.0000244,0.354,0.498,149.235,4
