Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6LfCLXCinviuZ3yCj564R7,"Order of the Golden Dawn","Righteous Fists of Harmony","Daedelus",2010-03-22,257224,28,false,,1970-01-01T00:00:00Z,"idm,plunderphonics","Brainfeeder",0.553,0.619,7,-9.275,1,0.052,0.343,0.0000445,0.104,0.438,140.046,4
spotify:track:7zvQg4QK2D0QUuIjsEUTkO,"Breeze Out","Levitate","Lone",2016-05-27,159362,37,false,,1970-01-01T00:00:00Z,"lo-fi house,rally house,idm,downtempo","R&S Records",0.236,0.297,4,-16.159,1,0.0338,0.749,0.951,0.105,0.0344,110.599,4
spotify:track:7fmvZlQLJ1YSYjaWLy252h,"Camel","L.A. EP 2 X 3","Flying Lotus;Nosaj Thing",2008-11-24,176013,23,false,,1970-01-01T00:00:00Z,"idm,experimental hip hop,nu jazz,glitch","Warp Records",0.596,0.552,11,-12.114,0,0.108,0.0282,0.472,0.0957,0.495,193.935,4
spotify:track:6spD1sbI3wsBdYTFdFVbf3,"Be Good To Me Poly","There Is No Right Time","Youandewan",2016-10-14,306707,51,false,,1970-01-01T00:00:00Z,"lo-fi house","Aus Music",0.54,0.721,6,-8.051,1,0.0336,0.0488,0.971,0.0683,0.636,140.04,4
spotify:track:2iDoKVqyiCdu327FaqJCNH,"Last Walk Around Mirror Lake - Boards of Canada Remix","Corymb","Boom Bip;Boards of Canada",2004-05-31,270746,43,false,,1970-01-01T00:00:00Z,"idm,drone,trip hop,ambient,downtempo,electronic","Lex Records",0.69,0.568,1,-8.342,1,0.0432,0.00871,0.336,0.0987,0.0693,139.996,4
spotify:track:4DW2lrqT1pMgPAFZiWqtO6,"Replica","Replica","Oneohtrix Point Never",2011-11-08,275813,42,false,,1970-01-01T00:00:00Z,"plunderphonics,idm,ambient,drone,experimental,vaporwave","Warp Records",0.212,0.24,3,-13.011,1,0.0355,0.443,0.342,0.0496,0.281,82.29,4
spotify:track:15J6PrzKaLtvw0dBr9sq72,"Slowly","Supermodified","Amon Tobin",2000-05-16,337506,49,false,,1970-01-01T00:00:00Z,"idm,trip hop,nu jazz,downtempo","Ninja Tune",0.575,0.637,1,-8.874,0,0.0348,0.0792,0.911,0.384,0.122,136.025,4
spotify:track:0Ip2pWYQmo8NUxKql20QPk,"Jaded","Reality Testing","Lone",2014-06-16,289082,42,false,,1970-01-01T00:00:00Z,"lo-fi house,rally house,idm,downtempo","R&S Records",0.642,0.286,1,-19.865,1,0.0389,0.738,0.737,0.105,0.0869,94.998,4
spotify:track:7azqsa8rPKc64QgrlnKXHB,"Tiny Tortures","Until The Quiet Comes","Flying Lotus",2012-10-01,183632,30,false,,1970-01-01T00:00:00Z,"idm,experimental hip hop,nu jazz,glitch","Warp Records",0.861,0.445,8,-12.116,0,0.241,0.609,0.848,0.213,0.259,151.071,4
spotify:track:5sVopw7Ge0QlBi7odRRuqA,"Flat Faded","Drown Out","Daedelus",2013-09-17,218453,19,false,,1970-01-01T00:00:00Z,"idm,plunderphonics","Magical Properties",0.575,0.61,1,-14.237,1,0.0634,0.691,0.918,0.1,0.162,99.993,4
