Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6fqVcTrMdDWCMyOWUVX7EL,"Lanquidity - Remastered","Lanquidity (Definitive Edition)","Sun Ra;Sun Ra & His Arkestra",2021-05-14,501826,32,false,,1970-01-01T00:00:00Z,"free jazz,experimental jazz,jazz,avant-garde,hard bop,jazz fusion","Strut",0.437,0.495,0,-12.753,0,0.0408,0.499,0.207,0.19,0.285,73.131,4
spotify:track:5jKsaLvSr3bCNysTceb44J,"India","Supersonic Jazz","Sun Ra",2014-04-03,289686,13,false,,1970-01-01T00:00:00Z,"free jazz,experimental jazz,jazz,avant-garde,hard bop","Enterplanetary Koncepts",0.524,0.459,0,-10.613,1,0.0313,0.661,0.128,0.119,0.43,102.948,4
spotify:track:3bg3nbk8XcA6aBquQGgpvc,"Shadows","Expansions","Lonnie Liston Smith;The Cosmic Echoes",1975-01-01,371226,31,false,,1970-01-01T00:00:00Z,"jazz funk,jazz fusion,acid jazz,soul jazz","Ace Records",0.478,0.551,8,-12.246,1,0.034,0.174,0.52,0.244,0.605,141.204,4
spotify:track:1qqIjiurhqrgacNG9uWCuG,"Greeting To Saud (Brother McCoy Tyner)","Elevation (Live)","Pharoah Sanders",1973-01-01,247240,36,false,,1970-01-01T00:00:00Z,"free jazz,ambient jazz,jazz,experimental jazz,hard bop","Impulse!",0.161,0.361,5,-14,0,0.034,0.873,0.465,0.292,0.201,131.759,4
spotify:track:2gG3ivmsfylVXLyIJvLXyN,"Journey In Satchidananda","Journey in Satchidananda","Alice Coltrane;Pharoah Sanders",1971,396066,51,false,,1970-01-01T00:00:00Z,"free jazz,jazz,experimental jazz,ambient jazz,hard bop","GRP",0.184,0.543,11,-13.583,0,0.0391,0.016,0,0.105,0.211,98.4,3
spotify:track:0aYSenOVMIVYwc8JtZJJcs,"One Dance","Music / Sangam","Don Cherry;Latif Kahn",2009-02-27,284120,19,false,,1970-01-01T00:00:00Z,"free jazz,experimental jazz,avant-garde,jazz","Heavenly Sweetness",0.311,0.375,10,-13.283,1,0.0448,0.888,0.465,0.128,0.0697,152.245,4
spotify:track:30MxQ1iuWu5nYiloScCEDP,"In a Silent Way","Zawinul","Joe Zawinul;Lewis Hahn",1971,285920,31,false,,1970-01-01T00:00:00Z,"jazz fusion,jazz,free jazz,jazz ballads","Rhino Atlantic",0.167,0.234,9,-14.887,1,0.0323,0.401,0.726,0.241,0.0892,70.11,3
spotify:track:2ujBUUVlkuXe4nXRY2HOP7,"Lovely Afternoon","Infinity","KHAN JAMAL",2021-08-20,435184,16,false,,1970-01-01T00:00:00Z,"free jazz,ambient jazz","JAZZ ROOM RECORDS",0.392,0.435,0,-11.976,0,0.0338,0.581,0.0707,0.112,0.127,117.963,4
spotify:track:1WZtLsb49RoxxJKgwym6J5,"That’s How I Feel - Remastered","Lanquidity (Definitive Edition)","Sun Ra;Sun Ra & His Arkestra",2021-05-14,485533,36,false,,1970-01-01T00:00:00Z,"free jazz,experimental jazz,jazz,avant-garde,hard bop,jazz fusion","Strut",0.366,0.586,9,-13.371,0,0.0408,0.685,0.456,0.0644,0.584,93.669,4
spotify:track:5Gssby4egWBROYsuPtrSx7,"Peaceful Ones","Cosmic Funk","Lonnie Liston Smith;The Cosmic Echoes",1974-01-01,301933,32,false,,1970-01-01T00:00:00Z,"jazz funk,jazz fusion,acid jazz,soul jazz","Ace Records",0.42,0.444,9,-12.652,0,0.0336,0.542,0.00159,0.306,0.554,116.716,4
