Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5YnS9oWrGcwf1tgode1F7z,"You Might Think He Loves You for Your Money but I Know What He Really Loves You for It's Your Brand New Leopard Skin Pillbox Hat","Government Plates","Death Grips",2013-11-13,161133,53,true,,1970-01-01T00:00:00Z,"experimental hip hop,experimental","Third Worlds",0.317,0.853,7,-2.751,1,0.186,0.00187,0.000702,0.254,0.487,103.37,4
spotify:track:3gaNyionb8tWoFqHIqnshM,"Spider Hole","Hiding Places","billy woods;Kenny Segal",2019-03-29,220506,39,false,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental,jazz rap","Backwoodz Studioz",0.639,0.501,1,-9.121,1,0.103,0.665,0.0000806,0.105,0.469,104.035,4
spotify:track:3lbvVwVgjNd2dmpAsE9mcC,"Sir Benni Miles","Haram","Armand Hammer;The Alchemist",2021-03-26,179399,41,false,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,jazz rap,boom bap","Backwoodz Studioz",0.418,0.587,5,-11.503,0,0.497,0.615,0.00101,0.402,0.388,130.369,3
spotify:track:0dfSihwlenSHYkQtkLPgnt,"Woman on the Screen","Pink","Boris",2006-05-16,158533,39,false,,1970-01-01T00:00:00Z,"drone metal,noise rock,sludge metal,stoner metal,drone,doom metal,stoner rock,shoegaze,post-rock","Fangsanalsatan",0.264,0.978,3,-1.572,1,0.0689,0.00000133,0.0429,0.283,0.137,96.691,4
spotify:track:0lHuKhoGZRraXK3U6DHlOC,"Been a Long Time Cousin","Hold Your Horse Is","Hella",2002-03-19,230733,37,false,,1970-01-01T00:00:00Z,"math rock,noise rock,mathcore,post-rock","5RC",0.333,0.958,9,-4.207,1,0.128,0.00341,0.0746,0.293,0.0887,141.782,4
spotify:track:5pNYiMbnXm7UkewX2KhmyK,"Eh","Bottomless Pit","Death Grips",2016-05-06,172677,44,true,,1970-01-01T00:00:00Z,"experimental hip hop,experimental","Death Grips",0.718,0.892,4,-6.906,0,0.288,0.161,0.00000207,0.11,0.632,151.904,4
spotify:track:2dp7ivVtJEO1ZQXytIcPQV,"Up","Replica","Oneohtrix Point Never",2011-11-08,236939,29,false,,1970-01-01T00:00:00Z,"plunderphonics,idm,ambient,drone,experimental,vaporwave","Warp Records",0.335,0.993,6,-3.071,1,0.23,0.00826,0.835,0.253,0.0743,110.294,4
spotify:track:24l66pJhf5XGb3GjDmFxpD,"Red Dust","Hiding Places","billy woods;Kenny Segal",2019-03-29,204546,37,false,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental,jazz rap","Backwoodz Studioz",0.605,0.513,8,-10.364,1,0.357,0.519,0,0.112,0.274,62.723,4
spotify:track:33spSpelFc51FItGAkAibr,"Dead Man's Tetris","You're Dead!","Flying Lotus;Captain Murphy;Snoop Dogg",2014-10-06,145602,39,false,,1970-01-01T00:00:00Z,"idm,experimental hip hop,nu jazz,glitch,g-funk,west coast hip hop,gangster rap,old school hip hop,hip hop,rap","Warp Records",0.623,0.801,11,-4.11,0,0.0931,0.0149,0.003,0.593,0.217,119.096,4
spotify:track:3Ope5ByslZ2392FTjaKcgj,"Pink","Pink","Boris",2006-05-16,260066,41,false,,1970-01-01T00:00:00Z,"drone metal,noise rock,sludge metal,stoner metal,drone,doom metal,stoner rock,shoegaze,post-rock","Fangsanalsatan",0.0686,0.98,8,-1.975,1,0.0801,0.00000266,0.0613,0.0891,0.0628,76.115,4
spotify:track:2i9tSyuqG3gy97qV5ptsXh,"Two Heavens","Government Plates","Death Grips",2013-11-13,182003,41,true,,1970-01-01T00:00:00Z,"experimental hip hop,experimental","Third Worlds",0.652,0.85,1,-5.919,1,0.283,0.0353,0.0292,0.118,0.366,108.83,5
spotify:track:7xnc1dtrdO3jfR5ZA1L6WW,"Republic of Rough and Ready","Hold Your Horse Is","Hella",2002-03-19,224200,37,false,,1970-01-01T00:00:00Z,"math rock,noise rock,mathcore,post-rock","5RC",0.344,0.972,7,-4.896,1,0.108,0.00709,0.91,0.0879,0.148,107.976,4
spotify:track:4WyZjSNcHtSOMHffFPh3Ws,"Krystle - URL Cyber Palace Mix","Wlfgrl","Machine Girl",2014-02-17,216000,51,false,,1970-01-01T00:00:00Z,"breakcore,speedcore,jungle,hyperpop","Machine Girl",0.506,0.968,11,-5.598,0,0.15,0.00236,0.87,0.163,0.681,160.033,4
spotify:track:5lxS9Oq5IsJSY7AvqJd19Z,"Bigfakelaugh","Hiding Places","billy woods;Kenny Segal",2019-03-29,228666,32,false,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental,jazz rap","Backwoodz Studioz",0.603,0.697,1,-10.4,1,0.475,0.304,0.00000878,0.117,0.404,103.63,4
spotify:track:0KEJW6Qn4LTjSrR2U4KUhg,"Computer Face//Pure Being","Cosmogramma","Flying Lotus",2010-05-03,152840,34,false,,1970-01-01T00:00:00Z,"idm,experimental hip hop,nu jazz,glitch","Warp",0.511,0.841,11,-4.68,0,0.177,0.000969,0.935,0.201,0.343,154.065,4
spotify:track:3Vtgng4bH7j2HSO8HObci9,"Ring A Bell","Bottomless Pit","Death Grips",2016-05-06,146045,49,true,,1970-01-01T00:00:00Z,"experimental hip hop,experimental","Death Grips",0.641,0.977,6,-4.487,0,0.124,0.0854,0,0.437,0.313,107.038,4
spotify:track:3MF9cjIlg3R9osw3SgRmEb,"Music Is Math","Geogaddi","Boards of Canada",2002-02-19,321453,56,false,,1970-01-01T00:00:00Z,"idm,ambient,trip hop,downtempo,electronic","Warp Records",0.532,0.799,2,-11.028,1,0.0416,0.0682,0.932,0.467,0.115,99.985,4
