Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0lKz06k1SJmOXwxL2HhV2N,"Land, Sea and Sky","Futurist","Keeno",2016-02-26,328003,0,false,jx5au5r1hegyt9l0ge8kal529,2023-02-08T12:40:48Z,"liquid funk,drum and bass","Medschool",0.516,0.656,10,-5.657,1,0.062,0.0167,0.9,0.305,0.0392,175.016,4
spotify:track:5tCVAAxy3tbGux1ivbtjfg,"endcliffe blues","endcliffe blues","Silver Ocean",2021-01-15,165996,28,false,jx5au5r1hegyt9l0ge8kal529,2023-02-08T12:45:31Z,"liquid funk,drum and bass","Silver Ocean",0.468,0.588,5,-11.488,1,0.0501,0.00608,0.871,0.118,0.0317,175.02,4
spotify:track:6l33m7UxaR3pbNtNa8QARI,"Ida","Under Pressure EP","Matt View",2019-11-18,296038,16,false,jx5au5r1hegyt9l0ge8kal529,2023-02-08T12:45:50Z,"liquid funk,drum and bass","Celsius Recordings",0.69,0.947,7,-4.268,1,0.103,0.00662,0.844,0.117,0.503,173.001,4
spotify:track:4VBf5R5BJ59b83Wn5vEMry,"Aurora Boreale","Aurora Boreale","4MX",2021-02-12,353013,17,false,jx5au5r1hegyt9l0ge8kal529,2023-02-08T12:45:50Z,"","|HAZY|",0.46,0.818,9,-9.414,1,0.0541,0.339,0.882,0.0988,0.21,126.805,5
spotify:track:3K85yXfvc8iGLDklDBUAXb,"Pumpkin","Pumpkin","The Vanguard Project",2020-10-16,336651,0,false,jx5au5r1hegyt9l0ge8kal529,2023-02-08T12:45:50Z,"liquid funk,drum and bass,jungle","Soulvent Records",0.602,0.934,10,-2.523,0,0.0599,0.000178,0.895,0.0685,0.733,174.063,4
spotify:track:6y52a1OHsJGNyU5qjIghhe,"Inertia","Inertia","Mirrored Theory",2021-06-16,231680,21,false,jx5au5r1hegyt9l0ge8kal529,2023-02-08T12:45:50Z,"chillstep,liquid funk","Echoprism",0.548,0.955,7,-7.478,0,0.0458,0.00648,0.891,0.107,0.0772,171.99,4
spotify:track:1JsJnmUKULIbbNy7ePgYD3,"The Drift","The Drift","Javano",2020-10-30,291149,27,false,jx5au5r1hegyt9l0ge8kal529,2023-02-08T12:45:50Z,"liquid funk,drum and bass,jungle","Peer Pressure",0.69,0.872,4,-7.271,0,0.0856,0.00276,0.658,0.0489,0.515,173.996,4
spotify:track:7De5FdvuuYflsikYjTpgUJ,"Parallel Worlds","Lucid Voyage EP","Redemptive",2017-08-04,336546,24,false,jx5au5r1hegyt9l0ge8kal529,2023-02-08T12:45:50Z,"liquid funk,drum and bass","Nu Venture Records",0.661,0.84,10,-5.419,0,0.0618,0.348,0.886,0.116,0.227,173.986,4
spotify:track:2kQwIT4PnaxlBFHUidP7xh,"Light Of My Life","Light Of My Life","Smote",2020-08-28,287096,22,false,jx5au5r1hegyt9l0ge8kal529,2023-02-08T12:45:50Z,"liquid funk,drum and bass","Galacy Records",0.499,0.836,11,-4.889,1,0.0441,0.118,0.794,0.0804,0.425,174.028,4
spotify:track:4gXYpZFlWN8ZM0hM4bODuO,"New Liquid","New Liquid","PLTX",2022-05-27,200228,7,false,jx5au5r1hegyt9l0ge8kal529,2023-02-08T12:47:45Z,"liquid funk,drum and bass","PLTX Music",0.525,0.949,10,-5.852,0,0.0594,0.0128,0.932,0.0925,0.453,175.051,4
spotify:track:43OehNta3e3dK9aYzjvntA,"Downcast","Downcast","Alpha Rhythm;Ritual",2022-01-28,398678,9,false,jx5au5r1hegyt9l0ge8kal529,2023-02-08T12:47:45Z,"liquid funk,drum and bass","Fokuz Recordings",0.499,0.828,8,-3.522,1,0.0395,0.000775,0.951,0.158,0.0383,173.978,4
spotify:track:7hFHegJcdgPdn50M1TD6Ln,"Afterlife - BCee Remix","Between the Lines","Camo & Krooked",2012-03-19,268800,0,false,jx5au5r1hegyt9l0ge8kal529,2023-02-08T12:47:45Z,"drum and bass,liquid funk,drumstep,dubstep","Hospital Records",0.448,0.928,2,-4.209,0,0.033,0.00135,0.918,0.051,0.158,174.962,4
spotify:track:6KFxEn6e8DguVnjt3EdD0n,"Basic Instinct","Second Nature","Netsky",2020-10-30,237241,0,false,jx5au5r1hegyt9l0ge8kal529,2023-02-08T12:47:45Z,"drum and bass,liquid funk,chillstep","Hospital Records",0.443,0.649,6,-8.781,1,0.0354,0.00215,0.582,0.0831,0.109,173.959,4
spotify:track:6qCo8fwSTgS9NE9nwWhNxH,"Slow Flow","Carribean Dream EP","Mage",2019-10-07,317300,7,false,jx5au5r1hegyt9l0ge8kal529,2023-02-08T12:47:45Z,"liquid funk,drum and bass,chillstep","Celsius Recordings",0.615,0.793,11,-3.587,1,0.0681,0.000465,0.806,0.109,0.131,174.023,4
spotify:track:0KV8dFWLk7d1TEv3QelaLv,"Until She Turns Her Back","Yeah Alright","Askel;Elere",2019-08-09,291294,0,false,jx5au5r1hegyt9l0ge8kal529,2023-02-08T12:47:45Z,"liquid funk,drum and bass","Soulvent Records",0.622,0.725,11,-3.244,1,0.0452,0.0405,0.611,0.0973,0.332,172.048,4
spotify:track:2GZcZd2TvZezkoRIJEP3Q3,"Vona","Cloudless EP","Urbandawn",2015-12-04,365328,0,false,jx5au5r1hegyt9l0ge8kal529,2023-02-08T12:47:45Z,"drum and bass,liquid funk","Hospital Records",0.473,0.947,7,-4.597,1,0.0503,0.00886,0.681,0.109,0.0768,172.991,4
spotify:track:1fuq9YgIK2ZSrRNYrc5dt7,"Forever","Forever","Annix",2016-02-29,320000,0,false,jx5au5r1hegyt9l0ge8kal529,2023-02-08T12:47:45Z,"drum and bass,liquid funk,bassline","Playaz Recordings",0.541,0.866,2,-2.89,1,0.0728,0.00579,0.735,0.0668,0.103,172.003,4
spotify:track:6kRRKDJQz7caxevEmIzuSO,"Summertime - Nelver Remix","Summertime (Nelver Remix)","Smote;Nelver",2019-09-27,363786,20,false,jx5au5r1hegyt9l0ge8kal529,2023-02-08T12:47:45Z,"liquid funk,drum and bass","Liquicity Records",0.559,0.966,2,-4.761,1,0.0528,0.0958,0.889,0.299,0.193,174.001,4
spotify:track:7DvRJrKbpGL0nN35Kpxacm,"Winter's Tale","Winter's Tale","Mage",2019-04-01,314493,4,false,jx5au5r1hegyt9l0ge8kal529,2023-02-08T12:47:45Z,"liquid funk,drum and bass,chillstep","Kill Inc Drum & Bass",0.697,0.952,8,-3.424,1,0.11,0.0195,0.891,0.0519,0.0548,174.003,4
spotify:track:6f4ys4e8vWJ2jDBlpqSNa6,"500 Days of Summer","2 Deluxe","Netsky",2012-11-19,247008,0,false,jx5au5r1hegyt9l0ge8kal529,2023-02-08T12:47:45Z,"drum and bass,liquid funk,chillstep","Hospital Records",0.558,0.764,2,-3.777,0,0.035,0.0106,0.904,0.111,0.186,173.002,4
spotify:track:73FDDTil6h0zfLLvl7qBOx,"Progression","Progression","Flite",2017-12-01,360176,0,false,jx5au5r1hegyt9l0ge8kal529,2023-02-08T12:47:45Z,"liquid funk,drum and bass","UKF",0.594,0.948,11,-2.229,0,0.0623,0.146,0.781,0.0757,0.306,174.066,4
spotify:track:7HRCfTQZk6DZgwo1YihjCk,"Away From It All","Lost In The Right Direction","Etherwood",2019-06-14,297832,1,false,jx5au5r1hegyt9l0ge8kal529,2023-02-08T12:47:45Z,"liquid funk,drum and bass,chillstep","Medschool",0.463,0.909,8,-3.531,0,0.0412,0.00681,0.903,0.09,0.0694,173.974,4
spotify:track:2RcWfEKaoRO5HWfnQND8qO,"In The Woods","In The Woods","Changing Faces",2017-01-06,224579,0,false,jx5au5r1hegyt9l0ge8kal529,2023-02-08T12:47:45Z,"liquid funk,drum and bass","Pilot Records",0.502,0.72,10,-4.014,1,0.0467,0.000456,0.589,0.163,0.0733,174.005,4
