Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2wi8T9sCamDnvyXFVh82SJ,"Yeah","Liff Up","Breakage",2019-05-17,253626,18,false,b342rzbhkfwknit0jy3e1nq0h,2021-05-19T00:14:41Z,"jungle,drum and bass,dubstep,grime,breakbeat,liquid funk","Index",0.542,0.956,10,-4.962,0,0.092,0.000132,0.797,0.358,0.106,170.124,4
spotify:track:7BW9ZUE4u75ezl1CUImyFJ,"Coercion","Coercion","Quartz",2021-02-19,325554,20,false,b342rzbhkfwknit0jy3e1nq0h,2021-05-18T23:04:04Z,"drum and bass,jungle,drumstep,breakbeat","Metalheadz",0.479,0.961,1,-3.707,1,0.0568,0.000608,0.884,0.0901,0.24,174.017,4
spotify:track:4sbpghzQFvfxqJOpc9twky,"Bison","Ideal Form EP","Kid Drama",2019-12-13,411004,12,false,b342rzbhkfwknit0jy3e1nq0h,2021-05-18T23:15:24Z,"drum and bass,jungle,drumstep,liquid funk","CNVX",0.655,0.897,5,-3.857,1,0.103,0.00297,0.899,0.248,0.0746,172.021,4
spotify:track:1kHoRXUy0G98PTGQwGSkqL,"Succubus","RNO026","Gremlinz;Jesta",2020-09-04,396279,0,false,b342rzbhkfwknit0jy3e1nq0h,2021-05-18T22:48:47Z,"jungle,drum and bass,drumstep,breakbeat","Ronin Ordinance",0.555,0.941,7,-9.294,1,0.0879,0.00133,0.899,0.411,0.41,165.033,4
spotify:track:630hVLiTuHCrLtIKIglPaQ,"Destruction - original","Destruction EP","Friske",2017-12-01,344152,5,false,b342rzbhkfwknit0jy3e1nq0h,2021-05-18T23:02:22Z,"jungle,drum and bass,liquid funk,breakbeat","Dust Audio",0.669,0.914,8,-4.187,0,0.0754,0.000287,0.805,0.449,0.637,172.004,4
spotify:track:6qmcvAzF7x0hcSRaQo7gXi,"2 Clicks","Speed Shades","Amoss",2019-05-24,270343,0,false,b342rzbhkfwknit0jy3e1nq0h,2021-05-18T23:17:27Z,"drum and bass,liquid funk,jungle","Flexout Audio",0.634,0.774,11,-3.967,1,0.0624,0.017,0.774,0.158,0.143,174.027,4
spotify:track:1ZKxBPBiXpV1CrglOQXksb,"Your Loss - Halogenix Remix","Your Loss (Halogenix Remix)","Workforce;Halogenix",2020-11-18,260517,21,false,b342rzbhkfwknit0jy3e1nq0h,2021-05-18T23:22:17Z,"liquid funk,drum and bass,jungle,drumstep","Must Make Music",0.47,0.896,1,-5.476,1,0.0483,0.00103,0.808,0.148,0.117,114.013,3
spotify:track:1lQHStaexn7CjC08UzFmdm,"Angry Woman (2021) - Re-master","Fear Of People (Re-master 2021)","Klute",2021-03-08,321791,6,false,b342rzbhkfwknit0jy3e1nq0h,2021-05-18T23:56:24Z,"drum and bass,jungle,liquid funk,breakbeat","Commercial Suicide",0.338,0.828,11,-5.19,1,0.0581,0.00184,0.912,0.302,0.577,173.028,4
spotify:track:0O8dh4kxrWfVYUJxTzD1ak,"Zodiac","Never Say Never / Zodiac","Break",2021-04-30,338862,8,false,b342rzbhkfwknit0jy3e1nq0h,2021-05-19T00:04:01Z,"drum and bass,jungle,liquid funk","Symmetry Recordings",0.7,0.994,11,-2.625,1,0.066,0.000068,0.892,0.249,0.764,174.013,4
spotify:track:7o6QayyI8N2t6Hxs8VJ48i,"Persevere","Untitled Killa / Persevere","Friske",2020-10-09,316744,6,false,b342rzbhkfwknit0jy3e1nq0h,2021-05-21T14:31:02Z,"jungle,drum and bass,liquid funk,breakbeat","Metalheadz",0.529,0.976,4,-2.891,0,0.0666,0.00052,0.922,0.184,0.355,172.01,4
spotify:track:3YYlZ3E1DIuf175MCNMuG8,"Break It","Metalwork","Mikal",2020-10-23,297790,6,false,b342rzbhkfwknit0jy3e1nq0h,2021-05-21T14:30:35Z,"drum and bass,jungle,liquid funk,musique concrète,drumstep","Metalheadz",0.465,0.936,10,-6.425,0,0.116,0.000627,0.923,0.0773,0.281,116.222,5
