Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:76I3PmbGZazzNlEwlp1y85,"Lone Wolf","Lone Wolf","Zomboy",2018-11-16,256500,52,false,knivgaffel,2023-04-14T12:50:06Z,"dubstep,riddim,dub,deathstep,drumstep,bass music,edm","Never Say Die Records",0.502,0.981,1,-1.573,1,0.0616,0.00177,0.4,0.154,0.208,150.013,4
spotify:track:65ES1qwOB577ZnTkizMXJJ,"HUMBLE. - SKRILLEX REMIX","HUMBLE. (SKRILLEX REMIX)","Skrillex;Kendrick Lamar",2017-09-29,156800,68,true,knivgaffel,2023-04-14T12:50:06Z,"dubstep,edm,electro,electronic,hip hop,west coast hip hop","Aftermath",0.901,0.934,11,-2.345,1,0.273,0.00794,0.0000768,0.194,0.868,150.037,4
spotify:track:29Dvkvp7Wgd1VJdDvVJlvf,"Crusade","Crusade","Marshmello;SVDDEN DEATH",2020-02-25,171428,52,true,knivgaffel,2023-04-14T12:50:06Z,"edm,riddim,dubstep,deathstep,bass music,dub","Joytime Collective",0.618,0.98,9,-0.842,0,0.0777,0.0266,0.516,0.328,0.488,140.003,4
spotify:track:26B7DrPzc6uCmYOqYkQTXl,"Undercover","Reflective (Part 4)","Bassnectar",2019-04-05,148636,0,false,knivgaffel,2023-04-14T12:50:06Z,"dubstep,bass music,dub","Amorphous Music",0.68,0.967,1,-2.38,1,0.084,0.00263,0.102,0.444,0.42,87.993,4
spotify:track:7BXxWRoGwvz5LK2n59yCyd,"Born To Survive","Born To Survive","Zomboy;rx Soul",2019-02-22,238500,46,true,knivgaffel,2023-04-14T12:50:06Z,"dubstep,riddim,dub,deathstep,drumstep,bass music,edm,pop soul","Never Say Die Records",0.486,0.942,1,-1.644,1,0.204,0.0016,0.0052,0.256,0.284,75.376,4
spotify:track:7ikxeH5UEtVb5okhmgk60g,"Get High","Dimension EP","Oliverse",2018-10-03,238400,49,false,knivgaffel,2023-04-14T12:50:06Z,"dubstep,riddim,drum and bass,bass music,melodic bass","Disciple",0.502,0.979,5,-1.476,0,0.148,0.00113,0.0202,0.277,0.398,75,4
spotify:track:0xCdQ9jYFDENkE2ck73CAc,"Save Yourself - NGHTMRE VIP REMIX","Save Yourself (NGHTMRE VIP REMIX)","The Chainsmokers;NGHTMRE",2018-12-07,141373,43,false,knivgaffel,2023-04-14T12:50:06Z,"dubstep,edm,edm trap,future bass","Disruptor Records/Columbia",0.458,0.928,4,-3.776,0,0.0602,0.000982,0.0257,0.14,0.0637,146.043,4
spotify:track:1uugLBNBYtXix8ISS4utV7,"Rumble","Rumble","Excision;Space Laces",2018-03-22,287931,0,false,knivgaffel,2023-04-14T12:50:06Z,"dubstep,riddim,deathstep,edm,dub,melodic bass,bass music,bass house","Never Say Die Records",0.313,0.896,6,-2.649,0,0.0665,0.000212,0.816,0.0773,0.0332,112.557,3
spotify:track:2qBfIoBC5QJj6CvMwct8OG,"Final Boss - Modestep Remix","Final Boss (Modestep Remix)","Naeleck;Hige Driver;Modestep",2022,194896,0,false,knivgaffel,2023-04-14T12:50:06Z,"electro house,dubstep,riddim,dub,drum and bass,deathstep,drumstep","Dancing Dead",0.561,0.837,11,-0.185,1,0.123,0.0394,0,0.0966,0.447,144.968,4
spotify:track:7Giip1UJawrbpp4HqzFBFY,"Down With Your Love","Down With Your Love","RIOT",2020-10-14,299317,45,false,knivgaffel,2023-04-14T12:50:06Z,"dubstep,deathstep,riddim","Gud Vibrations",0.529,0.995,7,-0.503,1,0.0931,0.00428,0.179,0.41,0.268,149.987,4
spotify:track:7e9hK7EA6ErF1FfARROJQE,"Bussin Bussin (feat. JV Rhymes)","Bussin Bussin (feat. JV Rhymes)","Riot Ten;SubDocta;JV Rhymes",2022-03-04,213517,0,true,knivgaffel,2023-04-14T12:50:06Z,"dubstep,riddim,deathstep,edm,bass music","Dim Mak Records",0.679,0.925,9,-5.689,1,0.0593,0.000477,0.776,0.0747,0.347,145.098,4
spotify:track:6AoG52kxfptY0QBQnjuQOe,"Hollow","Hollow","Dabin;Kai Wachi;Lø Spirit",2023-01-20,240000,53,false,knivgaffel,2023-04-14T12:50:06Z,"melodic bass,future bass,edm,chillstep,dubstep,deathstep,riddim,bass music","Kannibalen Records",0.443,0.906,2,-3.347,0,0.0775,0.000368,0.00000289,0.374,0.43,145.023,4
spotify:track:25RnP578w22uk6w9EYHVft,"Cult","Cult","Heavygrinder;KATFYR;Ögenix",2023,211200,0,false,knivgaffel,2023-04-14T12:50:06Z,"electro house,dubstep","Dancing Dead",0.566,0.99,5,-1.572,0,0.21,0.0000209,0.301,0.0916,0.204,150.039,4
spotify:track:0R7oVqSpLnOBMjdjNFxtHG,"It's All Over","It's All Over","ShockOne",2020-04-27,231327,38,false,knivgaffel,2023-04-14T12:50:06Z,"drum and bass,liquid funk,drumstep,dubstep","Monstercat",0.51,0.97,1,-4.19,1,0.077,0.0000911,0.904,0.417,0.173,150.011,4
spotify:track:1KDP8rGuIPRxGoqmSsdXd3,"EVERYTHING2ME","Enter Achroma","Dion Timmer",2020-03-27,185450,37,true,knivgaffel,2023-04-14T12:50:06Z,"dubstep,riddim,deathstep,edm,bass music","Deadbeats",0.623,0.983,7,-0.674,0,0.368,0.0358,0.0199,0.451,0.344,150.015,4
spotify:track:78mlFc2LLiO7aeHnn1uCTR,"Raise The Black Flag","Raise The Black Flag","Teminite",2021-09-24,280129,0,false,knivgaffel,2023-04-14T12:50:06Z,"dubstep,deathstep,drumstep","Teminite Music",0.414,0.958,8,-2.923,1,0.29,0.0000719,0.275,0.226,0.335,145.017,4
spotify:track:3eHkx2NPNEmqgRZt0VAN9s,"BROKEN","BROKEN","Nivlem",2023-04-07,184675,36,false,knivgaffel,2023-04-14T12:50:06Z,"dubstep","Electronyze Me",0.524,0.841,4,-6.605,0,0.0886,0.00768,0.231,0.0969,0.0826,150.031,4
spotify:track:3E8WZzcp6nscGt9YvBX9MW,"Eyes Cut Deeper (feat. Inéz)","Eyes Cut Deeper (feat. Inéz)","Subtronics;Inéz",2026-04-17,192000,68,false,knivgaffel,2026-05-13T00:15:53Z,"dubstep,riddim,edm,deathstep,bass music,dub","Cyclops Recordings",0.355,0.927,8,-0.268,0,0.475,0.118,0.0000128,0.131,0.211,153.583,4
spotify:track:23RgrKjFnKrCBMcVQ203G7,"Out of My Mind","Out of My Mind","Siik;Sickrate",2022-05-20,148945,40,false,knivgaffel,2023-04-14T12:50:06Z,"future house,bass house","Discover Records",0.702,0.53,11,-6.767,0,0.0373,0.204,0.0416,0.0946,0.418,127.966,4
spotify:track:1GJKgHn5KAAiyWvH7H0sRM,"Breakdown","Breakdown","Kayzo;SweetYetNuclear;Zero 9:36",2020-09-11,249333,41,true,knivgaffel,2023-04-14T12:50:06Z,"dubstep,deathstep,riddim,edm","Welcome Records",0.447,0.988,2,-0.846,1,0.446,0.0164,0.000833,0.0727,0.113,179.968,4
spotify:track:0JkefbVPYQZmNxVV57gFYB,"BRUH?!","BRUH?!","Herobust",2019-06-21,224800,0,false,knivgaffel,2023-04-14T12:50:06Z,"dubstep,riddim,bass house,deathstep,edm trap,bass music","Busted Records",0.767,0.966,1,-0.577,0,0.246,0.0159,0.0601,0.377,0.349,150.049,4
spotify:track:6KOQRURXvsXyUMd5JNsveq,"Baddest Man","Baddest Man","Bainbridge",2026-05-01,201739,34,true,knivgaffel,2026-05-05T16:07:38Z,"riddim,dubstep,deathstep,bass music","Artist Influence",0.622,0.927,0,-1.279,1,0.157,0.0804,0.667,0.328,0.176,137.946,4
spotify:track:7gCuKTyBb5nurNalzs0Hvp,"Supersonic (My Existence) [with Noisia, josh pan & Dylan Brady]","Supersonic (My Existence) [with Noisia, josh pan & Dylan Brady]","Skrillex;Noisia;josh pan;Dylan Brady",2021-06-10,167253,59,false,knivgaffel,2023-04-14T12:50:06Z,"dubstep,edm,electro,electronic,drum and bass,drumstep,breakbeat,bass music,jungle,hyperpop","OWSLA/Atlantic",0.487,0.669,9,-6.473,1,0.232,0.0145,0.00349,0.102,0.0573,172.026,3
spotify:track:0OX690XFPv7DFeILVeDid5,"Feel It All","Feel It All","Kompany",2020-08-07,294484,41,false,knivgaffel,2023-04-14T12:50:06Z,"dubstep,riddim,deathstep,bass music,edm,dub","Never Say Die Records",0.465,0.873,9,-1.601,1,0.0785,0.0857,0,0.0585,0.347,149.534,4
spotify:track:3zE1xP8M8xP0aq4BeLdyrI,"Dark is All I See","Dark is All I See","Naeleck;Oddity;Wasiu",2021-10-29,258461,0,false,knivgaffel,2023-04-14T12:50:06Z,"electro house","Dancing Dead",0.645,0.872,2,-3.19,0,0.0658,0.0159,0.000415,0.105,0.19,130.094,4
spotify:track:6FdNL6xOG8gdWwtOm1fPtZ,"DANGER","DANGER","Asper",2026-05-08,180000,43,false,knivgaffel,2026-05-13T00:16:17Z,"edm trap","Disciple",0.451,0.98,2,-0.852,1,0.0859,0.00259,0.0628,0.24,0.292,139.805,4
spotify:track:6xQvk72ICPkgiPsxnzRO15,"Take Your Time","Take Your Time","Conor Ross",2020-12-18,198060,0,false,knivgaffel,2023-04-14T12:50:06Z,"future house","Discover Records",0.723,0.778,1,-6.236,1,0.0305,0.000179,0.76,0.1,0.198,126.03,4
spotify:track:541WO30OtIcWtEeOZHSa5m,"Lost My Mind - NGHTMRE Remix","Lost My Mind (NGHTMRE Remix)","Dillon Francis;Alison Wonderland;NGHTMRE",2019-07-31,217600,0,false,knivgaffel,2023-04-14T12:50:06Z,"moombahton,edm,edm trap,future bass,dubstep","IDGAFOS",0.554,0.848,0,-2.632,0,0.0469,0.00798,0.00992,0.109,0.138,150.012,4
spotify:track:3FBwxitVZMIu6cOJHujOwR,"Die A God","Die A God","Black Tiger Sex Machine;Wasiu",2023-02-10,218142,42,false,knivgaffel,2023-04-14T12:50:06Z,"dubstep,riddim,deathstep,edm","Kannibalen Records",0.584,0.948,2,-2.247,1,0.0769,0.013,0.00133,0.126,0.398,140.103,4
spotify:track:0d1u39cwuaYtS4yqX8twhh,"MOVE","MOVE","ALiV",2026-05-07,140571,26,false,knivgaffel,2026-05-13T00:16:27Z,"breakbeat","LiViN records",0.493,0.955,2,-3.409,0,0.23,0.312,0.0265,0.092,0.435,139.875,4
spotify:track:4w2TAYFTaDvAMIMuRHyvDq,"Beef","Flashback EP","Effin",2020-06-05,198400,36,false,knivgaffel,2023-04-14T12:50:06Z,"dubstep,riddim,bass music,deathstep","Never Say Die Records",0.681,0.973,11,-1.184,0,0.353,0.00597,0.126,0.0917,0.321,150.017,4
spotify:track:6357E8sF3frl2cadgany9z,"Worldwide Suicide - Phaseone Remix","Worldwide Suicide (PhaseOne Remix)","In Hearts Wake;PhaseOne",2020-04-17,236635,0,true,knivgaffel,2023-04-14T12:50:06Z,"metalcore,djent,post-hardcore,deathcore,dubstep,deathstep,riddim,bass music","UNFD",0.442,0.968,1,-2.429,1,0.289,0.00223,0.0449,0.135,0.141,145.023,4
