Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6qsZP3u6wkeRDFd4GiLLOg,"Tobiume","Sakura","Susumu Yokota",2000-09-11,278693,53,false,,2022-04-13T13:57:28Z,"ambient,idm,drone","Lo Recordings",0.245,0.257,6,-17.027,1,0.0407,0.994,0.867,0.0643,0.0379,104,4
spotify:track:1sc11Z7HhrSqxFE0YTfH7Z,"Cloudwalker Ii","Microgravity","Biosphere",1991-01-01,326751,23,false,,2022-04-13T13:57:28Z,"ambient,drone,idm,space music,dark ambient,electroacoustic","Biophon Records",0.142,0.261,5,-17.977,1,0.0357,0.859,0.711,0.105,0.0688,81.226,5
spotify:track:6tjzp1mCVaTeK5ZFAye3Ou,"Pop 4","Pop","GAS",2000,591093,44,false,,2022-04-13T13:57:28Z,"ambient,drone,dub techno,idm,minimal techno,dark ambient","Kompakt",0.479,0.744,8,-15.271,1,0.0352,0.499,0.845,0.155,0.714,119.463,4
spotify:track:7uXRhVsCHwKVV8gYeA5CXS,"Foil","Amber","Autechre",1994-11-07,364733,41,false,,2022-04-13T13:57:28Z,"idm,glitch,ambient,electronic,experimental,electroacoustic","Warp Records",0.501,0.365,9,-15.811,0,0.105,0.684,0.944,0.129,0.157,124.068,4
spotify:track:5MbpTudGJuCtQHdgY7OBqJ,"Spangle","St / Fr / Sp","Seefeel",2021-05-14,441000,24,false,,2022-04-13T23:36:29Z,"idm,shoegaze,post-rock,ambient,drone","Warp Records",0.299,0.481,6,-12.143,0,0.0346,0.976,0.847,0.104,0.079,127.908,4
spotify:track:0X2hccY9m1D9ICGZLkvpBP,"In A Beautiful Place Out In The Country","In A Beautiful Place Out In The Country","Boards of Canada",2000-11-27,367480,49,false,,2022-04-13T13:57:28Z,"idm,ambient,trip hop,downtempo,electronic","Warp Records",0.644,0.253,7,-14.707,0,0.0385,0.438,0.873,0.0866,0.0429,98.54,4
spotify:track:0R6sHxjN04nAgEW0jgqLbU,"Moiré - Piano & Organ","Loop-Finding-Jazz-Records","Jan Jelinek",2001-01-01,414440,36,false,,2022-04-13T13:57:28Z,"dub techno,idm,glitch,ambient,drone,electroacoustic,experimental,minimal techno,musique concrète","Faitiche",0.463,0.222,5,-18.379,1,0.21,0.692,0.876,0.0975,0.194,175.732,4
spotify:track:16fZFSlV2VIDcY77mVtUMI,"Do While ⌘X","94diskont.","Oval",1996-12-02,290893,30,false,,2022-04-13T13:57:28Z,"idm,glitch,ambient,electroacoustic,drone,musique concrète,experimental,neoclassical,minimalism,dub techno","Thrill Jockey",0.308,0.251,2,-21.984,0,0.0599,0.947,0.924,0.0707,0.39,77.476,4
spotify:track:27W7GHUgfezHQ8krRZUfeX,"Dead Skin Cells","Lifeforms","The Future Sound Of London",1994-01-01,410528,37,false,,2022-04-13T13:57:28Z,"idm,big beat,ambient,acid house,breakbeat,trip hop","Virgin Records",0.308,0.468,0,-17.676,0,0.0573,0.836,0.688,0.161,0.114,118.379,3
spotify:track:0Ocwe8H3qPwzI7SplDcYrK,"Poppy Seed (Boards of Canada Remix)","So Soon","Slag Boom Van Loon",2001-06-04,415813,35,false,,2022-04-13T23:57:14Z,"idm","Planet Mu",0.545,0.415,5,-16.586,0,0.0324,0.81,0.892,0.108,0.144,105.996,4
