Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5oauB3YpMGFSwp3eFIFb6N,"Dark Fate","Terminator: Dark Fate (Music from the Motion Picture)","Junkie XL",2019-11-01,259546,32,false,64u4e21cq5zjwajdj4dk0idig,2021-11-02T05:26:21Z,"big beat,score,soundtrack","Paramount Music",0.5,0.658,10,-10.234,0,0.0322,0.138,0.915,0.298,0.191,88.471,3
spotify:track:5xKVYMxOHB2XRLCUafFrz6,"Dream Is Collapsing","Inception (Music from the Motion Picture)","Hans Zimmer",2010-07-09,143804,61,false,64u4e21cq5zjwajdj4dk0idig,2021-11-02T23:34:31Z,"soundtrack,score","WaterTower Music",0.518,0.433,8,-12.194,1,0.0313,0.0711,0.79,0.42,0.0892,126.017,3
spotify:track:0JK8uhwZQtdctdCH2eiKaq,"Cuba Chase","No Time To Die (Original Motion Picture Soundtrack)","Hans Zimmer",2021-10-01,340520,36,false,64u4e21cq5zjwajdj4dk0idig,2021-11-02T05:43:58Z,"soundtrack,score","Decca (UMO) (Classics)",0.307,0.713,1,-11.607,1,0.0899,0.0937,0.781,0.185,0.117,135.675,4
spotify:track:0L26ODuRY7pvvMJJ1Jt4JA,"The Vault Heist","Fast Five (Original Motion Picture Score)","Brian Tyler",2011-05-26,592893,22,false,64u4e21cq5zjwajdj4dk0idig,2022-05-31T08:05:17Z,"soundtrack,score","Back Lot Music",0.32,0.725,1,-9.257,1,0.126,0.243,0.81,0.0735,0.115,99.489,4
spotify:track:3NMmCm33qCeGiHD2XTzNPp,"The Fire Rises","The Dark Knight Rises (Original Motion Picture Soundtrack) [Deluxe Edition]","Hans Zimmer",2012-07-17,333160,42,false,64u4e21cq5zjwajdj4dk0idig,2021-11-02T05:36:18Z,"soundtrack,score","WaterTower Music",0.448,0.367,9,-17.091,0,0.0408,0.764,0.901,0.137,0.127,144.053,4
spotify:track:3Pyb7rYWBsRL24vmdlzlxk,"Assassin's Creed III Main Theme","Assassin's Creed 3 (Original Game Soundtrack)","Lorne Balfe;Assassin's Creed",2012-10-30,186613,52,false,64u4e21cq5zjwajdj4dk0idig,2021-11-02T05:36:56Z,"soundtrack,score,sea shanties","Ubisoft Music",0.413,0.881,2,-10.675,0,0.118,0.0305,0.809,0.0789,0.0927,135.017,4
spotify:track:6FQ4mVaP8RlwH9RQ0mpIVr,"And the Warrior Whispers Back","Mission: Impossible - Fallout (Music from the Motion Picture)","Lorne Balfe",2018-07-13,236640,29,false,64u4e21cq5zjwajdj4dk0idig,2021-11-02T05:40:38Z,"soundtrack,score","Paramount Music",0.282,0.646,8,-14.551,1,0.0736,0.248,0.916,0.0927,0.0341,100.981,4
spotify:track:6cXcW9QZQbO3Unq9aak9Xo,"Call Of Duty: MW3","Call of Duty: Modern Warfare 3 (Original Game Soundtrack)","Brian Tyler",2011-11-08,130906,45,false,64u4e21cq5zjwajdj4dk0idig,2021-11-02T05:50:11Z,"soundtrack,score","Activision",0.439,0.393,10,-13.024,1,0.03,0.142,0.796,0.104,0.258,98.021,4
spotify:track:6qJJ6pBqHgFjE0YpbjaJ2n,"Backfire - From “Spectre” Soundtrack","Spectre (Original Motion Picture Soundtrack)","Thomas Newman",2015-10-23,294213,30,false,64u4e21cq5zjwajdj4dk0idig,2021-11-02T05:53:54Z,"soundtrack,score","Decca (UMO) (Classics)",0.185,0.476,0,-15.259,0,0.0473,0.0372,0.914,0.115,0.061,145.524,4
spotify:track:0umlh8c6f97cLxW6KxSHlV,"Imagine The Fire","The Dark Knight Rises (Original Motion Picture Soundtrack) [Deluxe Edition]","Hans Zimmer",2012-07-17,445180,47,false,64u4e21cq5zjwajdj4dk0idig,2021-11-02T05:36:30Z,"soundtrack,score","WaterTower Music",0.558,0.682,9,-12.108,0,0.0316,0.16,0.788,0.117,0.15,102.992,4
