Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1doslV7wE8dSXuwxELvlcv,"Angelic Symphony Dub","Dubz From De Higher Regionz","Iration Steppas",2004-03-02,278400,23,false,,1970-01-01T00:00:00Z,"dub","Dubquake Records",0.411,0.632,9,-10.446,0,0.0594,0.0000527,0.496,0.339,0.175,131.955,4
spotify:track:2wAmh0t6OD8GZPVqmbmnBQ,"Jah Golden Pen Dub","Dolomites Rockers present Loubna","Paolo Baldini DubFiles;Imperial Sound Army;Loubna",2021-09-17,217500,26,false,,1970-01-01T00:00:00Z,"dub,reggae,ragga,roots reggae,raï","La Tempesta Dub",0.666,0.671,1,-9.593,1,0.0349,0.000166,0.855,0.403,0.22,122.984,4
spotify:track:4UIpEob6KzKVDOrnwtYr8m,"Oneness Vibration","Indica Dubs Showcase Chapter 3","Indica Dubs;Chazbo;Culture Freeman",2020-08-08,231209,27,false,,1970-01-01T00:00:00Z,"dub,roots reggae","Indica Dubs",0.719,0.89,7,-5.434,1,0.0331,0.0000101,0.871,0.17,0.921,140.983,4
spotify:track:0S0hKxaaAPhmN5R7KuvJW2,"Righteous Path","Righteous Path","Bukkha;Don Fe",2018-12-18,231000,25,false,,1970-01-01T00:00:00Z,"dub,dubstep,dub techno","4Weed Records",0.703,0.789,5,-7.515,0,0.0499,0.0213,0.961,0.127,0.524,154.972,4
spotify:track:1wRKtW8gkWn9QzHYOuZS1q,"Dub Like a Lion","Roar Riddim","Dubcreator",2016-01-06,222962,28,false,,1970-01-01T00:00:00Z,"dub,roots reggae","6383574 Records DK",0.782,0.521,0,-13.672,0,0.105,0.0234,0.703,0.316,0.503,142.983,4
spotify:track:57MmEoIij3XjdRsJLOQifR,"Kshatradharma","Kshatradharma","J.Robinson (WhoDemSound)",2018-05-28,233142,27,false,,1970-01-01T00:00:00Z,"dub","WhoDemSound",0.643,0.503,4,-8.538,0,0.027,0.0106,0.836,0.322,0.1,140.074,4
spotify:track:3N8jF5yrtNedCunrSl3Oud,"Tightrope Version","Dub Plate Style 1990-1999","Manasseh;Orville Smith",2004-07-04,154586,24,false,,1970-01-01T00:00:00Z,"dub,roots reggae,reggae","Hammerbass",0.718,0.477,9,-9.661,0,0.057,0.00611,0.864,0.227,0.798,140.293,4
spotify:track:4pA5j2AgRfK8vDzOGDS3GI,"Better to Be Good","Better to Be Good","Dub Judah;Dennis Rootical",2020-09-20,230243,36,false,,1970-01-01T00:00:00Z,"dub,roots reggae","Dubquake Records",0.943,0.734,1,-7.749,1,0.0656,0.0119,0.000961,0.0463,0.419,124.586,4
spotify:track:2MNYAg2MqwmDTfGqlrluuT,"Concrete Jungle","Indica Dubs Showcase Chapter 4","Indica Dubs;Kai Dub",2020-08-08,209142,30,false,,1970-01-01T00:00:00Z,"dub,roots reggae","Indica Dubs",0.763,0.824,11,-5.578,0,0.0466,0.000166,0.882,0.0516,0.959,139.989,4
spotify:track:4FogJlmqJvyhuVl904r57f,"Ignorance & Poverty Dub","Alien Dread in DUB with Martin Campbell & The Hi-Tech Roots Dynamics Vol. 2","Alien Dread;Martin Campbell;The Hi-Tech Roots Dynamics",2012-11-26,218893,30,false,,1970-01-01T00:00:00Z,"dub,roots reggae,reggae,rocksteady","ACL 2000",0.811,0.59,2,-7.555,0,0.0336,0.00956,0.47,0.091,0.827,117.452,4
spotify:track:4ZREC7OjTdnELbTZgunWWl,"Healing of the nations","Paro Riddim","Dubcreator;Earl Sixteen",2016-05-11,199252,29,false,,1970-01-01T00:00:00Z,"dub,roots reggae,reggae,lovers rock,rocksteady","King Shiloh Majestic Music",0.828,0.681,4,-10.992,0,0.145,0.00957,0.000149,0.0486,0.967,148.526,4
spotify:track:6Sb8xxvxuPiGaHAZHpf13y,"Dub System","... In Roots Vol. 1","Bukkha",2021-09-03,224778,21,false,,1970-01-01T00:00:00Z,"dub,dubstep,dub techno","Moonshine Recordings",0.78,0.671,11,-9.905,0,0.0481,0.0758,0.892,0.155,0.637,124.992,4
spotify:track:6NGnnFjv3wKhJaqqORweIk,"Jah No Dead Dub","Dolomites Rockers","Paolo Baldini DubFiles;Imperial Sound Army",2020-05-29,170007,17,false,,1970-01-01T00:00:00Z,"dub,reggae,ragga,roots reggae","La Tempesta Dub",0.64,0.882,7,-6.229,1,0.0357,0.000111,0.788,0.645,0.51,143.989,4
spotify:track:1jT1M8xfkaSiJAOI1Yefjl,"Dub Right Up Deh - Dub Mix","Best Foot Forward","Dub Judah;Kibir La Amlak",2023-12-08,234716,31,false,,1970-01-01T00:00:00Z,"dub,roots reggae,reggae","Before Zero Records",0.787,0.781,5,-5.805,0,0.0341,0.00117,0.726,0.163,0.553,127.009,4
spotify:track:7jpq2qOcBUgQCB9lXPCaoH,"Liberation Step","Indica Dubs Showcase Chapter 3","Indica Dubs;Forward Fever",2020-08-08,221538,32,false,,1970-01-01T00:00:00Z,"dub,roots reggae","Indica Dubs",0.841,0.701,8,-11.024,1,0.0589,0.00179,0.851,0.349,0.87,128.014,4
spotify:track:0T1SND0r2KUJRq0UB33Ojo,"Natural Roots Orig. 12"" Mix","Dub Plate Style 1990-1999","Manasseh;Earl Sixteen",2004-07-04,226653,37,false,,1970-01-01T00:00:00Z,"dub,roots reggae,reggae,lovers rock,rocksteady","Hammerbass",0.908,0.433,0,-9.01,1,0.109,0.0152,0.00162,0.113,0.782,150.415,4
spotify:track:01ZBy078Z6bQNROxILnR2c,"Jah See Dem","Jah See Dem Dub Attack","Dubcreator;Danman;Indica Dubs",2024-01-10,227700,34,false,,1970-01-01T00:00:00Z,"dub,roots reggae","Indica Dubs",0.855,0.539,7,-10.759,0,0.0661,0.303,0.000731,0.147,0.932,140.013,4
spotify:track:34tt8s0fggoNMwGOrlpXnR,"All For Jah","... In Roots Vol. 1","Bukkha",2021-09-03,225760,21,false,,1970-01-01T00:00:00Z,"dub,dubstep,dub techno","Moonshine Recordings",0.81,0.814,1,-7.882,1,0.0446,0.00363,0.896,0.101,0.375,123.017,4
spotify:track:1gvMlH98L0pRygwtPxrC68,"Roots Man Trod","Roots Man Trod","Lewis Bennett;Aba Ariginals",2022-07-28,214180,26,false,,1970-01-01T00:00:00Z,"dub,roots reggae","Lewis Bennett",0.792,0.613,11,-8.574,0,0.0624,0.0079,0.808,0.153,0.35,138.029,4
spotify:track:5KThbVKQWlVeFEvSyPM7lv,"Horns Man","King Earthquake Dubplates Chapter 3","King Earthquake;Errol Ramsey",2010,204946,31,false,,1970-01-01T00:00:00Z,"dub","King Earthquake",0.707,0.705,6,-8.664,1,0.027,0.00129,0.959,0.489,0.888,112.997,4
spotify:track:7fRZmUlSAqMohy4LRk4aw6,"Bring Back the Dub","Indica Dubs Showcase Chapter 8","Indica Dubs;King Stanley",2024-12-04,218245,28,false,,1970-01-01T00:00:00Z,"dub,roots reggae","Indica Dubs",0.661,0.8,2,-9.295,1,0.0337,0.00065,0.574,0.394,0.396,135.999,4
spotify:track:02AeqR7nK0NeBVdjWIjNnN,"Natural Dub 12"" Mix","Dub Plate Style 1990-1999","Manasseh;Earl Sixteen",2004-07-04,226453,28,false,,1970-01-01T00:00:00Z,"dub,roots reggae,reggae,lovers rock,rocksteady","Hammerbass",0.823,0.407,0,-10.399,1,0.334,0.000221,0.848,0.18,0.796,150.387,4
spotify:track:7emgapaoeQucHP2f8WRagd,"Roar Like a Lion","Roar Riddim","Dubcreator;Danny Red",2016-01-06,224306,37,false,,1970-01-01T00:00:00Z,"dub,roots reggae","6383574 Records DK",0.876,0.668,0,-12.653,0,0.17,0.021,0.021,0.312,0.791,143.034,4
