Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7veM239jxSOxsNSiEbDjTG,"Real Junglists","Real Junglists EP","Benny V;K-Warren;Ragga Twins",2019-06-14,307885,42,false,1177342182,2020-04-08T22:39:19Z,"jungle,drum and bass,uk garage,ragga,bassline,breakbeat","Jungle Cakes",0.64,0.932,4,-2.847,0,0.0512,0.00052,0.000419,0.053,0.533,174.961,4
spotify:track:0mTU0jdcMuQ6i7uPxpL9in,"Murder Dem - Danny Byrd Remix","Jet Star Meets Hospital","Ninjaman;Danny Byrd",2019-08-09,252615,0,false,1177342182,2020-04-08T22:42:44Z,"ragga,dancehall,reggae,jungle,lovers rock,drum and bass,liquid funk","Hospital Records",0.662,0.956,10,-2.014,0,0.0589,0.000144,0.578,0.109,0.723,173.998,4
spotify:track:0jt5uOy80TdRYl1kL1wTrw,"Soundboy Gone - DJ Gaw Remix","Soundboy Gone","Chopstick Dubplate;DJ Gaw",2019-12-13,250227,39,false,1177342182,2023-04-27T16:59:56Z,"jungle,drum and bass,ragga","Chopstick Dubplate",0.691,0.859,9,-4.432,1,0.297,0.0798,0.0000746,0.235,0.623,174.986,4
spotify:track:65jGMf0hiYHq4b7VkjgcjK,"Herbal Trees - Original Mix","Herbal Trees","Alibi;Sub Criminal",2015-04-18,293023,39,false,1177342182,2021-10-02T15:27:51Z,"brazilian hip hop,jungle,drum and bass,ragga","In Da Jungle Recordings",0.734,0.956,2,-1.888,1,0.0595,0.00181,0.597,0.184,0.811,172.012,4
spotify:track:72pYDST4LBD4YNh5mQUrlO,"Rockstone","Rockstone / Clash 77","Fleck;Selecta J-Man",2018-02-12,311314,0,false,1177342182,2020-04-08T22:43:08Z,"jungle,drum and bass,ragga,bassline","Roots Records UK",0.714,0.84,1,-1.925,1,0.0659,0.0022,0.521,0.039,0.794,87.493,4
spotify:track:4L8Oe6ZIJb4rehZhDAbd5h,"Jungle Music","Jungle Music","Benny Page;Mc $pyda",2019-05-31,212881,0,false,1177342182,2020-04-08T22:43:34Z,"jungle,drum and bass,ragga","BassLayerz Recordings",0.584,0.923,9,-2.975,1,0.0536,0.000153,0.0266,0.199,0.64,177.027,4
spotify:track:33yP8c3eo7K8vR6Z2bvax6,"Special Dedication (Sigma Remix)","Special Dedication","DJ Nut Nut;Top Cat",2011-11-07,301637,0,false,1177342182,2020-04-08T22:43:37Z,"jungle,breakbeat,drum and bass,ragga","StreetLife",0.317,0.989,8,-2.606,0,0.0849,0.000342,0.0469,0.774,0.82,174.968,4
spotify:track:6VAn8Mro4VqbreBe7nyZ2F,"Proud feat. Tiffanie Malvo - Enei Remix","Champion Ep [RELOADED]","Sam Binga;Rider Shafique;Tiffanie Malvo;Enei",2018-08-17,242727,0,false,1177342182,2020-04-08T22:44:12Z,"uk garage,jungle,drum and bass,drumstep,breakbeat,uk funky,footwork,bassline,lovers rock,dancehall,liquid funk","Critical Music",0.756,0.709,1,-4.118,1,0.229,0.0311,0.0509,0.0514,0.679,176.018,4
spotify:track:0Cb9MMhqiqRHnPlkQHo6jw,"Jamaican Boy","Good Enough / Jamaican Boy","Serial Killaz",2011-02-07,330313,0,false,1177342182,2020-04-08T22:44:33Z,"jungle,drum and bass,ragga","Serial Killaz",0.578,0.956,4,-2.576,0,0.0889,0.000459,0.158,0.357,0.776,180.042,4
spotify:track:6713TjITDMjVsQdCH4CRrO,"All Ganja Man","All Ganja Man","Serum;$pyda",2018-05-14,334915,0,false,1177342182,2020-04-08T22:44:35Z,"drum and bass,jungle,bassline","BassLayerz Recordings",0.751,0.96,1,-0.079,1,0.24,0.00799,0.00000269,0.2,0.618,177.071,4
spotify:track:7CiZj5S4E5FVboR0yLVLzc,"Original Nuttah 25 (feat. IRAH) - Chase & Status Remix","Original Nuttah 25","Uk Apache;SHY FX;IRAH;Chase & Status",2019-08-23,223454,58,false,1177342182,2020-04-09T10:27:55Z,"jungle,drum and bass,bassline,uk garage","Cult.ure",0.425,0.894,10,-4.991,0,0.0762,0.0258,0.00000156,0.0996,0.171,115.412,5
spotify:track:5xI6XC2Qc3eez4lbbIMZzF,"Program","RTRN II JUNGLE","Chase & Status;IRAH",2019-05-31,252360,59,false,1177342182,2020-04-09T10:27:59Z,"drum and bass,jungle,bassline,uk garage","EMI",0.517,0.886,7,-4.357,1,0.395,0.0706,0.00252,0.137,0.213,175.128,4
spotify:track:1F9lmGwPVHgo61FYByPA3A,"Turn Down The Lights - Benny Page VIP Mix","Turn Down The Lights Remixed","Benny Page",2019-07-19,202365,0,false,1177342182,2020-04-10T07:39:54Z,"jungle,drum and bass,ragga","Dub Shotta",0.687,0.862,4,-1.313,0,0.0652,0.00411,0.104,0.0554,0.575,87.487,4
spotify:track:3qiKL0GLKNCxAcSOoV51rt,"Murder Music","RTRN II JUNGLE","Chase & Status;Kabaka Pyramid",2019-05-31,214426,42,false,1177342182,2020-05-02T07:34:52Z,"drum and bass,jungle,reggae,roots reggae,ragga,dancehall","EMI",0.541,0.904,9,-4.046,0,0.294,0.00709,0.000317,0.0427,0.242,174.929,4
spotify:track:6FBnVrlr40yKhGfkVguzNF,"Out in the Streets","Out in the Streets","Ben Snow",2019-10-22,246595,50,false,1177342182,2020-05-05T08:17:53Z,"drum and bass,jungle,bassline","Elevate Records",0.694,0.835,9,-2.42,1,0.0553,0.02,0.00248,0.0781,0.333,174.033,4
