Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3kDQXD74HAwLX11kEDn9Do,"Floorshow","Some Girls Wander by Mistake","Sisters of Mercy",1992,220630,30,false,,2026-05-20T01:06:50Z,"gothic rock,darkwave,post-punk,deathrock,cold wave,new wave,gothic metal","Rhino",0.594,0.866,4,-7.94,0,0.0689,0.000596,0.843,0.117,0.431,104.387,4
spotify:track:2KK87N80r99YquD4rfonFk,"Vessel","Insides","Jon Hopkins",2009,281693,28,false,,2026-05-17T01:00:58Z,"idm,ambient","Just Music",0.414,0.486,10,-9.668,0,0.0721,0.323,0.861,0.121,0.432,135.661,4
spotify:track:4qpotoOLkLyM5B0iiBx01q,"Form By Firelight - Remaster 2023","Immunity","Jon Hopkins",2013-06-03,345066,32,false,,2026-05-14T20:16:01Z,"idm,ambient","Domino Recording Co",0.705,0.448,7,-12.666,1,0.181,0.09,0.914,0.11,0.143,140.107,4
spotify:track:0I0pxHXg4zWUgoyJZ5Qt93,"The Seal & The Hydrophone","Compilation 1991-2004","Biosphere",2012-02-23,361445,10,false,,2026-05-13T07:13:32Z,"ambient,drone,idm,space music,dark ambient,electroacoustic","Biophon Records",0.616,0.403,5,-24.352,1,0.0395,0.238,0.831,0.0879,0.0307,109.99,4
spotify:track:2MGRrurF8UTu8RNhoeEQcR,"TOKORO - Live at Knock Koenji, Tokyo, 2025","UTSURU (Live in Tokyo 2025)","theadelaidean",2025-07-18,1515905,0,false,,2026-05-11T09:34:01Z,"drone,space music,ambient","Projekt:Archive",0.159,0.0637,0,-28.653,1,0.0422,0.902,0.946,0.101,0.0332,132.128,4
spotify:track:18JjP4iBq5KG4TMDLr1Jey,"Tick of the Clock","Drive (Original Motion Picture Soundtrack)","Chromatics",2011-09-06,288200,0,false,,2026-05-02T11:03:48Z,"dream pop","Lakeshore Records",0.863,0.407,1,-13.162,1,0.0807,0.125,0.885,0.0942,0.082,100.547,4
spotify:track:2Dc4MWMRcM7coMtXKjf7sL,"Nuclear War","A Fireside Chat With Lucifer","Sun Ra",2023-06-30,464386,30,true,,2026-04-22T04:53:18Z,"free jazz,experimental jazz,jazz,avant-garde,hard bop","Modern Harmonic",0.667,0.478,10,-10.19,1,0.131,0.783,0,0.347,0.383,86.38,4
spotify:track:3mZ02FMw6BRpdcfB4TDdxY,"Shiva-Loka","Journey In Satchidananda","Alice Coltrane;Pharoah Sanders",1971,392733,0,false,,2026-04-15T22:44:53Z,"free jazz,jazz,experimental jazz,ambient jazz,hard bop","Impulse!",0.212,0.59,5,-12.248,1,0.0462,0.0728,0.000466,0.104,0.449,115.012,4
spotify:track:68VCCqeujyd3SqmYAWB0lZ,"Nights Over Egypt","Get as Much Love as You Can","The Jones Girls",1981,279800,55,false,,2026-04-13T00:43:58Z,"philly soul,post-disco,quiet storm,classic soul","Legacy Recordings",0.752,0.36,9,-14.317,0,0.0334,0.499,0.291,0.106,0.636,110.768,4
spotify:track:1abbmCW62dP7ag10VjQBz4,"Just a Touch of Love","Just A Touch Of Love","Slave",1979,392733,50,false,,2026-04-13T00:36:20Z,"funk,post-disco","Rhino Atlantic",0.742,0.473,0,-14.567,1,0.0309,0.0508,0.0000214,0.0386,0.904,108.782,4
