Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6mIgRsjIaGL43h7D5keHo9,"Open Page","Drum&BassArena 20 Years","Lenzman;Riya",2016-11-04,344440,0,false,garlandxx,2017-08-05T12:47:00Z,"liquid funk,drum and bass,jungle","Drum&BassArena",0.587,0.749,10,-4.752,0,0.0424,0.00028,0.853,0.0639,0.252,171.052,4
spotify:track:0XutQbOL2fR6AnOnne3tb0,"The View","Drum&BassArena 20 Years","DRS;LSB;Tyler Daley",2016-11-04,395663,0,false,garlandxx,2017-08-05T12:47:17Z,"liquid funk,drum and bass,jungle,uk r&b","Drum&BassArena",0.655,0.605,8,-6.042,0,0.094,0.00883,0.0311,0.129,0.358,174.011,4
spotify:track:2RuBAvgCePBw6YuTOfvLMZ,"I Remember - J Majik & Wickaman Remix","I Remember","deadmau5;Kaskade;J Majik;Wickaman",2009-01-01,374360,41,false,garlandxx,2017-08-05T12:47:28Z,"edm,progressive house,dubstep,jungle,drum and bass,liquid funk,breakbeat","Mau5trap/Virgin",0.559,0.94,7,-3.675,1,0.0391,0.000281,0.0652,0.0618,0.502,88.501,4
spotify:track:71MjECU29IiSCxwrW2z0uU,"I Refuse","Drum&BassArena 20 Years","Netsky",2016-11-04,355862,0,false,garlandxx,2017-08-05T12:48:04Z,"drum and bass,liquid funk,chillstep","Drum&BassArena",0.501,0.869,8,-5.414,0,0.04,0.000282,0.792,0.0517,0.0857,174.079,4
spotify:track:2H3NCVsDJT2w94JB2LylMo,"This Moment - Back To The Rave C&S Remix","This Moment (Back To The Rave C&S Remix)","Chase & Status And Blossoms",2017-06-13,276291,0,false,garlandxx,2017-08-05T12:48:13Z,"drum and bass,liquid funk","Universal Music Group",0.498,0.922,9,-3.97,1,0.0479,0.000441,0.66,0.158,0.165,174.01,4
spotify:track:2MtnHyiyaOpnJBVBqlEKOY,"Why Does My Heart Feel so Bad? - Technimatic Remix","The Drum & Bass Remixes","Moby;Technimatic",2017-05-05,300812,28,false,garlandxx,2017-08-05T12:48:39Z,"downtempo,trip hop,liquid funk,drum and bass,jungle","Shogun Audio",0.499,0.913,4,-5.249,0,0.0412,0.00027,0.614,0.146,0.183,167.064,4
spotify:track:5aNF9DRTzNXt5uRv141mQ6,"Questions","Questions EP","High Contrast;Boy Matthews",2017-03-16,242687,0,false,garlandxx,2017-08-05T12:48:49Z,"drum and bass,liquid funk,jungle","Universal Music Group",0.426,0.924,6,-2.732,1,0.0438,0.0107,0.00000396,0.101,0.473,173.038,4
spotify:track:2wnIP4zPxmSwEQWhGOEEPk,"Proposition","Proposition","GLXY;James Robb",2017-06-16,167471,0,false,garlandxx,2017-08-05T12:49:07Z,"liquid funk,drum and bass,jungle","Pilot Records",0.722,0.911,6,-4.26,1,0.0813,0.116,0.002,0.112,0.278,87.012,4
spotify:track:1MXMot4I3xfJUgH3peUtzd,"Unsaid","Unsaid","Pola & Bryson;Blake",2017-08-01,305624,36,false,garlandxx,2017-08-05T12:49:27Z,"liquid funk,drum and bass","Shogun Audio",0.447,0.803,9,-4.897,1,0.0569,0.00361,0.491,0.0666,0.203,87.477,4
spotify:track:4yLNq3CnMwJwSbs95iPzL9,"Anything for You","Anything for You","Macca;Loz Contreras",2017-06-19,339374,31,false,garlandxx,2017-08-05T12:52:05Z,"liquid funk,drum and bass,chillstep","SGN:LTD",0.681,0.701,7,-6.408,1,0.0581,0.00986,0.733,0.109,0.354,87.514,4
