Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1LXsXkQlCzIgPc9GJbXn7T,"Blackout","Blackout","Sibewest;Loneliness",2018-01-06,294875,17,false,dbfhr1fho2kuunr8p8az430mj,2020-03-15T21:46:05Z,"witch house,drift phonk,chillstep","Sibewest",0.592,0.304,6,-16.931,0,0.176,0.733,0.851,0.111,0.302,140.018,4
spotify:track:1yCeiQKpXQgz1c2fGokdm3,"Don't Dwell.","Don't Dwell.","BARNACLE BOI",2018-01-16,214358,59,false,dbfhr1fho2kuunr8p8az430mj,2020-03-16T00:20:19Z,"witch house","barnacle boi",0.539,0.57,6,-8.724,0,0.046,0.056,0.0659,0.121,0.047,117.013,4
spotify:track:3eL9O1uwlC3g12vrLiGZFW,"Overcome.","Overcome.","BARNACLE BOI",2018-10-22,188307,0,false,dbfhr1fho2kuunr8p8az430mj,2020-03-16T01:31:56Z,"witch house","barnacle boi",0.506,0.883,2,-6.025,1,0.0935,0.000839,0.000016,0.147,0.124,130,4
spotify:track:0Xrlz6Got0NaBNyVj9hnC3,"Anything for You.","Anything for You.","BARNACLE BOI",2017-12-04,201290,36,false,dbfhr1fho2kuunr8p8az430mj,2020-03-16T01:34:10Z,"witch house","barnacle boi",0.713,0.681,7,-9.092,0,0.0562,0.0657,0.293,0.118,0.25,124.013,4
spotify:track:1FYjGgx4PZstirdV1HGAPA,"Wanderlust","2020","BARNACLE BOI",2019-10-19,231272,14,false,dbfhr1fho2kuunr8p8az430mj,2020-03-16T01:36:42Z,"witch house","barnacle boi",0.438,0.937,11,-5.717,0,0.0639,0.000478,0.0244,0.0889,0.242,110.006,4
spotify:track:3PMGQUgKrbYYpfFMLFfI2Z,"2020","2020","BARNACLE BOI",2019-10-19,198333,17,false,dbfhr1fho2kuunr8p8az430mj,2020-03-16T01:37:03Z,"witch house","barnacle boi",0.451,0.901,8,-5.57,0,0.449,0.0341,0.00000482,0.344,0.327,143.963,4
spotify:track:1iiS2Vcma7ZY2r7y2VfOzx,"Coming Home","777","BARNACLE BOI",2019-02-01,228750,22,false,dbfhr1fho2kuunr8p8az430mj,2020-03-16T01:39:50Z,"witch house","barnacle boi",0.524,0.95,10,-7.005,1,0.36,0.0764,0.0536,0.364,0.367,128.041,4
spotify:track:4TZAx4scdGBtgWQJsMvVW7,"Still.","Still.","BARNACLE BOI",2019-01-01,198918,20,false,dbfhr1fho2kuunr8p8az430mj,2020-03-16T01:40:22Z,"witch house","barnacle boi",0.284,0.855,8,-6.008,0,0.0784,0.0184,0.00000269,0.349,0.0638,110.956,4
spotify:track:74KXXWu3w6dPQFWVF6cvrD,"Abandon","Abandon","Direct",2017-07-10,204705,36,false,dbfhr1fho2kuunr8p8az430mj,2020-03-16T02:16:21Z,"chillstep","In Our Minds",0.656,0.575,2,-11.96,1,0.0363,0.46,0.911,0.262,0.0363,135.966,4
spotify:track:5dwz31AcB4hLYsRk6qSca4,"Millions","One","Direct",2018-04-02,316426,19,false,dbfhr1fho2kuunr8p8az430mj,2020-03-16T02:23:26Z,"chillstep","Fent Plates",0.663,0.468,10,-14.944,1,0.0487,0.313,0.914,0.0721,0.0794,140.053,4
