Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1SFwryYZ5xtaUcnKKQOSZI,"Fastic For Real","Potential Energy","Mad Zach",2024-04-04,189176,8,false,,1970-01-01T00:00:00Z,"drumstep","Antispace",0.498,0.608,7,-9.389,1,0.0647,0.0607,0.974,0.129,0.256,169.888,4
spotify:track:3BLxoYa738f9JYEz9R0JfQ,"Ttv","Fahrenheit Fair Enough","Telefon Tel Aviv",2001,214200,37,false,,1970-01-01T00:00:00Z,"idm,glitch,downtempo","Ghostly International",0.709,0.596,5,-7.051,1,0.144,0.0958,0.92,0.0761,0.177,159.968,4
spotify:track:2e68tZQs1ZqhHYf60mwlEK,"One Shy Morning","Long Stories","Amon Tobin",2019-10-25,220557,31,false,,1970-01-01T00:00:00Z,"idm,trip hop,nu jazz,downtempo","Alpha Pup",0.225,0.586,6,-10.027,1,0.0452,0.523,0.122,0.0943,0.0576,112.233,5
spotify:track:6vDM1b9YrFwQoas9RKnJba,"Screening","Corrective Scene Surgery","Mr. Bill;Funi",2018-10-23,212631,35,false,,1970-01-01T00:00:00Z,"glitch,bass music,idm,dubstep,drumstep,psytrance,downtempo","Mr. Bill's Tunes",0.801,0.192,1,-12.022,1,0.0508,0.258,0.561,0.0804,0.0387,113.991,4
spotify:track:7gk0hVsaAsgIPPRTrsqWhT,"Day's End","Day's End","Volor Flex",2019-01-15,254004,40,false,,1970-01-01T00:00:00Z,"chillstep,uk garage,idm","Apollo",0.658,0.349,1,-13.864,1,0.116,0.31,0.948,0.168,0.0939,95.571,4
spotify:track:12rD6522rSofTFlSuzGIPw,"Shelled","Jettison Mind Hatch","Tipper",2019-05-15,229430,27,false,,1970-01-01T00:00:00Z,"glitch,downtempo,idm,bass music","Tippermusic",0.409,0.541,0,-11.622,1,0.0564,0.506,0.924,0.102,0.106,118.1,4
spotify:track:6Ix94tVY0PFMSA7HGnV3dl,"Water","Sequence","QUIET BISON",2019-04-17,211063,33,false,,1970-01-01T00:00:00Z,"future bass","Independent",0.274,0.662,1,-9.687,0,0.0559,0.355,0.93,0.287,0.0394,139.852,4
spotify:track:5G67YWTwKKRBkk1EH8aw3S,"Arterial","Arterial","Lusine",2014-08-05,254962,43,false,,1970-01-01T00:00:00Z,"idm","Ghostly International",0.841,0.588,11,-11.024,1,0.0744,0.251,0.76,0.11,0.304,90.025,4
spotify:track:3182ZGsY58yGqlr1BJZBgZ,"On a Hilltop Sat the Moon","Fear in a Handful of Dust","Amon Tobin",2019-04-26,216892,28,false,,1970-01-01T00:00:00Z,"idm,trip hop,nu jazz,downtempo","Alpha Pup",0.296,0.385,6,-12.934,0,0.0385,0.869,0.913,0.109,0.0386,172.69,4
spotify:track:0NSIeaa8SDSbm1LACOsGh7,"Ejecta","Apophenia","Mr. Bill",2018-12-14,279587,17,false,,1970-01-01T00:00:00Z,"glitch,bass music,idm,dubstep,drumstep,psytrance","mau5trap",0.671,0.824,9,-9.886,0,0.089,0.347,0.893,0.107,0.04,181.87,4
spotify:track:2AeZcGpBaPcCvEgR7FTtds,"Solar Motel","Nothing Is Real","The Flashbulb",2014-05-12,250466,34,false,,1970-01-01T00:00:00Z,"idm,breakcore,post-rock,ambient,glitch","Alphabasic",0.583,0.409,1,-16.324,1,0.0356,0.286,0.876,0.328,0.048,139.961,4
spotify:track:3gNvoL8ItlAs2yU1KvdrJ9,"Sahra","Jettison Mind Hatch","Tipper",2019-05-15,304880,25,false,,1970-01-01T00:00:00Z,"glitch,downtempo,idm,bass music","Tippermusic",0.418,0.471,7,-10.004,1,0.033,0.26,0.924,0.285,0.0361,84.004,4
spotify:track:30EVjmgpTs7DmVzshrYlMa,"Tugrul","Project Caelus","Ochre",2018-12-17,228813,35,false,,1970-01-01T00:00:00Z,"idm,glitch,ambient","Aura Materia",0.26,0.161,1,-18.991,1,0.0357,0.492,0.919,0.101,0.036,86.527,4
spotify:track:5mOfgxeRrrjKcHJ8Q2UIzo,"Northern Quartz Aurora","Dhawa Sunrise","Bwoy De Bhajan",2015-04-24,392727,20,false,,1970-01-01T00:00:00Z,"downtempo","Outtallectuals",0.484,0.697,2,-7.696,1,0.0712,0.589,0.82,0.294,0.0501,109.992,4
spotify:track:5nSjgKq5pZvTSLGlMtjDBv,"Phoam","Deep Heads, Vol. 11","Jafu",2013-06-17,249968,38,false,,1970-01-01T00:00:00Z,"dubstep,dub","Deep Heads",0.786,0.359,11,-11.866,0,0.11,0.0132,0.912,0.0729,0.145,140,4
spotify:track:31UxcEjC3R40orEYCUjhnZ,"Lyra One","Sphere","Robot Koch",2018-10-05,197113,25,false,,1970-01-01T00:00:00Z,"","Trees & Cyborgs",0.396,0.22,7,-18.664,1,0.0331,0.532,0.779,0.142,0.039,120.058,4
spotify:track:0MoTuNAyugLWVAwvVNE5pM,"The Water","Tussed","Woulg",2012-11-01,243692,14,false,,1970-01-01T00:00:00Z,"idm,glitch,experimental","Outlier Recordings",0.792,0.574,5,-10.779,0,0.0793,0.55,0.732,0.109,0.262,130.014,4
spotify:track:5QwqstnenYJb97CaZYV4Qs,"Gulch","Forward Escape","Tipper",2014-01-01,236500,42,false,,1970-01-01T00:00:00Z,"glitch,downtempo,idm,bass music","Tippermusic",0.809,0.708,10,-7.221,0,0.135,0.0379,0.693,0.0646,0.326,99.998,4
spotify:track:4ku0ydDF3tVaLLlEwKtxQC,"Somnium","Congi Selection","Congi",2020-10-09,336404,33,false,,1970-01-01T00:00:00Z,"dubstep,dub","Deep Heads",0.539,0.254,7,-10.485,1,0.0966,0.196,0.504,0.0963,0.337,139.505,4
