Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6FgY0tpl4Jv714uPuAokeZ,"She's Unreal","Subliminal Sandwich (Extended Version)","Meat Beat Manifesto",1996-01-01,250866,46,false,,1970-01-01T00:00:00Z,"industrial,big beat,acid house,trip hop,idm,ebm,musique concrète,breakbeat","[PIAS] Recordings Catalogue",0.59,0.578,8,-15.091,1,0.0852,0.127,0.789,0.334,0.393,87.922,4
spotify:track:12iOM7n1XHIdxK1fRBJMs7,"Beat","Beat","Bowery Electric",1996-11-12,436160,41,false,,1970-01-01T00:00:00Z,"trip hop,shoegaze,slowcore,downtempo,drone,post-rock,dream pop","kranky",0.507,0.444,2,-16.776,1,0.043,0.286,0.919,0.0791,0.255,99.901,4
spotify:track:7qWHLT10dDsu8fCJZFkL5y,"1969","Geogaddi","Boards of Canada",2002-02-19,260466,50,false,,1970-01-01T00:00:00Z,"idm,ambient,trip hop,downtempo,electronic","Warp Records",0.667,0.729,1,-10.049,0,0.0419,0.00101,0.543,0.34,0.209,147.324,4
spotify:track:260AnYiNj5oWHex1bbksLu,"Heart2Heart","24/7 Heaven","trickpony",2025-12-15,242700,44,false,,1970-01-01T00:00:00Z,"trip hop,downtempo","Step Ball Chain",0.663,0.779,7,-9.071,1,0.047,0.0793,0.895,0.0962,0.416,90.015,4
spotify:track:5UozuSvaP2ijLZCcm3g1jF,"Flak","Lifeforms","The Future Sound Of London",1994-01-01,293733,32,false,,1970-01-01T00:00:00Z,"idm,big beat,ambient,acid house,breakbeat,trip hop","Virgin Records",0.395,0.45,1,-18.879,1,0.13,0.0469,0.569,0.384,0.184,132.089,4
spotify:track:1muHiw7GYowFZAj0tTWRVU,"Behind the Sun","Parallel Life","The Starseeds",1997-07-01,303893,40,false,,1970-01-01T00:00:00Z,"trip hop,downtempo","THE STARSEEDS copyrights: Regina Dannhof",0.803,0.616,10,-10.558,0,0.18,0.00592,0.854,0.11,0.478,91.169,4
spotify:track:1FnWALljyyPI9zWasp5q1T,"Worlock","Rabies","Skinny Puppy",1989-11-21,330240,43,false,,1970-01-01T00:00:00Z,"industrial,ebm,industrial rock,industrial metal,darkwave,gothic rock,deathrock,post-punk","Nettwerk Music Group",0.62,0.906,0,-6.147,1,0.0685,0.00496,0.00699,0.126,0.484,91.384,4
spotify:track:43fsOkxKuqmHuVUaOmrqvi,"Freedom Fighter","Lushlife","Bowery Electric",2000-02-28,227466,37,false,,1970-01-01T00:00:00Z,"trip hop,shoegaze,slowcore,downtempo,drone,post-rock,dream pop","Beggars Banquet",0.194,0.917,2,-6.629,0,0.0621,0.000429,0.701,0.3,0.296,98.85,4
spotify:track:08EgS4Nqe1jPkI9tx9Dq3S,"Aquarius","Music Has The Right To Children","Boards of Canada",1998-04-20,358080,54,false,,1970-01-01T00:00:00Z,"idm,ambient,trip hop,downtempo,electronic","Warp Records",0.709,0.507,6,-12.19,1,0.145,0.0156,0.862,0.103,0.737,168.782,4
spotify:track:5rqrLMKe6rkDWohAovjlf0,"Blue Room - 7"" Mix","U.F.Off: The Best Of The Orb","The Orb",1998-01-01,241533,28,false,,1970-01-01T00:00:00Z,"idm,ambient","Universal-Island Records Ltd.",0.776,0.544,7,-13.09,0,0.0591,0.0547,0.715,0.289,0.274,116.117,4
