Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0dIyPYuq1tyZGs0fGhOG8m,"No Dominion","Deadman Vs. Infinity","Metaphyzicians;Franjelique",2024-08-08,231994,0,false,,1970-01-01T00:00:00Z,"","Running Sound Records",0.513,0.562,11,-6.84,0,0.158,0.498,0.000991,0.166,0.506,127.274,4
spotify:track:4pepbIXjq5Thakr90P3VHq,"Year Zero","Maps","billy woods;Kenny Segal;Danny Brown",2023-05-05,220000,34,true,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental,jazz rap","Backwoodz Studioz",0.51,0.765,0,-6.464,1,0.201,0.209,0,0.141,0.44,90.542,3
spotify:track:6mN3uDOXjU0CtK8H6GVJlc,"Float On (feat. Charli xcx)","Old","Danny Brown;Charli XCX",2013-10-08,211418,33,true,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop","Fool's Gold Records",0.429,0.562,11,-9.248,0,0.278,0.446,0.0544,0.121,0.289,164.152,4
spotify:track:0nOFMnG5wCIgTyA8RaY4iJ,"All We Got Is This","All We Got Is This","Troy;Mick Jenkins",2020-12-03,180705,32,true,,1970-01-01T00:00:00Z,"jazz rap","POVERTY LLC",0.527,0.526,7,-9.993,1,0.186,0.0488,0.0633,0.0983,0.245,85.024,4
spotify:track:4odoLyHnSx2jIcXs16IvsV,"Jesus Forgive Me, I Am A Thot","All My Heroes Are Cornballs","JPEGMAFIA",2019-09-13,156533,49,true,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,experimental","EQT Republic JV",0.628,0.78,11,-5.217,1,0.451,0.243,0,0.318,0.602,122.308,4
spotify:track:7r5Y3FEbDGOWaqrUVqV640,"Purple Picasso (feat. Vico)","VICES","Curren$y;Harry Fraud;Vico",2023-06-30,201680,22,true,,1970-01-01T00:00:00Z,"southern hip hop","Jet Life Recordings / SRFSCHL, LLC",0.565,0.672,0,-7.944,0,0.305,0.613,0,0.161,0.505,142.86,4
spotify:track:6LR9JxoWH2UJsEUzOx6KkL,"going no place","so the flies don't come","Kenny Segal;Milo;E L U C I D",2015-09-25,240320,29,true,,1970-01-01T00:00:00Z,"experimental hip hop,jazz rap,alternative hip hop","Ruby Yacht",0.575,0.61,10,-6.755,0,0.48,0.0584,0.0000875,0.122,0.351,86.833,1
spotify:track:3I9XJvyQJzNXorMnahsjYJ,"All Because of You","Still Champion","Homeboy Sandman;Deca",2022-11-11,225663,26,false,,1970-01-01T00:00:00Z,"east coast hip hop,underground hip hop,alternative hip hop,jazz rap","Mello Music Group",0.716,0.764,1,-4.77,0,0.332,0.283,0,0.122,0.38,82.574,4
spotify:track:2QM9PQ4SmKOMNvWwx2RnE9,"Hundred Ninety Bands","Killing Nothing","Boldy James;Real Bad Man",2022-05-20,212500,27,true,,1970-01-01T00:00:00Z,"jazz rap,boom bap,alternative hip hop,experimental hip hop","Real Bad Man Records",0.474,0.865,1,-6.328,0,0.147,0.0537,0.0000366,0.147,0.366,81.846,4
spotify:track:41glcw7981FPbxErG2iee6,"Marie","Pray For Haiti","Mach-Hommy",2021-05-21,169323,47,true,,1970-01-01T00:00:00Z,"boom bap,experimental hip hop,alternative hip hop,jazz rap","Griselda Records",0.382,0.556,2,-8.719,1,0.164,0.649,0.118,0.126,0.0785,83.847,4
spotify:track:5Rt9e9qlDpH2odtSUoMx5W,"DAM! DAM! DAM!","LP!","JPEGMAFIA",2021-10-22,209246,36,true,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,experimental","Universal Records",0.565,0.772,2,-6.384,1,0.372,0.787,0,0.584,0.0446,130.355,4
