Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0Vcpo9El50PNNbZXfKbNti,"Just One Fix","KE*A*H** (Psalm 69)","Ministry",1992-07-10,310293,53,false,,1970-01-01T00:00:00Z,"industrial,industrial metal,industrial rock,ebm,darkwave","Rhino",0.539,0.982,0,-4.495,1,0.0592,0.0000142,0.462,0.371,0.145,132.984,4
spotify:track:3do2nkCl1uEcmDKgupv5xX,"Millennium","Millennium","Front Line Assembly",1994-10-10,369800,34,false,,1970-01-01T00:00:00Z,"industrial,ebm,industrial metal,industrial rock,darkwave","Roadrunner Records",0.574,0.943,7,-7.543,0,0.0417,0.0000263,0.581,0.411,0.45,135.031,4
spotify:track:1FnWALljyyPI9zWasp5q1T,"Worlock","Rabies","Skinny Puppy",1989-11-21,330240,43,false,,1970-01-01T00:00:00Z,"industrial,ebm,industrial rock,industrial metal,darkwave,gothic rock,deathrock,post-punk","Nettwerk Music Group",0.62,0.906,0,-6.147,1,0.0685,0.00496,0.00699,0.126,0.484,91.384,4
spotify:track:7uEJJFl1UJur4sV0DVLNbW,"I'm Afraid Of Americans V1 - 2022 Remaster","I’m Afraid Of Americans E.P. (Remaster)","David Bowie",2022-02-04,329831,51,false,,1970-01-01T00:00:00Z,"glam rock,art rock","Parlophone UK",0.697,0.802,1,-8.178,1,0.0632,0.0194,0.00901,0.172,0.749,80.031,4
spotify:track:6zg8ZhV4KmZX66FbfEuegL,"Nihil","3teeth","3TEETH",2014-06-03,242742,42,true,,1970-01-01T00:00:00Z,"industrial metal,industrial,industrial rock,ebm","Duetti",0.511,0.779,8,-6.612,1,0.0291,0.0000337,0.76,0.0837,0.122,90.004,4
spotify:track:5CSOgajVHcdLeQgc1sPAMC,"Just Like You","Twitch","Ministry",1986-03-12,303773,31,true,,1970-01-01T00:00:00Z,"industrial,industrial metal,industrial rock,ebm,darkwave","Sire/Warner Records",0.616,0.995,9,-8.78,0,0.0859,0.000456,0.374,0.165,0.0393,111.405,4
spotify:track:4zvwporoplttLna2hmfsjZ,"Dead & Buried - 12"" Version","The Singles 1983-1995","Alien Sex Fiend",1995-01-01,242000,40,false,,1970-01-01T00:00:00Z,"deathrock,gothic rock,post-punk,darkwave,cold wave,industrial,gothic metal,ebm","Anagram",0.486,0.89,4,-7.809,0,0.202,0.00205,0.0674,0.151,0.568,169.387,4
spotify:track:2D9q6ht41Hrpq6k8Jm3ev3,"Mindphaser","Reclamation","Front Line Assembly",1997-10-20,404466,35,false,,1970-01-01T00:00:00Z,"industrial,ebm,industrial metal,industrial rock,darkwave","Roadrunner Records",0.632,0.885,1,-9.451,1,0.0411,0.0000289,0.87,0.294,0.174,125.031,4
spotify:track:0jZaj1P1ZWt4egiHYiK5uT,"Smothered Hope","Remission","Skinny Puppy",1984-12-01,314533,40,false,,1970-01-01T00:00:00Z,"industrial,ebm,industrial rock,industrial metal,darkwave,gothic rock,deathrock,post-punk","Nettwerk Music Group",0.651,0.547,9,-15.099,0,0.0594,0.000789,0.000566,0.0823,0.603,118.444,4
spotify:track:286oOUWsKLgh9DMcOqKkkQ,"Dominion / Mother Russia","Floodland","Sisters of Mercy",1987,420300,54,false,,1970-01-01T00:00:00Z,"gothic rock,darkwave,post-punk,deathrock,cold wave,new wave,gothic metal","Rhino",0.613,0.937,5,-10.13,1,0.0498,0.00209,0.0501,0.518,0.414,121.062,4
spotify:track:6KCthSzW230fnf6IygPaI0,"Thieves","The Mind Is a Terrible Thing to Taste","Ministry",1989-11-10,301426,50,true,,1970-01-01T00:00:00Z,"industrial,industrial metal,industrial rock,ebm,darkwave","Sire/Warner Records",0.646,0.881,5,-5.407,1,0.131,0.000115,0.00042,0.727,0.359,111.275,4
spotify:track:2pCEaJskwTTp7omAyUKvR0,"Da Ya Think I'm Sexy?","Linger Ficken' Good...And Other Barnyard Oddities","Revolting Cocks",1993-01-01,337226,39,false,,1970-01-01T00:00:00Z,"industrial,industrial metal,industrial rock,ebm","Reprise",0.691,0.779,2,-8.433,1,0.043,0.0000386,0.296,0.0875,0.496,108.028,4
spotify:track:1lESP2UmlSpvC15nSTEXZ8,"Lightning Man","Showtime","Nitzer Ebb",1990-03-20,298000,29,false,,1970-01-01T00:00:00Z,"ebm,industrial,industrial rock,industrial metal,darkwave,synthpop","Geffen",0.813,0.454,0,-10.972,1,0.0554,0.00296,0.00000892,0.165,0.555,119.627,4
spotify:track:2Kebw90X8vgGRk2mvl9pBF,"Vigilante","Millennium","Front Line Assembly",1994-10-10,388466,31,false,,1970-01-01T00:00:00Z,"industrial,ebm,industrial metal,industrial rock,darkwave","Roadrunner Records",0.484,0.936,6,-9.4,0,0.0504,0.0000223,0.823,0.291,0.152,106.047,4
spotify:track:6Vs53ujCYKgv2OHfFU0FrU,"Tin Omen","Rabies","Skinny Puppy",1989-11-21,278466,37,false,,1970-01-01T00:00:00Z,"industrial,ebm,industrial rock,industrial metal,darkwave,gothic rock,deathrock,post-punk","Nettwerk Music Group",0.66,0.83,11,-13.518,0,0.0573,0.000879,0.0266,0.371,0.514,125.369,4
spotify:track:07ZVs9pwxRNkr6sRyiIeV0,"Lava","Filth Pig","Ministry",1996-01-26,390200,36,false,,1970-01-01T00:00:00Z,"industrial,industrial metal,industrial rock,ebm,darkwave","Warner Records",0.441,0.828,1,-5.855,1,0.0293,0.000132,0.763,0.0875,0.329,184.474,4
spotify:track:1FyfPd5AMMjrorTdu3wASG,"Lucretia My Reflection","Floodland (2006 Remaster; Expanded Deluxe Version)","Sisters of Mercy",1987,297159,48,false,,1970-01-01T00:00:00Z,"gothic rock,darkwave,post-punk,deathrock,cold wave,new wave,gothic metal","Rhino",0.602,0.776,9,-9.204,1,0.0311,0.129,0.77,0.193,0.923,129.458,4
