Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2B5TWowo13tNKuxJLh6zDM,"MEGA MEGA MEGA (DJ-Kicks)","MEGA MEGA MEGA (DJ-Kicks)","Modeselektor",2025-07-15,261010,21,false,,2025-07-18T14:04:17Z,"idm","!K7 Records",0.441,0.667,2,-11.032,0,0.0557,0.634,0.863,0.109,0.171,124.995,4
spotify:track:7gUacf5fPjBiil21TrbG27,"Better","Off Lead","Skinny Wizard",2023-08-11,299997,17,false,,2025-07-18T14:04:17Z,"","Echocentric Records",0.696,0.626,8,-11.474,0,0.0406,0.562,0.852,0.0692,0.822,131.038,4
spotify:track:1aLklMH0jLj4rNynaCZoY2,"Only Human - Extended","Only Human","KH;Four Tet;Nelly Furtado",2019-03-01,476220,38,false,,2025-07-18T14:04:17Z,"idm,electronica","Ministry of Sound Recordings",0.822,0.586,10,-8.307,0,0.0689,0.00012,0.139,0.0567,0.213,126.999,4
spotify:track:4YPw7f7U1OQLRCOFVk40Jt,"Still So","Neither Curve Nor Edge","Carrier",2023-09-22,432464,15,false,,2025-07-18T14:04:17Z,"dub techno,idm,experimental","Carrier",0.755,0.83,11,-7.697,0,0.0617,0.000988,0.872,0.19,0.41,149,4
spotify:track:2K1kCAphJlx4WkDxXqD8pR,"Skin","Skin EP","Nathan Alexander",2025-05-23,430538,14,false,,2025-07-18T14:04:17Z,"","NIX",0.753,0.988,11,-11.626,0,0.0577,0.156,0.908,0.203,0.529,142.024,4
spotify:track:375pwWcskXaW4uPfzaqo58,"More Pressure - Original Mix","CYBLO 1","Arttu",2017-04-25,278400,11,false,,2025-07-18T14:04:17Z,"acid house,jungle","Cyblo",0.831,0.565,11,-13.778,1,0.0963,0.0176,0.892,0.103,0.485,125.042,4
spotify:track:6TtLKXKZp7jXsDVSGUj6LZ,"Fena","Fena EP","Impérieux",2025-06-06,284800,26,false,,2025-07-18T14:04:17Z,"melodic house","Hessle Audio",0.744,0.809,1,-8.392,1,0.0575,0.000892,0.868,0.153,0.186,141.02,4
spotify:track:124nj3QzqpccVdLbiFHPeB,"Mood Swings","Drop 7","Little Simz",2024-02-09,140733,49,false,,2025-07-18T14:04:17Z,"","Forever Living Originals",0.724,0.677,8,-8.978,1,0.05,0.0528,0.00126,0.752,0.296,129.87,4
spotify:track:4AEZSjnCFutO2QDscTyS3q,"Doomscroll","Doomscroll","DJ Doomscroll",2024-10-03,299995,12,false,,2025-07-18T14:04:17Z,"","Fever AM",0.779,0.89,11,-6.201,0,0.0556,0.0000211,0.953,0.0609,0.133,135.992,4
spotify:track:5Bs93ZX1NAjAT5tPyPLJRA,"Fatherless","Fatherless","Breach",2010-09-06,380213,14,false,,2025-07-18T14:04:17Z,"house","PTN",0.727,0.843,9,-6.973,0,0.0384,0.00119,0.861,0.313,0.247,127.977,4
spotify:track:1O2j6xoEmETsbTk9r8yyQO,"Order from Chaos","Emergence","Max Cooper",2016-11-25,461000,34,false,,2025-07-18T14:04:17Z,"minimal techno,idm,electronica","Mesh",0.591,0.882,9,-10.072,0,0.0576,0.0304,0.9,0.344,0.202,152.4,4
spotify:track:1Xgg0bhjK57PJ6WLYOi3oY,"Levo","Iffy","Recondite",2014-11-10,282746,48,false,,2025-07-18T14:04:17Z,"melodic techno,minimal techno,techno","Innervisions",0.722,0.53,7,-11.049,0,0.0656,0.00172,0.944,0.0998,0.0903,123.005,4
