Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2cRQA17KKBy0pklGxGZ699,"Deep Distance","New Age Of Earth","Ashra",1977-01-01,349666,41,false,,2021-08-17T02:11:46Z,"krautrock,space rock,ambient,new age,space music","Virgin Records",0.122,0.238,11,-18.753,1,0.0435,0.0471,0.923,0.122,0.218,86.55,4
spotify:track:4TBVy5cFYGmK5BA3rdMGEQ,"Chrome Country","R Plus Seven","Oneohtrix Point Never",2013-09-30,305287,51,false,,2021-08-17T02:11:46Z,"plunderphonics,idm,ambient,drone,experimental,vaporwave","Warp Records",0.264,0.318,8,-8.58,1,0.0366,0.124,0.894,0.0933,0.038,121.853,4
spotify:track:3vn9J0OLzUQGCR4oziEyXb,"Merge","Empetus (Deluxe)","Steve Roach",1986-08-12,383066,18,false,,2021-08-17T02:11:46Z,"space music,ambient,drone,new age,dark ambient,musique concrète","Projekt",0.58,0.55,5,-10.973,0,0.0535,0.835,0.944,0.317,0.7,179.578,3
spotify:track:7cwPQGHgob1v9pek8WnQRx,"Suite Bergamasque: Clair de Lune, No. 3","Tomita's Greatest Hits","Claude Debussy;Isao Tomita",1986-11-18,351533,35,false,,2021-08-17T02:11:46Z,"impressionism,classical,classical piano,electronic classical,new age,space music","BMG Music",0.0942,0.0206,1,-30.4,1,0.0413,0.766,0.838,0.0851,0.038,83.671,4
spotify:track:6YWl0uGhdL50JtN63OvO52,"Rhapsody in Green","Mother Earth's Plantasia","Mort Garson",2019-03-22,207697,48,false,,2021-08-17T02:11:46Z,"","Sacred Bones Records",0.314,0.0921,5,-22.081,0,0.0466,0.955,0.907,0.0736,0.13,66.468,4
spotify:track:1pCOM5VEp8DKmg8OYJYhHv,"Oxygène, Pt. 1","Oxygène","Jean-Michel Jarre",1976-12-05,459000,51,false,,2021-08-17T02:11:46Z,"new age,electronic,space music","Disques Dreyfus",0.0904,0.349,7,-13.147,0,0.0348,0.842,0.0037,0.165,0.0337,172.691,4
spotify:track:33zNcoFyeYniyckztTa5xT,"Treiben","Elemente","CV Vision",2021-03-26,892148,12,false,,2021-08-17T02:11:46Z,"","Patience",0.364,0.625,5,-13.831,0,0.0439,0.79,0.236,0.176,0.837,139.996,4
spotify:track:4rky5NWrNfRBH14cZmiqwF,"Merry-Go-Round","People On Sunday","Domenique Dumont",2020-11-13,107745,39,false,,2021-08-17T02:11:46Z,"","The Leaf Label",0.667,0.192,4,-16.564,0,0.0508,0.99,0.965,0.12,0.724,130.703,5
spotify:track:5zYhAOp5es0F7P8P7XFGUb,"Cybernaut","Zero Time","Tonto's Expanding Head Band",1971-06-15,271600,24,false,,2021-08-17T02:11:46Z,"krautrock","Rhino Atlantic",0.091,0.316,0,-12.639,1,0.0302,0.0255,0.946,0.405,0.381,74.657,4
spotify:track:6xR3XJki6rAeXgtZ9SWCEJ,"Young Archimedes (feat. BBC National Orchestra Of Wales)","Heat Ray: The Archimedes Project","Will Gregory Moog Ensemble;BBC National Orchestra Of Wales;Will Gregory",2024-06-14,219427,17,false,,2024-08-02T17:01:54Z,"orchestral","Mute",0.456,0.282,7,-15.334,1,0.0296,0.591,0.951,0.339,0.209,167.939,3
spotify:track:0L6hae9ELqDGAcgBQYPdsX,"Symphony for a Spider Plant","Mother Earth's Plantasia","Mort Garson",2019-03-22,161049,46,false,,2021-08-17T02:11:46Z,"","Sacred Bones Records",0.39,0.298,10,-16.987,1,0.0377,0.17,0.799,0.224,0.0682,139.437,3
spotify:track:2MCWogZJ7AcXkRwRN0xV73,"Lanquidity","Switched On Ra","Bitchin Bajas",2021-10-29,389780,14,false,,2022-02-21T19:59:18Z,"ambient jazz,space rock,krautrock,drone,ambient","Drag City Records",0.182,0.414,7,-12.176,0,0.0333,0.213,0.658,0.127,0.0386,76.961,4
spotify:track:63sVYHw6RXLDFN6P7KfJ2u,"Mariposas Acuáticas","Aquatic and Other Worlds","Oksana Linde",2022-03-25,104351,14,false,,2022-04-12T02:00:42Z,"","Buh Records",0.341,0.41,1,-8.513,0,0.0314,0.674,0.0173,0.147,0.56,149.832,4
spotify:track:3D94IdEFFnOL6wt2S2Dm1a,"Tropical Green (B) - Instrumental Version","Virtual World","David Vorhaus",1994-03-09,149266,16,false,,2021-08-17T02:11:46Z,"","KPM Main Series",0.822,0.21,10,-19.456,0,0.112,0.794,0.926,0.113,0.164,119.893,4
spotify:track:1TnSRPeMJJEHKSz45U0sOq,"Portofino 2","Manhattan Research, Inc.","Raymond Scott",2000,134600,40,false,,2021-08-17T02:11:46Z,"exotica,musique concrète,electroacoustic,avant-garde","Basta Audio-Visuals",0.575,0.404,10,-15.678,1,0.0407,0.985,0.916,0.112,0.81,112.31,3
spotify:track:5OrqoUGqxGZwa70Pun2ILf,"Walk to the Other Side of the Island","Didn't You Hear?","Mort Garson",1970-01-01,180550,33,false,,2021-08-17T02:11:46Z,"","Sacred Bones Records",0.275,0.528,0,-11.881,1,0.0573,0.878,0.623,0.0938,0.214,65.449,4
spotify:track:6oHzhkZn2bUCoCyg96PQFY,"Welcome To The Moog Brothers","Are You Sequenced?","Klaus Schulze",1996-09-27,387960,16,false,,2021-08-17T02:11:46Z,"krautrock,space music,ambient,new age,space rock,electroacoustic","SPV Recordings",0.5,0.297,1,-25.218,0,0.0484,0.0455,0.888,0.14,0.296,135.001,1
spotify:track:0oHtVQyBQY08BqadsturBJ,"The First Exploration @ SF Radical Laboratories, 1968","San Francisco Moog: 1968-72 Vol. 1","Doug McKechnie",2020-10-23,511000,9,false,,2024-08-21T02:31:59Z,"electroacoustic,musique concrète","VG+ Records",0.464,0.131,5,-22.796,1,0.0368,0.955,0.92,0.112,0.036,125.283,4
spotify:track:0kCQyuaJp2Rx6EKiENpB1q,"Romance","Romance 76","Peter Baumann",1976-01-01,368960,19,false,,2021-08-17T02:11:46Z,"krautrock,space music","One Up",0.746,0.278,10,-20.328,1,0.071,0.637,0.865,0.0827,0.738,121.816,4
spotify:track:7mfWIRcamQ3GP4GBOtG1hS,"Pesce Rosso","Hamra / Red","Charif Megarbane",2024-07-05,159500,31,false,,2024-06-18T16:38:44Z,"","HABIBI Funk Records",0.534,0.531,2,-10.072,1,0.0297,0.682,0.82,0.0918,0.768,129.85,4
spotify:track:2XV5CUyw7gPVi18d718D4f,"Plantasia","Mother Earth's Plantasia","Mort Garson",2019-03-22,201178,53,false,,2021-08-17T02:11:46Z,"","Sacred Bones Records",0.185,0.243,8,-12.646,1,0.0406,0.472,0.00772,0.0966,0.139,85.342,4
spotify:track:3YA3uJEowHQbyrMzam91jJ,"Lowpass Risotto","Available Forms","Tobor Experiment",2023-08-25,329870,20,false,,2023-12-20T05:07:47Z,"","Bearfunk",0.455,0.67,2,-9.062,0,0.0352,0.169,0.161,0.0798,0.74,99.558,4
spotify:track:5s16qoTbmN2tCbNbGKVMVw,"Ambling Antics","Kpm 1000 Series: Atmospheres","Ron Geesin",1977-01-01,134413,15,false,,2021-08-17T02:11:46Z,"electroacoustic,musique concrète,avant-garde,experimental","KPM 1000 LP Series",0.171,0.292,7,-8.813,1,0.0411,0.569,0.00602,0.539,0.428,33.762,4
spotify:track:7noeGi6e5U2YR01kNSQ1n3,"King Vincent","New Ways: Music from the Documentary I Dream of Wires (Deluxe Edition)","Solvent",2015-08-14,360503,16,false,,2021-08-17T02:11:46Z,"electroclash,cold wave,idm","Ghostly International",0.699,0.956,4,-7.656,0,0.0418,0.00691,0.864,0.11,0.775,104.989,4
spotify:track:2ZkxpMscjdH5t5UleRoYNS,"Buoyancy Theory (feat. BBC National Orchestra Of Wales)","Heat Ray: The Archimedes Project","Will Gregory Moog Ensemble;Will Gregory;BBC National Orchestra Of Wales",2024-06-14,192335,12,false,,2024-08-02T17:01:54Z,"orchestral","Mute",0.72,0.746,5,-9.63,1,0.0865,0.781,0.928,0.106,0.572,194.038,4
spotify:track:015Sda0FAkjTY5p9ftx7qo,"The Unexplained","The Unexplained","Ataraxia;Mort Garson",1975-10-01,188165,26,false,,2021-08-17T02:11:46Z,"","RCA/Legacy",0.518,0.786,11,-14.936,0,0.0385,0.000291,0.846,0.354,0.682,132.813,4
spotify:track:65dwN2ShJ41zd8BNZ4gdMF,"Theme from Music for Sensuous Lovers Part I - Instrumental","Music from Patch Cord Productions","Mort Garson;Z",2020-11-06,190507,20,false,,2021-08-17T02:11:46Z,"","Sacred Bones Records",0.272,0.688,7,-6.593,1,0.05,0.0287,0.831,0.552,0.38,186.339,4
spotify:track:2TYPY7sEP9cBAcqScBiNEQ,"Unavailable Memory","Moog (Original Film Soundtrack)","Meat Beat Manifesto",2004-01-01,294426,15,false,,2021-08-17T02:11:46Z,"industrial,big beat,acid house,trip hop,idm,ebm,musique concrète,breakbeat","Hollywood Records",0.645,0.915,1,-6.854,1,0.034,0.0000109,0.901,0.0621,0.451,92.018,4
spotify:track:7vLKG4ww0P8seUUsbgpcz3,"Oxygène, Pt. 2","Oxygène","Jean-Michel Jarre",1976-12-05,466000,55,false,,2021-08-17T02:11:46Z,"new age,electronic,space music","Disques Dreyfus",0.396,0.825,2,-7.649,0,0.0489,0.219,0.611,0.114,0.354,173.615,3
spotify:track:7N0GNjGDywjaR0Ns91PiAv,"Soft Space","Alive and Well - Recorded in Paris","Soft Machine",2010,497626,15,false,,2024-05-30T23:12:42Z,"progressive rock,jazz fusion,krautrock,psychedelic rock,art rock,acid rock,space rock","Cherry Red Records",0.501,0.991,9,-9.33,0,0.051,0.000132,0.571,0.132,0.387,142.538,4
spotify:track:1UPHzns78VMAJtUtpvkw5B,"Meditation Moog 1968","San Francisco Moog: 1968-72 Vol. 1","Doug McKechnie",2020-10-23,263986,9,false,,2024-08-21T02:31:59Z,"electroacoustic,musique concrète","VG+ Records",0.257,0.0238,0,-27.505,0,0.0755,0.825,0.925,0.1,0.0355,125.773,3
spotify:track:42ubQOTKEONle9BNTlHTu3,"Portofino 1","Manhattan Research, Inc.","Raymond Scott",2000,133533,38,false,,2021-08-17T02:11:46Z,"exotica,musique concrète,electroacoustic,avant-garde","Basta Audio-Visuals",0.626,0.355,1,-13.861,1,0.0381,0.0661,0.267,0.11,0.663,151.107,4
spotify:track:5W86tGQznqxaODJnZeIfnf,"Monsters","Available Forms","Tobor Experiment",2023-08-25,465128,17,false,,2023-12-20T05:07:47Z,"","Bearfunk",0.379,0.716,2,-8.567,1,0.0351,0.0193,0.194,0.109,0.264,81.958,4
spotify:track:07Y2a4zGLw0w7prWbZl0uJ,"Song of the Second Moon","Song of the Second Moon","Kid Baltan",2015-04-07,188203,10,false,,2021-08-17T02:11:46Z,"musique concrète,electroacoustic,avant-garde,krautrock,experimental","THE WIRE RECORDINGS",0.571,0.974,0,-8.225,1,0.906,0.943,0.91,0.474,0.388,160.441,5
