Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2cRQA17KKBy0pklGxGZ699,"Deep Distance","New Age Of Earth","Ashra",1977-01-01,349666,41,false,,2023-08-18T14:02:54Z,"krautrock,space rock,ambient,new age,space music","Virgin Records",0.122,0.238,11,-18.753,1,0.0435,0.0471,0.923,0.122,0.218,86.55,4
spotify:track:3Z9PWaE8d55XcOxEHwx6U8,"Meditation No. 1","Ambient 3: Day Of Radiance","Laraaji;Brian Eno",1980-08-01,1127173,36,false,,2023-08-18T14:02:54Z,"ambient,new age,drone,krautrock,art rock,minimalism,glam rock,space music","EMI Catalogue",0.146,0.0615,2,-23.666,1,0.0351,0.994,0.888,0.08,0.0375,138.922,3
spotify:track:2LFvHkgLws1Qb6kQA1CQHi,"Garden Of Paradise - 2006 Remaster","Rainbow Dome Musick (2006 Remaster)","Steve Hillage",1979-04-13,1394160,18,false,,2023-08-18T14:02:54Z,"space rock,progressive rock,krautrock,art rock,neo-psychedelic,acid rock,psychedelic rock","Virgin Catalogue",0.19,0.521,0,-16.083,1,0.0437,0.744,0.736,0.0904,0.0379,138.855,4
spotify:track:21GAShK3ha9dEfdhQBjqOy,"Rubycon - Pt. 1 / Remastered 2018","Rubycon (Deluxe Version)","Tangerine Dream",1975-03-21,1037451,32,false,,2023-08-18T14:02:54Z,"krautrock,space music,space rock,progressive rock,new age,ambient","UMC (Universal Music Catalogue)",0.251,0.348,10,-20.339,0,0.0534,0.843,0.917,0.196,0.0361,130.186,3
spotify:track:0hds7dcDAF2XkSqD5fycti,"Formentera Sunset Clouds","Inter-Dimensional Music","Iasos",1975-01-01,290053,31,false,,2023-08-18T14:02:54Z,"new age,ambient,space music,drone","Inter-Dimensional Music",0.154,0.324,5,-17.58,0,0.0939,0.953,0.918,0.251,0.0333,77.49,4
spotify:track:7K390g1jaEEG634ILDD4mW,"Ocean Of Tenderness","New Age Of Earth","Ashra",1977-01-01,762666,33,false,,2023-08-18T14:02:54Z,"krautrock,space rock,ambient,new age,space music","Virgin Records",0.111,0.19,7,-21.75,1,0.0348,0.712,0.924,0.242,0.0377,87.636,1
spotify:track:5DhUiqa8Fc48J17GZtAs7i,"Music for Gymnastics","Gymnosphere: Song of the Rose","Jordan De La Sierra",2014-12-02,1457253,32,false,,2023-08-18T14:02:54Z,"new age,ambient","Numero Group",0.136,0.119,4,-22.908,0,0.0378,0.993,0.899,0.087,0.141,177.374,4
spotify:track:5ikCRvgA7JC7Fa9ygBQpmG,"The Third Wave - Love In The Waves","Seven Waves","Suzanne Ciani",1982,317733,28,false,,2023-08-18T14:02:54Z,"new age,ambient","Seventh Wave",0.103,0.149,1,-22.092,1,0.0407,0.908,0.946,0.941,0.0798,167.105,3
spotify:track:76lbYpKnn31T0nnRs5AZXs,"Movements Of A Visionary - Remastered 2018","Phaedra (Deluxe Version)","Tangerine Dream",1974-02-20,477322,31,false,,2023-08-18T14:02:54Z,"krautrock,space music,space rock,progressive rock,new age,ambient","UMC (Universal Music Catalogue)",0.285,0.422,0,-19.403,0,0.215,0.94,0.861,0.295,0.515,122.497,4
spotify:track:1bHEqY4jyrGA1S4cC61scR,"In the Beginning","Soul Jazz Records Presents Space, Energy & Light: Experimental Electronic and Acoustic Soundscapes 1961-88","Michael Stearns",2017-07-14,481320,19,false,,2023-08-18T14:02:54Z,"space music,new age,ambient","Soul Jazz Records",0.0672,0.244,9,-15.196,0,0.037,0.819,0.861,0.12,0.0346,73.441,3
