Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3ldCa67CgrPPYWbuxHHHlw,"Oyinmomo","Man No Die","Bola Johnson",2010-10-04,169946,6,false,31u6mpucjxwpcwpow4rhx7lul3jq,2022-04-01T19:21:20Z,"highlife,afrobeat","Vampisoul",0.547,0.396,6,-10.527,1,0.0819,0.605,0.00000142,0.129,0.866,138.016,4
spotify:track:2PY81jhPetXiiJYT5fHu54,"Ezuku Buzo","Man No Die","Bola Johnson",2010-10-04,175493,18,false,31u6mpucjxwpcwpow4rhx7lul3jq,2022-04-01T19:21:25Z,"highlife,afrobeat","Vampisoul",0.723,0.56,5,-8.293,1,0.507,0.672,0,0.151,0.911,115.116,4
spotify:track:5uscjCcGU5eMxCoN2o1ACp,"Cler Achel","Aman Iman: Water Is Life","Tinariwen",2007-02-04,267533,0,false,31u6mpucjxwpcwpow4rhx7lul3jq,2022-04-01T19:21:39Z,"gnawa","Independiente",0.685,0.797,2,-5.372,1,0.0558,0.506,0.00923,0.069,0.926,98.614,4
spotify:track:3BgIjrOHvAAf9eDtFU3yWs,"Chismiten","Chismiten","Mdou Moctar",2020-10-07,298969,0,false,31u6mpucjxwpcwpow4rhx7lul3jq,2022-04-01T19:21:43Z,"gnawa,neo-psychedelic","Matador",0.262,0.828,5,-7.089,0,0.159,0.00215,0.752,0.155,0.673,147.52,4
spotify:track:1ASQZ8acmZj1IOFoXggUf9,"Sinanon Saran (Chant de griot)","The Routes of Slavery","Jordi Savall;Kassé-Mady Diabaté;Mamani Keïta;Nana Kouyate;Tanti Kouyaté;Driss El Maloumi;Ballaké Sissoko;Rajery",2017-02-17,223973,38,false,31u6mpucjxwpcwpow4rhx7lul3jq,2022-04-01T19:21:44Z,"early music,renaissance,baroque,medieval,classical,ethiopian jazz,afropop,gnawa","Alia Vox",0.483,0.322,5,-19.861,1,0.0379,0.823,0.0289,0.0981,0.607,86.303,3
spotify:track:0irBIwMyqnB2MtUww6P6iY,"Manden Mandinkadenou (Chant de griot)","The Routes of Slavery","Jordi Savall;Kassé-Mady Diabaté;Mamani Keïta;Nana Kouyate;Tanti Kouyaté;Driss El Maloumi;Ballaké Sissoko;Rajery",2017-02-17,281093,30,false,31u6mpucjxwpcwpow4rhx7lul3jq,2022-04-01T19:21:45Z,"early music,renaissance,baroque,medieval,classical,ethiopian jazz,afropop,gnawa","Alia Vox",0.33,0.305,0,-17.056,1,0.0375,0.824,0.00471,0.106,0.685,62.326,4
spotify:track:4oYwvjJ2Yq3Yn4Fqgn3uOg,"Awa adounia","Kel Tamasheq (Deluxe Edition)","Liya Ag Ablil;Nadia Nid El Mourid;Abdallah Ag Ahmed;Mathias Vaguenez;Sanou Ag Ahmed;Yamina Nid El Mourid",2012-08-28,284840,44,false,31u6mpucjxwpcwpow4rhx7lul3jq,2022-04-01T19:21:46Z,"gnawa","world village",0.617,0.827,10,-8.936,0,0.0348,0.125,0.198,0.085,0.846,101.154,4
spotify:track:4W3W4cbErPT3JCW60IxKKj,"How Dare You","St Germain","St Germain",2015-10-09,403693,45,false,31u6mpucjxwpcwpow4rhx7lul3jq,2022-04-01T19:21:54Z,"jazz house,nu jazz,acid jazz,downtempo,lounge","Parlophone (France)",0.58,0.612,8,-11.631,1,0.0735,0.107,0.0365,0.226,0.555,124.022,4
spotify:track:51QzpyWfcrpPAqBLUIDsex,"Saya","Fasiya","Sona Jobarteh",2011-06-16,235920,55,false,31u6mpucjxwpcwpow4rhx7lul3jq,2022-04-01T19:21:56Z,"","African Guild Records",0.484,0.256,11,-17.542,1,0.0407,0.901,0.022,0.0867,0.411,166.211,3
spotify:track:2NtyDSaFqIDYbEohwT2PaP,"Mamamuso","Fasiya","Sona Jobarteh",2011-06-16,255253,42,false,31u6mpucjxwpcwpow4rhx7lul3jq,2022-04-01T19:21:57Z,"","African Guild Records",0.728,0.613,5,-10.418,1,0.0305,0.679,0.0139,0.0675,0.403,108.004,4
