Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4t3Yh6tKkxXrc458pNI7zZ,"Thursday Afternoon - 2005 Digital Remaster","Thursday Afternoon","Brian Eno",1985-10-01,3650800,38,false,stevengelberg,2018-03-04T22:08:00Z,"ambient,krautrock,art rock,minimalism,drone,glam rock,space music","EMI Catalogue",0.0918,0.0569,0,-31.808,1,0.0358,0.976,0.884,0.0842,0.0528,81.944,3
spotify:track:16oFawkVX5ym49QxR25801,"Ethereal Dreams","Ambient Music For Sleep","Dr. Jeffrey Thompson",2001-09-18,1822760,13,false,stevengelberg,2018-03-04T23:07:43Z,"","The Relaxation Company",0.0761,0.0237,9,-34.637,1,0.045,0.791,0.952,0.112,0.0371,82.513,4
spotify:track:26NHseYIJUFPnFmRva0TzO,"Plateua","Emerald","Elve",2010-08-27,531813,13,false,stevengelberg,2018-03-04T23:20:53Z,"ambient,space music,drone","Virtual",0.0868,0.158,8,-26.344,1,0.0885,0.948,0.492,0.872,0.0833,74.859,4
spotify:track:0VMPB82x9f8p0BsCRUxdQB,"The Arrival","A Distant Light","Hollan Holmes",2011-01-01,415786,12,false,stevengelberg,2018-03-04T23:45:43Z,"space music,drone,ambient","Hollan Holmes",0.14,0.0634,7,-29.708,1,0.0408,0.995,0.968,0.0596,0.0347,60.997,4
spotify:track:5hjelKHty29VfJlfjMES9J,"Light And Truth","Luminosity","Jeffrey Koepper",2009-01-04,593600,7,false,stevengelberg,2018-03-05T23:15:17Z,"space music,ambient,drone","air space records",0.177,0.101,2,-20.387,1,0.0419,0.984,0.924,0.0859,0.0347,122.478,4
spotify:track:44ncVQBWfEMXMLZFcoWxFc,"Moonlight","The River","Michael DeMaria",2003-01-01,501706,7,false,stevengelberg,2018-03-06T01:05:57Z,"native american music","ONTOS MUSIC",0.368,0.0437,5,-23.371,1,0.0394,0.993,0.0303,0.0828,0.468,145.837,4
spotify:track:4o6DNMfbOBmkRcJ4PuZPuy,"Meditation for Dreams Sound Effects Tone When You Sleep","Meditation Tones and Drones","Relaxation And Meditation",2009-11-10,302000,5,false,stevengelberg,2018-03-06T02:47:29Z,"","Hot Ideas",0.0845,0.193,0,-14.49,1,0.04,0.993,0.922,0.114,0.0257,168.106,4
spotify:track:1iukOVoRCgVL5TKFWdAas3,"Here","Low Volume Music","Steve Roach;Dirk Serries",2012-06-19,481946,0,false,stevengelberg,2018-03-06T03:33:08Z,"space music,ambient,drone,new age,dark ambient,musique concrète","Projekt",0.0581,0.0651,7,-23.524,1,0.0474,0.909,0.946,0.179,0.0334,51.973,4
spotify:track:3diKSOWipCGSG70is6HrH6,"Mycelium Dawn","Infinite Garden","Elve",2007-11-13,331906,8,false,stevengelberg,2018-03-07T00:09:36Z,"ambient,space music,drone","Virtual",0.131,0.0309,0,-29.989,1,0.033,0.408,0.0119,0.306,0.0675,67.188,3
spotify:track:0iGOdALIz2yJYmYAmzfsny,"Pure Drone 10","Pure Drones, Vol. II","Sheila Chandra;The Ganges Orchestra",2013-02-04,420000,0,false,stevengelberg,2018-03-14T00:32:26Z,"drone","Indipop Records",0.15,0.156,9,-16.693,0,0.0416,0.746,0.981,0.0862,0.036,71.262,3
