Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3cZI1AvmNf8grf8iHI9nxp,"Nevermore","Leaving","Monomotion",2017-04-21,228910,14,false,12185384204,2025-03-28T13:28:01Z,"","Fake Music",0.477,0.436,1,-10.104,1,0.0342,0.615,0.691,0.0993,0.0371,150.004,4
spotify:track:6Nhr9XdQhETmwZSOiptcc0,"Arrival","Departure","IHF",2016-12-02,217777,0,false,12185384204,2025-03-28T13:28:01Z,"chillstep","Seeking Blue",0.638,0.396,11,-7.599,0,0.0335,0.173,0.184,0.145,0.0756,89.976,4
spotify:track:4AR7o2fw43h7VFAu2UaGp8,"Watching You Fake A Smile","The Future We Used To Have","Aether",2017-08-28,216773,16,false,12185384204,2025-03-28T13:28:01Z,"chillstep","Fent Plates",0.591,0.413,3,-17.848,0,0.0639,0.674,0.864,0.123,0.0348,124.035,4
spotify:track:1yE8tH78TfaNWHGGcBbNJV,"Falling","Falling","Tim Schaufert",2017-08-23,228142,0,false,12185384204,2025-03-28T13:28:01Z,"chillstep,witch house","Artist Intelligence Agency",0.558,0.582,8,-13.508,0,0.0361,0.239,0.803,0.127,0.0976,140.029,4
spotify:track:4QeJJXqKtMDFYMWhcvwdMU,"Changes","Forgive / Changes","Mala",2007-04-18,410973,0,false,12185384204,2025-03-28T13:28:01Z,"dubstep,dub","Deep Medi Musik",0.68,0.538,11,-11.363,0,0.0408,0.000689,0.83,0.0765,0.0994,139.007,4
spotify:track:0L16JHkWHDIyUQA9ZFqOJJ,"Need","Need","Kazukii",2017-01-30,240015,42,false,12185384204,2025-03-28T13:28:01Z,"chillstep,dark ambient,ambient","764168 Records DK2",0.324,0.253,9,-16.175,1,0.0484,0.215,0.9,0.109,0.0397,119.984,4
spotify:track:4WjHg5z46k2Kny3thcjCyL,"Low End Theories","Low End Theories","Headphone Activist",2017-10-13,210796,29,false,12185384204,2025-03-28T13:28:01Z,"dark ambient,ambient","Headphone Activist",0.551,0.425,1,-10.533,1,0.0378,0.0752,0.899,0.11,0.045,82.017,4
spotify:track:4055bGilGGI15QpBX8tsE9,"Thamiam","Audio Dope","Audio Dope",2018-02-02,199897,7,false,12185384204,2025-03-28T13:28:01Z,"lo-fi house","Majestic Casual Records",0.76,0.449,5,-9.149,0,0.0376,0.0431,0.792,0.107,0.549,137.991,4
spotify:track:4N4cETijYD18C7bSJl8Vxy,"Sine Ira","The Dawn: Chapter 1","Kisnou",2018-06-07,211200,41,false,12185384204,2025-03-28T13:28:01Z,"chillstep","New Dawn",0.467,0.655,4,-9.961,0,0.0644,0.544,0.918,0.104,0.106,74.082,4
spotify:track:2mdTqpIA6Eg0FD0keJB5Fj,"Fading","Fading","Sappheiros",2017-09-27,267403,35,false,12185384204,2025-03-28T13:28:01Z,"chillstep","Sappheiros",0.443,0.448,1,-12.415,0,0.0636,0.933,0.917,0.0842,0.11,169.462,4
