Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:72gzwCIiuhigAGECE7vDoT,"IMMA","IMMA","ATLiens;Badrapper",2018-10-24,199384,15,true,31vvt5lhdiv25a7rqs6qotvxeu6y,2021-02-12T18:19:59Z,"riddim,dubstep,deathstep,bass music,edm","Space Cult",0.814,0.747,11,-4.092,0,0.104,0.00545,0.412,0.114,0.353,130.076,4
spotify:track:2vQXEBRP5l9VLKkusaJGRo,"Big Daddy","Big Daddy","Jub",2020-09-21,226050,12,false,31vvt5lhdiv25a7rqs6qotvxeu6y,2021-02-12T19:24:19Z,"riddim,dubstep,deathstep,bass music","Savage Society Records",0.678,0.936,1,0.278,1,0.0803,0.00229,0.0117,0.34,0.448,150.11,4
spotify:track:1nST0Urrdls49YkwoGKBkk,"Calling for Me (Lofreq Cypher, Vol. 2)","Calling for Me (Lofreq Cypher, Vol. 2)","Star Monster",2021-02-08,198857,0,false,31vvt5lhdiv25a7rqs6qotvxeu6y,2021-02-12T19:30:50Z,"","LoFreq Records",0.499,0.854,7,-4.215,1,0.163,0.00992,0.126,0.94,0.224,140.033,4
spotify:track:5JXCNpLV6DDBrMH3YBztAO,"Grease","Exoplanet EP","Dubloadz;G-REX",2020-04-24,201600,20,false,31vvt5lhdiv25a7rqs6qotvxeu6y,2021-02-12T19:44:31Z,"riddim,dubstep,deathstep,bass music,bass house,dub","Deadbeats",0.517,0.866,11,-2.332,0,0.418,0.0625,0.000558,0.273,0.343,149.934,4
spotify:track:4HiuT2pdJzwdSKf72aSdhs,"Spaceboss","Weird & Wonderful","Liquid Stranger;Space Jesus",2017-02-03,230205,44,false,31vvt5lhdiv25a7rqs6qotvxeu6y,2021-02-12T19:48:07Z,"dubstep,bass music,dub,riddim,downtempo,edm","Wakaan",0.725,0.722,9,-4.824,1,0.0712,0.00416,0.19,0.181,0.345,74.999,4
spotify:track:4CFPxlANCY7thZV8nVxHVy,"Broken Machine","Broken Machine","Sam Lamar",2021-01-22,212584,0,false,31vvt5lhdiv25a7rqs6qotvxeu6y,2021-02-13T09:18:51Z,"riddim,dubstep,deathstep,bass music","Bassrush Records",0.525,0.883,3,-1.524,1,0.203,0.0047,0.493,0.208,0.153,150.043,4
spotify:track:4kVcwZlhWH2idgqLHeY6GZ,"We Dun Care","We Dun Care","Jaenga;Bijou Violet",2021-01-22,223003,13,true,31vvt5lhdiv25a7rqs6qotvxeu6y,2021-02-13T09:20:34Z,"dubstep,bass music,future bass","Deadbeats",0.712,0.87,2,-4.047,1,0.211,0.000791,0.000899,0.485,0.155,159.992,4
spotify:track:66FmJZ2ZnFE0fdVhy3Ebrv,"Power","Dreams EP","Vibe Emissions",2019-12-01,284571,5,false,31vvt5lhdiv25a7rqs6qotvxeu6y,2021-03-07T22:39:17Z,"dubstep,bass music","After Dark Music [ADM]",0.691,0.347,5,-6.857,0,0.0385,0.00173,0.567,0.178,0.0715,140.004,4
spotify:track:3zjx24dKimAUvpxBLucXRq,"Dragonhawks","CONVOY","Liquid Stranger;Space Jesus",2018-04-20,396537,39,false,31vvt5lhdiv25a7rqs6qotvxeu6y,2021-10-23T08:21:58Z,"dubstep,bass music,dub,riddim,downtempo,edm","Wakaan",0.769,0.663,6,-5.56,0,0.0689,0.034,0.0173,0.0826,0.21,124.039,4
spotify:track:76CYdO3JjB7ztZr9RsWPm7,"Mind Filth","Thought Process EP","Mize;Space Wizard",2020-11-17,214123,0,false,31vvt5lhdiv25a7rqs6qotvxeu6y,2022-05-20T05:26:10Z,"downtempo,riddim,dubstep,bass music","WAKAAN",0.447,0.838,9,-5.626,1,0.341,0.00162,0.00029,0.233,0.0817,77.725,4
spotify:track:7gBqcpeEdmkU02zYVLfHX6,"WILD ORCHIDS","PEACE LOVE & WUBZ","LSDREAM;Karra",2021-09-24,275320,0,false,31vvt5lhdiv25a7rqs6qotvxeu6y,2022-05-21T21:40:08Z,"dubstep,bass music,edm","WAKAAN",0.491,0.674,7,-5.484,1,0.038,0.00897,0.0683,0.0903,0.073,109.88,4
spotify:track:4QE8YoGqS3XshR6fiQD5e3,"EXPAND THE UNIVERSE","RENEGADES OF LIGHT","LSDREAM;Gravitrax",2019-04-12,226706,0,false,31vvt5lhdiv25a7rqs6qotvxeu6y,2022-05-21T22:13:42Z,"dubstep,bass music,edm","WAKAAN",0.6,0.901,1,-3.754,1,0.101,0.00338,0.000611,0.803,0.218,95.007,4
spotify:track:3Q8AoPqEXjTWDJ91fzfw0a,"REKT","RENEGADES OF LIGHT","LSDREAM;Kayoh",2019-04-12,171870,0,false,31vvt5lhdiv25a7rqs6qotvxeu6y,2022-05-21T22:14:46Z,"dubstep,bass music,edm","WAKAAN",0.901,0.938,11,-5.216,1,0.294,0.0288,0.123,0.219,0.357,94.992,4
spotify:track:2WsECV1DQubOiyEauuq8ys,"Acid Love","Acid Love / I Wanna Party","Trinergy",2020-10-09,221162,20,false,31vvt5lhdiv25a7rqs6qotvxeu6y,2022-06-10T04:30:10Z,"dubstep,deathstep,riddim,bass music,drumstep","Never Say Die Records",0.512,0.943,6,-2.192,1,0.346,0.00205,0.528,0.424,0.571,149.869,4
spotify:track:0seJ2jbOxnuLy7oxvvsNz0,"WILDFIRE","LINGUISTICS EP","Jaenga;Charmae",2020-01-31,291053,32,false,31vvt5lhdiv25a7rqs6qotvxeu6y,2022-06-10T04:43:54Z,"dubstep,bass music","Deadbeats",0.404,0.94,11,-4.898,0,0.153,0.000186,0.24,0.283,0.0668,150.147,4
