Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7C8zgXqU0sEP4XoEMd7Oyu,"Spontaneous Simplicity - mixed","Gilles Peterson Presents Sun Ra And His Arkestra: To Those Of Earth... And Other Worlds (Mixed Tracks)","Sun Ra;Sun Ra Arkestra",2015-10-30,173800,0,false,juridicus1,2017-02-04T19:35:46Z,"free jazz,experimental jazz,jazz,avant-garde,hard bop","Strut",0.651,0.33,2,-15.499,1,0.0769,0.436,0.413,0.11,0.199,110.752,4
spotify:track:6FERZX07fqebws3FeqChTl,"Prints Tie","San Francisco","Bobby Hutcherson;Harold Land",1971-05-01,449600,25,false,juridicus1,2017-02-04T19:12:08Z,"hard bop,jazz,free jazz,jazz funk,jazz ballads,bebop,cool jazz","Blue Note Records",0.331,0.254,6,-15.98,1,0.0339,0.824,0.52,0.0911,0.229,83.94,3
spotify:track:3hbx2HUnYoLu5KuxiBJrAB,"Mathar","Masterpieces","Dave Pike Set",2014-01-31,223573,46,false,juridicus1,2017-02-04T05:12:42Z,"","MPS",0.659,0.788,7,-6.245,0,0.0555,0.205,0.783,0.144,0.51,115.685,4
spotify:track:2nLen3Os48mtLFGK0YXp89,"Trollkarlen Och Fågeldräkten","Häxan","Dungen",2017-01-09,270106,0,false,juridicus1,2017-02-27T05:30:43Z,"neo-psychedelic,psychedelic rock,space rock,swedish pop","Mexican Summer",0.251,0.726,9,-7.667,1,0.0443,0.0203,0.9,0.142,0.417,100.319,3
spotify:track:1axEmrdG8FmF7FE9By2otT,"Silver Cycles","Silver Cycles","Eddie Harris",1969,352546,17,false,juridicus1,2017-02-04T18:44:19Z,"soul jazz,jazz funk,hard bop,jazz,jazz ballads","Rhino Atlantic",0.273,0.291,9,-14.898,0,0.0448,0.97,0.909,0.212,0.179,75.785,4
spotify:track:0JXsznzOVq563jXIGDkEIz,"Valley Of Life","Sahara","McCoy Tyner",1972-01-01,317026,19,false,juridicus1,2017-02-05T03:30:10Z,"jazz,hard bop,jazz ballads,cool jazz,bebop,free jazz","Original Jazz Classics",0.343,0.367,7,-18.712,0,0.0434,0.557,0.721,0.159,0.447,80.731,4
spotify:track:5Ul2Jf0VvH3Hy5eoAffYCD,"Morning Prayer","Thembi","Pharoah Sanders",1971,550777,29,false,juridicus1,2017-02-04T18:53:00Z,"free jazz,ambient jazz,jazz,experimental jazz,hard bop","Impulse!",0.578,0.638,10,-13.121,0,0.0714,0.61,0.856,0.141,0.746,88.046,4
spotify:track:64l2PH3K4EO3iwDk86uaLY,"You'll Know When You Get There","Mwandishi","Herbie Hancock",1971,614760,25,false,juridicus1,2017-02-04T18:57:04Z,"jazz,jazz fusion,jazz funk,hard bop,cool jazz","Rhino/Warner Records",0.361,0.252,4,-15.307,0,0.0337,0.939,0.711,0.0811,0.107,125.665,4
spotify:track:2SpVYLprpvMsIiYhTvL2fY,"Vibrafinger","Good Vibes","Gary Burton",2005-07-26,398440,17,false,juridicus1,2017-02-27T05:24:45Z,"jazz,jazz fusion","Rhino Atlantic",0.234,0.868,4,-8.927,0,0.0423,0.248,0.00139,0.0795,0.568,89.535,3
spotify:track:1VJFzbDPTpfbWo4JzOAS0E,"Moti Mo","It's A Jungle In Here","Medeski, Martin & Wood",1993,480200,17,false,juridicus1,2017-02-04T18:35:32Z,"jazz funk,jam band,jazz fusion,acid jazz,experimental jazz,jazz","Ryko/WEA",0.502,0.142,7,-20.251,1,0.04,0.653,0.915,0.0582,0.108,125.903,4
spotify:track:2sp4lzbk4TL2RZ6EUPCMql,"Xibaba","Electric Byrd","Donald Byrd",1970-01-01,822226,16,false,juridicus1,2017-02-04T18:37:32Z,"hard bop,jazz funk,jazz,soul jazz,jazz fusion,bebop,acid jazz","Blue Note Records",0.386,0.205,9,-20.053,1,0.0408,0.36,0.759,0.147,0.0371,102.232,3
spotify:track:6iDaMej2YY21OfOMfUXVe2,"Willy's Headache","Second Time Round","Cymande",2013-08-09,291720,0,false,juridicus1,2017-02-04T18:45:37Z,"funk,afrobeat","Alaska",0.683,0.409,2,-10.426,1,0.0308,0.464,0.0822,0.119,0.74,114.488,5
spotify:track:1jdhg20IDxH02Ffj0XAdVD,"The Black Riders & Flight to the Ford","Lord of the Rings","Bo Hansson",1970-11-02,247986,0,false,juridicus1,2017-02-27T05:25:10Z,"progressive rock,krautrock,space rock","Silence Records",0.411,0.911,2,-7.264,1,0.0436,0.0102,0.00183,0.133,0.383,125.701,4
spotify:track:6oqfc7uRv9EP4QLQzrw0HC,"Voice of Space","Cosmic Tones for Mental Therapy","Sun Ra",1963,465716,0,false,juridicus1,2017-02-04T18:51:32Z,"free jazz,experimental jazz,jazz,avant-garde,hard bop","Enterplanetary Koncepts",0.391,0.628,5,-15.454,1,0.0483,0.603,0.0351,0.11,0.616,97.347,4
spotify:track:7jo2ZXbvyvaxopaHeCd6Bg,"Celestial Strings","Move Ever Onward","Brother Ah",2016-07-22,523792,0,false,juridicus1,2017-02-05T18:42:17Z,"free jazz,experimental jazz","Manufactured Recordings",0.377,0.574,4,-10.742,1,0.0722,0.154,0.253,0.104,0.458,97.506,4
spotify:track:31jdYnUv5ujLsOLMhRm6KR,"Mandala","Lloyd Miller & The Heliocentrics","Lloyd Miller;The Heliocentrics",2010-08-02,202093,0,false,juridicus1,2017-02-05T18:40:35Z,"ethiopian jazz,free jazz,afrobeat,nu jazz","Strut",0.358,0.629,4,-12.403,1,0.0541,0.118,0.828,0.0794,0.612,109.378,3
spotify:track:4FDIAViH2DKofVPbP8fbWj,"Nne (Part 2) - Live at Carnegie Hall, New York, NY - March 1974","Dark Magus: Live At Carnegie Hall","Miles Davis",1977-01-01,610800,14,false,juridicus1,2017-02-27T05:23:56Z,"jazz,cool jazz,hard bop,bebop,jazz fusion,jazz ballads,free jazz","Columbia/Legacy",0.31,0.801,3,-11.565,1,0.369,0.362,0.324,0.784,0.273,87.507,4
spotify:track:3Q8622AqGJt32HXSomCh7Q,"Take off Your Clothes and Feel the Setting Sun","The Oimels","Wolfgang Dauner",2015-07-17,241013,35,false,juridicus1,2017-02-04T05:13:27Z,"krautrock,free jazz,jazz fusion,avant-garde","MPS",0.473,0.447,3,-12.473,1,0.0435,0.545,0.0000685,0.211,0.634,140.742,4
spotify:track:2l58LKKJbDu4AwGyeqDHMC,"Mfwala Myo La La","Bittersuite in the Ozone","Bob Moses;Randy Brecker;Dave Liebman;Howard Johnson;Mike Lawrence;Jeanne Lee;Eddie Gómez;Jack Gregg;Billy Heart;Dave Eyges;Stanley Free;John D'Earth",2014-08-01,487160,6,false,juridicus1,2017-02-05T18:56:40Z,"experimental jazz,jazz fusion,jazz,big band,jazz funk,free jazz,ambient jazz,post-disco,funk,comedy,vocal jazz,avant-garde","Ra-Kalam Records",0.334,0.653,0,-10.66,1,0.434,0.583,0.0412,0.131,0.418,79.352,4
spotify:track:2dB288XFCTJbGmvXi82u0x,"Consequences of a Drug Addict Role","Songs of Lost Love Sung By Shirley Horn","Shirley Horn",2011-11-11,363960,6,false,juridicus1,2017-02-04T19:12:35Z,"vocal jazz,jazz,jazz ballads","Fresh Sound Records",0.312,0.125,0,-21.775,0,0.0646,0.919,0.00721,0.0483,0.16,79.003,3
spotify:track:7zXSz1qazjUrBYk2Bh0ei9,"Bialero","Black Woman","Sonny Sharrock",1969,291640,20,false,juridicus1,2017-02-04T19:18:26Z,"free jazz,avant-garde,experimental jazz","Rhino Atlantic",0.229,0.518,7,-15.204,0,0.0425,0.686,0.272,0.173,0.501,84.977,5
spotify:track:4Keh41jYFaVPP5C82DxmTG,"Fleurette Africaine (African Flower) - Remastered","Money Jungle","Duke Ellington",1962,216333,41,false,juridicus1,2017-02-05T03:56:51Z,"jazz,big band,swing music,cool jazz,jazz ballads","Blue Note Records",0.431,0.21,1,-19.24,1,0.0299,0.937,0.921,0.108,0.493,118.996,4
spotify:track:3sYTW685WCkAf1VX3MC5Dc,"Circadian Clocks","Things That Grow","Cara Stacey",2015-09-18,256500,7,false,juridicus1,2017-02-27T05:32:32Z,"experimental jazz","Kit Records",0.244,0.376,10,-17.309,0,0.0617,0.936,0.641,0.244,0.805,102.637,4
spotify:track:4EJh4lgZ3wEIiipDZ47P2v,"Psychopomp","Däfos","Mickey Hart",1989-01-01,278106,6,false,juridicus1,2017-02-05T03:51:27Z,"jam band","Mickey Hart Collection",0.108,0.00341,6,-38.701,0,0.0554,0.982,0.888,0.367,0.0374,69.465,4
spotify:track:7htLIqdtGO8IpBgnSHDu7C,"One A.M. Approach","Hooteroll?","Jerry Garcia;Howard Wales",1971-01-01,283469,0,false,juridicus1,2017-02-05T19:09:17Z,"bluegrass,jam band,free jazz,jazz fusion,musique concrète,jazz funk","Douglas Music",0.304,0.0087,9,-24.866,0,0.0581,0.991,0.878,0.0781,0.0734,73.611,4
