Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3QOQEObqJvCi4M2SNeko7V,"The Order of Death","This is What You Want... This Is What You Get","Public Image Ltd.",1984,289973,50,false,,1970-01-01T00:00:00Z,"post-punk,new wave","Rhino/Elektra",0.653,0.598,11,-12.919,0,0.0336,0.166,0.539,0.607,0.552,103.088,4
spotify:track:32TKQVwtSGCHIqmbmaNdFj,"Dreams Never End - 2015 Remaster","Movement","New Order",1981-01-13,195306,60,false,,1970-01-01T00:00:00Z,"new wave,synthpop,post-punk,madchester","Rhino",0.606,0.913,9,-7.865,1,0.0417,0.0154,0.905,0.326,0.817,146.15,4
spotify:track:4plqJpgjiU6UBJ3S26guPd,"Mea Culpa","My Life in the Bush of Ghosts","Brian Eno;David Byrne",1981,297560,27,false,,1970-01-01T00:00:00Z,"ambient,krautrock,art rock,minimalism,drone,glam rock,space music,art pop","Nonesuch/Warner Records",0.622,0.815,9,-11.259,0,0.126,0.212,0.76,0.423,0.497,104.771,4
spotify:track:6oJdM8pW0ujqLcTQpZzCQ6,"Christine","Kaleidoscope (Remastered & Expanded)","Siouxsie and the Banshees",1980-08-01,179600,50,false,,1970-01-01T00:00:00Z,"gothic rock,post-punk,deathrock,darkwave,new wave,cold wave","UMC (Universal Music Catalogue)",0.687,0.729,7,-8.112,0,0.0675,0.134,0.0000518,0.0977,0.382,74.886,4
spotify:track:0p6wGaIcp8eN72Naz49VIh,"Taking Too Long","Youth of America","Wipers",1981-05-17,187200,35,false,,1970-01-01T00:00:00Z,"post-punk,noise rock,proto-punk,punk","Zenorecords",0.586,0.846,2,-3.787,1,0.0316,0.258,0.0113,0.0745,0.654,77.603,4
spotify:track:0DXfbfprEkHi5y5RJBSluY,"Swan Lake","Second Edition","Public Image Ltd.",1979,253240,30,false,,1970-01-01T00:00:00Z,"post-punk,new wave","Rhino/Warner Records",0.442,0.786,0,-12.117,1,0.0569,0.0000101,0.503,0.104,0.723,122.249,4
spotify:track:49B6sqAukHZ69oFCaLOHOQ,"Not Me - Remastered","It'll End In Tears (Remastered)","This Mortal Coil",1984-10-01,224533,36,false,,1970-01-01T00:00:00Z,"dream pop,darkwave,gothic rock","4AD",0.55,0.831,9,-8.342,0,0.0331,0.00000574,0.702,0.045,0.74,135.667,4
spotify:track:7j5Q3zhjvpQvMeoPSZwdsa,"Temptation","Substance","New Order",1987-08-17,419240,63,false,,1970-01-01T00:00:00Z,"new wave,synthpop,post-punk,madchester","Rhino",0.6,0.881,0,-9.478,1,0.0337,0.29,0.851,0.222,0.936,124.977,4
spotify:track:4kWkthAKzqYgI2tk0iHOqv,"King's Lead Hat - 2004 Digital Remaster","Before And After Science","Brian Eno",1977-11-01,236239,38,false,,1970-01-01T00:00:00Z,"ambient,krautrock,art rock,minimalism,drone,glam rock,space music","EMI Marketing",0.557,0.967,0,-8.357,1,0.0376,0.0035,0.0125,0.373,0.851,157.039,4
spotify:track:2xq9cLlOPyLoi8kLlR4miz,"Cities In Dust","Tinderbox","Siouxsie and the Banshees",1986-04-21,231573,65,false,,1970-01-01T00:00:00Z,"gothic rock,post-punk,deathrock,darkwave,new wave,cold wave","UMC (Universal Music Catalogue)",0.561,0.974,6,-5.178,1,0.113,0.0572,0,0.244,0.337,120.297,4
spotify:track:5cLiCs2qvZEZDui3saQJI4,"This Is Not a Love Song","This is What You Want... This Is What You Get","Public Image Ltd.",1984,252293,39,false,,1970-01-01T00:00:00Z,"post-punk,new wave","Rhino/Elektra",0.612,0.782,9,-9.881,1,0.0482,0.167,0.079,0.201,0.667,126.945,4
spotify:track:5rj4SmUDAe43tGtBgNgZnu,"Romeo","Over the Edge","Wipers",1983-03-01,245973,34,false,,1970-01-01T00:00:00Z,"post-punk,noise rock,proto-punk,punk","Zenorecords",0.439,0.912,9,-4.419,1,0.0471,0.00912,0.765,0.117,0.437,109.645,4
spotify:track:4Uv6BVQUcdxUkIRDAQ7a7l,"Up the Down Escalator","Script of the Bridge (Remastered)","The Chameleons",1983,237786,44,false,,1970-01-01T00:00:00Z,"post-punk,gothic rock,darkwave,deathrock,new wave,cold wave","Blue Apple Music",0.415,0.918,1,-6.335,1,0.0373,0.000839,0.0000753,0.121,0.512,134.949,4
spotify:track:1C8w6FOzwjoamrCMLgriTh,"Procession","Substance","New Order",1987-08-17,267840,43,false,,1970-01-01T00:00:00Z,"new wave,synthpop,post-punk,madchester","Rhino",0.308,0.85,0,-11.683,1,0.0655,0.0295,0.731,0.352,0.352,166.973,4
spotify:track:0jIqa5LbFz33x911IbnFsZ,"Lions","Everything!","Tones On Tail",1984,238173,34,false,,1970-01-01T00:00:00Z,"gothic rock,post-punk,deathrock,darkwave,cold wave,new wave","Beggars Banquet",0.705,0.357,4,-17.889,1,0.0633,0.153,0.0023,0.106,0.737,144.768,4
spotify:track:5a5WR72xhtIyEHj3Q8RKo1,"Seattle","Happy?","Public Image Ltd.;Eric 'ET' Thorngren",1987-01-01,220293,44,false,,1970-01-01T00:00:00Z,"post-punk,new wave","Virgin Catalogue",0.493,0.746,2,-11.773,1,0.0367,0.043,0,0.381,0.775,93.96,4
spotify:track:7bnCNRtPeex7J5vU7gWJ7t,"Dazzle","Hyaena (Remastered And Expanded)","Siouxsie and the Banshees",1984-06-08,331306,44,false,,1970-01-01T00:00:00Z,"gothic rock,post-punk,deathrock,darkwave,new wave,cold wave","UMC (Universal Music Catalogue)",0.299,0.898,10,-7.771,1,0.075,0.479,0.173,0.202,0.0621,143.522,4
spotify:track:6qs0du8wCYvQLrLvKUS5bs,"Hero","NEU! 75","NEU!",2001,431760,30,false,,1970-01-01T00:00:00Z,"krautrock,proto-punk,space rock,art rock,avant-garde","Groenland Records",0.443,0.978,11,-9.56,0,0.0565,0.000111,0.682,0.117,0.194,150.532,4
spotify:track:0PZXhureTA1HfRkQWn2U1E,"Requiem - 2005 Digital Remaster","Killing Joke","Killing Joke",1980-10-05,225466,43,false,,1970-01-01T00:00:00Z,"post-punk,gothic rock,industrial rock,industrial metal,new wave,deathrock,darkwave,industrial,cold wave","[PIAS] Recordings Catalogue",0.497,0.685,10,-7.293,1,0.028,0.0435,0.0401,0.152,0.743,172.206,4
spotify:track:0eKRwDBVWxCXWpLYFYrbd1,"Your Silent Face - 2015 Remaster","Power Corruption and Lies","New Order",1983-05-02,359586,56,false,,1970-01-01T00:00:00Z,"new wave,synthpop,post-punk,madchester","Rhino",0.642,0.778,0,-10.087,1,0.0313,0.00934,0.633,0.151,0.793,117.654,4
spotify:track:6u91CCTziobh3twCDMBlEk,"Rise","Public Image Ltd.","Public Image Ltd.",1987-04-07,378360,46,false,,1970-01-01T00:00:00Z,"post-punk,new wave","EastWest America",0.526,0.873,0,-5.28,1,0.0754,0.00795,0.00000736,0.339,0.629,86.313,4
spotify:track:0ZkWMpB7PsswU8cAnkETRL,"Seconds - Remaster 2002","Dare!","The Human League",1981,298840,43,false,,1970-01-01T00:00:00Z,"new wave,synthpop","Virgin Records",0.568,0.711,2,-9.06,1,0.0449,0.000636,0.0000349,0.368,0.789,126.638,4
spotify:track:5bxBosfOC3upyOK9tjxZ35,"Hong Kong Garden","The Scream","Siouxsie and the Banshees",1978-11-13,175906,57,false,,1970-01-01T00:00:00Z,"gothic rock,post-punk,deathrock,darkwave,new wave,cold wave","UMC (Universal Music Catalogue)",0.614,0.721,0,-8.962,1,0.0322,0.000642,0.0817,0.167,0.708,146.629,4
spotify:track:1RyIA87KYGavtK0xiVXwDH,"Hallogallo","NEU!","NEU!",1972-01-01,607426,39,false,,1970-01-01T00:00:00Z,"krautrock,proto-punk,space rock,art rock,avant-garde","Groenland Records",0.621,0.776,9,-14.019,1,0.035,0.123,0.84,0.0765,0.754,152.58,4
spotify:track:5El6bpLd8nYPsvWgZLdHio,"Go! - Club Mix","Everything!","Tones On Tail",1984,268773,43,false,,1970-01-01T00:00:00Z,"gothic rock,post-punk,deathrock,darkwave,cold wave,new wave","Beggars Banquet",0.562,0.809,0,-6.791,1,0.0385,0.0276,0.23,0.11,0.451,174.527,4
spotify:track:1uRvmjiSbjbENK4Dn6ZXRo,"Poptones","Second Edition","Public Image Ltd.",1979,470360,24,false,,1970-01-01T00:00:00Z,"post-punk,new wave","Rhino/Warner Records",0.447,0.569,9,-12.339,1,0.0318,0.00000183,0.0666,0.0535,0.338,131.946,4
spotify:track:3rY5wJIHBqTuoOaXGOxA7N,"Denial - 2015 Remaster","Movement","New Order",1981-01-13,264146,31,false,,1970-01-01T00:00:00Z,"new wave,synthpop,post-punk,madchester","Rhino",0.398,0.864,0,-8.958,1,0.0362,0.0000331,0.858,0.0941,0.96,125.047,4
spotify:track:20n6XLqBw6ueKUHdV4dJKJ,"I Want More","I Want More","CAN",2006,214706,35,false,,1970-01-01T00:00:00Z,"krautrock,space rock,progressive rock,experimental,psychedelic rock,art rock,proto-punk","Mute",0.797,0.659,9,-8.963,1,0.0543,0.0217,0.244,0.0432,0.925,113.554,4
spotify:track:3VkyKA0iCT1ABwaSjb0kpf,"Peek-A-Boo","Peepshow (Remastered And Expanded)","Siouxsie and the Banshees",1988-09-05,192813,48,false,,1970-01-01T00:00:00Z,"gothic rock,post-punk,deathrock,darkwave,new wave,cold wave","UMC (Universal Music Catalogue)",0.825,0.684,2,-8.6,1,0.256,0.444,0,0.106,0.622,105.207,4
spotify:track:3aVDRRcth3qVFLXYZ86kwK,"Do The Du - The Graveyard","The Graveyard And The Ballroom","A Certain Ratio",2017-12-01,174053,34,false,,1970-01-01T00:00:00Z,"post-punk,madchester,new wave,alternative dance","Mute",0.726,0.939,1,-11.344,1,0.0853,0.00153,0.476,0.395,0.441,124.128,4
spotify:track:07MKh8aY2dsJG74LotovMk,"Solitaire","This is What You Want... This Is What You Get","Public Image Ltd.",1984,239400,16,false,,1970-01-01T00:00:00Z,"post-punk,new wave","Rhino/Elektra",0.726,0.845,2,-10.969,1,0.0654,0.0147,0.0225,0.0579,0.483,127.168,4
spotify:track:0BUCVTLKMipDJDRiv6118M,"Eighties - 2007 Digital Remaster","Night Time","Killing Joke",1985-02-11,239280,58,false,,1970-01-01T00:00:00Z,"post-punk,gothic rock,industrial rock,industrial metal,new wave,deathrock,darkwave,industrial,cold wave","[PIAS] Recordings Catalogue",0.394,0.965,3,-8.837,1,0.139,0.000744,0.0161,0.337,0.346,151.918,4
spotify:track:60mjYxWA7rBH7rYrLQKdF7,"Truth - 2015 Remaster","Movement","New Order",1981-01-13,279613,35,false,,1970-01-01T00:00:00Z,"new wave,synthpop,post-punk,madchester","Rhino",0.545,0.771,6,-12.761,0,0.0429,0.000364,0.609,0.069,0.8,116.67,4
