Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7kuJBKhNTmeYhswN9TKAAm,"Noise Addiction","Noise Addiction","Pure Hell",2010-11-01,116373,25,false,,1970-01-01T00:00:00Z,"proto-punk,punk,queercore","Pure Hell",0.292,0.997,4,-3.194,0,0.26,0.000052,0.0145,0.526,0.0352,120.607,4
spotify:track:3o1NsJnGJMpFYpd6z6fLzu,"Land of Treason","GI","Germs",1979-10-01,129600,38,false,,1970-01-01T00:00:00Z,"hardcore punk,punk,proto-punk,skate punk","Rhino/Slash",0.45,0.99,4,-7.45,0,0.0686,0.000287,0,0.327,0.461,125.561,4
spotify:track:5X9ap714tdpKfvzGBdjJ34,"You're A Prisoner","…For The Whole World To See","Death",2009-02-17,144226,39,false,,1970-01-01T00:00:00Z,"proto-punk,punk","Drag City Records",0.521,0.728,9,-6.969,1,0.0951,0.255,0.0000376,0.213,0.689,83.532,4
spotify:track:35LjPAPwOKOPz7q7HAb8jH,"Fuck Authority","Reagan's In","Wasted Youth",1981,101000,39,true,,1970-01-01T00:00:00Z,"hardcore punk,punk,skate punk","Ryko/Rhino",0.37,0.931,2,-12.116,1,0.0936,0.000338,0,0.376,0.556,87.69,4
spotify:track:0LJoTusoZrUCaFG9VM7SL3,"Down in Flames","Young, Loud And Snotty","Dead Boys",1977,137773,29,false,,1970-01-01T00:00:00Z,"proto-punk,punk,hardcore punk","Rhino/Warner Records",0.267,0.978,9,-10.085,1,0.222,0.0994,0.0281,0.383,0.135,125.265,3
spotify:track:4sw9hGICgvc4LICICNTCzI,"No Class","A Collection of Pop Classics","Reagan Youth",1994-07-01,94440,44,true,,1970-01-01T00:00:00Z,"hardcore punk,punk,hardcore","New Red Archives",0.554,0.88,2,-5.271,1,0.177,0.133,0.0000233,0.388,0.346,103.197,4
spotify:track:7x0iOANWaFQDMUAlQQCQbW,"Values Here","Can I Say","Dag Nasty",1984-06-01,143773,39,false,,1970-01-01T00:00:00Z,"hardcore punk,melodic hardcore,punk,skate punk,hardcore,post-hardcore","Dischord Records",0.358,0.857,5,-6.238,0,0.0668,0.000806,0.000105,0.463,0.419,94.391,4
spotify:track:2Z9p7LK5D2tfsnEXja92Zm,"Richie Dagger's Crime","GI","Germs",1979-10-01,116640,40,false,,1970-01-01T00:00:00Z,"hardcore punk,punk,proto-punk,skate punk","Rhino/Slash",0.379,0.911,7,-8.297,1,0.149,0.00331,0.00985,0.0817,0.571,103.056,4
spotify:track:5lo1A59pPtjn83neE2jpOh,"Rock-N-Roll Victim","…For The Whole World To See","Death",2009-02-17,161666,39,false,,1970-01-01T00:00:00Z,"proto-punk,punk","Drag City Records",0.273,0.887,2,-8.161,1,0.127,0.00409,0.00067,0.359,0.533,189.484,1
spotify:track:2Yc35cPZO3uwmLit1uqsOq,"Punk for a Day","Reagan's In","Wasted Youth",1981,97040,33,false,,1970-01-01T00:00:00Z,"hardcore punk,punk,skate punk","Ryko/Rhino",0.282,0.887,7,-11.026,1,0.0436,0.136,0.0442,0.774,0.249,108.314,4
spotify:track:0JwGJgL8LCUFzDDPZNmQLa,"All This and More","Young, Loud And Snotty","Dead Boys",1977,167400,43,false,,1970-01-01T00:00:00Z,"proto-punk,punk,hardcore punk","Rhino/Warner Records",0.374,0.978,0,-6.024,1,0.118,0.00359,0.0187,0.864,0.236,129.223,4
spotify:track:4yaqvFl3Q0hyguzUjQPcEl,"Degenerated","A Collection of Pop Classics","Reagan Youth",1994-07-01,142000,42,true,,1970-01-01T00:00:00Z,"hardcore punk,punk,hardcore","New Red Archives",0.344,0.877,7,-6.507,1,0.267,0.0926,0.0000318,0.119,0.293,202.697,4
spotify:track:2pYqOHeENOQgroTumpIOkr,"Filler","First Two Seven Inches","Minor Threat",1981,92693,50,false,,1970-01-01T00:00:00Z,"hardcore punk,punk,hardcore,skate punk","Dischord Records",0.171,0.977,1,-6.716,0,0.101,0.000181,0.00405,0.0636,0.571,184.916,4
spotify:track:4nl8srnmBGjY4fU6bEIDF9,"We Must Bleed","GI","Germs",1979-10-01,185266,44,false,,1970-01-01T00:00:00Z,"hardcore punk,punk,proto-punk,skate punk","Rhino/Slash",0.295,0.968,11,-7.587,0,0.0731,0.0000227,0.502,0.371,0.256,108.991,4
spotify:track:6kixl7dPGMK16OHKJrnWUj,"Where Do We Go From Here???","…For The Whole World To See","Death",2009-02-17,230360,38,false,,1970-01-01T00:00:00Z,"proto-punk,punk","Drag City Records",0.549,0.761,1,-7.311,1,0.276,0.0518,0.000514,0.154,0.437,95.672,4
spotify:track:46MRcStjaWUGmTKUDP8ykO,"Moon Over Marin","Plastic Surgery Disasters/In God We Trust, Inc.","Dead Kennedys",1986-11-15,269466,46,false,,1970-01-01T00:00:00Z,"punk,hardcore punk,skate punk,proto-punk","GoldState Music",0.185,0.875,2,-6.984,1,0.0606,0.0000835,0.0000165,0.546,0.356,158.549,4
spotify:track:5mywesZNgXGzRMyKH8WiVM,"Caught with the Meat in Your Mouth","Young, Loud And Snotty","Dead Boys",1977,127360,38,false,,1970-01-01T00:00:00Z,"proto-punk,punk,hardcore punk","Rhino/Warner Records",0.266,0.874,2,-9.761,1,0.0898,0.0052,0.00000301,0.0877,0.513,185.654,4
spotify:track:4WfgVZwOQaiKZZ798SNlWK,"New Aryans","A Collection of Pop Classics","Reagan Youth",1994-07-01,77373,36,false,,1970-01-01T00:00:00Z,"hardcore punk,punk,hardcore","New Red Archives",0.365,0.915,11,-6.534,1,0.082,0.000492,0.0497,0.429,0.54,100.743,4
spotify:track:5E47rKJbS74jyLZaSgb0kS,"Bloodstains - Original Version","Living In Darkness (30th Anniversary Edition)","Agent Orange",1981,113240,56,false,,1970-01-01T00:00:00Z,"punk,hardcore punk,skate punk","Posh Boy Music",0.494,0.923,10,-7.69,0,0.182,0.0962,0,0.128,0.577,176.216,4
spotify:track:5n9ZO4StDuyOmETGsWds0k,"Strange Notes","GI","Germs",1979-10-01,113066,33,false,,1970-01-01T00:00:00Z,"hardcore punk,punk,proto-punk,skate punk","Rhino/Slash",0.245,0.937,0,-8.196,1,0.0655,0.00000661,0.351,0.333,0.679,133.02,4
spotify:track:53T9Fc3HDEaLaB90oEDEvb,"Keep On Knocking","…For The Whole World To See","Death",2009-02-17,170413,52,false,,1970-01-01T00:00:00Z,"proto-punk,punk","Drag City Records",0.279,0.902,9,-6.321,1,0.0988,0.121,0.274,0.104,0.482,89.392,4
spotify:track:36D3pqbUMSvyZEXdHxWhIU,"Kill the Poor","Fresh Fruit for Rotting Vegetables","Dead Kennedys",1980-09-02,187360,48,false,,1970-01-01T00:00:00Z,"punk,hardcore punk,skate punk,proto-punk","GoldState Music",0.268,0.973,2,-3.219,1,0.0737,0.213,0.00198,0.346,0.439,105.66,4
spotify:track:3czBT5gLHjv1d2Vz8srgwy,"Flame Thrower Love","We Have Come For Your Children","Dead Boys",1978,123600,32,false,,1970-01-01T00:00:00Z,"proto-punk,punk,hardcore punk","Rhino/Warner Records",0.284,0.994,9,-4.811,1,0.112,0.0117,0.542,0.234,0.148,159.505,4
spotify:track:7oMsD1x3pV1nLm26p8Q914,"Identity","Germ Free Adolescents","X-Ray Spex",1978-11-10,145506,47,false,,1970-01-01T00:00:00Z,"riot grrrl,punk,queercore,proto-punk,post-punk","Snafu Records",0.458,0.944,2,-4.607,1,0.0366,0.0181,0.00000446,0.0764,0.797,154.855,4
spotify:track:3HCLkbu7pdpRsOF259DVfw,"Jesus Was a Communist","A Collection of Pop Classics","Reagan Youth",1994-07-01,104426,34,false,,1970-01-01T00:00:00Z,"hardcore punk,punk,hardcore","New Red Archives",0.411,0.763,0,-5.09,1,0.0356,0.000942,0.0326,0.285,0.382,87.476,4
spotify:track:6M1TO1fp3PbcvXdPApnGnf,"Communist Eyes","GI","Germs",1979-10-01,135533,43,false,,1970-01-01T00:00:00Z,"hardcore punk,punk,proto-punk,skate punk","Rhino/Slash",0.361,0.895,7,-8.816,1,0.0519,0.00000945,0.00783,0.402,0.855,126.523,4
