Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4J9TjZnbGU0kYzgPn0Xg2f,"Murderer","Get Lucky","Deekline;Specimen A",2020-10-02,273103,39,false,uwdck2jn0h1cm00ydeo8e0ehl,2023-04-05T15:19:28Z,"jungle,drum and bass,breakbeat,ragga,uk garage,bassline","Jungle Cakes",0.63,0.979,7,-2.402,1,0.084,0.00403,0.00214,0.154,0.587,174.036,4
spotify:track:5b6uvOPxnTydX40RPJOhkA,"Early In The Morning - True Tactix Remix","General Levy presents Welcome To The Jungle + Mix by Deekline & Ed Solo","Kursiva;Blackout JA;True Tactix",2020-02-21,294554,30,false,uwdck2jn0h1cm00ydeo8e0ehl,2023-04-05T15:19:32Z,"jungle,drum and bass,ragga,dub","Jungle Cakes",0.536,0.944,7,-2.094,1,0.0558,0.00295,0.147,0.595,0.39,176.067,4
spotify:track:6wooBK6mtF7vMhE87HHEQR,"Champion Lover","Champion Lover","Deekline;Ed Solo",2010-07-19,314121,32,false,uwdck2jn0h1cm00ydeo8e0ehl,2023-04-05T15:19:36Z,"jungle,drum and bass,breakbeat,ragga,uk garage,bassline","Jungle Cakes",0.618,0.969,1,-3.435,1,0.0479,0.000202,0.271,0.131,0.701,174.179,4
spotify:track:6H40FB2ECPVUUNLkjbOtGX,"Man Down - Original Mix","Man Down","Ed Solo;Deekline",2011-12-12,268782,37,false,uwdck2jn0h1cm00ydeo8e0ehl,2023-04-05T15:19:45Z,"jungle,drum and bass,ragga,breakbeat,uk garage,bassline","Jungle Cakes",0.627,0.918,5,-4.007,0,0.0411,0.00105,0.169,0.0421,0.762,174.995,4
spotify:track:3UOC1hrbDb4NdidRddM2Or,"Sound Killer - Ed Solo Remix","Sound Killer","Brother Culture",2015-09-14,275657,33,false,uwdck2jn0h1cm00ydeo8e0ehl,2023-04-05T15:19:49Z,"dub,reggae,ragga,roots reggae","Jungle Cakes",0.647,0.816,10,-3.073,0,0.0775,0.000072,0.0415,0.0561,0.962,174.956,4
spotify:track:7JoTI8j3nKYqUb2Nzll3mg,"Bad Bwoy","I Need A Dollar","Ed Solo;Deekline",2010-12-06,338015,33,false,uwdck2jn0h1cm00ydeo8e0ehl,2023-04-05T15:19:54Z,"jungle,drum and bass,ragga,breakbeat,uk garage,bassline","Jungle Cakes",0.564,0.963,10,-3.757,0,0.0438,0.000675,0.0344,0.116,0.6,174.987,4
spotify:track:69ErLOi73xy8Sr3gXHJrX1,"Top Rankin","Top Rankin","Deekline;Ed Solo",2010-03-04,314057,37,false,uwdck2jn0h1cm00ydeo8e0ehl,2023-04-05T15:19:59Z,"jungle,drum and bass,breakbeat,ragga,uk garage,bassline","Jungle Cakes",0.661,0.973,7,-4.626,1,0.0508,0.000192,0.133,0.0773,0.914,174.192,4
spotify:track:7DqsQpc0GTdBubrxden80E,"No No No - Serial Killaz Remix","Jungle Cakes, Vol. 19","Ed Solo;Deekline;Serial Killaz",2013-07-05,317727,38,false,uwdck2jn0h1cm00ydeo8e0ehl,2023-04-05T15:20:03Z,"jungle,drum and bass,ragga,breakbeat,uk garage,bassline","Jungle Cakes",0.554,0.941,2,-2.444,1,0.0579,0.0000733,0.422,0.0627,0.895,176.022,4
spotify:track:72pYDST4LBD4YNh5mQUrlO,"Rockstone","Rockstone / Clash 77","Fleck;Selecta J-Man",2018-02-12,311314,0,false,uwdck2jn0h1cm00ydeo8e0ehl,2023-04-05T15:20:08Z,"jungle,drum and bass,ragga,bassline","Roots Records UK",0.714,0.84,1,-1.925,1,0.0659,0.0022,0.521,0.039,0.794,87.493,4
spotify:track:5DaSGvfkL8iXkXqdy8vz7a,"Paella (Blaze It Up) - Original Mix","Paella","Ed Solo;Deekline;Million Dan",2011-12-19,268459,35,false,uwdck2jn0h1cm00ydeo8e0ehl,2023-04-05T15:20:12Z,"jungle,drum and bass,ragga,breakbeat,uk garage,bassline","Rat Records",0.633,0.986,6,-1.976,0,0.12,0.00315,0,0.422,0.803,87.968,4
spotify:track:1kSc924Ccdx1CLLcYl5I6u,"Early In The Morning","Early In The Morning","Kursiva;Blackout JA",2018-03-05,295909,0,false,uwdck2jn0h1cm00ydeo8e0ehl,2023-04-05T15:20:16Z,"jungle,drum and bass,ragga,dub","South Yard",0.542,0.938,10,-2.319,0,0.0681,0.00546,0.00000398,0.877,0.716,176.005,4
spotify:track:4C6J9rvVe50ft79b5jjdfq,"We Want No More","Babylon Bwoy","Mooncat;Karlixx",2016-06-23,267428,0,true,uwdck2jn0h1cm00ydeo8e0ehl,2023-04-05T15:20:23Z,"jungle,ragga,drum and bass","South Yard",0.592,0.96,4,-2.394,0,0.0656,0.00183,0.831,0.278,0.481,175.025,4
spotify:track:1695kFGgPZHJWKLFgOjzBo,"I'm Living - Ed Solo & Stickybuds Remix","I'm Living the Versions & Remixes","Sizzla;Ed Solo;Stickybuds",2014-02-26,335795,38,false,uwdck2jn0h1cm00ydeo8e0ehl,2023-04-05T15:20:28Z,"reggae,ragga,dancehall,lovers rock,roots reggae,riddim,jungle,drum and bass,breakbeat,glitch","Muti Music",0.688,0.925,11,-3.526,1,0.0432,0.00166,0.000202,0.0626,0.576,88.009,4
spotify:track:25QIy7G8N5tZGbob9GQ2aU,"Babylon Falling - Ed Solo Remix","General Levy presents Welcome To The Jungle + Mix by Deekline & Ed Solo","Dope Ammo;Taiwan MC;Ed Solo",2020-02-21,277028,24,false,uwdck2jn0h1cm00ydeo8e0ehl,2023-04-05T15:22:13Z,"jungle,drum and bass,ragga,dub,reggae,dancehall,breakbeat","Jungle Cakes",0.634,0.959,2,-3.219,1,0.0632,0.00104,0.0305,0.494,0.448,175,4
