Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3KdYMwmmdTUFpgBADeOq3S,"Repo Man - Demo March 1983","Where the Faces Shine, Vol. 2 - The Official Live Experience 1982-1989","Iggy Pop;Steve Jones;Nigel Harrison;Clem Burke",2010-05-31,311666,0,false,diydanna,2013-05-08T05:04:52Z,"proto-punk,glam rock,horror punk,psychobilly,rockabilly","Easy Action",0.438,0.99,0,-4.233,1,0.0941,0.0027,0.786,0.141,0.713,160.141,4
spotify:track:4DA95pyBe6QORPGvTEuMWQ,"TV Party","Damaged","Black Flag",1981,211200,48,false,diydanna,2013-05-08T05:05:44Z,"punk,hardcore punk,skate punk,hardcore,proto-punk","SST Records",0.308,0.926,1,-12.683,1,0.15,0.184,0,0.0782,0.193,96.17,4
spotify:track:1KpRBS8dbDw7LxMhuK7Bso,"Institutionalized","Suicidal Tendencies","Suicidal Tendencies",1983-07-01,229960,0,false,diydanna,2013-05-08T05:07:06Z,"thrash metal,hardcore punk,punk,skate punk,speed metal","Frontier Records",0.375,0.814,0,-8.528,1,0.302,0.0355,0,0.11,0.651,96.051,3
spotify:track:1aluYMyMISdSQsG1yv6292,"Coup D'Etat","Gig","Circle Jerks",1992-07-21,111266,0,false,diydanna,2013-05-08T05:08:14Z,"hardcore punk,punk,skate punk,hardcore,proto-punk","Porterhouse Records",0.318,0.909,11,-10.06,0,0.0587,0.000706,0.000765,0.981,0.526,68.12,4
spotify:track:4IaDFrhAeJvnRtAdNsFkpK,"El Clavo Y La Cruz","a tribute to Repo Man","Black Francis;Spanish for Hitchhiking",2012-09-18,234200,19,false,diydanna,2013-05-08T05:08:45Z,"","American Laundromat Records",0.256,0.867,0,-5.186,1,0.0472,0.00476,0.000688,0.155,0.523,87.761,4
spotify:track:3FXDVUALipaatG5LIRiPcm,"Let's Have a War","The Record","Fear",1981-01-01,140760,22,false,diydanna,2013-05-08T05:10:37Z,"punk,hardcore punk,proto-punk,skate punk","Rhino/London-Sire",0.399,0.828,2,-9.06,1,0.0517,0.0177,0,0.39,0.374,99.094,4
spotify:track:0RnTW81XRs0x3ytQvmPNcf,"When the Shit Hits the Fan","Gig","Circle Jerks",1992-07-21,152600,0,true,diydanna,2013-05-08T05:11:28Z,"hardcore punk,punk,skate punk,hardcore,proto-punk","Porterhouse Records",0.277,0.947,4,-8.67,1,0.0732,0.000327,0.0000052,0.547,0.427,163.982,4
spotify:track:4DGlpG3ziDi1s5Jp7Yo9TF,"Hombre Secreto (Secret Agent Man)","a tribute to Repo Man","Matthew Sweet",2012-09-18,103666,17,false,diydanna,2013-05-08T05:12:11Z,"power pop,jangle pop","American Laundromat Records",0.19,0.853,9,-5.942,0,0.117,0.00324,0,0.322,0.358,161.84,4
spotify:track:2vOaKqHTSpfNv76l1XZgFh,"Bad Man","a tribute to Repo Man","Moses Coltrane",2012-09-18,305000,15,false,diydanna,2013-05-08T05:13:52Z,"","American Laundromat Records",0.687,0.574,0,-6.527,1,0.0411,0.0234,0.000775,0.178,0.796,115.726,4
spotify:track:7MLmkQ6C6bXqqQgM3f1CeB,"Reel Ten","a tribute to Repo Man","Weekend",2012-09-18,234800,17,false,diydanna,2013-05-08T05:13:52Z,"shoegaze","American Laundromat Records",0.137,0.474,6,-8.704,0,0.0381,0.313,0.865,0.107,0.0389,74.832,4
spotify:track:3qRE2EO1cvbbNuxp7SJP6c,"Repo Man","a tribute to Repo Man","Those Darlins",2012-09-18,202426,7,false,diydanna,2013-05-08T05:30:03Z,"alt country,garage rock","American Laundromat Records",0.239,0.931,4,-4.503,1,0.113,0.00382,0.296,0.133,0.57,170.176,4
spotify:track:2iSGbrOu9wo2XJuxDssJgW,"TV Party","a tribute to Repo Man","Polar Bear Club",2012-09-18,211440,5,false,diydanna,2013-05-08T05:30:03Z,"pop punk,melodic hardcore,post-hardcore","American Laundromat Records",0.24,0.971,0,-6.017,1,0.083,0.00000436,0.0396,0.565,0.385,107.819,4
spotify:track:6g7mH3FFO9J1u6bZEXTosy,"Institutionalized","a tribute to Repo Man","Amanda Palmer;The Grand Theft Orchestra",2012-09-18,272120,9,false,diydanna,2013-05-08T05:30:03Z,"anti-folk","American Laundromat Records",0.377,0.93,7,-5.293,1,0.253,0.0662,0,0.138,0.641,91.476,3
spotify:track:7zgVG7jUptfCpqfMVAAIJ7,"Coup d'Etat","a tribute to Repo Man","New York Rivals",2012-09-18,173400,4,false,diydanna,2013-05-08T05:30:03Z,"","American Laundromat Records",0.398,0.963,0,-4.097,1,0.08,0.0000141,0.164,0.121,0.484,164.988,4
spotify:track:4IaDFrhAeJvnRtAdNsFkpK,"El Clavo Y La Cruz","a tribute to Repo Man","Black Francis;Spanish for Hitchhiking",2012-09-18,234200,19,false,diydanna,2013-05-08T05:30:03Z,"","American Laundromat Records",0.256,0.867,0,-5.186,1,0.0472,0.00476,0.000688,0.155,0.523,87.761,4
spotify:track:5LTmwIsjspX3ESJj02RWj8,"Pablo Picasso","a tribute to Repo Man","The Tellers",2012-09-18,162520,16,false,diydanna,2013-05-08T05:30:03Z,"","American Laundromat Records",0.76,0.54,4,-7.257,0,0.035,0.0884,0.000163,0.16,0.644,119.059,4
spotify:track:5ERndhVBzna0ht7IVtIiZu,"Let's Have A War","a tribute to Repo Man","Mike Watt;The Secondmen",2012-09-18,152493,4,false,diydanna,2013-05-08T05:30:03Z,"","American Laundromat Records",0.385,0.941,2,-6.336,1,0.0849,0.00461,0.819,0.18,0.685,184.807,4
spotify:track:5AjTHLya8TiaZJ2G9OTmve,"When The Shit Hits The Fan","a tribute to Repo Man","The Suicide Dolls",2012-09-18,250373,7,false,diydanna,2013-05-08T05:30:03Z,"","American Laundromat Records",0.401,0.916,9,-5.901,1,0.054,0.177,0.0743,0.143,0.496,130.16,4
spotify:track:4DGlpG3ziDi1s5Jp7Yo9TF,"Hombre Secreto (Secret Agent Man)","a tribute to Repo Man","Matthew Sweet",2012-09-18,103666,17,false,diydanna,2013-05-08T05:30:03Z,"power pop,jangle pop","American Laundromat Records",0.19,0.853,9,-5.942,0,0.117,0.00324,0,0.322,0.358,161.84,4
spotify:track:2vOaKqHTSpfNv76l1XZgFh,"Bad Man","a tribute to Repo Man","Moses Coltrane",2012-09-18,305000,15,false,diydanna,2013-05-08T05:30:03Z,"","American Laundromat Records",0.687,0.574,0,-6.527,1,0.0411,0.0234,0.000775,0.178,0.796,115.726,4
spotify:track:7MLmkQ6C6bXqqQgM3f1CeB,"Reel Ten","a tribute to Repo Man","Weekend",2012-09-18,234800,17,false,diydanna,2013-05-08T05:30:03Z,"shoegaze","American Laundromat Records",0.137,0.474,6,-8.704,0,0.0381,0.313,0.865,0.107,0.0389,74.832,4
