Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2pCEaJskwTTp7omAyUKvR0,"Da Ya Think I'm Sexy?","Linger Ficken' Good...And Other Barnyard Oddities","Revolting Cocks",1993-01-01,337226,39,false,,1970-01-01T00:00:00Z,"industrial,industrial metal,industrial rock,ebm","Reprise",0.691,0.779,2,-8.433,1,0.043,0.0000386,0.296,0.0875,0.496,108.028,4
spotify:track:5CSOgajVHcdLeQgc1sPAMC,"Just Like You","Twitch","Ministry",1986-03-12,303773,31,true,,1970-01-01T00:00:00Z,"industrial,industrial metal,industrial rock,ebm,darkwave","Sire/Warner Records",0.616,0.995,9,-8.78,0,0.0859,0.000456,0.374,0.165,0.0393,111.405,4
spotify:track:2SNoyv4Gt5OZg7gDDcJo6S,"Mindphaser","Tactical Neural Implant","Front Line Assembly",1992-04-20,303666,33,false,,1970-01-01T00:00:00Z,"industrial,ebm,industrial metal,industrial rock,darkwave","Roadrunner Records",0.605,0.765,1,-12.95,1,0.0412,0.000019,0.829,0.281,0.184,125.022,4
spotify:track:0jZaj1P1ZWt4egiHYiK5uT,"Smothered Hope","Remission","Skinny Puppy",1984-12-01,314533,40,false,,1970-01-01T00:00:00Z,"industrial,ebm,industrial rock,industrial metal,darkwave,gothic rock,deathrock,post-punk","Nettwerk Music Group",0.651,0.547,9,-15.099,0,0.0594,0.000789,0.000566,0.0823,0.603,118.444,4
spotify:track:7wrsi00cYfo1pSSjNst04Z,"Godhead","Ebbhead","Nitzer Ebb",1991-01-01,268733,23,false,,1970-01-01T00:00:00Z,"ebm,industrial,industrial rock,industrial metal,darkwave,synthpop","Geffen",0.577,0.707,2,-14.296,1,0.0459,0.000754,0.00000544,0.149,0.396,153.189,4
spotify:track:43zzNBaOzTuSraWzROV5AG,"Attack Ships on Fire","Big Sexy Land","Revolting Cocks",1986-11-04,294383,33,false,,1970-01-01T00:00:00Z,"industrial,industrial metal,industrial rock,ebm","Cleopatra Records",0.649,0.929,3,-13.082,1,0.0439,0.0302,0.77,0.339,0.517,131.711,4
spotify:track:3M7B0bpzvBwPpUmfUAeShj,"Sex Bomb","Farstucker (Special Remastered Band Edition)","Lords Of Acid",2017-09-22,213493,32,true,,1970-01-01T00:00:00Z,"industrial,industrial rock,ebm,industrial metal,hardcore techno,acid house","Metropolis Records",0.499,0.935,4,-3.596,0,0.0485,0.0000651,0.463,0.138,0.395,141.964,4
spotify:track:3vgEjscs7IcDPJ0t6IpXQN,"Cannibal Song","The Mind Is a Terrible Thing to Taste","Ministry",1989-11-10,370333,35,false,,1970-01-01T00:00:00Z,"industrial,industrial metal,industrial rock,ebm,darkwave","Sire/Warner Records",0.642,0.879,1,-11.825,1,0.0284,0.0000146,0.724,0.887,0.245,107.84,4
spotify:track:15lgQGNF3f75w6bdEZQoZn,"The Blade","Tactical Neural Implant","Front Line Assembly",1992-04-20,350866,32,false,,1970-01-01T00:00:00Z,"industrial,ebm,industrial metal,industrial rock,darkwave","Roadrunner Records",0.652,0.738,2,-13.324,1,0.055,0.0000381,0.836,0.0727,0.208,114.009,4
spotify:track:1FnWALljyyPI9zWasp5q1T,"Worlock","Rabies","Skinny Puppy",1989-11-21,330240,43,false,,1970-01-01T00:00:00Z,"industrial,ebm,industrial rock,industrial metal,darkwave,gothic rock,deathrock,post-punk","Nettwerk Music Group",0.62,0.906,0,-6.147,1,0.0685,0.00496,0.00699,0.126,0.484,91.384,4
