Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3sWoPNYIgd6oFqgpPA7fTv,"Analogue Noir","Revolutionaire","Run DMT",2017-08-14,184755,19,false,,1970-01-01T00:00:00Z,"dubstep,drumstep","Kill Your Ego",0.479,0.781,8,-5.017,1,0.191,0.0868,0.463,0.132,0.113,76.375,1
spotify:track:1z1io5H0gfutwUNILCDshn,"Spanish Moss","Tanglewood","Of The Trees",2019-12-12,158961,55,false,,1970-01-01T00:00:00Z,"bass music","Of The Trees",0.489,0.672,11,-6.312,0,0.191,0.0439,0.00146,0.579,0.271,153.793,4
spotify:track:1Jc15fxurf0RSLfiZoslaY,"Inner G (feat. Ganavya)","Inner G","Zebbler Encanti Experience;Ganavya",2015-12-01,252000,33,false,,1970-01-01T00:00:00Z,"glitch,bass music","Gravitas Recordings",0.618,0.825,1,-5.711,1,0.0687,0.0768,0.712,0.103,0.0467,159.998,4
spotify:track:6DyeZf1vJ99uBfoadOzLq5,"Pleasure Seeker","Phantasmagoria","Mr. Bill",2021-09-10,164844,43,false,,1970-01-01T00:00:00Z,"glitch,bass music,idm,dubstep,drumstep,psytrance","Mr. Bill's Tunes",0.747,0.856,10,-3.724,0,0.0457,0.00553,0.524,0.0818,0.323,136.024,4
spotify:track:02hCDtEYMSZlFPorMroX1X,"Loom","Pressure Gamut","Jade Cicada",2023-01-01,208192,28,false,,1970-01-01T00:00:00Z,"glitch,bass music","Swarm Audio",0.631,0.937,9,-1.109,0,0.0999,0.059,0.0234,0.107,0.225,83.009,4
spotify:track:0UB2Pu5Mivax4lXGBLoT9C,"Sugarcube - Bassnectar Remix","Union of Opposites Deluxe","Run DMT;Bassnectar",2017-06-06,251350,18,false,,1970-01-01T00:00:00Z,"dubstep,drumstep,bass music,dub","Kill Your Ego",0.527,0.824,1,-2.513,1,0.0364,0.0000703,0.0369,0.0224,0.256,140.158,4
spotify:track:4N5GzksR404mCuXkxGKSsp,"Roots","Relinquished EP","Kromuh;SPADES",2019-11-27,148500,27,false,,1970-01-01T00:00:00Z,"drumstep,bass music","Wormhole Music Group",0.59,0.609,8,-5.988,1,0.0533,0.233,0.12,0.135,0.186,79.975,4
spotify:track:5QzCP2I6ALXuRcseXAdX4z,"Systems Offline","The Abyss","Detox Unit",2016-07-28,331070,32,false,,1970-01-01T00:00:00Z,"glitch,bass music,drumstep","Street Ritual",0.693,0.604,10,-5.967,1,0.566,0.178,0.02,0.409,0.38,173.99,4
spotify:track:7JfI9oyhjY3QhUVNcqz6kL,"Tanglewood","Tanglewood","Of The Trees",2019-12-12,284571,40,false,,1970-01-01T00:00:00Z,"bass music","Of The Trees",0.535,0.562,11,-6.611,0,0.0436,0.0214,0.0424,0.0849,0.034,104.998,3
spotify:track:19GmlFWla00FWv7W13lSbU,"End Trance","End Trance","Zebbler Encanti Experience",2019-04-26,240000,22,false,,1970-01-01T00:00:00Z,"glitch,bass music","Wakaan",0.733,0.756,2,-5.693,1,0.0473,0.0106,0.299,0.439,0.207,127.994,4
spotify:track:3QeffMdsDY34iuSxOvE2Xy,"Rhythm Runners","Revolutionaire","Run DMT;Dirt Monkey;Barrington Levy",2017-08-14,234875,22,false,,1970-01-01T00:00:00Z,"dubstep,drumstep,riddim,bass music,dub,reggae,roots reggae,lovers rock,ragga,dancehall,rocksteady","Kill Your Ego",0.369,0.866,1,-2.042,1,0.0821,0.113,0.000652,0.196,0.182,139.759,4
spotify:track:6AcQuheTK3P1R4fxg0PnsY,"Komorebi","Little Creatures EP","Jade Cicada",2019-09-23,181333,37,false,,1970-01-01T00:00:00Z,"glitch,bass music","Swarm Audio",0.287,0.632,1,-7.104,0,0.043,0.134,0.762,0.149,0.279,90.196,4
spotify:track:5F3t5WgLyBX2W7un8IXiLD,"Hmu (feat. Clay Parnell & Rory ""Sweet Boy"" Dolan)","Atom + Eve","Space Jesus;Clay Parnell;Rory ""Sweet Boy"" Dolan",2014-05-05,246967,42,false,,1970-01-01T00:00:00Z,"dubstep,bass music","Planet Cognac",0.732,0.726,0,-8.074,1,0.261,0.0574,0.00829,0.382,0.45,172.039,4
spotify:track:1nj3fP1BRNJWfWZOFZ56nu,"One Thing (feat. Cristina Soto) - Amp Live Remix","Parallels Remixed","Psymbionic;Amp Live;Cristina Soto",2014-12-09,261401,35,false,,1970-01-01T00:00:00Z,"glitch,chillstep,melodic bass,dubstep","Gravitas Recordings",0.548,0.731,8,-6.287,0,0.0334,0.0000947,0.0118,0.361,0.484,156.968,4
spotify:track:6AREI884A5zyl0YC1pTO3S,"Calluna","Halftime EP","Mr. Bill",2020-03-20,160000,30,false,,1970-01-01T00:00:00Z,"glitch,bass music,idm,dubstep,drumstep,psytrance","19K",0.781,0.456,10,-6.29,0,0.0996,0.0286,0.778,0.0958,0.208,167.966,4
spotify:track:2mCv1FLk606RAEDmFyjXqV,"Baraka's Theme","Baraka's Theme","Run DMT",2011-04-05,233040,9,false,,1970-01-01T00:00:00Z,"dubstep,drumstep","WaterTower Music / Teenage Riot Records",0.343,0.882,7,-6.304,1,0.418,0.0114,0.747,0.303,0.377,95.125,4
spotify:track:1vY0rBYejpyFOsmc80xcVw,"Drone Warfare","Drone Warfare","Eprom",2017-11-28,265595,27,false,,1970-01-01T00:00:00Z,"drumstep,bass music,glitch,dubstep","1985 Music",0.328,0.367,8,-9.607,1,0.0504,0.0944,0.821,0.116,0.0379,85.012,4
spotify:track:2OrsREHFjUBFHQoa8M3zSI,"Sacred Trek","Eolian Oms EP","Jade Cicada",2016-08-05,134018,36,false,,1970-01-01T00:00:00Z,"glitch,bass music","Swarm Audio",0.731,0.775,0,-6.379,0,0.0486,0.662,0.0982,0.593,0.562,131.982,4
spotify:track:4qQmfpqnqPcEI8keW0meDz,"Harvest","Harvest","Of The Trees",2018-09-25,192000,41,false,,1970-01-01T00:00:00Z,"bass music","808124 Records DK2",0.57,0.659,9,-4.779,0,0.0904,0.0111,0.0000227,0.356,0.393,150.011,4
spotify:track:2YcHCSassnhNCWu6KCQMCN,"Secret Society","Midnight Wax","Pushloop",2017-02-06,246857,37,false,,1970-01-01T00:00:00Z,"dubstep,dub,bass music","Dank N Dirty Dubz",0.757,0.4,9,-9.626,0,0.0456,0.213,0.842,0.133,0.22,140.008,5
spotify:track:2rd7MIX7M9i0XHBC3FsCHP,"Tesseract","Revolutionaire","Run DMT",2017-08-14,134637,15,false,,1970-01-01T00:00:00Z,"dubstep,drumstep","Kill Your Ego",0.59,0.705,10,-4.723,0,0.0795,0.00123,0.155,0.569,0.615,74.993,4
spotify:track:4ZnVn9qCN4ED4Nq4yNzA7z,"Fall in Love Moody Good Remix","Fall in Love Moody Good Remix","Moody Good",2019-05-01,195000,38,false,,1970-01-01T00:00:00Z,"dubstep,riddim,bass music","Moody Goods",0.549,0.745,1,-7.153,0,0.291,0.0258,0.129,0.226,0.343,143.759,4
spotify:track:6KGVZnT4nHHfjm55MAHLjI,"Oksana","Oksana","Eprom",2017-11-21,145017,27,false,,1970-01-01T00:00:00Z,"drumstep,bass music,glitch,dubstep","1985 Music",0.654,0.699,9,-3.745,1,0.202,0.00663,0.945,0.361,0.371,177.93,4
spotify:track:5Hby68rn46HfWmylJeQsWE,"Speaking in Tongues I","Brood VII","Jade Cicada;Sheila Chandra",2017-03-18,137142,40,false,,1970-01-01T00:00:00Z,"glitch,bass music,drone","Swarm Audio",0.885,0.75,1,-4.001,1,0.0721,0.00163,0.563,0.0888,0.276,140.118,4
spotify:track:31cDS5kRJ64XC2PAi73djM,"Auru","Duat","Of The Trees;DELTAnine",2016-07-29,285208,32,false,,1970-01-01T00:00:00Z,"bass music","MalLabel Music",0.588,0.689,1,-7.669,1,0.0376,0.000852,0.382,0.496,0.163,143.989,4
spotify:track:4j1J2n9bwlvSQ4tORyTklG,"The Fall of Latimer City - Hyperbolic Headspace Remix","Revolutionaire Re-Imagined Vol. 1","Run DMT;Hyperbolic Headspace",2017-09-26,247413,1,false,,1970-01-01T00:00:00Z,"dubstep,drumstep","Kill Your Ego",0.316,0.809,1,-7.443,1,0.0514,0.237,0.857,0.107,0.0529,149.443,4
spotify:track:2xR2SC6CBALoxSO0t7VkKU,"Iron Sharpens Iron","Black Heart Communion","Shades",2019-03-29,154333,26,false,,1970-01-01T00:00:00Z,"drumstep,bass music,dubstep","Deadbeats",0.559,0.708,2,-7.827,1,0.34,0.128,0.4,0.276,0.18,81.448,4
spotify:track:6oeNF7ufnpxbxlt75jgwGU,"Pish Posh","Corrective Scene Surgery","Mr. Bill;Of The Trees",2018-10-23,246000,38,false,,1970-01-01T00:00:00Z,"glitch,bass music,idm,dubstep,drumstep,psytrance","Mr. Bill's Tunes",0.642,0.602,11,-8.473,0,0.0598,0.0625,0.81,0.132,0.23,160.081,4
spotify:track:2nd0K8u5m5rMInJTGUwI5C,"Won't Stop feat. Esseks","Don't Stop / Won't Stop","Space Jesus;Esseks",2016-06-03,176217,38,false,,1970-01-01T00:00:00Z,"dubstep,bass music","Wakaan",0.773,0.743,5,-4.887,0,0.0551,0.151,0.0758,0.203,0.275,140.113,4
spotify:track:7kZY6Bat1v63swg8yUz3Kb,"Mirage","Brood VII","Jade Cicada",2017-03-18,202405,25,false,,1970-01-01T00:00:00Z,"glitch,bass music","Swarm Audio",0.297,0.478,10,-9.256,1,0.0802,0.768,0.103,0.0933,0.0392,172.769,4
spotify:track:5pu5pTvcvJ7O8Q1cAgVmcP,"I Saw A Light","Revolutionaire","Run DMT;Sobo",2017-08-14,197841,2,false,,1970-01-01T00:00:00Z,"dubstep,drumstep,drum and bass","Kill Your Ego",0.403,0.967,8,-3.103,1,0.533,0.0122,0.0335,0.679,0.288,112.785,5
spotify:track:3VuMvmrQgXoGmuJYXqMtW1,"The Progress","The Progress","Kromestar",2016-07-29,208581,29,false,,1970-01-01T00:00:00Z,"dubstep,dub,bass music,drumstep","Library Music",0.587,0.758,2,-4.467,1,0.0328,0.00000471,0.879,0.0848,0.225,84.898,4
spotify:track:2SY4Zr5ceXSyQRRkzpNPJ8,"The Saga","In Praise Of Darkness","Shades",2018-07-13,195346,26,false,,1970-01-01T00:00:00Z,"drumstep,bass music,dubstep","Deadbeats",0.581,0.571,2,-7.033,1,0.161,0.0545,0.254,0.0925,0.154,85.956,4
spotify:track:7xffzDb5UPJmfnZslQh8iF,"Business Tripping","Dream Atlas","Esseks;Of The Trees",2016-02-09,132800,34,false,,1970-01-01T00:00:00Z,"bass music,dubstep","Gravitas Recordings",0.59,0.748,2,-5.318,1,0.0672,0.00363,0.715,0.1,0.414,75.025,4
spotify:track:0Vb2naU2kBlWsniIbfXRsG,"Raindrops (feat. Of the Trees & Perkulat0r)","HEATROCKS","Stylust;Of The Trees;Perkulat0r",2015-08-17,204000,43,false,,1970-01-01T00:00:00Z,"bass music,dubstep","Sleeveless Records",0.688,0.763,0,-7.491,1,0.0573,0.0434,0.798,0.0634,0.154,159.981,4
spotify:track:0IGt5FGWy231FyoWVQaXRP,"More Cowbell","Fish Juice EP","Jade Cicada",2018-08-02,157674,18,false,,1970-01-01T00:00:00Z,"glitch,bass music","Swarm Audio",0.72,0.949,9,-2.408,1,0.222,0.0209,0.647,0.534,0.691,171.986,4
spotify:track:0y6iFKKR0MlJL18fycoGxV,"Here We Go Again","The Abyss","Detox Unit",2016-07-28,286548,27,false,,1970-01-01T00:00:00Z,"glitch,bass music,drumstep","Street Ritual",0.898,0.753,9,-7.523,1,0.497,0.414,0.741,0.659,0.252,96.993,4
spotify:track:6GSTgqPsvBarpdItP3dUHf,"Mom's Spaghetti (feat. Esseks)","Atom + Eve","Space Jesus;Esseks",2014-05-05,240000,30,false,,1970-01-01T00:00:00Z,"dubstep,bass music","Planet Cognac",0.504,0.694,1,-7.631,1,0.131,0.196,0.0163,0.82,0.238,119.95,4
spotify:track:42uN28CNWI7if0ew2x7l5u,"Dub, The People - Levitation Jones Remix","Revolutionaire Re-Imagined Vol. 1","Run DMT;Levitation Jones",2017-09-26,254307,4,false,,1970-01-01T00:00:00Z,"dubstep,drumstep,bass music","Kill Your Ego",0.648,0.634,0,-7.278,1,0.0408,0.213,0.426,0.234,0.0716,139.958,4
spotify:track:7sRuJ8EQitq0vpOP5AM2cC,"Swamp Lord","The Villain's Journey","Esseks",2021-07-09,150857,19,false,,1970-01-01T00:00:00Z,"bass music,dubstep","Deadbeats",0.636,0.668,0,-4.761,1,0.0537,0.00457,0.871,0.614,0.0795,139.964,4
spotify:track:6mkdWnNMw9tFc3gdwvxSJR,"Kicked","Kicked","Abelation;FLY",2021-05-14,165428,30,false,,1970-01-01T00:00:00Z,"bass music,dubstep,drumstep","Abelation and FLY",0.883,0.357,8,-6.03,1,0.111,0.159,0.562,0.114,0.0668,139.97,4
spotify:track:4J3yzHXcq9dwGIOtztGtwk,"Twitchin'","Brood VII","Jade Cicada",2017-03-18,80000,15,false,,1970-01-01T00:00:00Z,"glitch,bass music","Swarm Audio",0.542,0.881,0,-2.506,1,0.754,0.532,0.0539,0.241,0.485,179.909,4
spotify:track:4BfBy1ZrZWQPRJOanhpUyD,"Stereophonic","Stereophonic EP","Pushloop",2018-12-13,192000,27,false,,1970-01-01T00:00:00Z,"dubstep,dub,bass music","Heavy Traffic Recordings",0.746,0.853,8,-8.359,0,0.133,0.000624,0.646,0.199,0.327,140.054,4
spotify:track:1qN6AremhVAImvNNngLNbg,"Leave With Us","Union of Opposites Deluxe","Run DMT",2017-06-06,249756,1,false,,1970-01-01T00:00:00Z,"dubstep,drumstep","Kill Your Ego",0.422,0.944,1,-4.113,1,0.0655,0.000232,0.446,0.0692,0.0363,173.117,4
spotify:track:3Bbk9hqoHefxqZfYkGd7sQ,"Mannequin Skywalker","Dopplebangers","Space Jesus;Esseks",2015-04-14,239496,22,false,,1970-01-01T00:00:00Z,"dubstep,bass music","Gravitas Recordings",0.534,0.727,11,-6.136,1,0.0476,0.00319,0.336,0.321,0.0994,119.998,4
spotify:track:6RdJOHfrZ1MvG9ZX8dErDT,"Durin's Tower","Harvest","Of The Trees",2018-09-25,191717,42,false,,1970-01-01T00:00:00Z,"bass music","808124 Records DK2",0.698,0.606,1,-5.668,0,0.0827,0.0238,0.00594,0.449,0.127,140.048,4
spotify:track:0Lf77KFZARwQteQV26uT9Z,"A Little Bit Goes a Long Way","The Party Has Changed","Yheti",2020-02-07,182094,32,false,,1970-01-01T00:00:00Z,"bass music","1017853 Records DK2",0.746,0.602,11,-11.291,0,0.273,0.212,0.0105,0.279,0.634,142.063,4
spotify:track:71JULS234UsIfDC0qManVt,"Ego Saga","Brood VII","Jade Cicada",2017-03-18,160000,23,false,,1970-01-01T00:00:00Z,"glitch,bass music","Swarm Audio",0.826,0.52,11,-6.285,0,0.125,0.166,0.164,0.0707,0.131,102.054,4
spotify:track:354uWzIAhktx9PpJivuLtR,"MENTAL SCHLUGG","WRECKULOUS","Freddy Todd;Of The Trees",2019-06-14,250593,20,false,,1970-01-01T00:00:00Z,"glitch,bass music","Wakaan",0.8,0.655,1,-5.983,1,0.23,0.0666,0.881,0.103,0.386,139.855,4
spotify:track:6nEEDi7AIO1MkLpP9OrvaH,"Shortbus - G-Space Remix","Esseks - Shortbus (G-Space Remix)","Esseks;G-Space",2018-07-26,286516,26,false,,1970-01-01T00:00:00Z,"bass music,dubstep","Iceberg Productions",0.758,0.586,4,-7.126,0,0.214,0.171,0.0189,0.0833,0.418,79.997,4
