Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0Z9S0hJ7MEBQAqJEwuyqLW,"Specular","Traces","Rhian Sheehan;Arli Liberman",2025-09-11,416896,36,false,,2026-03-06T04:00:29Z,"ambient,post-rock","Loop Electronic",0.445,0.288,9,-15.839,0,0.0347,0.688,0.914,0.0826,0.0327,116.997,3
spotify:track:6i0Dqt3YJu8XWJuQxHs80v,"Am I Human?","Am I Human?","rRoxymore",2025-06-25,289434,36,false,,2026-03-06T04:00:29Z,"idm","!K7 Records",0.599,0.587,5,-10.466,0,0.0314,0.691,0.52,0.153,0.58,121.034,4
spotify:track:3ufBy6taAXx6iiXxt2VaZO,"Come Prima","Memorie I","Alessandro Cortini",2025-04-09,439125,43,false,,2026-03-06T04:00:29Z,"drone,ambient,dark ambient,experimental","Modwheelmusic",0.259,0.00103,3,-16.569,1,0.0523,0.321,0.962,0.0837,0.0723,84.319,3
spotify:track:6n0MpEXr5Ola2ecySUIWou,"Soar","Soar","Holem",2025-05-16,259555,32,false,,2026-03-06T04:00:29Z,"","Inhouse Records",0.181,0.187,7,-25.84,0,0.0398,0.874,0.872,0.221,0.0658,135.662,4
spotify:track:3aWXoKQAaye6yxQCvUxYfS,"Purranormal Cativities","Purranormal Cativities","Tomasz Bednarczyk",2025-04-18,135616,30,false,,2026-03-06T04:00:29Z,"drone,ambient,space music","Somewhere Nowhere",0.081,0.223,2,-13.594,0,0.037,0.91,0.799,0.0826,0.145,71.651,5
spotify:track:3DJ0BDBbinvRqXS8LPfJhH,"Your Call is Important","Your Call is Important","Steve Hauschildt",2025-08-22,327628,34,false,,2026-03-06T04:00:29Z,"ambient,drone,idm,space music","Simul Records",0.462,0.598,10,-15.893,0,0.0356,0.69,0.962,0.0881,0.288,125.997,3
spotify:track:0jYnCVNQTvknx4kZSH8idt,"Nuit Magnétique","Nuit Magnétique","Clea Vincent;Via Mardot",2025-04-01,162986,29,false,,2026-03-06T04:00:29Z,"french indie pop,french pop,french house","Midnight special records",0.121,0.242,0,-12.976,0,0.0421,0.918,0.341,0.105,0.0364,69.785,3
spotify:track:75Oa9mi7bauMdSPxw8c6Tm,"I Need More Time","I Need More Time","Hior Chronik;Andy Aquarius",2025-05-16,220160,28,false,,2026-03-06T04:00:29Z,"neoclassical,ambient,ambient folk","Moderna Records",0.435,0.163,1,-25.023,1,0.0365,0.975,0.924,0.0998,0.0883,163.995,4
spotify:track:4FzZB3OT0ufsbhofPvZaW4,"Theme","MindsEye","Rival Consoles",2025-06-10,276821,40,false,,2026-03-06T04:00:29Z,"idm,electronica,ambient","Erased Tapes",0.637,0.311,2,-16.27,1,0.0772,0.215,0.895,0.107,0.162,92.009,4
spotify:track:3P48Md1B6Fm86SUJvfoxFo,"Moving In","Englebørn (Original Score)","Kenneth Bager;Tolga Böyük",2025-02-26,60259,28,false,,2026-03-06T04:00:29Z,"electro swing","Music For Dreams",0.187,0.245,2,-16.426,0,0.0393,0.449,0.863,0.152,0.289,80.699,4
