Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6tt7BNtygRBikrsxkwGRDM,"The Living End","Too Much Sleep","Bongwater",1989,160493,7,false,1229685151,2020-11-05T15:40:42Z,"psychedelic rock,noise rock","Shimmy Disc / Instinct",0.533,0.708,4,-9.4,0,0.0491,0.321,0.0455,0.123,0.571,116.062,4
spotify:track:3gyza5UreeWVJCkcM002F9,"The Drum","Too Much Sleep","Bongwater",1989,265400,19,false,1229685151,2020-11-05T15:40:42Z,"psychedelic rock,noise rock","Shimmy Disc / Instinct",0.608,0.568,7,-12,1,0.0405,0.522,0.00000169,0.0857,0.909,82.35,4
spotify:track:3gxG3cV4WRpXpHlyEApB1y,"Mr. & Mrs. Hell","Too Much Sleep","Bongwater",1989,204506,5,false,1229685151,2020-11-05T15:40:42Z,"psychedelic rock,noise rock","Shimmy Disc / Instinct",0.332,0.816,2,-9.829,0,0.1,0.674,0.00576,0.633,0.601,93.288,4
spotify:track:49uEMLDlYsieSOGIWMIoYm,"Too Much Sleep","Too Much Sleep","Bongwater",1989,219400,6,false,1229685151,2020-11-05T15:40:42Z,"psychedelic rock,noise rock","Shimmy Disc / Instinct",0.297,0.603,7,-11.911,1,0.0384,0.512,0.0185,0.431,0.224,94.943,4
spotify:track:0kQms1ae0k7AnzbHp9hTs2,"Talent Is A Vampire","Too Much Sleep","Bongwater",1989,345893,6,false,1229685151,2020-11-05T15:40:42Z,"psychedelic rock,noise rock","Shimmy Disc / Instinct",0.521,0.758,6,-13.461,0,0.397,0.451,0.000044,0.094,0.476,112.815,4
spotify:track:44Ak9xwiHTPzjB637U9AsZ,"The Bad Review","Too Much Sleep","Bongwater",1989,110933,5,false,1229685151,2020-11-05T15:40:42Z,"psychedelic rock,noise rock","Shimmy Disc / Instinct",0.472,0.473,7,-16.268,1,0.182,0.781,0.00217,0.133,0.394,112.742,5
spotify:track:719QVrCbGuuzavUclPEC1B,"Ill Fated Lovers Go Time Tripping","Too Much Sleep","Bongwater",1989,112640,6,false,1229685151,2020-11-05T15:40:42Z,"psychedelic rock,noise rock","Shimmy Disc / Instinct",0.312,0.381,9,-14.186,1,0.0563,0.171,0.597,0.108,0.43,148.405,3
spotify:track:6epUEbKWOhQr3FlIGxK7Bh,"Psychedelic Sewing Room","Too Much Sleep","Bongwater",1989,262800,7,false,1229685151,2020-11-05T15:40:42Z,"psychedelic rock,noise rock","Shimmy Disc / Instinct",0.24,0.4,7,-12.986,1,0.0396,0.754,0.000039,0.109,0.22,86.936,4
spotify:track:25COIyN7jd0pwq7t2hdq6u,"Splash 1","Too Much Sleep","Bongwater",1989,139533,5,false,1229685151,2020-11-05T15:40:42Z,"psychedelic rock,noise rock","Shimmy Disc / Instinct",0.336,0.601,7,-12.808,1,0.0501,0.573,0.0000433,0.589,0.342,113.324,4
spotify:track:1pISLynbYpxvisVyj8VAHi,"He Loved The Weather","Too Much Sleep","Bongwater",1989,247026,3,false,1229685151,2020-11-05T15:40:42Z,"psychedelic rock,noise rock","Shimmy Disc / Instinct",0.344,0.485,10,-14.173,1,0.0341,0.159,0.153,0.0528,0.54,173.392,4
spotify:track:0V51UXPKNyhvC6Kj4PWBPq,"Teena Stays The Same","Too Much Sleep","Bongwater",1989,153600,3,false,1229685151,2020-11-05T15:40:42Z,"psychedelic rock,noise rock","Shimmy Disc / Instinct",0.462,0.622,9,-14.054,1,0.0531,0.792,0.509,0.629,0.35,124.285,4
spotify:track:6FKYCErKInybyBQNT9Bfke,"One Hand On The Road","Too Much Sleep","Bongwater",1989,195933,3,false,1229685151,2020-11-05T15:40:42Z,"psychedelic rock,noise rock","Shimmy Disc / Instinct",0.238,0.526,0,-12.369,1,0.0541,0.708,0.012,0.296,0.33,92.326,3
spotify:track:2NP5xunJbpZUPPJNweHgco,"Then The Babies Return","Too Much Sleep","Bongwater",1989,209706,3,false,1229685151,2020-11-05T15:40:42Z,"psychedelic rock,noise rock","Shimmy Disc / Instinct",0.591,0.685,6,-15.206,1,0.192,0.0826,0.0256,0.342,0.884,156.917,4
spotify:track:3UuqQnIDvSJWAm8qjO00w3,"Why Are We Sleeping","Too Much Sleep","Bongwater",1989,238026,3,false,1229685151,2020-11-05T15:40:42Z,"psychedelic rock,noise rock","Shimmy Disc / Instinct",0.548,0.8,9,-10.398,1,0.0415,0.00243,0.00108,0.0635,0.659,125.645,4
spotify:track:3JtJJyyoAGNfGzqhmfDbYm,"Khomeini Died Tonight","Too Much Sleep","Bongwater",1989,118840,2,false,1229685151,2020-11-05T15:40:42Z,"psychedelic rock,noise rock","Shimmy Disc / Instinct",0.279,0.793,2,-21.021,1,0.51,0.784,0.0123,0.694,0.387,104.167,5
spotify:track:0bPQBtU25WihmKZoEqkb6c,"One So Black","Too Much Sleep","Bongwater",1989,304666,4,false,1229685151,2020-11-05T15:40:42Z,"psychedelic rock,noise rock","Shimmy Disc / Instinct",0.224,0.429,0,-14.144,1,0.0416,0.305,0.0815,0.931,0.153,101.622,4
spotify:track:3W6xRbAu5u9OyQLNJRTJdr,"No Trespassing","Too Much Sleep","Bongwater",1989,263933,2,false,1229685151,2020-11-05T15:40:42Z,"psychedelic rock,noise rock","Shimmy Disc / Instinct",0.334,0.132,11,-17.382,1,0.0381,0.82,0,0.182,0.361,107.173,3
spotify:track:33HHqcajzS1wj58QSAhjSf,"Hands","Happiness Finally Came To them","Carney, Hild & Kramer",1990-01-01,148600,0,false,1229685151,2020-11-05T15:53:41Z,"slowcore","Shimmy-Disc",0.364,0.922,4,-10.319,1,0.0775,0.115,0.909,0.229,0.703,148.444,4
spotify:track:1ZE28InHziIFvLewROLYcM,"Telephone","Happiness Finally Came To them","Carney, Hild & Kramer",1990-01-01,86867,0,false,1229685151,2020-11-05T15:53:41Z,"slowcore","Shimmy-Disc",0.343,0.597,2,-8.816,1,0.0444,0.00322,0.153,0.291,0.858,125.002,4
spotify:track:0fYAeDm1f67EUIe1SViEgp,"Clown","Happiness Finally Came To them","Carney, Hild & Kramer",1990-01-01,215133,0,false,1229685151,2020-11-05T15:53:41Z,"slowcore","Shimmy-Disc",0.426,0.876,9,-10.309,1,0.106,0.00221,0.848,0.37,0.48,80.653,4
spotify:track:1jyqZI3nEf0aDXxgAMW7n1,"Nothing","Happiness Finally Came To them","Carney, Hild & Kramer",1990-01-01,182400,0,false,1229685151,2020-11-05T15:53:41Z,"slowcore","Shimmy-Disc",0.269,0.591,7,-11.978,1,0.054,0.0129,0.665,0.0968,0.151,144.886,4
spotify:track:4sKM59cnOhvTfLCBNp8OKl,"Bank","Happiness Finally Came To them","Carney, Hild & Kramer",1990-01-01,192227,0,false,1229685151,2020-11-05T15:53:41Z,"slowcore","Shimmy-Disc",0.406,0.625,9,-14.515,1,0.0435,0.175,0.232,0.423,0.538,189.498,4
spotify:track:6mgAAJNhl667QzCqKimTzn,"Slowly","Happiness Finally Came To them","Carney, Hild & Kramer",1990-01-01,152733,0,false,1229685151,2020-11-05T15:53:41Z,"slowcore","Shimmy-Disc",0.481,0.623,4,-16.224,0,0.0584,0.0328,0.0928,0.173,0.828,155.013,4
spotify:track:1EnOERvfqfAG3Z0DLRXjKp,"Wanda","Happiness Finally Came To them","Carney, Hild & Kramer",1990-01-01,108573,0,false,1229685151,2020-11-05T15:53:41Z,"slowcore","Shimmy-Disc",0.506,0.312,5,-16.097,1,0.0269,0.177,0.848,0.176,0.315,99.413,4
spotify:track:4RCbMfRQDChbYxyPTS79U8,"Larry","Happiness Finally Came To them","Carney, Hild & Kramer",1990-01-01,181000,0,false,1229685151,2020-11-05T15:53:41Z,"slowcore","Shimmy-Disc",0.372,0.391,5,-17.104,1,0.0493,0.0591,0.745,0.0935,0.557,115.673,4
spotify:track:5nKMoObJn5XvMPnyaNAtO2,"Name","Happiness Finally Came To them","Carney, Hild & Kramer",1990-01-01,302893,0,false,1229685151,2020-11-05T15:53:41Z,"slowcore","Shimmy-Disc",0.467,0.535,11,-12.847,1,0.0317,0.0269,0.41,0.334,0.408,75.836,4
spotify:track:1ZldzEpvOweMOwN8ZKydqY,"Barometer","Happiness Finally Came To them","Carney, Hild & Kramer",1990-01-01,70773,0,false,1229685151,2020-11-05T15:53:41Z,"slowcore","Shimmy-Disc",0.424,0.669,7,-15.836,1,0.112,0.0509,0.735,0.335,0.275,84.385,4
spotify:track:3TTFwquPA4wfj2mtTFv3CU,"Tree","Happiness Finally Came To them","Carney, Hild & Kramer",1990-01-01,96160,0,false,1229685151,2020-11-05T15:53:41Z,"slowcore","Shimmy-Disc",0.354,0.423,2,-22.054,1,0.125,0.385,0.15,0.216,0.525,118.56,4
spotify:track:0DH25zPBLQbl7ti43rADt7,"Turkeyfaced","Happiness Finally Came To them","Carney, Hild & Kramer",1990-01-01,118533,0,false,1229685151,2020-11-05T15:53:41Z,"slowcore","Shimmy-Disc",0.231,0.658,2,-12.944,0,0.105,0.0014,0.835,0.104,0.586,162.443,4
spotify:track:32bIAoolgrHxsXt39t80eX,"Javalena","Happiness Finally Came To them","Carney, Hild & Kramer",1990-01-01,136240,0,false,1229685151,2020-11-05T15:53:41Z,"slowcore","Shimmy-Disc",0.284,0.484,6,-11.89,1,0.0263,0.302,0.0014,0.11,0.46,96.136,4
spotify:track:4Rmcd64Svi40I7IHailhn3,"Disguise","Happiness Finally Came To them","Carney, Hild & Kramer",1990-01-01,120000,0,false,1229685151,2020-11-05T15:53:41Z,"slowcore","Shimmy-Disc",0.286,0.482,7,-12.761,1,0.0562,0.00393,0.646,0.335,0.391,160.963,4
spotify:track:4kw48ag2PXT03KhmXIReDD,"Lotto","Happiness Finally Came To them","Carney, Hild & Kramer",1990-01-01,134827,0,false,1229685151,2020-11-05T15:53:41Z,"slowcore","Shimmy-Disc",0.322,0.899,5,-14.832,1,0.181,0.00661,0.9,0.272,0.612,162.607,4
spotify:track:3tGM6scxzcp8Jkmadx6t4x,"End","Happiness Finally Came To them","Carney, Hild & Kramer",1990-01-01,152933,0,false,1229685151,2020-11-05T15:53:41Z,"slowcore","Shimmy-Disc",0.389,0.817,2,-10.795,1,0.0596,0.000861,0.772,0.689,0.671,88.885,4
spotify:track:26ZR4lneHqZaX8cDACgOgh,"3-D","Happiness Finally Came To them","Carney, Hild & Kramer",1990-01-01,169373,0,false,1229685151,2020-11-05T15:53:41Z,"slowcore","Shimmy-Disc",0.52,0.75,9,-13.208,1,0.0775,0.00657,0.441,0.347,0.588,121.362,4
spotify:track:3dvPMsywBhmRHklNzrDJji,"Blood Drinking Head Choppers","Happiness Finally Came To them","Carney, Hild & Kramer",1990-01-01,567067,0,false,1229685151,2020-11-05T15:53:41Z,"slowcore","Shimmy-Disc",0.304,0.502,4,-11.904,1,0.0352,0.533,0.583,0.642,0.275,112.345,4
spotify:track:6qdCiOCSJoGjnEExYp98T9,"Time for Death","Hell-O","Gwar",1988-09-11,164323,0,false,1229685151,2020-11-05T15:54:05Z,"thrash metal,metal","Pit Records",0.382,0.938,4,-7.571,1,0.0713,0.00373,0.00000354,0.384,0.331,133.058,4
spotify:track:2ORu6UNgUqXx3spbALYRcq,"AEIOU","Hell-O","Gwar",1988-09-11,85858,0,false,1229685151,2020-11-05T15:54:05Z,"thrash metal,metal","Pit Records",0.425,0.944,0,-5.992,0,0.0429,0.076,0.00000152,0.103,0.514,102.314,4
spotify:track:6Y2gr4vR4meuXMCV9v8xif,"Americanized","Hell-O","Gwar",1988-09-11,96833,0,false,1229685151,2020-11-05T15:54:05Z,"thrash metal,metal","Pit Records",0.342,0.913,7,-6.777,1,0.133,0.0206,0,0.3,0.314,105.658,4
spotify:track:2t4sQFVHaqvvIofJ3FRv5u,"I'm in Love (With a Dead Dog)","Hell-O","Gwar",1988-09-11,152531,0,false,1229685151,2020-11-05T15:54:05Z,"thrash metal,metal","Pit Records",0.247,0.969,2,-5.873,1,0.115,0.0178,0,0.283,0.436,149.448,4
spotify:track:0iEyACL8l5qBGIKUxbYEaN,"Slutman City","Hell-O","Gwar",1988-09-11,229145,0,false,1229685151,2020-11-05T15:54:05Z,"thrash metal,metal","Pit Records",0.313,0.955,2,-6.86,0,0.0675,0.00137,0.000337,0.204,0.2,122.608,4
spotify:track:4DJ7FfmERQIycVF7fiHRSZ,"World O Filth","Hell-O","Gwar",1988-09-11,74550,0,false,1229685151,2020-11-05T15:54:05Z,"thrash metal,metal","Pit Records",0.345,0.972,2,-5.784,1,0.103,0.0569,0,0.319,0.306,95.161,4
spotify:track:2dGmc6RS7wnR1OsKT6O1oV,"War Toy","Hell-O","Gwar",1988-09-11,142669,0,false,1229685151,2020-11-05T15:54:05Z,"thrash metal,metal","Pit Records",0.273,0.967,4,-6.123,1,0.0682,0.00307,0.0000307,0.324,0.54,128.297,4
spotify:track:1yKpQ8i4gCsNAyXlFuHq0O,"Captain Crunch","Hell-O","Gwar",1988-09-11,232335,0,false,1229685151,2020-11-05T15:54:05Z,"thrash metal,metal","Pit Records",0.321,0.936,0,-6.987,1,0.0602,0.00198,0.0858,0.508,0.328,126.499,4
spotify:track:0HCTJyfQ58TnNI7nSoN3If,"Pure as the Arctic Snow","Hell-O","Gwar",1988-09-11,147373,0,false,1229685151,2020-11-05T15:54:05Z,"thrash metal,metal","Pit Records",0.196,0.947,9,-6.798,1,0.058,0.0433,0.00163,0.0562,0.396,188.652,4
spotify:track:5ObtaYq6nPnKliDjfMFjAI,"Je M' Appelle J. Cousteau","Hell-O","Gwar",1988-09-11,187970,0,false,1229685151,2020-11-05T15:54:05Z,"thrash metal,metal","Pit Records",0.372,0.947,4,-6.404,1,0.0697,0.0531,0,0.11,0.487,149.666,4
spotify:track:4rmxxQ90YqRDz7GbXSUsGE,"GWAR Theme","Hell-O","Gwar",1988-09-11,146702,0,false,1229685151,2020-11-05T15:54:05Z,"thrash metal,metal","Pit Records",0.293,0.933,9,-5.87,1,0.0526,0.17,0.000236,0.503,0.511,105.072,4
spotify:track:45zSWXH2WCOOjdnjvxDdWV,"Bone Meal","Hell-O","Gwar",1988-09-11,42674,0,false,1229685151,2020-11-05T15:54:05Z,"thrash metal,metal","Pit Records",0.534,0.793,2,-6.223,0,0.0807,0.00268,0.000374,0.153,0.606,121.977,3
spotify:track:3NhTfKMgDtGRTDmG110hFs,"Ollie North","Hell-O","Gwar",1988-09-11,115363,0,false,1229685151,2020-11-05T15:54:05Z,"thrash metal,metal","Pit Records",0.273,0.968,7,-7.144,0,0.147,0.0239,0.00000697,0.0879,0.249,100.238,4
spotify:track:6eigS9m6JbRgLBRjj4nd9k,"Techno's Song","Hell-O","Gwar",1988-09-11,224497,0,false,1229685151,2020-11-05T15:54:05Z,"thrash metal,metal","Pit Records",0.208,0.974,4,-5.968,1,0.136,0.00152,0.213,0.973,0.202,99.368,4
spotify:track:5yChqAfKZ78Bs6GKrqF0hl,"U Ain't Shit","Hell-O","Gwar",1988-09-11,79589,0,false,1229685151,2020-11-05T15:54:05Z,"thrash metal,metal","Pit Records",0.372,0.983,9,-4.56,1,0.0817,0.0133,0.00347,0.368,0.381,107.069,4
spotify:track:3eF0V6x4SIfm7sITKczHXZ,"Rock & Roll Party Town","Hell-O","Gwar",1988-09-11,189793,0,false,1229685151,2020-11-05T15:54:05Z,"thrash metal,metal","Pit Records",0.405,0.942,4,-6.23,1,0.0678,0.00969,0.0127,0.35,0.478,131.809,4
spotify:track:0eunVgY4dxRDFpYQX7J9GU,"Now","They","King Missile",1990-01-01,113466,5,false,1229685151,2020-11-05T15:55:02Z,"art rock,anti-folk,spoken word","Shimmy Disc",0.413,0.574,9,-10.651,0,0.0345,0.423,0.195,0.109,0.312,119.229,4
spotify:track:5LzNZxj9WVo6uxv4oyu2dS,"I'm Open","They","King Missile",1990-01-01,141426,8,false,1229685151,2020-11-05T15:55:02Z,"art rock,anti-folk,spoken word","Shimmy Disc",0.441,0.392,11,-12.857,1,0.0304,0.16,0.0374,0.148,0.484,139.831,4
spotify:track:26dABe8nL1J0gEiNIhMNig,"Mr. Johnson","They","King Missile",1990-01-01,113640,10,false,1229685151,2020-11-05T15:55:02Z,"art rock,anti-folk,spoken word","Shimmy Disc",0.434,0.467,7,-11.551,1,0.0395,0.293,0.9,0.115,0.529,144.855,4
spotify:track:0ddzwh51uXoJKXFxdNBqLt,"She Had Nothing","They","King Missile",1990-01-01,116826,9,false,1229685151,2020-11-05T15:55:02Z,"art rock,anti-folk,spoken word","Shimmy Disc",0.534,0.534,4,-13.388,1,0.0428,0.0857,0.023,0.164,0.93,140.601,4
spotify:track:5skC731eWif8F1TiZcq5jE,"He Needed","They","King Missile",1990-01-01,78000,9,false,1229685151,2020-11-05T15:55:02Z,"art rock,anti-folk,spoken word","Shimmy Disc",0.534,0.838,4,-10.527,1,0.332,0.775,0.00000895,0.0767,0.918,138.923,4
spotify:track:0yBJiMKWTsp6xHkQU0e6BX,"The Love Song","They","King Missile",1990-01-01,132506,5,false,1229685151,2020-11-05T15:55:02Z,"art rock,anti-folk,spoken word","Shimmy Disc",0.479,0.416,4,-14.628,1,0.028,0.179,0.153,0.0912,0.334,99.52,4
spotify:track:053d167BWHzeEe2roOSR0Z,"Margaret's Eyes","They","King Missile",1990-01-01,163560,11,false,1229685151,2020-11-05T15:55:02Z,"art rock,anti-folk,spoken word","Shimmy Disc",0.459,0.803,10,-10.146,1,0.0592,0.261,0.519,0.184,0.451,93.644,4
spotify:track:6R7OBo1yXROFpH32C1D6ux,"The Bunny Song","They","King Missile",1990-01-01,114600,5,false,1229685151,2020-11-05T15:55:02Z,"art rock,anti-folk,spoken word","Shimmy Disc",0.499,0.744,0,-9.147,1,0.0343,0.0658,0.837,0.185,0.603,102.412,4
spotify:track:188kG2QBLuuRODbVMVnoJU,"The Blood Song","They","King Missile",1990-01-01,240933,4,false,1229685151,2020-11-05T15:55:02Z,"art rock,anti-folk,spoken word","Shimmy Disc",0.347,0.299,7,-14.014,1,0.0344,0.406,0.76,0.101,0.299,140.41,4
spotify:track:4Koo9Zw3nG7hkb6A2dyEhA,"Stonehenge","They","King Missile",1990-01-01,89840,7,false,1229685151,2020-11-05T15:55:02Z,"art rock,anti-folk,spoken word","Shimmy Disc",0.559,0.891,0,-8.943,1,0.0407,0.122,0.000231,0.114,0.717,149.107,4
spotify:track:0p92FxW9rHBBdQP6RDjZZl,"They","They","King Missile",1990-01-01,150200,3,false,1229685151,2020-11-05T15:55:02Z,"art rock,anti-folk,spoken word","Shimmy Disc",0.372,0.607,4,-10.684,1,0.0351,0.284,0.479,0.314,0.487,142.285,4
