Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4y209r5u5UccR0XKFP1sB1,"Little Sunflower","Variety is the Spice","The Louis Hayes Group",1979-10-03,399978,9,false,swx6p1maz0oe0gpb79484glfw,2022-12-26T19:01:03Z,"","Gryphon Records",0.549,0.55,5,-12.237,0,0.0462,0.593,0.000447,0.32,0.883,128.405,4
spotify:track:51G7TfPG2CT533L13blhNE,"The Earth Spins Faster Than Words","Skyway","Adam Rudolph's Moving Pictures",1994-12-31,314760,7,false,swx6p1maz0oe0gpb79484glfw,2023-03-21T00:19:23Z,"free jazz","Soul Note",0.549,0.0634,6,-26.205,0,0.0579,0.771,0.00234,0.149,0.195,90.926,4
spotify:track:4l42IS2luN8RsgdIjVfZVy,"Baskisk vals","Swedish Jazz Masters: Fine and Mellow","Björn Alke Quartet",1976,640413,4,false,swx6p1maz0oe0gpb79484glfw,2022-12-06T22:16:47Z,"","EMI",0.444,0.393,5,-11.415,0,0.0286,0.714,0.629,0.375,0.333,111.347,3
spotify:track:1VNZJXaSWOfmqCa6w4xJui,"Sais (Egypt)","Liberation Music: Spiritual Jazz and the Art of Protest","Lonnie Liston Smith;The Cosmic Echoes",2013-03-25,490453,8,false,swx6p1maz0oe0gpb79484glfw,2023-04-04T07:42:44Z,"jazz funk,jazz fusion,acid jazz,soul jazz","Ace Records",0.361,0.52,4,-12.212,0,0.0385,0.122,0.000951,0.0988,0.636,124.5,4
spotify:track:6nm7xF1ofbYpWwgJOVPzTC,"That's How I Feel","Lanquidity","Sun Ra & His Arkestra",2017-08-11,483299,0,false,swx6p1maz0oe0gpb79484glfw,2022-12-16T18:07:08Z,"free jazz,jazz fusion,experimental jazz,jazz,avant-garde","Enterplanetary Koncepts",0.348,0.532,9,-14.953,0,0.0403,0.671,0.549,0.0757,0.574,93.007,4
spotify:track:36ExmuAutSTXB00GXX8etj,"West Wind","African Rhythms 1970-1982","Oneness Of Juju;Plunky;Black Fire",2020-07-17,462253,9,false,swx6p1maz0oe0gpb79484glfw,2022-12-26T17:45:42Z,"jazz funk,soul jazz,free jazz,go-go","Strut",0.531,0.468,11,-14.25,0,0.0454,0.545,0.34,0.136,0.246,114.677,4
spotify:track:5PifDZWtyaH7VeLQkIz2zO,"Spirits Return","African Bird Come Back! Mother Africa","Tony Scott",1984-12-31,298866,5,false,swx6p1maz0oe0gpb79484glfw,2023-03-21T00:23:32Z,"rocksteady,indonesian jazz","Soul Note",0.794,0.74,10,-13.663,0,0.0443,0.101,0.29,0.109,0.838,109.424,4
spotify:track:3ZikLQCnH3SIswlGENBcKe,"My Favorite Things","My Favorite Things","John Coltrane",1961,824133,51,false,swx6p1maz0oe0gpb79484glfw,2023-10-19T20:32:19Z,"jazz,hard bop,free jazz,bebop,jazz ballads,cool jazz","Rhino Atlantic",0.277,0.242,4,-18.442,1,0.0342,0.694,0.464,0.113,0.285,175.384,3
spotify:track:7lodtlZgBsWRDk8okphT1Z,"Song for My Lady","Spiritual Jazz 5: The World","Louis Banks",2014-09-01,254842,18,false,swx6p1maz0oe0gpb79484glfw,2022-12-01T09:15:33Z,"","Jazzman",0.585,0.732,11,-13.453,0,0.0346,0.644,0.904,0.0935,0.826,107.645,3
spotify:track:73nQSl5TEuPL9mHFuJc1rH,"Lishonile","Batsumi","Batsumi",1974,685012,18,false,swx6p1maz0oe0gpb79484glfw,2024-01-15T17:26:45Z,"","As-Shams/The Sun",0.366,0.533,0,-15.114,1,0.161,0.356,0.83,0.304,0.54,187.446,3
