Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4n27bDBOGwtdpwBF0O31Np,"Morning One - 2023 Remaster","Morning One (2023 Remaster)","Aarktica",2001-04-30,582341,0,false,vdou3t37ghv6r8nytwxxr9oog,2024-12-31T07:00:36Z,"post-rock,drone,ambient","Projekt:Archive",0.0653,0.245,9,-16.27,1,0.0425,0.984,0.906,0.106,0.0339,69.361,4
spotify:track:26zOTGiHoErNJbJVmcGell,"A Leaf's Prayer","Paeans","Aarktica;Henrik Meierkord",2023-05-05,499586,0,false,vdou3t37ghv6r8nytwxxr9oog,2024-12-31T07:00:36Z,"post-rock,drone,ambient,dark ambient","Projekt:Archive",0.0853,0.205,7,-16.604,1,0.04,0.947,0.831,0.111,0.0365,84.228,4
spotify:track:0shVH7fNXzVTEOelHF4U9q,"Morning Chorus","Paeans","Aarktica;Henrik Meierkord",2023-05-05,571533,0,false,vdou3t37ghv6r8nytwxxr9oog,2024-12-31T07:00:36Z,"post-rock,drone,ambient,dark ambient","Projekt:Archive",0.165,0.296,7,-14.642,1,0.039,0.826,0.791,0.0672,0.0354,110.723,4
spotify:track:0rgjEp4zJzg41axKA19p44,"Into the Black","Horizon Dispatch","Active Region",2023-02-21,504000,16,false,vdou3t37ghv6r8nytwxxr9oog,2024-12-31T07:00:36Z,"space music,ambient","Exosphere",0.474,0.582,1,-13.231,1,0.0315,0.383,0.916,0.11,0.0389,124.993,4
spotify:track:66u7pKSmuSMAvuxcVQolA8,"Dreamspan","Horizon Dispatch","Active Region",2023-02-21,1070000,2,false,vdou3t37ghv6r8nytwxxr9oog,2024-12-31T07:00:36Z,"space music,ambient","Exosphere",0.4,0.303,8,-18.561,0,0.0351,0.588,0.907,0.0897,0.091,159.945,4
spotify:track:5vIJKK8QsAcEMhRRzHQxnU,"The Star Shield","Horizon Dispatch","Active Region",2023-02-21,656000,2,false,vdou3t37ghv6r8nytwxxr9oog,2024-12-31T07:00:36Z,"space music,ambient","Exosphere",0.079,0.148,3,-19.879,1,0.0356,0.521,0.847,0.116,0.0354,82.767,3
spotify:track:5IvoIN5fx5z6qJxvvAsklE,"Atmosphere, Pt. I: 1. Sunrise – 2. Altitude Flight – 3. Astralis","Atmosphere","adelbert von deyen",2016-12-02,670160,3,false,vdou3t37ghv6r8nytwxxr9oog,2024-12-31T07:00:36Z,"krautrock","Bureau B",0.098,0.24,0,-15.45,1,0.0478,0.564,0.967,0.0645,0.0305,89.938,4
spotify:track:0CI8OboJSSNjBnbQYsd1ui,"Inbhir Chèitinn","Cair Chaladain","Aduantas",2021-05-28,860952,0,false,vdou3t37ghv6r8nytwxxr9oog,2024-12-31T07:00:36Z,"space music","1941290 Records DK",0.213,0.433,8,-14.152,0,0.0362,0.712,0.919,0.36,0.192,126.222,4
spotify:track:5zUsCIoYVbKtcjavJvXSF1,"Goill","Cair Chaladain","Aduantas",2021-05-28,469090,0,false,vdou3t37ghv6r8nytwxxr9oog,2024-12-31T07:00:36Z,"space music","1941290 Records DK",0.148,0.305,9,-19.734,1,0.0452,0.934,0.885,0.0699,0.0343,80.04,4
spotify:track:6rOIskYnk4rpRzrUKIE4GO,"Taobh A","D'imigh An Imní Ar Fad Díom Gan Mhoill","Aduantas",2022-09-04,1401600,0,false,vdou3t37ghv6r8nytwxxr9oog,2024-12-31T07:00:36Z,"space music","1941290 Records DK",0.282,0.322,6,-20.237,1,0.0653,0.963,0.931,0.0808,0.0757,99.149,4
spotify:track:0sP4Ay8SooHnqEocfyrD9j,"Taobh B","D'imigh An Imní Ar Fad Díom Gan Mhoill","Aduantas",2022-09-04,1560000,0,false,vdou3t37ghv6r8nytwxxr9oog,2024-12-31T07:00:36Z,"space music","1941290 Records DK",0.3,0.373,7,-17.646,1,0.0431,0.89,0.888,0.398,0.0708,130.907,5
spotify:track:6BqgQmRxE79RQaWimOH6El,"Advent","Cup","AeTopus",2023-10-20,253506,0,false,vdou3t37ghv6r8nytwxxr9oog,2024-12-31T07:00:36Z,"drone,space music","Spotted Peccary",0.467,0.212,1,-23.005,1,0.0375,0.768,0.956,0.647,0.0331,112.03,3
spotify:track:6WSNd8n9V5bm0gfnbO0e2i,"Softgreen","Cup","AeTopus",2023-10-20,422413,0,false,vdou3t37ghv6r8nytwxxr9oog,2024-12-31T07:00:36Z,"drone,space music","Spotted Peccary",0.47,0.282,5,-22.917,0,0.0321,0.866,0.935,0.097,0.0712,96.01,1
spotify:track:4UFXy5CZv9cjxbOXz1RHF3,"Universal Love","First Light","AE van Elst Projects",2004-11-29,445118,0,false,vdou3t37ghv6r8nytwxxr9oog,2024-12-31T07:00:36Z,"ambient","AE van Elst Projects",0.0749,0.424,5,-20.354,0,0.133,0.597,0.534,0.108,0.105,73.551,4
spotify:track:1n4muckB0E0ZNLSu67b04Y,"Autumn drift","Along the vast ancient river","Aglaia",2023-05-12,1437068,0,false,vdou3t37ghv6r8nytwxxr9oog,2024-12-31T07:00:36Z,"ambient,drone,space music","Projekt:Archive",0.0661,0.402,0,-17.914,1,0.0413,0.649,0.942,0.104,0.141,73.683,4
spotify:track:6poB9Aar9VnbemYRpvuVMG,"Thin border","Darkness meets red","Aglaia",2024-09-27,1388513,0,false,vdou3t37ghv6r8nytwxxr9oog,2024-12-31T07:00:36Z,"ambient,drone,space music","Projekt:Archive",0.0988,0.3,0,-12.074,1,0.0379,0.904,0.943,0.106,0.0372,64.353,3
spotify:track:0NtJGkzeVoFF8QHAMCnw3i,"Plankton","Darkness meets red","Aglaia",2024-09-27,1370674,1,false,vdou3t37ghv6r8nytwxxr9oog,2024-12-31T07:00:36Z,"ambient,drone,space music","Projekt:Archive",0.0812,0.304,9,-12.583,0,0.0353,0.93,0.969,0.0668,0.0369,83.647,4
spotify:track:3ByzHI8R4fbESmnQM0qTwn,"Delicately luminous","Darkness meets red","Aglaia",2024-09-27,1161630,0,false,vdou3t37ghv6r8nytwxxr9oog,2024-12-31T07:00:36Z,"ambient,drone,space music","Projekt:Archive",0.128,0.442,0,-10.326,1,0.0337,0.806,0.935,0.108,0.0603,76.082,3
spotify:track:4JcBXc4QHbnfE3kXVhIWgK,"Environmental changes","Darkness meets red","Aglaia",2024-09-27,1352071,0,false,vdou3t37ghv6r8nytwxxr9oog,2024-12-31T07:00:36Z,"ambient,drone,space music","Projekt:Archive",0.0848,0.332,9,-12.91,0,0.03,0.896,0.951,0.099,0.036,83.604,4
