Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:13IFfr6kVUSLb19xnQjMk6,"Section","Section","LYNY",2025-07-25,174857,53,false,,2026-05-16T18:17:18Z,"bass music","Noxious Recordings",0.594,0.87,8,-3.826,1,0.0537,0.0719,0.000194,0.655,0.3,139.933,4
spotify:track:7wIxOG0GnM21WueiICVACR,"l!sten","l!sten","Saka;Arya",2026-02-27,185589,46,false,,2026-05-16T18:17:18Z,"drumstep,bass music,dubstep,bass house","UKF",0.758,0.633,9,-5.04,1,0.0434,0.00316,0.634,0.132,0.238,139.964,4
spotify:track:21XpgQiTcs2oeWimVY5f84,"Contorted","Contorted","Rezz",2025-04-23,199200,48,false,,2026-05-16T18:17:18Z,"edm,dubstep","HypnoVizion Records Inc.",0.661,0.65,2,-6.932,1,0.0627,0.0118,0.692,0.108,0.0332,100.031,4
spotify:track:0nqUMg3fRJCwCn21rSFlbb,"mail","TYNAN TIME","TYNAN;sfam",2026-02-13,151003,42,false,,2026-05-16T18:17:18Z,"dubstep,riddim,bass music,deathstep,bass house","TYNAN",0.806,0.934,5,-2.308,0,0.109,0.0798,0.633,0.203,0.387,142.023,4
spotify:track:2PUXhQdRmJOr84WmeCOGwu,"Bad","Bad","Saturna;Chmura;Ashez",2026-03-06,211764,54,false,,2026-05-16T18:17:18Z,"bass music,downtempo","Qualia",0.768,0.414,11,-7.524,1,0.101,0.0527,0.283,0.0887,0.0439,170.025,4
spotify:track:6L9dTqUK7bDCTHkLoi6GkS,"Shake","Shake","Sully",2026-05-01,166665,47,false,,2026-05-16T18:17:18Z,"dubstep,bass music,riddim","WAKAAN",0.747,0.743,9,-5.055,1,0.141,0.0054,0.0328,0.147,0.587,140.176,4
spotify:track:0FXEclPDVfUNHYDiyAPXYP,"Drop In","Drop In","Mary Droppinz",2025-04-16,149793,50,false,,2026-05-16T18:17:18Z,"uk garage","Deadbeats",0.757,0.55,8,-7.935,0,0.0496,0.0646,0.0334,0.111,0.379,144.961,4
spotify:track:6zkI5zNfoilLBC9qvvETI6,"DON'T LOOK DOWN","DON'T LOOK DOWN","ero808;Coka Cobra",2026-05-08,157384,53,false,,2026-05-16T18:17:18Z,"bass house,g-house","Deadbeats",0.759,0.289,6,-6.144,0,0.158,0.157,0.0000333,0.101,0.208,139.886,4
spotify:track:7sJ4ue5uhSaXnNlmBWOyuv,"Echo Chamber","Echo Chamber","Hamdi;Simula",2026-03-20,253714,46,false,,2026-05-16T18:17:18Z,"uk garage,bassline,dubstep,bass music,drum and bass,liquid funk,jungle","INDMND",0.424,0.807,9,-5.068,1,0.244,0.032,0.0803,0.91,0.072,139.366,4
spotify:track:1nTtAystVLB5UGcv09FKMI,"BACK2LIFE","BACK2LIFE","bauti;Rico 56",2026-04-17,135111,41,false,,2026-05-16T18:17:18Z,"bass music,deep house","Boom Records LLC",0.607,0.723,5,-5.928,0,0.0433,0.124,0.0396,0.128,0.0734,135.16,4
spotify:track:3rliJQC1pZ1AFSbrXprQtB,"Seance","Are We Dreaming?","PEEKABOO",2026-01-23,240000,41,false,,2026-05-16T18:17:18Z,"dubstep,bass music,riddim","Major Recordings/Warner Records",0.659,0.968,6,-2.128,0,0.0534,0.0592,0.878,0.0951,0.0977,140.012,4
spotify:track:1f2JxBpYnQD2LRTnuLaTlk,"Riviera","Riviera","So Sus",2026-03-06,154285,38,false,,2026-05-16T18:17:18Z,"future bass","Beat Intelligence Network",0.424,0.636,2,-6.045,1,0.0564,0.369,0.02,0.103,0.104,136.181,4
spotify:track:3WmQoU7VAo1u0LlorYYnft,"LITTLE BITTER","LITTLE BITTER","ZEKE BEATS",2026-02-20,173142,39,false,,2026-05-16T18:17:18Z,"bass music,dubstep,drumstep","Zeke Beats",0.734,0.956,11,-5.031,0,0.0628,0.00414,0.105,0.351,0.472,140.009,4
