Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6uuh2xbi0MLMRZGC1e8Lul,"Aurora.","Transcend.","Sun Glitters",2025-10-03,165540,1,false,,1970-01-01T00:00:00Z,"chillwave","Future Archive Recordings",0.454,0.379,0,-14.492,1,0.041,0.948,0.917,0.107,0.0376,120.03,4
spotify:track:2NNfIPYy3O3W7VHfOz5tt1,"Dipendra","Hiriketiya","Alex Albrecht",2026-05-15,302030,21,false,,1970-01-01T00:00:00Z,"dub techno,ambient","Analogue Attic",0.321,0.392,8,-16.232,0,0.0391,0.728,0.895,0.155,0.339,120.938,4
spotify:track:05uuvPtKRHFdmPdxDfhpvU,"Laniakea, Pt. 2","Laniakea","Martin Nonstatic",2026-05-21,423995,12,false,,1970-01-01T00:00:00Z,"dub techno,space music,ambient,downtempo,idm","ULTIMAE",0.516,0.506,8,-13.419,1,0.0365,0.357,0.85,0.104,0.217,119.859,4
spotify:track:12GRc5mQJbMG54qDvOKAoY,"Room 2","The Infinity Room","36",2016-10-24,313260,35,false,,1970-01-01T00:00:00Z,"ambient,drone,space music,dark ambient","A Strangely Isolated Place",0.459,0.568,5,-11.35,0,0.0403,0.183,0.981,0.109,0.421,111.021,4
spotify:track:1bL3lI3ykZjw9Zul1Ir51y,"Future Waves","Uther Moads","Uther Moads",2011,240807,42,false,,1970-01-01T00:00:00Z,"","The Association for Depth Sound Recordings",0.517,0.0316,1,-21.51,0,0.0349,0.98,0.91,0.112,0.155,110.02,4
spotify:track:5N9I8swTLFvRsvkoJOPJ6C,"Doppelgänger","III","Submotion Orchestra",2015-09-11,217160,35,false,,1970-01-01T00:00:00Z,"trip hop","Counter Records",0.661,0.631,0,-9.064,1,0.158,0.25,0.937,0.102,0.365,99.996,4
spotify:track:0fJKwnxypaBAMEGEfCgEhQ,"It Was Warmer Then","Yume","Helios",2015-09-11,318700,34,false,,1970-01-01T00:00:00Z,"ambient,post-rock,space music","Unseen",0.556,0.445,9,-11.8,1,0.0289,0.535,0.918,0.108,0.118,74.984,4
spotify:track:19J954JmVakR1RPFHVeDQx,"North Cormorant Obscurity","Arrive The Radio Beacon","Rykard",2010-03-10,197834,40,false,,1970-01-01T00:00:00Z,"idm,downtempo,ambient","Hunya Munya Records",0.674,0.325,10,-12.297,1,0.0354,0.893,0.908,0.0907,0.563,105.008,4
spotify:track:7nfGqsJl4A3lXApUI0YIFA,"Babe","Yore","Evenings",2013-04-16,172252,50,false,,1970-01-01T00:00:00Z,"chillwave","World Limited Recordings",0.652,0.647,4,-7.794,0,0.0545,0.279,0.834,0.0936,0.654,173.488,4
spotify:track:6QLp8WLQlkqSd9l5fEt36R,"Moon","Mickey Mouse Operation","Little People",2006-09-04,227866,55,false,,1970-01-01T00:00:00Z,"trip hop,downtempo","Illicit Recordings",0.714,0.528,6,-10.223,1,0.0365,0.345,0.851,0.109,0.721,151.499,4
spotify:track:2wImVybMkzgrZ5ijqnBB8f,"Folds","Voyages","Thrupence",2012-03-05,194443,47,false,,1970-01-01T00:00:00Z,"","Jack Vanzet",0.43,0.292,6,-14.821,1,0.0465,0.863,0.894,0.106,0.349,88.975,4
spotify:track:1gvMIuLfhZv9rrp6yBL4Hs,"Loleta","Still","WMD",2017-01-09,309637,31,false,,1970-01-01T00:00:00Z,"electroacoustic","16 Entertainment LLC, under exclusive license from WMD",0.414,0.333,1,-16.844,1,0.102,0.417,0.854,0.0927,0.128,99.716,4
spotify:track:6d4lcsE4x57xLmrh51VvQy,"Light Cycle","Sunset in the Deep End","Yppah",2020-02-07,270120,36,false,,1970-01-01T00:00:00Z,"trip hop,downtempo,idm","Future Archive Recordings",0.573,0.63,1,-11.754,1,0.0347,0.000241,0.886,0.109,0.304,111.012,4
spotify:track:4pZY8bHjDFHNaW5oJ6ssS5,"Clairity","Themes","Nitemoves",2013-11-12,223863,13,false,,1970-01-01T00:00:00Z,"vaporwave,chillwave","Moodgadget Records",0.204,0.216,11,-14.888,1,0.0392,0.897,0.945,0.341,0.0365,60.673,4
spotify:track:3mye13T0eDLRmGT0TGvML8,"Goodbye Forever","Yore","Evenings",2013-04-16,217467,42,false,,1970-01-01T00:00:00Z,"chillwave","World Limited Recordings",0.628,0.711,9,-8.672,1,0.0385,0.805,0.88,0.376,0.436,109.992,4
spotify:track:2AeZcGpBaPcCvEgR7FTtds,"Solar Motel","Nothing Is Real","The Flashbulb",2014-05-12,250466,34,false,,1970-01-01T00:00:00Z,"idm,breakcore,post-rock,ambient,glitch","Alphabasic",0.583,0.409,1,-16.324,1,0.0356,0.286,0.876,0.328,0.048,139.961,4
spotify:track:71rFcWHgYa993cBrjZmKIO,"Unscathed","All the Troubled Hearts","Hiatus",2017-05-30,216500,28,false,,1970-01-01T00:00:00Z,"","Lucky Thunder",0.504,0.638,2,-10.625,1,0.0422,0.0423,0.775,0.0831,0.226,165.005,4
spotify:track:1HDfY7LrXcZEI5jUUxFMcx,"Trustfalls","Mowgli","Mister Lies",2013-02-26,320000,20,false,,1970-01-01T00:00:00Z,"trip hop","Lefse Records",0.584,0.298,2,-12.933,1,0.0436,0.134,0.909,0.199,0.0502,89.994,4
