Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7DSh214cgvD59ksBlmga52,"Gangsters","Original John Peel Session: 23rd May 1979","The Specials",2008-11-28,182946,0,false,,2012-09-07T22:11:40Z,"ska,rocksteady,ska punk","Parlophone UK",0.619,0.529,4,-10.148,0,0.0376,0.000132,0.48,0.259,0.856,135.449,4
spotify:track:2reEYyy8Ca3sRS0cjwTbyH,"Too Much Too Young","Original John Peel Session: 23rd May 1979","The Specials",2008-11-28,126960,0,false,,2012-09-07T22:11:40Z,"ska,rocksteady,ska punk","Parlophone UK",0.76,0.429,2,-10.937,1,0.0717,0.00342,0.000371,0.147,0.881,146.401,4
spotify:track:6SdYZMK7yc7ss7OePR0eVa,"Sheela-Na-Gig - Peel 29.10.91","The Peel Sessions 1991 - 2004","PJ Harvey",2006-01-01,199106,0,false,,2012-09-07T22:12:04Z,"art pop,singer-songwriter,alternative rock","Universal Music Group",0.467,0.911,10,-6.161,1,0.064,0.00538,0.000244,0.097,0.415,123.986,4
spotify:track:3u01Qyy4zKTyxRE18xivGy,"Oh My Lover - Peel 29.10.91","The Peel Sessions 1991 - 2004","PJ Harvey",2006-01-01,231920,0,false,,2012-09-07T22:12:18Z,"art pop,singer-songwriter,alternative rock","Universal Music Group",0.416,0.511,2,-7.079,0,0.0329,0.221,0.0000592,0.114,0.18,108.496,4
spotify:track:4tNMYi7xxAZbL7HZqnorqd,"Do You Remember The First Time? - John Peel 21/04/95","The John Peel Sessions (BBC Version)","Pulp",2006-10-23,240320,0,false,,2012-09-07T22:13:25Z,"britpop,madchester","Island Records",0.267,0.947,7,-4.836,1,0.0951,0.00245,0.326,0.955,0.386,142.072,4
spotify:track:2WtG1vMY5H1aGresVwJ59Z,"Theme From Peter Gunn - Kings College (John Peel) 11/10/01","The John Peel Sessions (BBC Version)","Pulp",2006-10-23,246040,0,false,,2012-09-07T22:13:50Z,"britpop,madchester","Island Records",0.311,0.724,11,-7.269,0,0.0353,0.132,0.364,0.634,0.482,100.475,4
spotify:track:59GVzTOJZxW9irDjg7lK7P,"Love In A Void - John Peel Session 29/11/77","The John Peel Sessions (BBC Version)","Siouxsie and the Banshees",2006-10-16,158840,0,false,,2012-09-07T22:15:31Z,"gothic rock,post-punk,deathrock,darkwave,new wave,cold wave","Digital Distribution Latvia",0.328,0.98,9,-4.877,1,0.231,0.00456,0.00837,0.203,0.122,167.165,4
spotify:track:4okGVc3cI75Vlq9JuEzrEK,"Mirage - John Peel Session 29/11/77","The John Peel Sessions (BBC Version)","Siouxsie and the Banshees",2006-10-16,160053,0,false,,2012-09-07T22:15:36Z,"gothic rock,post-punk,deathrock,darkwave,new wave,cold wave","Digital Distribution Latvia",0.347,0.958,4,-5.268,0,0.259,0.00238,0.000035,0.335,0.197,162.905,4
spotify:track:1XQEQgxb2PQsBIGy1cPqu5,"Metal Postcard - John Peel Session 29/11/77","The John Peel Sessions (BBC Version)","Siouxsie and the Banshees",2006-10-16,213960,0,false,,2012-09-07T22:15:41Z,"gothic rock,post-punk,deathrock,darkwave,new wave,cold wave","Digital Distribution Latvia",0.479,0.914,0,-5.185,1,0.272,0.0148,0.00185,0.107,0.381,116.758,4
spotify:track:2xuO0OeAJ8bkIByyBxI6iE,"Helter Skelter - John Peel Session 6/2/78","The John Peel Sessions (BBC Version)","Siouxsie and the Banshees",2006-10-16,208093,0,false,,2012-09-07T22:15:51Z,"gothic rock,post-punk,deathrock,darkwave,new wave,cold wave","Digital Distribution Latvia",0.295,0.966,8,-5.959,1,0.257,0.0000452,0.0848,0.0502,0.171,155.902,4
spotify:track:0m0fqziLtM7SAyvFnKLhXv,"Carcass - John Peel Session 6/2/78","The John Peel Sessions (BBC Version)","Siouxsie and the Banshees",2006-10-16,221706,0,false,,2012-09-07T22:16:28Z,"gothic rock,post-punk,deathrock,darkwave,new wave,cold wave","Digital Distribution Latvia",0.522,0.954,1,-5.868,1,0.0807,0.00239,0.137,0.0624,0.7,146.65,4
spotify:track:1JSSMMqgswGLeRoEm26x6A,"Awake On a Train - Live","The Peel Session","múm",2006,478373,0,false,,2012-09-07T22:17:47Z,"post-rock,idm","FatCat Records",0.342,0.674,0,-10.815,1,0.0401,0.0153,0.714,0.117,0.324,90.08,4
