Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:21O0XXPEWPtePt5RMY93Ob,"All Caps","Madvillainy","Madvillain;Madlib;MF DOOM",2004-03-24,130479,71,true,thesoundsofspotify,2021-06-18T13:50:36Z,"experimental hip hop,alternative hip hop,jazz rap,plunderphonics,east coast hip hop","Stones Throw Records",0.358,0.889,1,-8.045,1,0.335,0.266,0.0000146,0.172,0.666,85.61,4
spotify:track:3qCZYiKPRbJG5Gypi7YH5H,"Low Class Conspiracy","The Unseen","Quasimoto",2004-12-01,146213,0,true,thesoundsofspotify,2021-06-18T13:50:36Z,"experimental hip hop,alternative hip hop,jazz rap,underground hip hop","Stones Throw Records",0.757,0.679,10,-7.136,0,0.356,0.303,0,0.303,0.896,90.361,4
spotify:track:026pfPaB52WIGawu0PzN5j,"Road Of The Lonely Ones","Sound Ancestors","Madlib",2021-01-29,218466,51,false,thesoundsofspotify,2021-02-05T18:11:52Z,"experimental hip hop,alternative hip hop,jazz rap,plunderphonics","Madlib Invazion",0.641,0.314,2,-11.56,1,0.0375,0.425,0.41,0.116,0.123,95.969,4
spotify:track:6ri6ZQWxqIZgYd2RfsnKNa,"Crust","Yasuke","Flying Lotus",2021-04-30,133520,52,false,thesoundsofspotify,2023-02-17T15:30:22Z,"idm,experimental hip hop,nu jazz,glitch","Warp Records",0.676,0.408,9,-7.937,1,0.0811,0.576,0.867,0.201,0.226,106.515,3
spotify:track:0B0lGy8qd6kohNFUz7cneO,"#RICHAXXHAITIAN","#RICHAXXHAITIAN","Mach-Hommy;KAYTRANADA;03 Greedo",2024-05-17,167142,45,true,thesoundsofspotify,2024-05-24T22:48:03Z,"boom bap,experimental hip hop,alternative hip hop,jazz rap","Mach-Hommy Inc.",0.751,0.751,4,-6.516,1,0.185,0.00796,0,0.155,0.468,111.923,4
spotify:track:2PvcvSelf10svTF3nCpM6X,"I Am Love","Alhambra","Earf.",2018-09-10,223373,7,true,thesoundsofspotify,2020-05-26T15:32:12Z,"","964209 Records DK",0.717,0.765,7,-3.558,1,0.0329,0.0562,0,0.12,0.474,101.039,4
spotify:track:4Mb5DVgLbFjlSwcuMdOw7B,"Exhibit C","Exhibit C","J A Y E L E C T R O N I C A",2009-12-22,331440,54,true,thesoundsofspotify,2021-07-09T13:01:07Z,"alternative hip hop","Mass Appeal",0.504,0.811,5,-11.966,0,0.191,0.0276,0,0.388,0.382,82.01,4
spotify:track:10KZtNwxBkIoWW9iwZUVcp,"Regal","Enchanted Trips","Mala Esoteric",2019-01-11,125471,16,true,thesoundsofspotify,2022-01-07T12:41:20Z,"","Thraxx Records",0.832,0.496,1,-6.363,1,0.0626,0.00703,0,0.119,0.183,152.986,4
spotify:track:78UzB71pUFZkbdIyHHEQUn,"BIGGER PICTURE","Attraction","RICHARDO RICH",2020-11-22,191007,1,false,thesoundsofspotify,2024-06-02T21:56:43Z,"","RICHARDO RICH PROD.",0.677,0.497,4,-8.274,0,0.263,0.269,0,0.134,0.612,93.051,4
spotify:track:7E6GfNEX3RCq26vzS0PBly,"Twistin","Mista Thug Isolation","Lil Ugly Mane;Denzel Curry",2012-02-11,261276,45,true,thesoundsofspotify,2023-10-13T23:50:38Z,"experimental hip hop,cloud rap,plunderphonics,neo-psychedelic,southern hip hop,horrorcore","Self Released",0.677,0.89,1,-5.721,0,0.344,0.012,0,0.0979,0.548,117.143,4
spotify:track:3VaUx4drij8PSdSoz1JLz3,"Swing - From ""Marvel's Spider-Man 2""","Swing (From ""Marvel's Spider-Man 2"")","EARTHGANG;Benji.",2023-09-14,184346,52,false,thesoundsofspotify,2023-10-07T00:46:48Z,"","Hollywood Records",0.761,0.849,11,-5.557,0,0.308,0.0498,0.000133,0.141,0.353,140.099,4
spotify:track:3G76eyvuqwd9yuLfr03MXb,"Remember (The Path)","GodIs: 4 Anthems of Power","Lavva",2020-10-01,136450,31,true,thesoundsofspotify,2021-05-28T13:41:40Z,"","Lavva Freques",0.802,0.472,4,-6.372,0,0.046,0.258,0,0.104,0.786,120.899,4
spotify:track:4hKn3UprlDFgjOZ1CtufBr,"The Official","Champion Sound","Jaylib;Madlib;J Dilla",2003,211520,36,true,thesoundsofspotify,2021-06-18T13:50:36Z,"underground hip hop,alternative hip hop,east coast hip hop,experimental hip hop,jazz rap,plunderphonics","Stones Throw Records",0.648,0.71,6,-6.718,0,0.342,0.181,0,0.0932,0.796,96.828,4
spotify:track:3VKr3eoiQr0Iy10ek3KAG8,"Shine a Light","Quazarz: Born on a Gangster Star","Shabazz Palaces;Thaddillac",2017-07-14,161741,37,false,thesoundsofspotify,2020-11-06T11:25:42Z,"experimental hip hop,alternative hip hop","Sub Pop Records",0.432,0.658,2,-7.959,1,0.0383,0.0026,0.112,0.392,0.494,85.05,4
spotify:track:5QZrHIwsFojfxyKqhsz8kX,"Wealthy","Richtual","Maat Petrova of FEMMAGIC",2019-12-04,250000,32,false,thesoundsofspotify,2021-04-02T14:43:26Z,"","FEMMAGIC/ SLB",0.554,0.474,2,-9.203,0,0.189,0.524,0,0.123,0.564,118.227,4
spotify:track:1wdUZfGOnuOOjjQq4Lk1Aw,"Gold Soul Theory","Indigoism","The Underachievers",2013-07-19,183863,0,true,thesoundsofspotify,2022-01-14T15:02:02Z,"","Seeker Music",0.517,0.791,1,-5.323,1,0.359,0.191,0,0.123,0.627,78.885,4
spotify:track:0uMn8WKu3qtQLaUyal1bsz,"Mastermind","Deltron 3030","Deltron 3030;Del The Funky Homosapien;Dan The Automator;Kid Koala",2000,214306,53,false,thesoundsofspotify,2020-05-26T15:32:12Z,"experimental hip hop,underground hip hop,trip hop,jazz rap,plunderphonics","Deltron Projects",0.741,0.657,0,-9.589,0,0.0374,0.00224,0.00756,0.0825,0.25,94.211,4
spotify:track:1Yi5DxulCfWqV6dIt9mI4J,"The Wake Pt. 3 & 2 (see page 87, 58, and 48)","Vergangenheitsbewältigung (Crater Speak)","Slauson Malone 1",2020-09-16,334499,32,false,thesoundsofspotify,2023-12-09T01:16:04Z,"experimental hip hop,plunderphonics","Grand Closing",0.454,0.339,4,-10.668,0,0.0472,0.704,0.0000689,0.085,0.22,104.416,4
spotify:track:7JFEPpad8KXAO0dxtPwfH0,"BlueBoniks","BlueBoniks","Blue w3rD;FR33SOL",2020-03-13,125383,0,true,thesoundsofspotify,2023-04-28T17:35:00Z,"vaporwave,lo-fi hip hop","Blue Colours",0.714,0.658,3,-5.495,0,0.107,0.357,0,0.104,0.313,156.005,4
spotify:track:1ekAfCVCzklgWwlghFg3P7,"Burn","bittersweet vol. 1","OSHUN",2018-04-06,201446,0,true,thesoundsofspotify,2023-04-14T21:09:10Z,"alternative r&b","OSHUN",0.58,0.623,11,-5.998,0,0.261,0.0872,0,0.126,0.283,129.137,4
spotify:track:2bOue3KYQBjRJcfWzpVB7o,"NOT THAT I'M ANYWHERE","BLACK PLEASURE 2012","Cities Aviv",2012-11-12,173072,0,true,thesoundsofspotify,2024-02-02T20:56:47Z,"experimental hip hop,cloud rap","Total Works",0.475,0.884,7,-4.782,1,0.322,0.0951,0.904,0.128,0.323,139.947,4
spotify:track:6Hr77eZSmaVGgH0vVulMUH,"Bounce","3001: A Laced Odyssey","Flatbush Zombies",2016-03-11,241520,53,true,thesoundsofspotify,2020-05-26T15:32:12Z,"","Glorious Dead Recordings",0.628,0.618,5,-8.4,0,0.313,0.0113,0,0.109,0.362,110.007,4
spotify:track:6WwlicDgUvCKCG7CuieD3Z,"Shake It","Shake It","Deanna Deladem",2024-02-10,198530,0,false,thesoundsofspotify,2024-02-16T22:18:57Z,"","Masie Blu",0.809,0.734,1,-5.988,0,0.184,0.0501,0.00000368,0.103,0.382,102.993,4
spotify:track:4EOrOTQh4mxmf3yv2HvCJ6,"5:55 1up","5:55 1up","Jason Mychel;Joe Ayinde;Nicasso",2018-12-05,301821,0,true,thesoundsofspotify,2020-06-26T11:10:27Z,"christian hip hop,christian r&b","S.O.T.O.V. UN. LIMITED",0.827,0.449,1,-8.554,1,0.318,0.188,0,0.109,0.552,139.998,4
spotify:track:2NCcyscxO8FRjfycY1xCa2,"Save My Number","Tales From The Telescope Chapter 2: Internal Shine","Lance Skiiiwalker;MIA GLADSTONE",2021-12-15,159973,33,false,thesoundsofspotify,2023-09-15T19:20:08Z,"","Top Dawg Entertainment",0.596,0.796,6,-7.126,0,0.0834,0.764,0.0473,0.381,0.469,129.875,4
