Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0uqSV2Q6vvlxhqd1Go0tMh,"Altibzz","Quaristice","Autechre",2008-03-03,172480,46,false,,1970-01-01T00:00:00Z,"idm,glitch,ambient,electronic,experimental,electroacoustic","Warp Records",0.169,0.0593,0,-20.841,1,0.0321,0.909,0.884,0.0989,0.047,74.736,3
spotify:track:4uRXAyNL5T4KY7iawdfJBZ,"Eutow","Tri Repetae","Autechre",1995-11-06,255933,49,false,,1970-01-01T00:00:00Z,"idm,glitch,ambient,electronic,experimental,electroacoustic","Warp Records",0.609,0.511,6,-14.289,0,0.0523,0.00329,0.904,0.19,0.0769,129.965,4
spotify:track:3WOTGJo6xmDxJICPcteIn9,"Nine","Amber","Autechre",1994-11-07,220200,40,false,,1970-01-01T00:00:00Z,"idm,glitch,ambient,electronic,experimental,electroacoustic","Warp Records",0.439,0.151,8,-18.049,0,0.0316,0.978,0.813,0.109,0.0695,82.115,3
spotify:track:3Om7xxNAn64xJOuU9WVKtp,"Bike","Incunabula","Autechre",1993-11-29,480133,42,false,,1970-01-01T00:00:00Z,"idm,glitch,ambient,electronic,experimental,electroacoustic","Warp Records",0.751,0.61,5,-14.946,1,0.043,0.0139,0.914,0.089,0.0375,125.242,4
spotify:track:56p0LzMVbPMQU4Gf5rsK8e,"VLetrmx","Garbage","Autechre",1995-02-27,507240,31,false,,1970-01-01T00:00:00Z,"idm,glitch,ambient,electronic,experimental,electroacoustic","Warp Records",0.0941,0.262,0,-15.862,1,0.0449,0.932,0.904,0.0913,0.0371,78.126,4
spotify:track:1ArhkZYHmJGXZOMV6NwxjJ,"Clipper","Tri Repetae","Autechre",1995-11-06,514000,36,false,,1970-01-01T00:00:00Z,"idm,glitch,ambient,electronic,experimental,electroacoustic","Warp Records",0.623,0.864,8,-11.918,1,0.159,0.134,0.848,0.369,0.968,160.02,5
spotify:track:7uXRhVsCHwKVV8gYeA5CXS,"Foil","Amber","Autechre",1994-11-07,364733,41,false,,1970-01-01T00:00:00Z,"idm,glitch,ambient,electronic,experimental,electroacoustic","Warp Records",0.501,0.365,9,-15.811,0,0.105,0.684,0.944,0.129,0.157,124.068,4
spotify:track:0kqwVecxuFaADjChcSnDiI,"Kalpol Introl","Incunabula","Autechre",1993-11-29,198600,37,false,,1970-01-01T00:00:00Z,"idm,glitch,ambient,electronic,experimental,electroacoustic","Warp Records",0.19,0.65,10,-15.853,0,0.361,0.78,0.433,0.303,0.0577,82.358,4
spotify:track:2sbUONWNTLiZPOpjjh7q3M,"Rae","LP5","Autechre",1998-07-13,433679,33,false,,1970-01-01T00:00:00Z,"idm,glitch,ambient,electronic,experimental,electroacoustic","Warp Records",0.663,0.898,9,-10.871,0,0.0414,0.119,0.877,0.0968,0.381,113.991,4
spotify:track:49ucpPYrxG9yuUUoaahs3C,"C/Pach","Tri Repetae","Autechre",1995-11-06,279266,29,false,,1970-01-01T00:00:00Z,"idm,glitch,ambient,electronic,experimental,electroacoustic","Warp Records",0.893,0.622,1,-14.903,1,0.252,0.0121,0.00671,0.0682,0.403,115.972,4
