Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:106ZSErYoeueq0P6HXZhTM,"You Don't Care (You'll Want Me Back)","Little Did You Know","The Techniques;Tommy McCook;The Supersonics",1966-04-11,160306,28,false,i8o4st5a84pmbod1jbc21v03i,2024-10-13T18:20:53Z,"rocksteady,ska,lovers rock,reggae,roots reggae,dub","Trojan Records",0.775,0.403,10,-8.856,1,0.223,0.667,0.00000893,0.148,0.614,86.283,4
spotify:track:7d7X1qpAJl4jBmIHBuAxK9,"Things You Say You Love","Things You Say You Love","The Jamaicans",1967,169173,39,false,i8o4st5a84pmbod1jbc21v03i,2024-10-13T18:21:39Z,"rocksteady,reggae,ska,roots reggae,dub","Charly | Treasure Isle",0.788,0.327,0,-12.997,1,0.101,0.388,0.546,0.0867,0.767,94.103,4
spotify:track:1aClbPZQjSraTPKNq9n0ha,"Tom, Dick and Harry","Treasure Isle Presents: Cool Smoke","Stranger Cole;Patsy Todd",2022-11-11,156882,3,false,i8o4st5a84pmbod1jbc21v03i,2024-10-15T18:44:15Z,"rocksteady,ska,reggae,roots reggae","Trojan Records",0.762,0.519,3,-11.357,1,0.0558,0.459,0.543,0.145,0.977,130.596,4
spotify:track:10Id9z9uCsIHULOa0q64nB,"La La Means I Love You","Treasure Isle Collection","Alton Ellis",2008-05-01,191986,0,false,i8o4st5a84pmbod1jbc21v03i,2024-10-15T18:44:32Z,"rocksteady,reggae,lovers rock,ska,roots reggae,dub","Original Super Power",0.873,0.478,10,-8.882,0,0.158,0.0877,0.000137,0.0754,0.592,88.741,4
spotify:track:7sEZwkPFGNXoGjZNYTsnAy,"Those Guys","Treasure Isle Collection","The Sensations",2008-05-01,146986,0,false,i8o4st5a84pmbod1jbc21v03i,2024-10-15T18:44:32Z,"rocksteady,lovers rock,ska,reggae,roots reggae","Original Super Power",0.777,0.462,8,-7.735,1,0.059,0.501,0.00176,0.25,0.864,80.799,4
spotify:track:3yfSbGzbedtktIjhqFgHAV,"Loving Pauper","Treasure Isle Collection","Dobby Dobson",2008-05-01,198493,0,false,i8o4st5a84pmbod1jbc21v03i,2024-10-15T18:44:32Z,"rocksteady,lovers rock,reggae","Original Super Power",0.742,0.447,7,-8.206,1,0.0969,0.635,0.0226,0.129,0.591,83.748,4
spotify:track:4RzUSpIU57BM4qu4tv7baq,"You Don't Need Me","Treasure Isle Collection","The Melodians",2008-05-01,192480,0,false,i8o4st5a84pmbod1jbc21v03i,2024-10-15T18:44:32Z,"rocksteady,reggae,ska,roots reggae,lovers rock","Original Super Power",0.791,0.468,1,-8.786,1,0.0434,0.425,0.000361,0.067,0.741,91.741,4
spotify:track:5BKRjhaPS2nmwgF8OlwqHp,"I'll Never Fall in Love","Treasure Isle Collection","The Sensations",2008-05-01,139986,0,false,i8o4st5a84pmbod1jbc21v03i,2024-10-15T18:44:32Z,"rocksteady,lovers rock,ska,reggae,roots reggae","Original Super Power",0.726,0.528,10,-9.07,0,0.152,0.476,0.0016,0.181,0.66,82.796,4
spotify:track:33GHegodpTbwDSewp7dbwk,"I'll Get Along Without You","Treasure Isle Collection","The Melodians",2008-05-01,184986,0,false,i8o4st5a84pmbod1jbc21v03i,2024-10-15T18:44:32Z,"rocksteady,reggae,ska,roots reggae,lovers rock","Original Super Power",0.731,0.433,7,-9.408,1,0.0397,0.188,0.000307,0.647,0.777,94.969,4
spotify:track:589I7QXVASOjTZV1NlJKeD,"On a Saturday Night","Treasure Isle Collection","Justin Hind & The Dominoes",2008-05-01,160480,0,false,i8o4st5a84pmbod1jbc21v03i,2024-10-15T18:44:32Z,"","Original Super Power",0.761,0.269,8,-10.248,0,0.0389,0.19,0.00000118,0.113,0.586,102.099,4
