Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5BGLsHhPhOQgdkbmmLbmfd,"eye robot","scintilli","Plaid",2011-09-26,188000,0,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2020-05-29T04:11:53Z,"idm,glitch","Warp Records",0.649,0.396,8,-9.524,1,0.0333,0.000908,0.867,0.0893,0.184,117.028,4
spotify:track:4OnmluCzMDBZ76ZoaCaR2e,"Shipwreck Glue","Ex-Aquarium","Kelpe",2008-02-22,358960,10,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2020-05-29T04:12:17Z,"idm,glitch","DC Recordings",0.727,0.721,4,-10.135,0,0.131,0.0103,0.601,0.107,0.287,101.959,4
spotify:track:3ikLgtCZ56a2zxDbLNmtPw,"Fortress","Listening Tree","Tim Exile",2009,369573,0,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2020-05-29T04:12:27Z,"idm","Warp Records",0.624,0.788,1,-6.755,1,0.0896,0.141,0.0917,0.0981,0.369,109.996,4
spotify:track:17hs9DiAoyFoHny1fpFO7i,"Toy Castle","Margins","Kelpe",2010-04-10,205012,0,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2020-05-29T04:12:44Z,"idm,glitch","Black Acre Records",0.862,0.467,7,-10.838,1,0.0925,0.455,0.776,0.108,0.223,107.022,4
spotify:track:6wTXs58QJBjjwWVwX4ECTM,"Slip","Amber","Autechre",1994-11-07,381106,0,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2020-05-29T04:13:01Z,"idm,glitch,ambient,electronic,experimental,electroacoustic","Warp Records",0.673,0.611,1,-12.634,1,0.0328,0.546,0.898,0.102,0.945,140.051,4
spotify:track:38HZqhWJfARrWSeZohdRJO,"Luminol","Answers Come In Dreams","Meat Beat Manifesto",2010-10-12,364546,5,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2020-05-29T04:13:43Z,"industrial,big beat,acid house,trip hop,idm,ebm,musique concrète,breakbeat","MBM Records",0.755,0.531,8,-7.679,0,0.0572,0.185,0.829,0.0859,0.277,131.999,4
spotify:track:2p0aAkfYo32Bqxgk1PSc3p,"Lurker","Impossible Star","Meat Beat Manifesto",2018-01-19,892913,7,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2020-05-29T04:14:19Z,"industrial,big beat,acid house,trip hop,idm,ebm,musique concrète,breakbeat","MBM Records",0.498,0.625,11,-9.465,0,0.0498,0.176,0.876,0.11,0.364,128.003,4
spotify:track:2JxRjxTFdwYCRuzufNTxzm,"Prospero","Weathered Well","Locust",1994,524006,17,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2020-05-29T04:14:30Z,"trip hop,idm,dream pop","R&S Records",0.501,0.188,5,-21.869,1,0.0383,0.018,0.839,0.141,0.0348,119.895,4
spotify:track:4q650OiSDQIwccxDFpuuBm,"Flim","Come To Daddy","Aphex Twin",1997-10-06,177093,0,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2020-05-29T04:15:55Z,"idm,ambient,electronica","Warp Records",0.71,0.734,0,-14.932,0,0.052,0.511,0.838,0.0701,0.4,147.979,4
spotify:track:4bSX9WwTJ1L2jrhFIeokIi,"Key nell 1","Key nell","Gescom",1996-06-06,479223,20,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2020-05-29T04:16:03Z,"idm,glitch,musique concrète,experimental","Skam Records",0.835,0.505,2,-13.815,1,0.0831,0.0738,0.827,0.525,0.504,105.993,4
spotify:track:69mKPqeYpOyOqYlxpppExw,"Key nell 4","Key nell","Gescom",1996-06-06,666493,7,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2020-05-29T04:16:06Z,"idm,glitch,musique concrète,experimental","Skam Records",0.452,0.936,0,-11.446,1,0.149,0.563,0.9,0.376,0.114,111.235,4
