Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1uWmfb5OF1mEfNsZKypRpd,"Sound Killa, Pt. 2 (Featuring SHY FX & Specialist Moss)","Sound Killa, Pt. 2","Mr. Williamz;Specialist Moss;SHY FX",2022-03-18,168965,47,false,frediepie-dk,2023-07-14T17:22:39Z,"jungle,drum and bass,ragga,dub,bassline","Tenwest",0.622,0.846,7,-3.515,1,0.113,0.000753,0.0000312,0.266,0.557,173.902,4
spotify:track:5RbO4GMYP322wIJHPYvcqV,"Dances Are Changes","Reggae Anthology: The Channel One Story","Barrington Levy",2004-04-26,210786,10,false,frediepie-dk,2024-04-28T13:36:40Z,"reggae,roots reggae,lovers rock,ragga,dub,dancehall,rocksteady","VP Records",0.746,0.519,9,-8.132,1,0.0884,0.081,0,0.0933,0.452,142.252,4
spotify:track:1UUYO8JUde6r2QTk0uWCyf,"Wickedest Sound 2014 - Jungle Remix","This Is Jungle","Congo Natty;Tenor Fly",2014,372000,0,false,frediepie-dk,2024-01-11T23:42:24Z,"jungle,drum and bass,ragga,dub","New State Music",0.691,0.697,11,-11.315,0,0.0503,0.000621,0.0172,0.287,0.326,149.991,4
spotify:track:6U76TKbJC6qtirS2vqwlPP,"Copenhagen Massive","Copenhagen Massive","Obeah",2007-06-04,416277,4,false,frediepie-dk,2023-07-16T20:40:46Z,"dub","Kraken Recordings",0.499,0.717,1,-10.285,0,0.0572,0.0101,0.794,0.524,0.205,143.481,4
spotify:track:7xR3W8bmmUdyLmxwwQiMKK,"Sound Clash Dub","Tribute To Haile Selassie","Blackstar",1995,223020,0,false,frediepie-dk,2024-04-11T13:37:08Z,"jungle","New State Music",0.682,0.872,8,-7.118,1,0.214,0.00559,0.439,0.382,0.351,165.949,4
spotify:track:62UTBl5LVd6HOCFvT57Axt,"18 & Over","18 & Over","Nia Archives",2021-11-25,218363,47,true,frediepie-dk,2026-01-23T16:25:24Z,"jungle,drum and bass,uk garage","HIJINXX",0.552,0.911,2,-7.305,1,0.0778,0.00498,0.421,0.0739,0.487,165.953,4
spotify:track:1x2wZBHyVwbgDyUZpAfOgn,"Wicked She Wicked","Reggae Anthology: Henry ""Junjo"" Lawes - Volcano Eruption","Billy Boyo",2010-02-15,288453,32,false,frediepie-dk,2025-01-09T21:36:03Z,"reggae,dub,roots reggae,ragga,rocksteady","VP Records",0.738,0.771,11,-5.725,0,0.121,0.0661,0.00125,0.064,0.689,74.199,4
spotify:track:5L3TLEjHktDPUWw1yXU9KQ,"Pianos Raining Down","Incognito Rhythm","4am Kru;McDonald & Jannetta",2024-09-12,215751,48,false,frediepie-dk,2026-04-30T00:36:44Z,"jungle,drum and bass,breakbeat,uk garage","Embrace The Real Records",0.426,0.876,2,-4.81,0,0.055,0.0226,0.583,0.269,0.13,87.817,5
spotify:track:6POVtfiwtySGeh8C8vclDv,"The Fog","Dancehall of Horrors","Roots Radics;Green Lion",2025-10-10,315885,5,false,frediepie-dk,2025-10-24T16:00:54Z,"dub,roots reggae,reggae,rocksteady","Tabou 1",0.774,0.581,10,-7.375,0,0.121,0.242,0.47,0.438,0.874,77.751,4
spotify:track:7CiZj5S4E5FVboR0yLVLzc,"Original Nuttah 25 (feat. IRAH) - Chase & Status Remix","Original Nuttah 25","Uk Apache;SHY FX;IRAH;Chase & Status",2019-08-23,223454,58,false,frediepie-dk,2024-01-02T02:55:54Z,"jungle,drum and bass,bassline,uk garage","Cult.ure",0.425,0.894,10,-4.991,0,0.0762,0.0258,0.00000156,0.0996,0.171,115.412,5
spotify:track:0CNILNmshoVRa0bBzEEQgY,"Copenhagen Massive - Obeah Junglist VIP Mix","Bas Under Buen 2024","2000F",2024-06-21,320922,2,false,frediepie-dk,2024-08-05T08:06:23Z,"dansk rap,dubstep","Bas Under Buen",0.47,0.966,1,-5.291,1,0.0893,0.000811,0.749,0.336,0.221,173.551,4
spotify:track:2tXJNHGd81Sj9gsLjSoQCm,"Copenhagen Jungle Dub","Danish Dub, Pt.2","Hieronymus Dub Sounds",2024-06-28,447750,0,false,frediepie-dk,2024-07-21T17:59:42Z,"dub techno,dub","Tribe 84 Records",0.603,0.864,9,-11.689,0,0.03,0.00463,0.751,0.0346,0.93,125.999,4
spotify:track:7EoTYwba1v41emxXFGw1EO,"Gadebrænder","Gadebrænder","Klumben;Raske Penge",2017-03-01,243662,16,false,frediepie-dk,2024-08-05T08:04:52Z,"dansk rap,dansk pop,dancehall,dansktop,norwegian hip hop","Raske Plader",0.676,0.878,9,-7.832,0,0.168,0.0906,0.00000128,0.209,0.37,90.069,4
spotify:track:6Obw86YSk4jc68MqlS8XC4,"Everybody Knows","Everybody Knows","Promoe;Blizz Bugaddi;Ayla",2024-11-29,242500,13,true,frediepie-dk,2025-02-11T16:29:37Z,"","David vs Goliath",0.674,0.669,8,-8.847,0,0.0623,0.0879,0.00128,0.156,0.386,112.953,4
spotify:track:1waGuTgUwABiTmT9mz2fEv,"Jah Jah Is Coming","Can't Get Away","Professor Skank;Earl Sixteen",2016-07-18,250000,19,false,frediepie-dk,2024-05-15T02:59:15Z,"dub,roots reggae,reggae,lovers rock,rocksteady","4Weed Records",0.733,0.777,9,-7.169,0,0.033,0.141,0.751,0.0987,0.965,130.006,4
spotify:track:7qT1NjUIM0b0WxjTs1e6ab,"Jah Is Coming - Original Mix","Babylon EP","Scott Allen",2022-03-04,375205,20,false,frediepie-dk,2023-12-10T20:53:36Z,"liquid funk,jungle,drum and bass","Rasta Vibez",0.532,0.984,6,-2.006,1,0.0823,0.000128,0.916,0.0631,0.647,175.001,4
spotify:track:69KZlU98nwscGMMvSRdFWv,"Really Like You - Umberto Echo Dubmix","Really Like You (Remixes)","Sara Lugo;Protoje;Umberto Echo",2017-02-24,247985,6,false,frediepie-dk,2025-07-07T19:35:30Z,"reggae,roots reggae,ragga,dancehall,dub","Oneness Records",0.787,0.457,5,-7.908,1,0.155,0.00966,0.375,0.273,0.595,169.93,4
spotify:track:0odZ5p9AcKzvOuLGWGMsYY,"Rock It Ina Dub","Scientist Meets Hempress Sativa in Dub","Scientist;Hempress Sativa",2018-02-11,252466,0,false,frediepie-dk,2023-07-16T21:29:51Z,"dub,roots reggae,reggae,rocksteady,ragga","Conquering Lion Records",0.846,0.443,11,-8.118,0,0.0884,0.0224,0.000563,0.34,0.399,136.972,4
spotify:track:74vtktH9DKCodY7YBJXAn7,"Curfew Dub","Curfew","O.B.F",2022-01-28,226750,12,false,frediepie-dk,2024-08-18T13:25:58Z,"dub,reggae,ragga,roots reggae","Dubquake Records",0.94,0.348,6,-10.079,0,0.233,0.00181,0.363,0.0815,0.619,139.466,4
spotify:track:3jgaxb6K3eneGYi60mxRPo,"Backshot","Atw002","ATW;Interplanetary Criminal;Main Phase",2022-06-03,406280,32,false,frediepie-dk,2025-04-14T01:20:20Z,"uk garage,bassline,uk funky,jungle,breakbeat,hard house","ATW Records",0.765,0.906,1,-7.75,1,0.11,0.000581,0.223,0.14,0.599,138.018,4
spotify:track:2prIt3VPm1ZznKgmPQr51n,"I've Got the Handle (feat. Tony Rebel)","Song Book: Chapter a Day","Jacob Miller;Tony Rebel",1999,250573,16,false,frediepie-dk,2024-10-28T16:51:33Z,"roots reggae,reggae,rocksteady,lovers rock,dub,ragga,dancehall,riddim","DubShot Records/Sound Bwoy Ent",0.675,0.744,5,-7.236,0,0.0814,0.000587,0,0.136,0.619,133.29,4
spotify:track:0EFPTtgg05rr9MtL2rYhnU,"Kunta Kinte - 94 Dub Plate","This Is Jungle","Congo Natty;Tribe Of Issachar;Jah Cure",2014,242671,0,false,frediepie-dk,2023-07-19T21:46:47Z,"jungle,drum and bass,ragga,dub,lovers rock,reggae,dancehall,roots reggae,riddim","New State Music",0.556,0.776,1,-16.366,0,0.207,0.0613,0.0425,0.294,0.33,116.984,3
spotify:track:6FYUAB779R3WtcnKHRarhk,"Hver Dag - Langt Mix","Selektor Hver Dag","2000F;Klumben;Raske Penge",2025-07-11,261889,3,true,frediepie-dk,2025-07-17T14:34:02Z,"dansk rap,dubstep,dansk pop,dancehall,dansktop,norwegian hip hop","Raske Plader",0.739,0.954,6,-5.323,0,0.222,0.00793,0.00000935,0.245,0.89,170.985,4
spotify:track:75LJrHZSecCSZoRiQWIgzA,"Wicked & Dark","Wicked & Dark","Bou;IRAH;Kanine;Trigga",2024-11-15,190628,52,true,frediepie-dk,2024-11-18T20:55:24Z,"drum and bass,bassline,jungle,uk garage,liquid funk","Universal-Island Records Ltd.",0.68,0.914,2,-2.212,1,0.137,0.0451,0.0000143,0.0661,0.396,87.522,4
spotify:track:4eUbmwV918KGHJFnsuu8vf,"Raver - Breakage Remix","Raver EP","SHY FX;Breakage;Donae'o",2010-12-05,211373,4,false,frediepie-dk,2023-12-25T11:26:25Z,"jungle,drum and bass,bassline,dubstep,grime,breakbeat,liquid funk,soca,uk funky,azonto","Digital Soundboy",0.587,0.942,6,-4.73,0,0.0508,0.000476,0.429,0.255,0.463,149.943,4
spotify:track:4G2xz6VoK77bXvZePb9wAZ,"Super Sharp Shooter","Johnny Was Motion Picture Soundtrack, Vol. 2. (Reggae from the Film)","The Ganja Kru",2007-03-20,387733,0,false,frediepie-dk,2023-12-25T11:38:44Z,"jungle,drum and bass","Ben Katz Music",0.669,0.753,2,-10.387,1,0.224,0.0186,0.0425,0.479,0.446,163.882,4
spotify:track:1x1qIXnmiiNOXREPslim8R,"Crisis Dub","Branches and Leaves (Showcase Album)","MIlton Henry",2013-10-06,214584,33,false,frediepie-dk,2024-04-12T14:02:38Z,"roots reggae,dub,reggae,rocksteady","Iroko Records",0.795,0.438,0,-9.14,1,0.0468,0.0052,0.846,0.0576,0.536,132.002,4
spotify:track:0Oxy82vsILYLVoF0s6r13K,"Every Tongue Dub","Reggae, Roots & Culture Vol. 1","Mafia & Fluxy",2021-04-30,216140,20,false,frediepie-dk,2024-10-24T17:16:19Z,"dub,roots reggae,reggae","Global Beats",0.724,0.878,7,-7.346,0,0.0421,0.000045,0.727,0.0487,0.728,143.03,4
spotify:track:3RP7WbCVnP84hsVYX6YANR,"Yaadman (Intro)","Yaadman Kingsize","Yaadman fka Yung L",2021-01-29,110769,26,false,frediepie-dk,2024-09-02T15:51:35Z,"afrobeats,afrobeat,afropop,alté,dancehall,afroswing,afro r&b,azonto","Zimmlife",0.71,0.671,11,-6.101,0,0.252,0.321,0.0000147,0.124,0.885,77.586,4
spotify:track:3IQNyWPEfNQV7YDmvABjgr,"Ruffest Gun Ark - DJ Rap Mix","Champion Deejay","Top Cat;DJ Rap",2009-12-14,319371,36,true,frediepie-dk,2023-07-19T21:33:17Z,"jungle,drum and bass,ragga,breakbeat","StreetLife",0.658,0.964,1,-4.437,1,0.278,0.00244,0.196,0.316,0.701,120.87,5
spotify:track:3XMuTwi80nFmdKVZOzI0ob,"No Loafing (Sit And Wonder)","Sinsemilla","Black Uhuru",1980-07-01,238346,23,false,frediepie-dk,2024-05-09T20:34:03Z,"reggae,roots reggae,dub,ragga,rocksteady","Island Records",0.838,0.779,2,-10.272,0,0.0406,0.097,0.384,0.0968,0.665,126.257,4
spotify:track:2wAmh0t6OD8GZPVqmbmnBQ,"Jah Golden Pen Dub","Dolomites Rockers present Loubna","Paolo Baldini DubFiles;Imperial Sound Army;Loubna",2021-09-17,217500,26,false,frediepie-dk,2024-04-16T02:01:17Z,"dub,reggae,ragga,roots reggae,raï","La Tempesta Dub",0.666,0.671,1,-9.593,1,0.0349,0.000166,0.855,0.403,0.22,122.984,4
spotify:track:1AduGZEwcH6bWBz1J6gvb5,"Put It On - Liondub & Bluntskull Remix","Liondub & Marcus Visionary Present: Jungle to the World, Vol. 2","Jamalski;Rocker-T;Mr. Live;Liondub;Bluntskull",2016-08-10,294247,8,false,frediepie-dk,2024-03-25T22:12:56Z,"ragga,dub,reggae,jungle,drum and bass,dancehall","Liondub International",0.708,0.95,1,-1.225,1,0.171,0.0437,0,0.146,0.85,87.94,4
spotify:track:2Fo9MIXwj4tUgD4FUZAfou,"Dubquake 2016","Dubquake 2016","O.B.F",2021-05-14,262000,0,false,frediepie-dk,2023-09-28T23:25:18Z,"dub,reggae,ragga,roots reggae","Dubquake Records",0.698,0.614,1,-7.96,1,0.0352,0.0000931,0.896,0.0724,0.107,128.014,4
spotify:track:1u8Kdc7nTLBvCBBtZhLBvg,"Judgment","Grime and Dubstep French Connection","Edsik;Flowdan",2011,260637,0,false,frediepie-dk,2024-09-18T16:45:06Z,"grime,drum and bass,uk garage","Alouette Street Records",0.618,0.948,1,-8.075,0,0.362,0.125,0,0.653,0.434,140.091,4
spotify:track:1695kFGgPZHJWKLFgOjzBo,"I'm Living - Ed Solo & Stickybuds Remix","I'm Living the Versions & Remixes","Sizzla;Ed Solo;Stickybuds",2014-02-26,335795,38,false,frediepie-dk,2024-08-05T08:13:07Z,"reggae,ragga,dancehall,lovers rock,roots reggae,riddim,jungle,drum and bass,breakbeat,glitch","Muti Music",0.688,0.925,11,-3.526,1,0.0432,0.00166,0.000202,0.0626,0.576,88.009,4
spotify:track:5xUV8KHwaf1mmbNCHJKqqK,"Black Heart Man Dub","In Dub","Barrington Levy",2008-10-18,223466,18,false,frediepie-dk,2024-04-30T03:31:23Z,"reggae,roots reggae,lovers rock,ragga,dub,dancehall,rocksteady","Thompson Sound Jamaica",0.764,0.506,2,-7.708,1,0.0393,0.00243,0.228,0.0879,0.414,135.983,4
spotify:track:25NWRBWE0rxT5VHef6gkB3,"Come On Baby - Dub Style","I Love Marijuana (Expanded Version)","Roots Radics",1978-01-01,317160,5,false,frediepie-dk,2024-05-15T02:54:09Z,"dub,roots reggae,reggae,rocksteady","Trojan Records",0.598,0.289,9,-14.094,0,0.0852,0.0152,0.897,0.0793,0.285,112.352,5
spotify:track:1zyv9YuZSFCrUOxYDI3JVR,"Biggest Dub","Biggest Fan","Lila Iké",2017-09-15,223020,24,false,frediepie-dk,2025-02-03T00:03:06Z,"reggae,lovers rock,dancehall","In.Digg.Nation Collective",0.741,0.583,6,-5.278,0,0.199,0.0155,0.37,0.137,0.724,74.035,4
