Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4aBc4Mmkzz5oOsIctbh6dg,"Creep In The Cellar","Rembrandt Pussyhorse","Butthole Surfers",1986-01-01,125053,28,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:03:58Z,"noise rock","Matador",0.41,0.737,2,-8.308,1,0.101,0.388,0.00024,0.102,0.603,111.447,4
spotify:track:3qSlbAE7VfK1AVyxfoHNJZ,"Leave It","90125 (Deluxe Version)","Yes",1983-06-01,253800,52,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:03:59Z,"progressive rock,art rock,aor","Rhino Atlantic",0.664,0.898,5,-4.828,1,0.0425,0.528,0.000217,0.27,0.628,100.033,4
spotify:track:1K75F5lMyhGFqbM8HwWSpS,"Starship Trooper: a. Life Seeker, b. Disillusion, c. Würm","The Yes Album (Deluxe Edition)","Yes",1971-02-19,566133,0,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:00Z,"progressive rock,art rock,aor","Rhino/Elektra",0.294,0.456,7,-12.399,1,0.0314,0.0103,0.00727,0.16,0.431,76.889,4
spotify:track:0Q3AXtYr1m6eKPZpRCd1Hm,"Mikado","What We Must","Jaga Jazzist",2005-04-25,365053,8,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:00Z,"nu jazz,experimental jazz,post-rock,acid jazz,jazz fusion,indie jazz","Ninja Tune",0.498,0.683,7,-9.204,1,0.0335,0.123,0.916,0.102,0.367,110.989,4
spotify:track:2Rm2gGOMLJo4b6ae73KOHZ,"UK Allstars - Congo Natty Meets Benny Page - Radio Edit","UK Allstars (Congo Natty Meets Benny Page - Radio Edit)","Congo Natty;Tenor Fly;Top Cat;General Levy;Tippa Irie;Sweetie Irie;Daddy Freddy",2013-03-27,218565,35,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:01Z,"jungle,drum and bass,ragga,dub,uk garage,lovers rock,reggae","Big Dada",0.537,0.944,11,-5.131,0,0.334,0.0131,0.0000017,0.326,0.516,177.972,4
spotify:track:3kjfuXcu8jsI8QUtg67X8f,"Starfire","Starfire","Jaga Jazzist",2015-06-01,527066,16,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:02Z,"nu jazz,experimental jazz,post-rock,acid jazz,jazz fusion,indie jazz","Ninja Tune",0.485,0.825,9,-6.353,0,0.0386,0.00138,0.79,0.129,0.458,155.032,4
spotify:track:72Roy6bBt4ETkkqcbfZ4OI,"Secrets - Remastered","Secrets (Remastered)","Allan Holdsworth",1989-04-07,262007,24,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:03Z,"jazz fusion,progressive rock","Manifesto Records",0.422,0.524,2,-11.558,1,0.0413,0.0727,0.00000465,0.0967,0.166,132.105,4
spotify:track:70bGCbqGH2Qms2mo98zflJ,"The Sixteen Men of Tain - Remastered","The Sixteen Men of Tain (Remastered)","Allan Holdsworth",2000-04-07,386035,30,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:04Z,"jazz fusion,progressive rock","Manifesto Records",0.408,0.524,5,-8.988,1,0.032,0.707,0.191,0.119,0.181,110.603,4
spotify:track:4tMlyDh4A8cttW6jFBTRmv,"I and I Survive","Rock for Light","Bad Brains",1983,313626,37,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:05Z,"hardcore punk,punk,hardcore,skate punk,proto-punk","Bad Brains Records",0.826,0.354,7,-14.726,1,0.053,0.00198,0.0000964,0.192,0.536,127.428,4
spotify:track:2qsowLAvxOWyivYN0T5eLj,"Lanyard Loop","All Night Wrong","Allan Holdsworth",2003-08-26,346160,18,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:05Z,"jazz fusion,progressive rock","Mascot/FN",0.37,0.747,1,-11.386,1,0.0398,0.0613,0.757,0.691,0.266,120.623,5
spotify:track:6H8A7QY59m8uVtmPsBVBUf,"Made For Radio","A Living Room Hush","Jaga Jazzist",2001,321586,12,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:06Z,"nu jazz,experimental jazz,post-rock,acid jazz,jazz fusion,indie jazz","Ninja Tune",0.615,0.53,9,-8.227,1,0.0344,0.344,0.928,0.108,0.251,81.382,4
spotify:track:3bbfY8yDDwzLvvx3tFwy8i,"Starless","Red (Expanded & Remastered Original Album Mix)","King Crimson",1974-10-01,744568,56,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:07Z,"progressive rock,art rock,psychedelic rock","Discipline Global Mobile",0.271,0.481,7,-9.985,0,0.0378,0.107,0.465,0.156,0.136,118.065,4
spotify:track:6NJ3iKkdF3lv2kOCfL2hAk,"Going Down","A Living Room Hush","Jaga Jazzist",2001,319893,13,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:08Z,"nu jazz,experimental jazz,post-rock,acid jazz,jazz fusion,indie jazz","Ninja Tune",0.46,0.732,0,-10.317,1,0.0356,0.17,0.959,0.112,0.548,145.305,4
spotify:track:3IjHy89TBmOOK8nXYgqqo7,"Animal Chin","A Living Room Hush","Jaga Jazzist",2001,187226,24,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:09Z,"nu jazz,experimental jazz,post-rock,acid jazz,jazz fusion,indie jazz","Ninja Tune",0.34,0.912,8,-7.302,1,0.151,0.00602,0.867,0.598,0.643,87.039,4
spotify:track:0Izt53lFwp9luhhdvkbozM,"Spiral Era","Pyramid","Jaga Jazzist",2020-08-07,488904,18,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:09Z,"nu jazz,experimental jazz,post-rock,acid jazz,jazz fusion,indie jazz","Brainfeeder",0.312,0.606,11,-11.691,0,0.0437,0.0143,0.888,0.0813,0.471,155.231,5
spotify:track:2qiplKeUNzNjKFuZ6YkXG2,"Day","The Stix","Jaga Jazzist",2003-05-06,187626,13,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:10Z,"nu jazz,experimental jazz,post-rock,acid jazz,jazz fusion,indie jazz","Ninja Tune",0.582,0.82,8,-7.313,0,0.04,0.00743,0.86,0.146,0.796,101.022,4
spotify:track:2Wg7HdjbyrblvIsFjWk0mh,"Devil Take the Hindmost - Remastered","Metal Fatigue (Remastered)","Allan Holdsworth",1985-04-07,336763,32,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:11Z,"jazz fusion,progressive rock","Manifesto Records",0.314,0.564,5,-11.733,1,0.0421,0.0335,0.00878,0.381,0.419,161.303,4
spotify:track:7MzTHpyFGgMscC6cPDI2Fs,"Stardust Hotel","What We Must","Jaga Jazzist",2005-04-25,375213,12,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:12Z,"nu jazz,experimental jazz,post-rock,acid jazz,jazz fusion,indie jazz","Ninja Tune",0.118,0.5,4,-8.925,1,0.0315,0.0284,0.574,0.244,0.154,91.377,4
spotify:track:1CgRQLVij7zsI4bdJ3VcDj,"Kitty Wu","The Stix","Jaga Jazzist",2003-05-06,276880,9,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:12Z,"nu jazz,experimental jazz,post-rock,acid jazz,jazz fusion,indie jazz","Ninja Tune",0.322,0.732,11,-8.544,0,0.0392,0.0211,0.118,0.127,0.365,134.87,4
spotify:track:2UILbfkboeRDwAVQeXFUqh,"Last May","Velvet Darkness (Expanded Edition)","Allan Holdsworth",1976-01-01,97666,17,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:13Z,"jazz fusion,progressive rock","Epic/Legacy",0.317,0.109,1,-26.872,1,0.0441,0.935,0.833,0.0997,0.137,83.374,4
spotify:track:4a7Gsq6O8vUQQg5vaJhoTx,"One-Armed Bandit","Live With Britten Sinfonia","Jaga Jazzist",2013-05-06,924253,6,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:15Z,"nu jazz,experimental jazz,post-rock,acid jazz,jazz fusion,indie jazz","Ninja Tune",0.339,0.581,2,-8.985,0,0.0462,0.612,0.827,0.981,0.287,105.049,3
spotify:track:0vsD5bIKCfgpaEfGBkeoDs,"For All You Happy People","Live With Britten Sinfonia","Jaga Jazzist",2013-05-06,393600,2,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:17Z,"nu jazz,experimental jazz,post-rock,acid jazz,jazz fusion,indie jazz","Ninja Tune",0.222,0.221,4,-18.132,0,0.0408,0.721,0.84,0.833,0.0396,133.255,3
spotify:track:2UkdHRPNX37QW0IRr6CM3E,"Oslo Skyline","What We Must","Jaga Jazzist",2005-04-25,332306,21,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:19Z,"nu jazz,experimental jazz,post-rock,acid jazz,jazz fusion,indie jazz","Ninja Tune",0.275,0.657,4,-8.12,1,0.039,0.0378,0.839,0.117,0.25,151.106,4
spotify:track:1LyVKKl0Xe1QUpl78z9Bmj,"Tonto","Mirrored","Battles",2007-05-14,461773,31,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:21Z,"math rock,post-rock","Warp Records",0.705,0.745,2,-6.928,0,0.0346,0.0126,0.499,0.0997,0.545,121.421,4
spotify:track:7aTn3A5wFrK8gnWS4QfaNq,"The Coathanger","Just A Souvenir","Squarepusher",2008-10-27,243293,11,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:25Z,"idm,breakcore,glitch","Warp Records",0.725,0.367,1,-14.378,0,0.12,0.494,0.793,0.098,0.888,142.492,4
spotify:track:27Mm5rVYQt1gCewFAstTbJ,"Swedenborgske Rom - Spydeberg Demo","What We Must (Incl. Bonus - Spydeberg Sessions)","Jaga Jazzist",2006-01-06,425733,2,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:26Z,"nu jazz,experimental jazz,post-rock,acid jazz,jazz fusion,indie jazz","Smalltown Supersound",0.256,0.305,8,-10.736,1,0.0329,0.749,0.952,0.636,0.16,127.668,4
spotify:track:07oFUNoGbm0eXYYCVxwG67,"Alien Chase On Arabian Desert","Splendido Hotel","Al Di Meola",1980,535800,16,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:27Z,"jazz fusion,flamenco","Columbia/Legacy",0.32,0.769,2,-8.998,0,0.0636,0.0131,0.62,0.0646,0.333,157.609,4
spotify:track:2tjkwLNeVDrtpnX13UsycD,"Be Happy","Visions of the Emerald Beyond","Mahavishnu Orchestra",1975,212564,23,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:28Z,"jazz fusion,progressive rock,jazz","Legacy/Columbia",0.253,0.978,0,-8.088,1,0.105,0.0261,0.88,0.353,0.23,98.203,5
spotify:track:5d1bISuOdjVc5ThkmNHOIP,"Elegant Gypsy Suite","Elegant Gypsy","Al Di Meola",1977,556426,27,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:29Z,"jazz fusion,flamenco","Columbia",0.463,0.654,9,-11.139,1,0.0348,0.11,0.469,0.068,0.693,99.336,4
spotify:track:58rQW2KohVRmK6pzU3urKR,"Velouria","Give","The Bad Plus",2004-02-24,335560,13,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:30Z,"jazz,experimental jazz,jazz fusion","Columbia",0.376,0.665,10,-11.02,0,0.0505,0.0457,0.755,0.104,0.0761,120.875,4
spotify:track:3pC3fKtkwaEBJfd2uwatOi,"In Stitches","Made Possible","The Bad Plus",2012-09-25,851906,5,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:31Z,"jazz,experimental jazz,jazz fusion","eOne Music",0.33,0.342,0,-12.663,1,0.0348,0.497,0.641,0.076,0.068,136.075,3
spotify:track:1gl1B6C89CEqpikYEz7rlX,"God Bird Change","Electric Rendezvous","Al Di Meola",1982,231000,16,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:33Z,"jazz fusion,flamenco","Columbia",0.604,0.711,9,-10.783,0,0.0399,0.0302,0.333,0.795,0.902,141.526,4
spotify:track:4gCXlekd9p4vD7JWayq3UO,"Flim - Live Album Version","Blunt Object Live In Tokyo","The Bad Plus",2005-05-17,233613,3,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:34Z,"jazz,experimental jazz,jazz fusion","Columbia",0.521,0.498,3,-15.075,1,0.0345,0.422,0.749,0.0746,0.487,136.72,4
spotify:track:4QswqgUBOBCLiFqXF6ogdk,"Sister Andrea (with John McLaughlin)","The Lost Trident Sessions","Mahavishnu Orchestra;John McLaughlin",1999-09-01,403000,8,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:35Z,"jazz fusion,progressive rock,jazz,flamenco","Columbia/Legacy",0.355,0.863,9,-6.55,0,0.0828,0.288,0.553,0.117,0.484,160.319,4
spotify:track:2a0qdzeMloxO7Cfk31dxJ7,"Pastoral","Visions of the Emerald Beyond","Mahavishnu Orchestra",1975,221711,19,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:36Z,"jazz fusion,progressive rock,jazz","Legacy/Columbia",0.403,0.164,3,-20.576,1,0.0648,0.918,0.0881,0.582,0.391,124.919,4
spotify:track:0BHwETjtLZeA5Pc5khv0l9,"Night Illusion","Gazeuse!","Gong",1976-08-02,222427,17,true,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:36Z,"","Black Beard Records",0.367,0.427,2,-14.92,1,0.0305,0.00121,0.808,0.139,0.465,146.176,4
spotify:track:6L1sbebAHYypkRdmKnczki,"Steppings Tones","The Lost Trident Sessions","Mahavishnu Orchestra",1999-09-01,188666,10,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:37Z,"jazz fusion,progressive rock,jazz","Columbia/Legacy",0.385,0.669,8,-9.551,1,0.0347,0.0624,0.12,0.0629,0.099,130.977,4
spotify:track:6r5vIx303RX8Zp0Shhel1J,"Cruisin' - Live","Tour De Force-Live","Al Di Meola",1982,325173,11,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:40Z,"jazz fusion,flamenco","Columbia",0.317,0.675,2,-13.752,1,0.0355,0.00856,0.449,0.837,0.933,152.214,4
spotify:track:2FGcAbPYpgENJ9McyPNxro,"I Wonder (with John McLaughlin)","The Lost Trident Sessions","Mahavishnu Orchestra;John McLaughlin",1999-09-01,187440,13,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:04:58Z,"jazz fusion,progressive rock,jazz,flamenco","Columbia/Legacy",0.36,0.705,10,-6.982,1,0.0279,0.172,0.63,0.0845,0.444,92.538,4
spotify:track:02XDCHAbHzS5GR4BaAEO3I,"Charteroak Foundation","Beacons of Ancestorship","Tortoise",2009-06-23,307466,15,false,iuhsxfr9lgr7g9f2o7m6xp1zt,2024-04-23T23:05:10Z,"post-rock,math rock,krautrock,slowcore","Thrill Jockey",0.388,0.678,2,-7.69,1,0.0316,0.0461,0.766,0.105,0.112,131.52,4
