Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3JJU9BP2zRFdXpVA7r0gby,"A Better Tomorrow","A Better Tomorrow","Wu-Tang Clan",2014-11-28,264440,39,false,,1970-01-01T00:00:00Z,"old school hip hop,east coast hip hop,hip hop,gangster rap,hardcore hip hop","Asylum/Warner Records",0.546,0.765,3,-5.358,0,0.213,0.189,0,0.121,0.461,95.037,4
spotify:track:2uWMj52ImAeeGQFJmVlU5H,"1nce Again (feat. Tammy Lucas) - Radio Version","Beats, Rhymes & Life","A Tribe Called Quest;Tammy Lucas",1996-07-30,229226,59,true,,1970-01-01T00:00:00Z,"jazz rap,east coast hip hop,old school hip hop,hip hop,new jack swing","Jive",0.796,0.542,10,-6.751,0,0.302,0.0853,0.000032,0.36,0.855,93.668,4
spotify:track:3yjVsUq8psgcHm8SQrZ8i4,"Hip 2 Da Game","The Awakening","Lord Finesse",1996-02-20,243106,62,true,,1970-01-01T00:00:00Z,"east coast hip hop,boom bap,old school hip hop,hardcore hip hop","Tommy Boy Music, LLC",0.769,0.752,11,-6,1,0.324,0.0317,0.00000296,0.0564,0.527,90.228,4
spotify:track:3gRlmtdCyNoKiyozn2pqc9,"Mathematics","Black On Both Sides","Mos Def",1999-10-12,246440,62,true,,1970-01-01T00:00:00Z,"east coast hip hop,old school hip hop,hip hop","Rawkus Entertainment",0.753,0.749,1,-6.132,0,0.316,0.0285,0,0.0845,0.832,93.79,4
spotify:track:3ZBSXNYdTZVaBUQI3E2rF6,"Above The Clouds","Moment Of Truth","Gang Starr;Inspectah Deck",1998-03-31,221626,66,true,,1970-01-01T00:00:00Z,"east coast hip hop,old school hip hop,hip hop,boom bap","Virgin Records",0.461,0.944,8,-2.938,1,0.316,0.312,0.000149,0.367,0.65,172.296,4
spotify:track:7IwURvEfVcdxUCjLKUu6sv,"Shame On a Nigga","Enter The Wu-Tang (36 Chambers) [Expanded Edition]","Wu-Tang Clan",1993-11-09,177226,63,true,,1970-01-01T00:00:00Z,"old school hip hop,east coast hip hop,hip hop,gangster rap,hardcore hip hop","RCA Records Label",0.893,0.431,1,-12.18,1,0.36,0.0704,0.0000058,0.377,0.411,100.188,4
spotify:track:6NTceGKsDLTYehlyRbYp6O,"Investigative Reports","Liquid Swords","GZA;Raekwon;Ghostface Killah;U-God",1995-11-07,229800,49,false,,1970-01-01T00:00:00Z,"east coast hip hop,old school hip hop,hip hop,boom bap,hardcore hip hop","Geffen",0.785,0.658,1,-6.945,1,0.272,0.0702,0.00053,0.323,0.583,94.004,4
spotify:track:5YTM7OgQDt9EJAYcfHLniJ,"Award Tour (feat. Trugoy The Dove)","Midnight Marauders","A Tribe Called Quest;Trugoy The Dove",1993-11-09,226440,65,true,,1970-01-01T00:00:00Z,"jazz rap,east coast hip hop,old school hip hop,hip hop","Jive",0.812,0.6,7,-9.414,1,0.253,0.00304,0.00000779,0.173,0.557,97.338,4
spotify:track:11EKqwTjmJJuvIIbtJzIyh,"Time's Up","Word...Life","O.C.",1994-05-24,206981,44,true,,1970-01-01T00:00:00Z,"east coast hip hop,boom bap,underground hip hop,old school hip hop","Wild Pitch",0.58,0.523,2,-9.779,1,0.0925,0.173,0.0647,0.334,0.488,89.964,4
spotify:track:0IVAlb0cFCH1cQ974iR1TU,"Ms. Fat Booty","Black On Both Sides","Mos Def",1999-10-12,223546,70,true,,1970-01-01T00:00:00Z,"east coast hip hop,old school hip hop,hip hop","Rawkus Entertainment",0.782,0.589,1,-4.827,1,0.189,0.148,0,0.164,0.869,90.438,4
