Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:episode:6UhXfNd0nD2Qk7utyX2Njc,"Episode #36 - Featuring Alex Jones","Look Into It - with Eddie Bravo","",,5647490,0,true,tetopluz,2023-03-26T01:02:28Z,"","undefined",,,,,,,,,,,,
spotify:episode:0Uw4JqLqrmYrrcgygWwANQ,"Episode #13 - Featuring Alex Jones","Look Into It - with Eddie Bravo","",,8546246,0,true,tetopluz,2023-03-26T01:02:50Z,"","undefined",,,,,,,,,,,,
spotify:episode:5PLDa27GXSQ1DmOwoHhK8k,"ALEX JONES GUEST! FAKE CONSERVATIVES WILL CAUSE WW3 | Louder with Crowder","Louder with Crowder","",,6177332,0,false,tetopluz,2023-03-26T01:13:03Z,"","undefined",,,,,,,,,,,,
spotify:episode:5o0g0nuin4vq5F9PP9myJl,"Alex Jones Breaks Silence on Ye Interview!","Louder with Crowder","",,4969091,0,false,tetopluz,2023-03-26T01:14:08Z,"","undefined",,,,,,,,,,,,
spotify:episode:1ay6eQWHmPaW6XEpI3UsAp,"ROUND 1: TRUMP VS. DESANTIS! THE FIGHT IS ON! GUEST: ALEX JONES! | Louder with Crowder","Louder with Crowder","",,6683716,0,false,tetopluz,2023-03-26T01:14:19Z,"","undefined",,,,,,,,,,,,
spotify:episode:72tgzsVVusO8Dl68mKSNIL,"EXCLUSIVE Interview with Alex Jones! This Means War!","Louder with Crowder","",,5541773,0,false,tetopluz,2023-03-26T01:14:27Z,"","undefined",,,,,,,,,,,,
spotify:episode:4hyvTo7tamr0V9sQJqc5PD,"Special Guest ALEX JONES on the 'Great Reset' & Joe Rogan TRIGGERS Leftists AGAIN!","Louder with Crowder","",,5123683,0,false,tetopluz,2023-03-26T01:14:34Z,"","undefined",,,,,,,,,,,,
spotify:episode:37KVIsQetKDpW6Fyd9IyW9,"YT and Blaze: Alex Jones TELLS ALL: His Lawsuit, the Great Reset & Cover-ups","Louder with Crowder","",,3770749,0,false,tetopluz,2023-03-26T01:14:44Z,"","undefined",,,,,,,,,,,,
spotify:episode:3a7e2wFtUlyxwSc0OcFfgc,"Alex Jones on #BlackLivesMatter & Antifa Riots | Good Morning #Mugclub","Louder with Crowder","",,2761796,0,false,tetopluz,2023-03-26T01:14:51Z,"","undefined",,,,,,,,,,,,
spotify:episode:3O5OZVlleCfv7mJtghRhyH,"337 - Springtime in Texas","The Tim Dillon Show","",,3966537,0,false,tetopluz,2023-03-26T01:15:30Z,"","undefined",,,,,,,,,,,,
spotify:episode:0aQARuhX7STTnMwYYgAcZn,"'It Was the WORST Day of My Life ...' Alex Jones Tells ALL! | Ash Wednesday | Louder with Crowder","Louder with Crowder","",,5524375,0,false,tetopluz,2023-03-26T01:15:44Z,"","undefined",,,,,,,,,,,,
spotify:episode:0Ts4ONY3v7HvDw1s3bPpzm,"#1555 - Alex Jones & Tim Dillon","The Joe Rogan Experience","",,11470613,0,true,tetopluz,2023-03-26T01:16:51Z,"","undefined",,,,,,,,,,,,
spotify:episode:6Z4cKIgNmP0Qyg2WD6Gqud,"Alex Jones Fears No Evil: War Against the Great Reset","JLP Highlights","",,2265103,0,false,tetopluz,2023-03-26T01:18:42Z,"","undefined",,,,,,,,,,,,
spotify:episode:7aQrvCiKtgLS9JFOgHzuAX,"#293: CoronaVampires with the Awful A*L*E*X J*O*N*E*S","Tin Foil Hat With Sam Tripoli","",,3996525,0,true,tetopluz,2023-03-26T01:21:23Z,"","undefined",,,,,,,,,,,,
