Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:24l66pJhf5XGb3GjDmFxpD,"Red Dust","Hiding Places","billy woods;Kenny Segal",2019-03-29,204546,37,false,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental,jazz rap","Backwoodz Studioz",0.605,0.513,8,-10.364,1,0.357,0.519,0,0.112,0.274,62.723,4
spotify:track:0rmqGBqkp5CvsCZr2eiYQ1,"Crisis Phone (feat. Pink Siifu)","Mercy","Armand Hammer;The Alchemist;billy woods;E L U C I D;Pink Siifu",2025-11-07,242809,35,false,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,jazz rap,boom bap,east coast hip hop,underground hip hop,experimental","Backwoodz Studioz LLC",0.736,0.553,4,-11.438,0,0.33,0.195,0.00229,0.311,0.416,136.05,4
spotify:track:18Dfh9l3aW6VF5bFSrizdl,"Lotus Flower","Sortilège","Preservation;Gabe 'Nandez",2025-08-15,163360,25,true,,1970-01-01T00:00:00Z,"experimental hip hop","Independent",0.178,0.416,10,-11.113,1,0.0367,0.0215,0.000736,0.373,0.294,73.964,4
spotify:track:5UXQd6Tvgtv2UeVlsP9cYJ,"Wild Wild West","By the Time I Get to Phoenix","Injury Reserve",2021-09-15,148607,29,true,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop","Injury Reserve",0.451,0.549,2,-11.177,1,0.464,0.349,0.0000259,0.112,0.559,92.529,5
spotify:track:0Fk81iRERCjpV5Ww9Wfb3g,"Up My Sleeves","The Powers That B","Death Grips",2015-02-10,316932,45,true,,1970-01-01T00:00:00Z,"experimental hip hop,experimental","Death Grips",0.248,0.849,0,-2.508,1,0.31,0.086,0,0.64,0.234,72.745,4
spotify:track:2Wk6kcNN2muk6tRzUk5gu8,"No Hard Feelings","Aethiopes","billy woods",2022-04-08,135927,38,false,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental","Backwoodz Studioz",0.398,0.5,3,-7.32,1,0.0331,0.0606,0.00000811,0.135,0.136,67.205,4
spotify:track:7hihm001kdTLHUBiiScxBf,"Voices of the Ether","From Filthy Tongue of Gods and Griots","dälek",2002-08-05,295822,22,true,,1970-01-01T00:00:00Z,"experimental hip hop,experimental,industrial,industrial rock","Ipecac Recordings",0.54,0.916,1,-5.8,1,0.07,0.000747,0.0761,0.318,0.185,90.182,4
spotify:track:7C5NGuoJ1RN9IRV6RpRIAG,"Fuhrman Tapes","Paraffin","Armand Hammer;E L U C I D;billy woods",2018-08-30,194386,23,false,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental","Backwoodz Studioz",0.461,0.58,1,-10.234,1,0.335,0.0274,0.000243,0.311,0.165,118.471,4
spotify:track:3r0hZpAMVeUVXW0mXrfnp8,"Bascinet","Sortilège","Preservation;Gabe 'Nandez",2025-08-15,239626,34,true,,1970-01-01T00:00:00Z,"experimental hip hop","Independent",0.414,0.632,2,-10.511,1,0.352,0.1,0.00000148,0.349,0.316,76.185,4
spotify:track:4XoN5kQ4eIRPwCqMQ3U6iN,"Knees","By the Time I Get to Phoenix","Injury Reserve",2021-09-15,303805,42,true,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop","Injury Reserve",0.398,0.551,10,-11.852,0,0.202,0.0611,0.0000134,0.117,0.327,83.1,1
spotify:track:5lxS9Oq5IsJSY7AvqJd19Z,"Bigfakelaugh","Hiding Places","billy woods;Kenny Segal",2019-03-29,228666,32,false,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental,jazz rap","Backwoodz Studioz",0.603,0.697,1,-10.4,1,0.475,0.304,0.00000878,0.117,0.404,103.63,4
spotify:track:3FkehM2DxJvEXyn8nWSxRc,"Bo Jack (Miller Light)","Killing Nothing","Boldy James;Real Bad Man",2022-05-20,174250,32,true,,1970-01-01T00:00:00Z,"jazz rap,boom bap,alternative hip hop,experimental hip hop","Real Bad Man Records",0.713,0.609,11,-7.023,0,0.267,0.488,0.0001,0.117,0.491,82.958,4
spotify:track:7CcE4q3bZYlWPCqbPC5MZa,"Trampled Brethren","From Filthy Tongue of Gods and Griots","dälek",2002-08-05,312401,22,true,,1970-01-01T00:00:00Z,"experimental hip hop,experimental,industrial,industrial rock","Ipecac Recordings",0.547,0.848,1,-5.245,0,0.0941,0.0203,0.00029,0.235,0.454,79.122,4
spotify:track:3nbt4jt3Sto3kZTMytixWo,"Calypso Gene (feat. Silka & Cleo Reed)","Mercy","Armand Hammer;The Alchemist;billy woods;E L U C I D;Silka;Cleo Reed",2025-11-07,177122,39,false,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,jazz rap,boom bap,east coast hip hop,underground hip hop,experimental","Backwoodz Studioz LLC",0.496,0.555,1,-12.319,1,0.352,0.141,0.000979,0.104,0.188,75.069,3
spotify:track:0htIXyx7jZwv74knSogIAH,"War","Sortilège","Preservation;Gabe 'Nandez;billy woods",2025-08-15,200546,29,true,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental","Independent",0.433,0.686,1,-9.944,1,0.411,0.057,0,0.368,0.425,76.087,4
spotify:track:6Uixk9kvZzP32vWIZ6kH7D,"Protoevangelium","Aethiopes","billy woods;Shinehead",2022-04-08,144400,28,false,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental,reggae,new jack swing,ragga,lovers rock","Backwoodz Studioz",0.539,0.79,11,-7.893,0,0.465,0.151,0,0.867,0.55,147.81,4
spotify:track:5s0oWj51ttqiINWWJynNPz,"Outside","By the Time I Get to Phoenix","Injury Reserve",2021-09-15,374390,38,true,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop","Injury Reserve",0.304,0.729,4,-12.562,0,0.159,0.267,0.0125,0.109,0.227,124.165,4
spotify:track:4tI6TGJevJk8Pd3JogEklO,"Spellling","I Told Bessie","E L U C I D",2022-06-10,235622,24,true,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop","Backwoodz Studioz LLC",0.476,0.608,11,-9.985,1,0.44,0.0864,0,0.941,0.343,92.671,5
spotify:track:50PoNEJpXCTotrRNMFdBZq,"Game Time","Killing Nothing","Boldy James;Real Bad Man",2022-05-20,193687,32,true,,1970-01-01T00:00:00Z,"jazz rap,boom bap,alternative hip hop,experimental hip hop","Real Bad Man Records",0.5,0.738,2,-5.911,1,0.05,0.235,0.0000207,0.241,0.178,80.02,4
spotify:track:3PnPHIbBb2tKdk2REcNeQf,"Dettol","Paraffin","Armand Hammer;E L U C I D;billy woods",2018-08-30,152600,24,false,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental","Backwoodz Studioz",0.381,0.653,10,-10.413,0,0.24,0.00601,0.102,0.106,0.408,79.827,4
spotify:track:3gaNyionb8tWoFqHIqnshM,"Spider Hole","Hiding Places","billy woods;Kenny Segal",2019-03-29,220506,39,false,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental,jazz rap","Backwoodz Studioz",0.639,0.501,1,-9.121,1,0.103,0.665,0.0000806,0.105,0.469,104.035,4
spotify:track:0uvqBoAtiYtSxosNNoKnT3,"Shadowstep","Sortilège","Preservation;Gabe 'Nandez",2025-08-15,145493,28,true,,1970-01-01T00:00:00Z,"experimental hip hop","Independent",0.239,0.902,8,-8.964,1,0.534,0.000274,0.000526,0.138,0.253,176.323,4
spotify:track:2XahDlBUMYFHp4B6CZNRMa,"Look Mama I Did It","Floss","Injury Reserve",2016-12-15,269448,24,true,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop","Injury Reserve",0.578,0.781,7,-6.448,1,0.416,0.0357,0,0.643,0.642,171.76,4
spotify:track:2zRoa9NEeqX3fXAdEC5pPM,"Betamax","I Told Bessie","E L U C I D",2022-06-10,181128,22,true,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop","Backwoodz Studioz LLC",0.328,0.704,0,-9.539,1,0.434,0.116,0.00084,0.351,0.361,167.642,4
spotify:track:4BKnUy9LS1RPum38u5hUQQ,"Poderoso","Song of Sage: Post Panic!","Navy Blue;billy woods",2020-12-22,193421,28,true,,1970-01-01T00:00:00Z,"experimental hip hop,jazz rap,alternative hip hop,east coast hip hop,underground hip hop,experimental","Freedom Sounds",0.57,0.531,7,-9.839,1,0.049,0.762,0,0.105,0.485,62.63,4
spotify:track:6iJNd9nCSKNMGd4ASr3tbo,"Wharves","Aethiopes","billy woods",2022-04-08,188071,33,false,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental","Backwoodz Studioz",0.518,0.685,1,-9.804,0,0.509,0.487,0.00000436,0.177,0.331,86.527,4
spotify:track:6jCEP6l6V5Pe2K1S9w3Osu,"Alternate Side Parking","Paraffin","Armand Hammer;E L U C I D;billy woods",2018-08-30,150933,26,false,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental","Backwoodz Studioz",0.468,0.503,7,-11.017,1,0.324,0.0524,0.00000381,0.227,0.163,82.537,4
spotify:track:0WLaLy5Ni7MUaOYWTi5IuI,"Nom De Guerre","Sortilège","Preservation;Gabe 'Nandez;Ze Nkoma Mpaga Ni Ngoko",2025-08-15,210866,26,true,,1970-01-01T00:00:00Z,"experimental hip hop","Independent",0.402,0.755,2,-10.839,1,0.284,0.0208,0,0.448,0.46,100.513,5
spotify:track:48rQq8MzU2YBsF5IMXSAIx,"What a Year It’s Been","Injury Reserve","Injury Reserve",2019-05-17,213613,29,true,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop","Senaca Village",0.422,0.84,11,-5.011,1,0.483,0.352,0,0.123,0.403,80.321,4
spotify:track:72SyUzRpUlMZkJWeeqYfqQ,"Nostrand","I Told Bessie","E L U C I D;billy woods",2022-06-10,217692,17,true,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental","Backwoodz Studioz LLC",0.442,0.802,10,-8.599,0,0.418,0.435,0,0.322,0.426,142.409,4
spotify:track:0IZfHrZrKN2HfiVXTtRN1k,"Speak Gently","Hiding Places","billy woods;Kenny Segal;Self Jupiter",2019-03-29,293506,30,false,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental,jazz rap","Backwoodz Studioz",0.443,0.429,1,-11.922,1,0.235,0.343,0.000273,0.389,0.222,95.637,4
spotify:track:2V7MuLgc9YpKqT9jTvXv2p,"Why Are You in Her(E)?","Manger on McNichols","Boldy James;Sterling Toles",2020-07-22,59863,25,true,,1970-01-01T00:00:00Z,"jazz rap,boom bap,alternative hip hop,experimental hip hop","Sector 7-G Recordings",0.501,0.789,2,-7.305,1,0.274,0.72,0.00000143,0.351,0.734,80.565,4
spotify:track:1iqzScqn13kZlzym0Uyina,"Dogeared (feat. Kapwani)","Mercy","Armand Hammer;The Alchemist;billy woods;E L U C I D;Kapwani",2025-11-07,172057,37,false,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,jazz rap,boom bap,east coast hip hop,underground hip hop,experimental","Backwoodz Studioz LLC",0.365,0.466,1,-10.793,1,0.0488,0.0506,0.121,0.196,0.0944,131.918,3
spotify:track:0dV0yvvboVJ17uUVy6kkhO,"Hierophant","Sortilège","Preservation;Gabe 'Nandez;Koncept Jack$on",2025-08-15,133146,25,true,,1970-01-01T00:00:00Z,"experimental hip hop,underground hip hop","Independent",0.448,0.646,10,-9.758,0,0.233,0.133,0.497,0.322,0.387,86.71,4
spotify:track:1NmVaOMhftw2jZaE1KTk1p,"Best Spot in the House","Injury Reserve","Injury Reserve",2019-05-17,198200,27,true,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop","Senaca Village",0.44,0.811,4,-5.943,0,0.462,0.205,0,0.686,0.346,64.516,4
spotify:track:2w68AYraePndHXDaKhVELR,"Christine","Aethiopes","billy woods;Mike Ladd",2022-04-08,211064,29,false,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental,ethiopian jazz","Backwoodz Studioz",0.513,0.551,6,-10.64,0,0.211,0.519,0,0.179,0.574,142.223,4
spotify:track:0VvKQCHOVAgz6avLaLz9a7,"Mangosteen","I Told Bessie","E L U C I D;billy woods",2022-06-10,115650,20,true,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental","Backwoodz Studioz LLC",0.384,0.523,6,-7.952,1,0.193,0.0318,0,0.269,0.66,172.333,3
spotify:track:4aoNlybWEGYKyVZmYwx3aS,"Forever Close My Eyes","From Filthy Tongue of Gods and Griots","dälek",2002-08-05,469089,31,true,,1970-01-01T00:00:00Z,"experimental hip hop,experimental,industrial,industrial rock","Ipecac Recordings",0.249,0.763,9,-4.655,1,0.0356,0.000278,0.000769,0.267,0.13,51.652,4
spotify:track:6EJ4ARGkz3ZEB9vMhPvqP2,"Ecomog","Paraffin","Armand Hammer;E L U C I D;billy woods",2018-08-30,231133,22,false,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental","Backwoodz Studioz",0.516,0.801,1,-10.5,1,0.37,0.431,0,0.212,0.599,145.699,4
spotify:track:1vbDVBjn3CKItSDwTrmcNr,"Muay Sok","Sortilège","Preservation;Gabe 'Nandez",2025-08-15,204413,34,true,,1970-01-01T00:00:00Z,"experimental hip hop","Independent",0.508,0.525,0,-10.402,0,0.139,0.257,0.0000299,0.409,0.802,147.173,4
spotify:track:4L0GjzLgnA9SdTZ2j5eCU7,"Spongebob","Hiding Places","billy woods;Kenny Segal",2019-03-29,232946,45,false,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental,jazz rap","Backwoodz Studioz",0.61,0.499,4,-11.719,0,0.445,0.576,0.000338,0.108,0.285,112.08,4
spotify:track:2iEQQQLxcTvc6RbINtUE3R,"Windbreaker","Plus One","FIELDED;billy woods",2023-09-22,227360,18,false,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental","Backwoodz Studioz LLC",0.592,0.377,8,-11.32,1,0.039,0.0968,0.000932,0.0843,0.0758,104.079,4
spotify:track:6qvjVTNOnKb3IUyP66uj5H,"Bunny Chow","I Told Bessie","E L U C I D",2022-06-10,161354,18,true,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop","Backwoodz Studioz LLC",0.783,0.684,6,-10.06,0,0.367,0.00549,0,0.0862,0.534,139.963,4
spotify:track:5iAx1x5immXP1OER6zvodE,"Hold Tight","From Filthy Tongue of Gods and Griots","dälek",2002-08-05,255048,26,true,,1970-01-01T00:00:00Z,"experimental hip hop,experimental,industrial,industrial rock","Ipecac Recordings",0.441,0.927,11,-4.661,0,0.243,0.00306,0,0.127,0.238,90.003,4
spotify:track:385AsCjsbnHaJ5ABEFTpe2,"Rehearse with Ornette","Paraffin","Armand Hammer;E L U C I D;billy woods",2018-08-30,264013,22,false,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental","Backwoodz Studioz",0.434,0.523,2,-11.613,1,0.207,0.236,0.125,0.111,0.294,80.206,4
spotify:track:2IRH5l4MRaevQig821x8bZ,"Versailles","Aethiopes","billy woods;Despot",2022-04-08,187897,29,false,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental","Backwoodz Studioz",0.418,0.65,6,-7.55,0,0.318,0.119,0,0.357,0.671,60.229,4
spotify:track:4wEzHmpxAikurdMoViYOhV,"Mondo Cane","Sortilège","Preservation;Gabe 'Nandez;billy woods;E L U C I D;Armand Hammer;Benjamin Booker",2025-08-15,246813,25,true,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental,modern blues,blues rock","Independent",0.282,0.771,10,-8.948,0,0.144,0.0641,0,0.159,0.32,133.14,3
spotify:track:0UPFTQTBKgsDH6bp7YCMRo,"Smoke Don't Clear","By the Time I Get to Phoenix","Injury Reserve",2021-09-15,150250,30,true,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop","Injury Reserve",0.526,0.793,8,-9.836,1,0.19,0.0461,0.0312,0.0854,0.492,154.083,4
spotify:track:7AH4QNWXLcy79LXFNspTwi,"Sardonyx","I Told Bessie","E L U C I D;Pink Siifu;Quelle Chris;billy woods",2022-06-10,276342,19,true,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental","Backwoodz Studioz LLC",0.324,0.817,4,-10.261,0,0.505,0.278,0.0117,0.259,0.462,71.904,4
spotify:track:4DciQt0wS3TcivVnX1JRzO,"5 Mississippi","Killing Nothing","Boldy James;Real Bad Man",2022-05-20,180000,27,true,,1970-01-01T00:00:00Z,"jazz rap,boom bap,alternative hip hop,experimental hip hop","Real Bad Man Records",0.599,0.67,0,-7.538,1,0.35,0.478,0.000411,0.122,0.373,80.38,4
