Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4EqJGKB8ptzxBbbwFimdI3,"Waxcap","Under Tangled Silence","DjRUM",2025-04-25,310814,41,false,,2026-05-16T18:32:52Z,"idm,dub techno,breakbeat,ambient","Houndstooth",0.63,0.809,0,-7.384,0,0.0424,0.158,0.915,0.0742,0.165,132.988,4
spotify:track:7bL84oIvqZ0IZJ4lWacv9J,"－－ ･･－ ･－･･ － ･･ ･－－･ ･－･･ ･－ －･－－","－－ ･･－ ･－･･ － ･･ ･－－･ ･－･･ ･－ －･－－","･ ･－･ ･－ ･･･ ･ －･･",2026-03-05,212535,34,false,,2026-05-16T18:32:52Z,"","Erased Tapes",0.709,0.994,7,-8.273,1,0.0857,0.554,0.887,0.106,0.423,159.978,4
spotify:track:7i9ngB9123Gd564BWdmG1B,"Scanners","Scanners","Anthony Naples",2025-05-02,337761,23,false,,2026-05-16T18:32:52Z,"dub techno,lo-fi house,idm,ambient","ANS",0.813,0.711,11,-9.481,0,0.043,0.00138,0.928,0.0493,0.178,123.006,4
spotify:track:3mZIv0zpl76Qtafq02BU2z,"Shelter Our Time","Shelter Our Time","GiGi FM",2026-04-07,343703,36,false,,2026-05-16T18:32:52Z,"dub techno","Sea~rène",0.524,0.838,5,-8.182,1,0.0373,0.0021,0.884,0.0708,0.109,161.994,4
spotify:track:0YIdpQJvaY1AMhd9kQMxMp,"No One Knows - Mount XLR Remix","2FEET//IN (Remixes)","Swoush;Mount XLR",2026-04-03,258056,28,false,,2026-05-16T18:32:52Z,"uk garage,bassline,ballroom vogue","Halfpipe Records",0.585,0.875,5,-9.453,1,0.0405,0.00752,0.82,0.146,0.444,130.044,4
spotify:track:1kfY9HWJUIyGfQyY3E2ETE,"odotus","odotus","finnjävel",2026-04-10,310285,24,false,,2026-05-16T18:32:52Z,"idm","BELOW0",0.759,0.645,5,-12.774,1,0.0785,0.778,0.949,0.126,0.882,140.006,4
spotify:track:79JfmfngzNC87b92PcsozS,"Oracle - Verraco Weightless Reshape","Oracle (Verraco Weightless Reshape)","Lyra Pramuk;Verraco",2026-05-06,396750,31,false,,2026-05-16T18:32:52Z,"experimental,ambient,idm","7K",0.31,0.773,3,-8.046,0,0.0631,0.0136,0.206,0.118,0.655,203.735,3
spotify:track:7Mc4e7VUGHghWg2ikNJoKH,"Click","Common Chaos","Chloe Battelle",2026-02-04,352003,24,false,,2026-05-16T18:32:52Z,"","aanjel",0.646,0.868,6,-11.51,1,0.0774,0.00209,0.946,0.118,0.138,144.037,4
spotify:track:6sNGEPiyxsdvJOeukUG7lQ,"Brand Blvd","Brand Blvd","RamonPang",2025-07-08,254538,32,false,,2026-05-16T18:32:52Z,"idm","The Tabula Rasa Record Company",0.773,0.588,1,-6.773,1,0.0704,0.00233,0.844,0.0887,0.449,132.041,4
spotify:track:2puMGofzX4oeRpZRNPL6Ms,"･･･ ･－ ･･ ･－･･ ･ －･･","･･･ ･－ ･･ ･－･･ ･ －･･","･ ･－･ ･－ ･･･ ･ －･･",2026-05-05,261193,41,false,,2026-05-16T18:32:52Z,"","Erased Tapes",0.0938,0.161,4,-18.704,0,0.0382,0.836,0.87,0.473,0.0621,75.841,3
spotify:track:2tqgGbISrFLxIWaKiGqPJQ,"Pressure","Pressure / Sine Machine","Kelbin",2026-02-27,254090,27,false,,2026-05-16T18:32:52Z,"liquid funk,uk garage","The Tabula Rasa Record Company",0.792,0.894,2,-6.213,0,0.049,0.00439,0.881,0.156,0.65,132.02,4
spotify:track:2nURU9kJNyp2VfH330mANP,"Dreamscape","Crushed Orchid","Chase.:R",2026-04-17,130285,22,false,,2026-05-16T18:32:52Z,"ambient jazz","110100100.global",0.515,0.869,5,-8.078,0,0.0299,0.00442,0.837,0.0873,0.148,139.983,4
spotify:track:4SiVaLDAIcM9mgFUp55Wz4,"In Memories","Dim Grow","abentis",2026-04-17,547639,20,false,,2026-05-16T18:32:52Z,"","2++",0.693,0.741,5,-11.206,0,0.0383,0.435,0.928,0.11,0.384,126.01,4
spotify:track:6gOutDxUYEjRfzvUVonM3f,"Neon Pulse - Midnight Version","Neon Pulse (Midnight Version)","Daniel Avery",2026-02-05,156139,30,false,,2026-05-16T18:32:52Z,"idm,acid house","Domino Recording Co",0.443,0.771,7,-7.149,1,0.0596,0.0118,0.933,0.0896,0.582,154.984,4
spotify:track:1C0IakWejLOv4J46VyxZ0O,"Idios Kosmos","Idios Kosmos EP","Anoesis",2026-03-20,290627,24,false,,2026-05-16T18:32:52Z,"breakbeat,acid house","Cyphon Recordings",0.782,0.81,9,-9.241,0,0.0485,0.0274,0.853,0.0975,0.59,128.011,4
spotify:track:0yHU14vhz98spCJzaKHdK7,"Arp Angels","Arp Angels","Discovery Zone;World Brain",2026-05-12,362366,34,false,,2026-05-16T18:32:52Z,"","RVNG Intl.",0.489,0.411,0,-8.94,1,0.0407,0.481,0.0968,0.233,0.159,87.877,4
spotify:track:4N9U71O0mWNEDRKVVrQwBi,"Pink Bape Lighter","Sd-3","Loukeman",2026-04-24,160263,51,false,,2026-05-16T18:32:52Z,"","September Recordings",0.709,0.862,2,-7.329,1,0.0553,0.133,0.957,0.527,0.525,121.315,4
spotify:track:5uL82AKeh1A2E0Fec82bD3,"Lift Your Face to the Sun","Lift Your Face to the Sun","Echo Juliet",2026-03-05,218921,27,false,,2026-05-16T18:32:52Z,"","Invisible IDs",0.716,0.907,5,-6.406,0,0.0406,0.0396,0.945,0.127,0.0935,127.004,4
spotify:track:2zDZE2b8jnciI2rnMmPlwD,"Deception Dance","Deception Dance","Gigi Masin",2026-04-28,456400,33,false,,2026-05-16T18:32:52Z,"ambient,ambient jazz","Sacred Bones Records",0.687,0.928,10,-7.805,0,0.0684,0.0475,0.62,0.137,0.153,120.004,4
spotify:track:1QkmlEKEvJa5mg3wSXStzR,"étude05 . R O A M E R . AMII.0-RW005","étude05 . R O A M E R . AMII.0-RW005","KROY;Sevendeaths",2026-05-15,251226,38,false,,2026-05-16T18:32:52Z,"indie québécois,drone,experimental","behave studios",0.465,0.818,0,-8.472,1,0.0356,0.564,0.224,0.132,0.29,133.985,4
spotify:track:0IRh622wqPUllaAb74TEbO,"One Day - Polygonia Remix","One Day (Polygonia Remix)","Lenxi;Polygonia",2026-04-02,329128,30,false,,2026-05-16T18:32:52Z,"dub techno,idm,minimal techno","Nous'klaer Audio",0.74,0.826,1,-9.831,1,0.0628,0.0749,0.885,0.103,0.366,150.011,4
spotify:track:0XjAh3zM7Wf9hk3ndg1RWq,"Shapeshifting Dub","(re)weave","Tristan Arp",2026-04-17,374746,28,false,,2026-05-16T18:32:52Z,"idm,experimental jazz,ambient","Kapsela",0.564,0.676,11,-10.921,0,0.0376,0.00169,0.768,0.114,0.255,176.028,4
spotify:track:26q4fCHR0YmFzH1KkUUYaJ,"An Afterlife","Gentle Hum","Ah! Kosmos;Hainbach",2026-04-24,170000,35,false,,2026-05-16T18:32:52Z,"dark ambient,ambient,electroacoustic,drone,experimental","FUU",0.364,0.53,11,-10.375,0,0.0361,0.771,0.944,0.0959,0.0596,84.818,4
spotify:track:3Meh830NxXhLpEFD9GMnDR,"So","So","Kelbin",2026-04-24,189850,24,false,,2026-05-16T18:32:52Z,"liquid funk,uk garage","KUMO Collective",0.754,0.912,2,-7.533,1,0.101,0.174,0.399,0.105,0.48,133.971,4
spotify:track:3s2YgR2wqln3Q69YubN3Nc,"Becoming One","Prakasa","Decoder",2026-02-20,354000,23,false,,2026-05-16T18:32:52Z,"minimal techno,techno","Planet X Recordings",0.626,0.524,1,-20.221,1,0.0437,0.0853,0.924,0.159,0.0396,130.001,1
spotify:track:3Wesx48x9hpkJRDtJp7fdZ,"Control","Ataxia","Eden FM",2026-05-01,230386,25,false,,2026-05-16T18:32:52Z,"breakcore,jungle","Cursus Audio",0.685,0.509,6,-11.321,0,0.29,0.508,0.256,0.0868,0.453,174.051,4
spotify:track:3gp09N5BSTauvrPBEVtwTd,"Remove Fear","Invariant","John Bryars",2026-02-20,174288,18,false,,2026-05-16T18:32:52Z,"","Aeonic Forme",0.352,0.65,4,-11.526,0,0.0408,0.921,0.795,0.172,0.145,129.879,4
spotify:track:2QFMAZaqloahLVRwzBpp2Q,"Clipping Me Softly","Clipping Me Softly","Extrawelt",2026-04-10,375355,38,false,,2026-05-16T18:32:52Z,"minimal techno,techno","Cocoon Recordings",0.757,0.656,10,-9.394,0,0.0446,0.0191,0.848,0.313,0.354,125.998,4
