Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4aoNlybWEGYKyVZmYwx3aS,"Forever Close My Eyes","From Filthy Tongue of Gods and Griots","dälek",2002-08-05,469089,31,true,,1970-01-01T00:00:00Z,"experimental hip hop,experimental,industrial,industrial rock","Ipecac Recordings",0.249,0.763,9,-4.655,1,0.0356,0.000278,0.000769,0.267,0.13,51.652,4
spotify:track:58xGbBotMNGsahXauwLYF7,"The Man Who Would Be King","History Will Absolve Me","billy woods",2012-04-10,217093,27,false,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental","Backwoodz Studioz",0.467,0.829,7,-4.877,1,0.296,0.0635,0,0.0721,0.564,82.87,4
spotify:track:48KLLdZJ6EoHYI9QeiEajH,"City Folk Sitting, Sitting","Hold Your Horse Is","Hella",2002-03-19,426533,29,false,,1970-01-01T00:00:00Z,"math rock,noise rock,mathcore,post-rock","5RC",0.363,0.96,9,-5.087,1,0.0899,0.002,0.877,0.0623,0.182,102.672,4
spotify:track:3Vtgng4bH7j2HSO8HObci9,"Ring A Bell","Bottomless Pit","Death Grips",2016-05-06,146045,49,true,,1970-01-01T00:00:00Z,"experimental hip hop,experimental","Death Grips",0.641,0.977,6,-4.487,0,0.124,0.0854,0,0.437,0.313,107.038,4
spotify:track:0dDWx7M7lp8e8f0aCX2ZXW,"Akuma No Uta","Akuma No Uta","Boris",2019-10-04,240666,33,false,,1970-01-01T00:00:00Z,"drone metal,noise rock,sludge metal,stoner metal,drone,doom metal,stoner rock,shoegaze,post-rock","Third Man Records",0.139,0.964,3,-2.175,1,0.0775,0.00000672,0.841,0.079,0.277,141.317,4
spotify:track:0CeonrIEY4txl3sVfkrymg,"Breathe Slow","HAYWARDxDÄLEK","dälek;Charles Hayward",2025-12-05,260109,13,true,,1970-01-01T00:00:00Z,"experimental hip hop,experimental,industrial,industrial rock,experimental jazz,noise rock,avant-garde,ambient folk,free jazz,musique concrète","Relapse Records",0.36,0.432,8,-10.098,1,0.0393,0.000223,0.637,0.102,0.066,76.365,4
spotify:track:3eHW8ghqVaGWneUt2xwphO,"Face Tat","FACE TAT","Zach Hill",2010-10-19,222933,24,false,,1970-01-01T00:00:00Z,"math rock,noise rock,experimental,experimental hip hop","Sargent House",0.349,0.993,9,-0.523,0,0.11,0.00166,0.826,0.202,0.0709,104.258,1
spotify:track:24l66pJhf5XGb3GjDmFxpD,"Red Dust","Hiding Places","billy woods;Kenny Segal",2019-03-29,204546,37,false,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental,jazz rap","Backwoodz Studioz",0.605,0.513,8,-10.364,1,0.357,0.519,0,0.112,0.274,62.723,4
spotify:track:4XoN5kQ4eIRPwCqMQ3U6iN,"Knees","By the Time I Get to Phoenix","Injury Reserve",2021-09-15,303805,42,true,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop","Injury Reserve",0.398,0.551,10,-11.852,0,0.202,0.0611,0.0000134,0.117,0.327,83.1,1
spotify:track:6RYMOJRYbDqyMV62eSrciK,"Lock Your Doors","No Love Deep Web","Death Grips",2012-10-01,232160,43,true,,1970-01-01T00:00:00Z,"experimental hip hop,experimental","Death Grips",0.314,0.961,1,-3.725,1,0.333,0.0457,0,0.093,0.417,139.632,4
spotify:track:7hihm001kdTLHUBiiScxBf,"Voices of the Ether","From Filthy Tongue of Gods and Griots","dälek",2002-08-05,295822,22,true,,1970-01-01T00:00:00Z,"experimental hip hop,experimental,industrial,industrial rock","Ipecac Recordings",0.54,0.916,1,-5.8,1,0.07,0.000747,0.0761,0.318,0.185,90.182,4
spotify:track:3sOH4jFj1eWXVMnRn1exxg,"Nothing Special","Pink","Boris",2006-05-16,136200,32,false,,1970-01-01T00:00:00Z,"drone metal,noise rock,sludge metal,stoner metal,drone,doom metal,stoner rock,shoegaze,post-rock","Fangsanalsatan",0.283,0.977,8,-0.996,1,0.0632,0.00017,0.837,0.223,0.191,96.718,4
spotify:track:7rgXb92ypPOf3Faxy2xgnx,"The Primitives Talk","FACE TAT","Zach Hill",2010-10-19,202200,36,false,,1970-01-01T00:00:00Z,"math rock,noise rock,experimental,experimental hip hop","Sargent House",0.452,0.909,4,-1.936,0,0.0701,0.0154,0,0.151,0.644,91.777,4
spotify:track:0X9IZj9nEkt6xI5O7IsRpT,"Furies","Brass","billy woods;Moor Mother",2020-12-24,178336,20,false,,1970-01-01T00:00:00Z,"experimental hip hop,alternative hip hop,east coast hip hop,underground hip hop,experimental,spoken word","Backwoodz Studioz",0.605,0.622,9,-9.824,0,0.415,0.498,0.00000144,0.171,0.319,139.907,4
spotify:track:2wPrxKwsGsKYKCvVBX37K1,"creek ala","westside trapped","heavensouls",2026-03-08,259492,28,true,,1970-01-01T00:00:00Z,"experimental hip hop,plunderphonics,experimental","dont give up on nigerian music just yet",0.426,0.931,10,-4.217,0,0.0462,0.0592,0.894,0.191,0.289,120.005,4
spotify:track:2fRi5ld2NV4AOKFUPKE0xN,"Normalized Tragedy","Brilliance of a Falling Moon","dälek",2026-03-27,348024,26,true,,1970-01-01T00:00:00Z,"experimental hip hop,experimental,industrial,industrial rock","Ipecac Recordings",0.282,0.693,5,-11.112,1,0.288,0.00599,0.322,0.333,0.252,79.804,4
spotify:track:5YnS9oWrGcwf1tgode1F7z,"You Might Think He Loves You for Your Money but I Know What He Really Loves You for It's Your Brand New Leopard Skin Pillbox Hat","Government Plates","Death Grips",2013-11-13,161133,53,true,,1970-01-01T00:00:00Z,"experimental hip hop,experimental","Third Worlds",0.317,0.853,7,-2.751,1,0.186,0.00187,0.000702,0.254,0.487,103.37,4
