Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6Nnq45sf7tv9Xjlbga83Lj,"Fire By The River","Harumi","Harumi",1968,214226,42,false,7ypmg6jfo28608mlc9mk93qks,2021-08-20T15:06:23Z,"baroque pop,psychedelic rock","ODL",0.616,0.45,5,-16.234,1,0.0276,0.875,0.928,0.251,0.464,111.486,4
spotify:track:2WOwQhd2tQNYAsMB7ssTdY,"Senza tregua","La ragazza fuori strada (Outtakes)","Piero Umiliani",1975-01-01,117368,11,false,7ypmg6jfo28608mlc9mk93qks,2021-05-29T22:30:50Z,"exotica","Easy Tempo / Right Tempo",0.791,0.672,2,-9.866,0,0.0503,0.0217,0.794,0.089,0.76,99.51,4
spotify:track:5h2hbrDGY1rlCvcI4o33Uo,"The Lions and the Cucumber","Vampyros Lesbos (Sexadelic Dance Party)","Vampire Sound Inc.;Sigi Schwab;Manfred Hübler",1969-10-24,312306,32,false,7ypmg6jfo28608mlc9mk93qks,2021-07-20T11:30:09Z,"exotica","Miau MV GmbH",0.494,0.682,7,-9.691,1,0.0461,0.13,0.583,0.0765,0.752,102.446,4
spotify:track:6iyAbJ4aFOYMVRYZocDfN3,"Hard Times","Il corpo (Original Motion Picture Soundtrack)","Piero Umiliani",1974-01-01,259683,29,false,7ypmg6jfo28608mlc9mk93qks,2021-05-29T22:33:30Z,"exotica","Easy Tempo / Right Tempo",0.508,0.416,8,-14.092,1,0.0313,0.539,0.884,0.194,0.822,150.076,4
spotify:track:4u307txePIagFC4K67AdBA,"Easy Lovers","Camille 2000 (Original Motion Picture Soundtrack)","Piero Piccioni",1998-01-11,225573,64,false,7ypmg6jfo28608mlc9mk93qks,2021-05-29T22:50:11Z,"","Camille 3000",0.344,0.333,0,-13.945,0,0.0294,0.9,0.422,0.118,0.175,70.225,4
spotify:track:08STpchszuaAppBWoOzmY5,"Half-Forgotten Daydreams","Kpm 1000 Series: Voices in Harmony","John Cameron",1973-01-01,248575,41,false,7ypmg6jfo28608mlc9mk93qks,2021-05-29T23:01:51Z,"","KPM 1000 LP Series",0.456,0.384,10,-14.939,1,0.0356,0.697,0.748,0.144,0.777,82.994,4
spotify:track:2pPRz9cjsHA1c3btxc9VTu,"Blue Bass","Blue Nude (Original Motion Picture Soundtrack)","Piero Umiliani",2014-08-01,87840,2,false,7ypmg6jfo28608mlc9mk93qks,2021-05-29T22:29:41Z,"exotica","Liuto Records",0.617,0.115,5,-29.072,0,0.043,0.714,0.894,0.12,0.271,96.732,4
spotify:track:2Ese8m9IHoJMHdGVAkAygK,"Easy Interlude","Blue Nude (Original Motion Picture Soundtrack)","Piero Umiliani",2014-08-01,83880,3,false,7ypmg6jfo28608mlc9mk93qks,2021-05-29T22:27:29Z,"exotica","Liuto Records",0.241,0.441,7,-14.7,0,0.0373,0.834,0.93,0.138,0.89,201.92,3
spotify:track:02JG2okOS4zeeEpNvORWBo,"Alto Glide","Kpm 1000 Series: Synthesis","Alan Hawkshaw;Brian Bennett",1974-01-01,304240,34,false,7ypmg6jfo28608mlc9mk93qks,2021-05-30T09:56:51Z,"exotica","KPM 1000 LP Series",0.51,0.273,5,-24.239,0,0.0756,0.944,0.955,0.105,0.838,87.362,4
spotify:track:6ZYoIIIONqGi5qWWTw4uLI,"スカイ・ウォズ・フォーリング","マトリックス","Masabumi Kikuchi",2017-10-25,365853,39,false,7ypmg6jfo28608mlc9mk93qks,2021-06-04T12:31:13Z,"jazz fusion,jazz","Victor",0.477,0.546,5,-12.83,1,0.0287,0.382,0.107,0.109,0.588,94.756,4
spotify:track:559EFBmPQHHXZ34cHMqlUJ,"La rinuncia - Alternate Take 2","La ragazza fuori strada (Outtakes)","Piero Umiliani",1975-01-01,150282,5,false,7ypmg6jfo28608mlc9mk93qks,2021-05-30T09:58:45Z,"exotica","Easy Tempo / Right Tempo",0.121,0.659,7,-8.091,0,0.0396,0.00000283,0.805,0.132,0.534,167.299,4
spotify:track:5yEu5YHXKzbBerMRWQyQoR,"Lady Magnolia","To-Day's Sound","Piero Umiliani",2009-10-22,206708,51,false,7ypmg6jfo28608mlc9mk93qks,2021-06-03T16:10:23Z,"exotica","Easy Tempo / Right Tempo",0.382,0.473,0,-16.164,1,0.0443,0.762,0.829,0.0945,0.641,161.114,4
